,DAL
2007-10-30,7905964000
2007-10-31,7951840000
2007-11-01,7722460000
2007-11-02,7619239000
2007-11-05,7458673000
2007-11-06,7076373000
2007-11-07,6671135000
2007-11-08,6499100000
2007-11-09,6307950000
2007-11-12,6835524000
2007-11-13,7168125000
2007-11-14,7462496000
2007-11-15,7584832000
2007-11-16,7634531000
2007-11-19,7267523000
2007-11-20,6671135000
2007-11-21,6846993000
2007-11-23,6938744999
2007-11-26,6682604000
2007-11-27,6713187999
2007-11-28,7175771000
2007-11-29,7122249000
2007-11-30,7554248000
2007-12-03,7485433999
2007-12-04,7114603000
2007-12-05,6996090000
2007-12-06,7026674000
2007-12-07,7149010000
2007-12-10,6973151999
2007-12-11,6510569000
2007-12-12,6017402000
2007-12-13,5868305000
2007-12-14,5963880000
2007-12-17,5554819000
2007-12-18,5417191000
2007-12-19,5635102000
2007-12-20,5497474000
2007-12-21,5765084000
2007-12-24,5776553000
2007-12-26,5650394000
2007-12-27,5512766000
2007-12-28,5581580000
2007-12-31,5891526300
2008-01-02,5456289300
2008-01-03,5400895500
2008-01-04,5290107900
2008-01-07,5298021300
2008-01-08,4657035900
2008-01-09,5349458400
2008-01-10,6322806600
2008-01-11,6124971600
2008-01-14,6053751000
2008-01-15,6322806600
2008-01-16,6330720000
2008-01-17,6010227300
2008-01-18,5990443800
2008-01-22,5875699500
2008-01-23,6322806600
2008-01-24,6326763300
2008-01-25,6413810700
2008-01-28,6394027200
2008-01-29,6334676700
2008-01-30,6390070499
2008-01-31,6655169400
2008-02-01,7331765100
2008-02-04,6825307500
2008-02-05,6738260100
2008-02-06,7102276500
2008-02-07,7315938299
2008-02-08,7197237300
2008-02-11,7122060000
2008-02-12,6936095100
2008-02-13,7007315700
2008-02-14,6746173500
2008-02-15,6853004400
2008-02-19,6635385900
2008-02-20,6651212699
2008-02-21,6413810700
2008-02-22,6477117900
2008-02-25,6390070499
2008-02-26,6295109700
2008-02-27,5935050000
2008-02-28,5574990300
2008-02-29,5282194500
2008-03-03,5135796600
2008-03-04,5199103800
2008-03-05,5669951100
2008-03-06,5341545000
2008-03-07,5100186300
2008-03-10,4740126600
2008-03-11,4791563700
2008-03-12,4008137100
2008-03-13,4162448400
2008-03-14,3798432000
2008-03-17,3652034100
2008-03-18,3992310300
2008-03-19,4126838100
2008-03-20,3956700000
2008-03-24,3960656700
2008-03-25,3944829900
2008-03-26,3458155800
2008-03-27,3303844500
2008-03-28,3406718700
2008-03-31,3405600000
2008-04-01,3619440000
2008-04-02,3484800000
2008-04-03,3488760000
2008-04-04,3465000000
2008-04-07,3678839999
2008-04-08,3698640000
2008-04-09,3528360000
2008-04-10,3861000000
2008-04-11,3963960000
2008-04-14,4150080000
2008-04-15,3627360000
2008-04-16,3413519999
2008-04-17,3385800000
2008-04-18,3465000000
2008-04-21,3247199999
2008-04-22,2692800000
2008-04-23,2597760000
2008-04-24,2874960000
2008-04-25,2775960000
2008-04-28,2847240000
2008-04-29,3263040000
2008-04-30,3369960000
2008-05-01,3496680000
2008-05-02,3366000000
2008-05-05,3211560000
2008-05-06,3116520000
2008-05-07,3037320000
2008-05-08,2997720000
2008-05-09,3029400000
2008-05-12,2946240000
2008-05-13,2926440000
2008-05-14,3148200000
2008-05-15,3108600000
2008-05-16,2970000000
2008-05-19,2831400000
2008-05-20,2732400000
2008-05-21,2284920000
2008-05-22,2284920000
2008-05-23,2178000000
2008-05-27,2344320000
2008-05-28,2237400000
2008-05-29,2431440000
2008-05-30,2435400000
2008-06-02,2316600000
2008-06-03,2415600000
2008-06-04,2415600000
2008-06-05,2708640000
2008-06-06,2494800000
2008-06-09,2411640000
2008-06-10,2348280000
2008-06-11,2122560000
2008-06-12,2035439999
2008-06-13,2106720000
2008-06-16,2201760000
2008-06-17,2269080000
2008-06-18,2158200000
2008-06-19,2526480000
2008-06-20,2249280000
2008-06-23,1980000000
2008-06-24,2082960000
2008-06-25,2102759999
2008-06-26,2162160000
2008-06-27,2185920000
2008-06-30,2255490000
2008-07-01,2188221000
2008-07-02,1938930000
2008-07-03,1958715000
2008-07-07,1931016000
2008-07-08,2310888000
2008-07-09,2089296000
2008-07-10,2053683000
2008-07-11,1950801000
2008-07-14,1836047999
2008-07-15,1847919000
2008-07-16,2338587000
2008-07-17,2694717000
2008-07-18,2742201000
2008-07-21,2595792000
2008-07-22,3050847000
2008-07-23,3403020000
2008-07-24,2690760000
2008-07-25,2904438000
2008-07-28,2730330000
2008-07-29,3129987000
2008-07-30,2845083000
2008-07-31,2983578000
2008-08-01,3046890000
2008-08-04,3213083999
2008-08-05,3442589999
2008-08-06,3454461000
2008-08-07,3478202999
2008-08-08,3608783999
2008-08-11,3695838000
2008-08-12,3656268000
2008-08-13,3300138000
2008-08-14,3490074000
2008-08-15,3723537000
2008-08-18,3719580000
2008-08-19,3391149000
2008-08-20,3272439000
2008-08-21,3126030000
2008-08-22,3414891000
2008-08-25,3312008999
2008-08-26,3141858000
2008-08-27,2896524000
2008-08-28,3240783000
2008-08-29,3217041000
2008-09-02,3628569000
2008-09-03,3604827000
2008-09-04,3545472000
2008-09-05,3486117000
2008-09-08,3399063000
2008-09-09,3256611000
2008-09-10,3114159000
2008-09-11,3201213000
2008-09-12,3217041000
2008-09-15,3185385000
2008-09-16,3933258000
2008-09-17,3561300000
2008-09-18,3739364999
2008-09-19,3826419000
2008-09-22,3442589999
2008-09-23,3501945000
2008-09-24,3177470999
2008-09-25,3189342000
2008-09-26,3145815000
2008-09-29,2900481000
2008-09-30,6161746000
2008-10-01,7071534000
2008-10-02,6542202800
2008-10-03,6500848800
2008-10-06,5988059200
2008-10-07,4722626800
2008-10-08,4664731200
2008-10-09,4681272800
2008-10-10,4987292400
2008-10-13,5624144000
2008-10-14,6079038000
2008-10-15,6153475200
2008-10-16,7311387200
2008-10-17,7600865200
2008-10-20,7782822800
2008-10-21,8072300800
2008-10-22,8212904400
2008-10-23,7278304000
2008-10-24,6873034800
2008-10-27,6335432800
2008-10-28,6748972800
2008-10-29,6608369200
2008-10-30,7898614000
2008-10-31,9081338400
2008-11-03,9527961600
2008-11-04,9329462400
2008-11-05,8667798400
2008-11-06,7873801600
2008-11-07,7824176800
2008-11-10,7427178400
2008-11-11,7311387200
2008-11-12,6095579600
2008-11-13,6757243600
2008-11-14,6492578000
2008-11-17,6509119600
2008-11-18,6517390400
2008-11-19,5789560000
2008-11-20,5806101600
2008-11-21,5640685600
2008-11-24,6079038000
2008-11-25,6939201200
2008-11-26,6964013600
2008-11-28,7286574800
2008-12-01,6583556800
2008-12-02,7005367600
2008-12-03,7228679200
2008-12-04,7344470400
2008-12-05,8568548800
2008-12-08,9114421600
2008-12-09,8990359600
2008-12-10,9097880000
2008-12-11,8245987600
2008-12-12,8684340000
2008-12-15,8791860400
2008-12-16,9246754400
2008-12-17,9097880000
2008-12-18,9106150800
2008-12-19,8742235600
2008-12-22,8477570000
2008-12-23,8494111600
2008-12-24,8659527600
2008-12-26,8767048000
2008-12-29,8915922400
2008-12-30,9031713600
2008-12-31,9454500000
2009-01-02,10007250000
2009-01-05,9858750000
2009-01-06,10213500000
2009-01-07,9801000000
2009-01-08,10081500000
2009-01-09,9702000000
2009-01-12,9322500000
2009-01-13,9165750000
2009-01-14,8489249999
2009-01-15,9050250000
2009-01-16,9429750000
2009-01-20,9108000000
2009-01-21,8332500000
2009-01-22,8728500000
2009-01-23,8464500000
2009-01-26,8192250000
2009-01-27,6542250000
2009-01-28,7210500000
2009-01-29,6616500000
2009-01-30,5692500000
2009-02-02,5832750000
2009-02-03,5692500000
2009-02-04,5370750000
2009-02-05,5387250000
2009-02-06,6055500000
2009-02-09,6022500000
2009-02-10,5643000000
2009-02-11,5337750000
2009-02-12,5750250000
2009-02-13,5865750000
2009-02-17,5238750000
2009-02-18,4710750000
2009-02-19,4727250000
2009-02-20,4587000000
2009-02-23,4710750000
2009-02-24,4908750000
2009-02-25,4710750000
2009-02-26,4694250000
2009-02-27,4149750000
2009-03-02,3786750000
2009-03-03,3514500000
2009-03-04,3679500000
2009-03-05,3242250000
2009-03-06,3349499999
2009-03-09,3456750000
2009-03-10,3910500000
2009-03-11,3960000000
2009-03-12,4397250000
2009-03-13,4801500000
2009-03-16,4570500000
2009-03-17,5073750000
2009-03-18,5007750000
2009-03-19,4430250000
2009-03-20,4141499999
2009-03-23,4488000000
2009-03-24,4496250000
2009-03-25,4686000000
2009-03-26,5181000000
2009-03-27,4983000000
2009-03-30,4455000000
2009-03-31,4656010000
2009-04-01,4887570000
2009-04-02,5334150000
2009-04-03,5491280000
2009-04-06,5739380000
2009-04-07,5507820000
2009-04-08,5714570000
2009-04-09,6111530000
2009-04-13,6210770000
2009-04-14,5789000000
2009-04-15,6020560000
2009-04-16,6020560000
2009-04-17,6053640000
2009-04-20,5631870000
2009-04-21,6706970000
2009-04-22,6326550000
2009-04-23,6616000000
2009-04-24,6516760000
2009-04-27,5582250000
2009-04-28,5028160000
2009-04-29,5143940000
2009-04-30,5102590000
2009-05-01,5309340000
2009-05-04,5805540000
2009-05-05,6227310000
2009-05-06,6061910000
2009-05-07,5772460000
2009-05-08,5755920000
2009-05-11,5714570000
2009-05-12,5483010000
2009-05-13,5243180000
2009-05-14,5267990000
2009-05-15,5234910000
2009-05-18,5607060000
2009-05-19,5458200000
2009-05-20,5350690000
2009-05-21,5342420000
2009-05-22,5143940000
2009-05-26,5168750000
2009-05-27,4598120000
2009-05-28,4548500000
2009-05-29,4804870000
2009-06-01,5317610000
2009-06-02,5689760000
2009-06-03,5962670000
2009-06-04,5904780000
2009-06-05,5805540000
2009-06-08,5557440000
2009-06-09,5706300000
2009-06-10,5416850000
2009-06-11,5524360000
2009-06-12,5292800000
2009-06-15,5044700000
2009-06-16,5094320000
2009-06-17,5110860000
2009-06-18,4945460000
2009-06-19,5019890000
2009-06-22,4672550000
2009-06-23,4465800000
2009-06-24,4573310000
2009-06-25,4986810000
2009-06-26,4713900000
2009-06-29,4788330000
2009-06-30,4794120000
2009-07-01,4843800000
2009-07-02,4868640000
2009-07-06,4744440000
2009-07-07,4727880000
2009-07-08,4703040000
2009-07-09,4761000000
2009-07-10,4885200000
2009-07-13,4943160000
2009-07-14,4951440000
2009-07-15,5100480000
2009-07-16,5067360000
2009-07-17,5034240000
2009-07-20,5191560000
2009-07-21,5017680000
2009-07-22,4777560000
2009-07-23,5017680000
2009-07-24,5133600000
2009-07-27,5133600000
2009-07-28,5382000000
2009-07-29,5655240000
2009-07-30,5680080000
2009-07-31,5738040000
2009-08-03,5779440000
2009-08-04,5936760000
2009-08-05,6060960000
2009-08-06,6036120000
2009-08-07,6135480000
2009-08-10,5862240000
2009-08-11,5812560000
2009-08-12,5961600000
2009-08-13,5961600000
2009-08-14,5812560000
2009-08-17,5464800000
2009-08-18,5589000000
2009-08-19,5464800000
2009-08-20,5630400000
2009-08-21,5903640000
2009-08-24,5870520000
2009-08-25,6102360000
2009-08-26,6176880000
2009-08-27,6201720000
2009-08-28,6077520000
2009-08-31,5978160000
2009-09-01,5713200000
2009-09-02,5663520000
2009-09-03,5928480000
2009-09-04,6118920000
2009-09-08,6044400000
2009-09-09,6069240000
2009-09-10,6706800000
2009-09-11,6673680000
2009-09-14,7120800000
2009-09-15,7576200000
2009-09-16,7824599999
2009-09-17,7584480000
2009-09-18,7418880000
2009-09-21,7990200000
2009-09-22,7866000000
2009-09-23,7526520000
2009-09-24,7385760000
2009-09-25,7493400000
2009-09-28,7452000000
2009-09-29,7617599999
2009-09-30,7436800000
2009-10-01,6756200000
2009-10-02,6905600000
2009-10-05,7005200000
2009-10-06,7013499999
2009-10-07,6872399999
2009-10-08,7154599999
2009-10-09,7196100000
2009-10-12,7387000000
2009-10-13,7387000000
2009-10-14,7511500000
2009-10-15,7528100000
2009-10-16,7494899999
2009-10-19,7461700000
2009-10-20,7486600000
2009-10-21,6913900000
2009-10-22,6905600000
2009-10-23,6839200000
2009-10-26,6465700000
2009-10-27,6341200000
2009-10-28,5967700000
2009-10-29,6108800000
2009-10-30,5926200000
2009-11-02,5768500000
2009-11-03,5992600000
2009-11-04,5942800000
2009-11-05,6083900000
2009-11-06,6465700000
2009-11-09,6548700000
2009-11-10,6415900000
2009-11-11,6581900000
2009-11-12,6474000000
2009-11-13,6474000000
2009-11-16,6631700000
2009-11-17,6557000000
2009-11-18,6440800000
2009-11-19,6299700000
2009-11-20,6324600000
2009-11-23,6415900000
2009-11-24,6357800000
2009-11-25,6548700000
2009-11-27,6565300000
2009-11-30,6797700000
2009-12-01,7154599999
2009-12-02,7710699999
2009-12-03,7785400000
2009-12-04,8250200000
2009-12-07,8432800000
2009-12-08,8200400000
2009-12-09,8192099999
2009-12-10,8200400000
2009-12-11,9337500000
2009-12-14,9204700000
2009-12-15,9088500000
2009-12-16,9669500000
2009-12-17,9628000000
2009-12-18,9677800000
2009-12-21,9453700000
2009-12-22,9785700000
2009-12-23,9802300000
2009-12-24,9769100000
2009-12-28,9370700000
2009-12-29,9403900000
2009-12-30,9437100000
2009-12-31,9468160000
2010-01-04,9335040000
2010-01-05,10067200000
2010-01-06,10075520000
2010-01-07,10558080000
2010-01-08,10375040000
2010-01-11,10641280000
2010-01-12,10433280000
2010-01-13,10691200000
2010-01-14,10957440000
2010-01-15,10599680000
2010-01-19,10840960000
2010-01-20,11157120000
2010-01-21,11182080000
2010-01-22,11057280000
2010-01-25,11090560000
2010-01-26,10940800000
2010-01-27,10949120000
2010-01-28,10524800000
2010-01-29,10175360000
2010-02-01,10508160000
2010-02-02,10732800000
2010-02-03,10333440000
2010-02-04,9534720000
2010-02-05,9401600000
2010-02-08,9360000000
2010-02-09,10308480000
2010-02-10,9634560000
2010-02-11,9842560000
2010-02-12,10192000000
2010-02-16,10383360000
2010-02-17,10591360000
2010-02-18,10441600000
2010-02-19,10558080000
2010-02-22,10591360000
2010-02-23,10516480000
2010-02-24,10608000000
2010-02-25,10533120000
2010-02-26,10749440000
2010-03-01,10957440000
2010-03-02,10632960000
2010-03-03,10757760000
2010-03-04,10632960000
2010-03-05,10566400000
2010-03-08,10433280000
2010-03-09,10657920000
2010-03-10,11065600000
2010-03-11,10807680000
2010-03-12,10674560000
2010-03-15,10533120000
2010-03-16,10799360000
2010-03-17,10766080000
2010-03-18,10907520000
2010-03-19,10458240000
2010-03-22,10874240000
2010-03-23,11173760000
2010-03-24,11489920000
2010-03-25,11814400000
2010-03-26,12064000000
2010-03-29,12188800000
2010-03-30,12163840000
2010-03-31,12168060000
2010-04-01,12251460000
2010-04-05,12026280000
2010-04-06,12226440000
2010-04-07,11817780000
2010-04-08,12351540000
2010-04-09,12159720000
2010-04-12,12451620000
2010-04-13,11984580000
2010-04-14,12001260000
2010-04-15,12001260000
2010-04-16,11567580000
2010-04-19,10992120000
2010-04-20,10975440000
2010-04-21,10483380000
2010-04-22,10308240000
2010-04-23,10850340000
2010-04-26,10800300000
2010-04-27,10191480000
2010-04-28,10158120000
2010-04-29,10099740000
2010-04-30,10074720000
2010-05-03,10500060000
2010-05-04,9807840000
2010-05-05,10283220000
2010-05-06,9774480000
2010-05-07,9757800000
2010-05-10,10258200000
2010-05-11,10341600000
2010-05-12,11300700000
2010-05-13,11050500000
2010-05-14,11459160000
2010-05-17,11625960000
2010-05-18,11317380000
2010-05-19,11367420000
2010-05-20,10766940000
2010-05-21,11125560000
2010-05-24,11225640000
2010-05-25,11542560000
2010-05-26,11550900000
2010-05-27,11634300000
2010-05-28,11325720000
2010-06-01,11292360000
2010-06-02,11751060000
2010-06-03,11909520000
2010-06-04,11325720000
2010-06-07,10950420000
2010-06-08,11000460000
2010-06-09,11142240000
2010-06-10,11133900000
2010-06-11,11217300000
2010-06-14,11417460000
2010-06-15,11667660000
2010-06-16,11742720000
2010-06-17,11834460000
2010-06-18,11434140000
2010-06-21,11250660000
2010-06-22,10566780000
2010-06-23,10558440000
2010-06-24,10266540000
2010-06-25,10008000000
2010-06-28,10041360000
2010-06-29,9432540000
2010-06-30,9811250000
2010-07-01,9786200000
2010-07-02,9210050000
2010-07-06,9268500000
2010-07-07,9777850000
2010-07-08,9827950000
2010-07-09,9727750000
2010-07-12,9744450000
2010-07-13,10111850000
2010-07-14,10195350000
2010-07-15,10028350000
2010-07-16,9786200000
2010-07-19,9502300000
2010-07-20,9627550000
2010-07-21,9101500000
2010-07-22,9569100000
2010-07-23,9560750000
2010-07-26,10003300000
2010-07-27,9777850000
2010-07-28,9635900000
2010-07-29,9761150000
2010-07-30,9919800000
2010-08-02,10529350000
2010-08-03,10145250000
2010-08-04,9903100000
2010-08-05,9853000000
2010-08-06,9861350000
2010-08-09,10178650000
2010-08-10,9853000000
2010-08-11,9485600000
2010-08-12,9585800000
2010-08-13,9644250000
2010-08-16,9585800000
2010-08-17,9485600000
2010-08-18,9485600000
2010-08-19,9001300000
2010-08-20,8792550000
2010-08-23,8742450000
2010-08-24,8316600000
2010-08-25,8375049999
2010-08-26,8383399999
2010-08-27,8734100000
2010-08-30,8658950000
2010-08-31,8734100000
2010-09-01,8917800000
2010-09-02,9051400000
2010-09-03,9226750000
2010-09-07,8909450000
2010-09-08,8926150000
2010-09-09,8876050000
2010-09-10,8800900000
2010-09-13,8892750000
2010-09-14,9335300000
2010-09-15,9602500000
2010-09-16,9669300000
2010-09-17,9335300000
2010-09-20,9644250000
2010-09-21,9978250000
2010-09-22,9535700000
2010-09-23,9452200000
2010-09-24,9769500000
2010-09-27,9510650000
2010-09-28,9677650000
2010-09-29,9677650000
2010-09-30,9707760000
2010-10-01,10016340000
2010-10-04,9599340000
2010-10-05,9866220000
2010-10-06,9824520000
2010-10-07,9816180000
2010-10-08,9507600000
2010-10-11,9374160000
2010-10-12,9524280000
2010-10-13,9657720000
2010-10-14,9549300000
2010-10-15,9490920000
2010-10-18,9599340000
2010-10-19,9757800000
2010-10-20,10816980000
2010-10-21,11284020000
2010-10-22,10992120000
2010-10-25,11233980000
2010-10-26,11117220000
2010-10-27,11492520000
2010-10-28,11575920000
2010-10-29,11584260000
2010-11-01,11442480000
2010-11-02,11550900000
2010-11-03,11834460000
2010-11-04,11826120000
2010-11-05,11892840000
2010-11-08,11751060000
2010-11-09,11559240000
2010-11-10,11292360000
2010-11-11,11292360000
2010-11-12,11225640000
2010-11-15,11008800000
2010-11-16,10967100000
2010-11-17,11017140000
2010-11-18,11484180000
2010-11-19,11475840000
2010-11-22,11475840000
2010-11-23,11434140000
2010-11-24,11951220000
2010-11-26,11867820000
2010-11-29,11801100000
2010-11-30,11409120000
2010-12-01,11575920000
2010-12-02,11267340000
2010-12-03,11367420000
2010-12-06,11242320000
2010-12-07,10942080000
2010-12-08,10925400000
2010-12-09,11100540000
2010-12-10,10858680000
2010-12-13,10908720000
2010-12-14,10900380000
2010-12-15,10541760000
2010-12-16,10483380000
2010-12-17,10391640000
2010-12-20,10450020000
2010-12-21,10550100000
2010-12-22,10366620000
2010-12-23,10199820000
2010-12-27,10383300000
2010-12-28,10408320000
2010-12-29,10558440000
2010-12-30,10416660000
2010-12-31,10546200000
2011-01-03,10529460000
2011-01-04,10487610000
2011-01-05,10864260000
2011-01-06,10805670000
2011-01-07,10881000000
2011-01-10,10546200000
2011-01-11,10336950000
2011-01-12,10470870000
2011-01-13,10554570000
2011-01-14,10671750000
2011-01-18,9792900000
2011-01-19,9583650000
2011-01-20,9717570000
2011-01-21,9658980000
2011-01-24,10060740000
2011-01-25,9734310000
2011-01-26,10027260000
2011-01-27,10295100000
2011-01-28,9901710000
2011-01-31,9767790000
2011-02-01,9868230000
2011-02-02,9499950000
2011-02-03,9650610000
2011-02-04,9541800000
2011-02-07,9667350000
2011-02-08,9926820000
2011-02-09,9826380000
2011-02-10,9784530000
2011-02-11,9960300000
2011-02-14,9893340000
2011-02-15,9960300000
2011-02-16,9893340000
2011-02-17,9751050000
2011-02-18,9625500000
2011-02-22,8989380000
2011-02-23,9223740000
2011-02-24,9315810000
2011-02-25,9307440000
2011-02-28,9407880000
2011-03-01,8880570000
2011-03-02,8495550000
2011-03-03,8587620000
2011-03-04,8294670000
2011-03-07,8445330000
2011-03-08,9265590000
2011-03-09,9106560000
2011-03-10,9357660000
2011-03-11,9399510000
2011-03-14,9181890000
2011-03-15,8947530000
2011-03-16,8537399999
2011-03-17,8252820000
2011-03-18,8570880000
2011-03-21,8512290000
2011-03-22,8370000000
2011-03-23,8294670000
2011-03-24,8378370000
2011-03-25,8202600000
2011-03-28,8294670000
2011-03-29,8194229999
2011-03-30,8319780000
2011-03-31,8212400000
2011-04-01,8229160000
2011-04-04,8237540000
2011-04-05,8128599999
2011-04-06,8036420000
2011-04-07,7885580000
2011-04-08,7575519999
2011-04-11,7902340000
2011-04-12,8296200000
2011-04-13,8028040000
2011-04-14,7835300000
2011-04-15,7751500000
2011-04-18,7659320000
2011-04-19,7650940000
2011-04-20,7600660000
2011-04-21,7583900000
2011-04-25,7542000000
2011-04-26,8371620000
2011-04-27,8421900000
2011-04-28,8438660000
2011-04-29,8698440000
2011-05-02,8765480000
2011-05-03,8815760000
2011-05-04,8773860000
2011-05-05,9402360000
2011-05-06,9393980000
2011-05-09,9058780000
2011-05-10,9050400000
2011-05-11,9268280000
2011-05-12,9109060000
2011-05-13,8924700000
2011-05-16,9218000000
2011-05-17,9226380000
2011-05-18,9159340000
2011-05-19,9536440000
2011-05-20,9645380000
2011-05-23,9410740000
2011-05-24,9293420000
2011-05-25,8790620000
2011-05-26,8530840000
2011-05-27,8380000000
2011-05-31,8447040000
2011-06-01,8111840000
2011-06-02,8061559999
2011-06-03,8061559999
2011-06-06,7818540000
2011-06-07,7759880000
2011-06-08,7659320000
2011-06-09,7692840000
2011-06-10,7726360000
2011-06-13,7759880000
2011-06-14,7961000000
2011-06-15,7818540000
2011-06-16,7877200000
2011-06-17,8028040000
2011-06-20,8120220000
2011-06-21,8220780000
2011-06-22,8036420000
2011-06-23,8329720000
2011-06-24,7902340000
2011-06-27,8095080000
2011-06-28,7868820000
2011-06-29,7709599999
2011-06-30,7684460000
2011-07-01,7785019999
2011-07-05,7642559999
2011-07-06,7650940000
2011-07-07,7885580000
2011-07-08,7835300000
2011-07-11,7542000000
2011-07-12,7215180000
2011-07-13,7290599999
2011-07-14,7131380000
2011-07-15,7047580000
2011-07-18,6754280000
2011-07-19,6921880000
2011-07-20,6821320000
2011-07-21,6846460000
2011-07-22,6787800000
2011-07-25,6586680000
2011-07-26,6720760000
2011-07-27,6377180000
2011-07-28,6393940000
2011-07-29,6611820000
2011-08-01,6536400000
2011-08-02,6226340000
2011-08-03,6326900000
2011-08-04,5882760000
2011-08-05,5840860000
2011-08-08,5547560000
2011-08-09,5933040000
2011-08-10,5597840000
2011-08-11,5840860000
2011-08-12,5840860000
2011-08-15,6134160000
2011-08-16,6419080000
2011-08-17,6536400000
2011-08-18,6192820000
2011-08-19,6041980000
2011-08-22,6050360000
2011-08-23,6083880000
2011-08-24,6075500000
2011-08-25,5723540000
2011-08-26,5966560000
2011-08-29,6285000000
2011-08-30,6377180000
2011-08-31,6310140000
2011-09-01,6217960000
2011-09-02,6092260000
2011-09-06,5974940000
2011-09-07,6259860000
2011-09-08,6125780000
2011-09-09,6016840000
2011-09-12,6184440000
2011-09-13,6695620000
2011-09-14,7030820000
2011-09-15,7089480000
2011-09-16,7039200000
2011-09-19,6963780000
2011-09-20,7014059999
2011-09-21,6704000000
2011-09-22,6352040000
2011-09-23,6846460000
2011-09-26,6955400000
2011-09-27,6821320000
2011-09-28,6796180000
2011-09-29,6662100000
2011-09-30,6300000000
2011-10-03,5586000000
2011-10-04,6123600000
2011-10-05,6241200000
2011-10-06,6535200000
2011-10-07,6552000000
2011-10-10,6762000000
2011-10-11,6896400000
2011-10-12,7072800000
2011-10-13,7291200000
2011-10-14,7198800000
2011-10-17,7056000000
2011-10-18,7316400000
2011-10-19,7140000000
2011-10-20,7307999999
2011-10-21,7274400000
2011-10-24,7476000000
2011-10-25,7089600000
2011-10-26,7190400000
2011-10-27,7257600000
2011-10-28,7148400000
2011-10-31,7156800000
2011-11-01,6997200000
2011-11-02,6930000000
2011-11-03,6972000000
2011-11-04,7014000000
2011-11-07,6980400000
2011-11-08,6887999999
2011-11-09,6720000000
2011-11-10,6400800000
2011-11-11,6678000000
2011-11-14,6770400000
2011-11-15,6720000000
2011-11-16,6367200000
2011-11-17,6115200000
2011-11-18,6182400000
2011-11-21,6056400000
2011-11-22,6115200000
2011-11-23,5980800000
2011-11-25,5980800000
2011-11-28,6241200000
2011-11-29,6552000000
2011-11-30,6820799999
2011-12-01,7156800000
2011-12-02,7064400000
2011-12-05,7232399999
2011-12-06,7114800000
2011-12-07,7190400000
2011-12-08,6871200000
2011-12-09,7140000000
2011-12-12,7140000000
2011-12-13,6711600000
