,WST
2001-01-16,359718400
2001-01-17,359718400
2001-01-18,358000000
2001-01-19,352844800
2001-01-22,356281600
2001-01-23,359718400
2001-01-24,353417600
2001-01-25,351126400
2001-01-26,351126400
2001-01-29,352844800
2001-01-30,343107200
2001-01-31,345971200
2001-02-01,344825600
2001-02-02,343680000
2001-02-05,344825600
2001-02-06,348835200
2001-02-07,368883200
2001-02-08,374611200
2001-02-09,360864000
2001-02-12,361436800
2001-02-13,364873600
2001-02-14,366019200
2001-02-15,368310400
2001-02-16,366019200
2001-02-20,364873600
2001-02-21,359145600
2001-02-22,353990400
2001-02-23,352844800
2001-02-26,365446400
2001-02-27,363155200
2001-02-28,359718400
2001-03-01,356854400
2001-03-02,359718400
2001-03-05,355136000
2001-03-06,363728000
2001-03-07,361436800
2001-03-08,356281600
2001-03-09,353417600
2001-03-12,347116800
2001-03-13,348262400
2001-03-14,346544000
2001-03-15,341961600
2001-03-16,340816000
2001-03-19,352272000
2001-03-20,344252800
2001-03-21,335088000
2001-03-22,331078400
2001-03-23,331078400
2001-03-26,327641600
2001-03-27,330505600
2001-03-28,331078400
2001-03-29,331078400
2001-03-30,334515200
2001-04-02,329154560
2001-04-03,328007680
2001-04-04,328581120
2001-04-05,340049920
2001-04-06,332595200
2001-04-09,335462400
2001-04-10,336035840
2001-04-11,342343680
2001-04-12,354959360
2001-04-16,352665600
2001-04-17,358400000
2001-04-18,358400000
2001-04-19,369868800
2001-04-20,371015680
2001-04-23,372736000
2001-04-24,378470400
2001-04-25,388792320
2001-04-26,385351680
2001-04-27,387072000
2001-04-30,395100160
2001-05-01,393379840
2001-05-02,383631360
2001-05-03,377323520
2001-05-04,385351680
2001-05-07,370442240
2001-05-08,376176640
2001-05-09,379043840
2001-05-10,380764160
2001-05-11,380190720
2001-05-14,380190720
2001-05-15,381337600
2001-05-16,387072000
2001-05-17,387072000
2001-05-18,383057920
2001-05-21,383057920
2001-05-22,385351680
2001-05-23,380190720
2001-05-24,384204800
2001-05-25,386498560
2001-05-29,385925120
2001-05-30,385351680
2001-05-31,385925120
2001-06-01,390512640
2001-06-04,391659520
2001-06-05,390512640
2001-06-06,387645440
2001-06-07,389365760
2001-06-08,384778240
2001-06-11,384204800
2001-06-12,390512640
2001-06-13,384204800
2001-06-14,380190720
2001-06-15,378470400
2001-06-18,376176640
2001-06-19,372736000
2001-06-20,380190720
2001-06-21,381337600
2001-06-22,375029760
2001-06-25,374456320
2001-06-26,375603200
2001-06-27,376176640
2001-06-28,383057920
2001-06-29,387072000
2001-07-02,385539840
2001-07-03,383244960
2001-07-05,377507760
2001-07-06,369475680
2001-07-09,371196840
2001-07-10,368901960
2001-07-11,364885920
2001-07-12,367180800
2001-07-13,360296160
2001-07-16,360296160
2001-07-17,363738480
2001-07-18,378655200
2001-07-19,397014240
2001-07-20,396440520
2001-07-23,390703320
2001-07-24,388982160
2001-07-25,389555880
2001-07-26,390703320
2001-07-27,389555880
2001-07-30,386687280
2001-07-31,384392400
2001-08-01,385539840
2001-08-02,384966120
2001-08-03,384392400
2001-08-06,386113560
2001-08-07,387261000
2001-08-08,384966120
2001-08-09,385539840
2001-08-10,386687280
2001-08-13,383818680
2001-08-14,388982160
2001-08-15,380950080
2001-08-16,382097520
2001-08-17,380950080
2001-08-20,382097520
2001-08-21,381523800
2001-08-22,379228920
2001-08-23,375786600
2001-08-24,375212880
2001-08-27,370623120
2001-08-28,372918000
2001-08-29,371196840
2001-08-30,371770560
2001-08-31,368901960
2001-09-04,370049400
2001-09-05,371770560
2001-09-06,370623120
2001-09-07,367754520
2001-09-10,368328240
2001-09-17,341363400
2001-09-18,340215960
2001-09-19,340789680
2001-09-20,336199920
2001-09-21,334478760
2001-09-24,344232000
2001-09-25,344232000
2001-09-26,338494800
2001-09-27,339068520
2001-09-28,352837800
2001-10-01,349381120
2001-10-02,347657200
2001-10-03,344784000
2001-10-04,345933280
2001-10-05,344784000
2001-10-08,345358640
2001-10-09,344209360
2001-10-10,349955760
2001-10-11,344209360
2001-10-12,344209360
2001-10-15,343060080
2001-10-16,336739040
2001-10-17,364321760
2001-10-18,344784000
2001-10-19,341336160
2001-10-22,340761520
2001-10-23,347082560
2001-10-24,346507920
2001-10-25,347657200
2001-10-26,351679680
2001-10-29,349955760
2001-10-30,350530400
2001-10-31,350530400
2001-11-01,350530400
2001-11-02,347657200
2001-11-05,351105040
2001-11-06,353978240
2001-11-07,347082560
2001-11-08,350530400
2001-11-09,349955760
2001-11-12,351679680
2001-11-13,351679680
2001-11-14,352828960
2001-11-15,359150000
2001-11-16,360873920
2001-11-19,363172480
2001-11-20,361448560
2001-11-21,361448560
2001-11-23,362023200
2001-11-26,368344240
2001-11-27,372941360
2001-11-28,373516000
2001-11-29,402822640
2001-11-30,390755200
2001-12-03,383859520
2001-12-04,393053760
2001-12-05,390755200
2001-12-06,389605920
2001-12-07,391329840
2001-12-10,387307360
2001-12-11,386732720
2001-12-12,386158080
2001-12-13,381560960
2001-12-14,388456640
2001-12-17,397076240
2001-12-18,395352320
2001-12-19,389605920
2001-12-20,389031280
2001-12-21,389031280
2001-12-24,388456640
2001-12-26,387882000
2001-12-27,383859520
2001-12-28,382710240
2001-12-31,382135600
2002-01-02,382710240
2002-01-03,390755200
2002-01-04,384434160
2002-01-07,384434160
2002-01-08,385008800
2002-01-09,390180560
2002-01-10,385583440
2002-01-11,380986320
2002-01-14,378113120
2002-01-15,375814560
2002-01-16,370068160
2002-01-17,373516000
2002-01-18,368344240
2002-01-22,368344240
2002-01-23,372366720
2002-01-24,364896400
2002-01-25,364896400
2002-01-28,370068160
2002-01-29,367769600
2002-01-30,369493520
2002-01-31,370068160
2002-02-01,364896400
2002-02-04,362023200
2002-02-05,362023200
2002-02-06,362023200
2002-02-07,363747120
2002-02-08,366620320
2002-02-11,366620320
2002-02-12,366620320
2002-02-13,366620320
2002-02-14,378687760
2002-02-15,400524080
2002-02-19,395352320
2002-02-20,411442240
2002-02-21,409718320
2002-02-22,414315440
2002-02-25,418912560
2002-02-26,414315440
2002-02-27,415464720
2002-02-28,416039360
2002-03-01,416614000
2002-03-04,416614000
2002-03-05,416039360
2002-03-06,414890080
2002-03-07,413166160
2002-03-08,416039360
2002-03-11,417188640
2002-03-12,414315440
2002-03-13,413740800
2002-03-14,412016880
2002-03-15,412591520
2002-03-18,414315440
2002-03-19,416039360
2002-03-20,413740800
2002-03-21,416614000
2002-03-22,413740800
2002-03-25,421211120
2002-03-26,430980000
2002-03-27,434427840
2002-03-28,436151760
2002-04-01,432900000
2002-04-02,434054400
2002-04-03,431168400
2002-04-04,432900000
2002-04-05,431168400
2002-04-08,432900000
2002-04-09,425973600
2002-04-10,434054400
2002-04-11,428859600
2002-04-12,432900000
2002-04-15,432322800
2002-04-16,431168400
2002-04-17,431168400
2002-04-18,432322800
2002-04-19,426550800
2002-04-22,420778800
2002-04-23,416738400
2002-04-24,409812000
2002-04-25,406926000
2002-04-26,402308400
2002-04-29,404040000
2002-04-30,404040000
2002-05-01,409812000
2002-05-02,416738400
2002-05-03,418470000
2002-05-06,423087600
2002-05-07,425973600
2002-05-08,424242000
2002-05-09,420201600
2002-05-10,418470000
2002-05-13,423087600
2002-05-14,420201600
2002-05-15,425396400
2002-05-16,420201600
2002-05-17,418470000
2002-05-20,416738400
2002-05-21,416161200
2002-05-22,420201600
2002-05-23,425973600
2002-05-24,421356000
2002-05-28,425396400
2002-05-29,420201600
2002-05-30,420778800
2002-05-31,412698000
2002-06-03,408080400
2002-06-04,412120800
2002-06-05,411543600
2002-06-06,408657600
2002-06-07,409812000
2002-06-10,416161200
2002-06-11,413275200
2002-06-12,412120800
2002-06-13,409234800
2002-06-14,411543600
2002-06-17,413275200
2002-06-18,418470000
2002-06-19,421356000
2002-06-20,424819200
2002-06-21,427128000
2002-06-24,425396400
2002-06-25,424819200
2002-06-26,425973600
2002-06-27,436363200
2002-06-28,462914400
2002-07-01,444881880
2002-07-02,436204080
2002-07-03,439675200
2002-07-05,441989280
2002-07-08,437361120
2002-07-09,429261840
2002-07-10,418269960
2002-07-11,412484760
2002-07-12,411327720
2002-07-15,408435120
2002-07-16,403228440
2002-07-17,414220320
2002-07-18,383558760
2002-07-19,367938720
2002-07-22,373145400
2002-07-23,359839440
2002-07-24,366781680
2002-07-25,363310560
2002-07-26,359839440
2002-07-29,369674280
2002-07-30,377195040
2002-07-31,377773560
2002-08-01,376038000
2002-08-02,372566880
2002-08-05,369095760
2002-08-06,367938720
2002-08-07,369095760
2002-08-08,369674280
2002-08-09,370831320
2002-08-12,371988360
2002-08-13,367360200
2002-08-14,365624640
2002-08-15,361575000
2002-08-16,360996480
2002-08-19,357525360
2002-08-20,356368320
2002-08-21,358682400
2002-08-22,354632760
2002-08-23,351740160
2002-08-26,354632760
2002-08-27,351740160
2002-08-28,348847560
2002-08-29,346533480
2002-08-30,346533480
2002-09-03,347112000
2002-09-04,346533480
2002-09-05,341905320
2002-09-06,340169760
2002-09-09,335541600
2002-09-10,336698640
2002-09-11,340169760
2002-09-12,339012720
2002-09-13,341905320
2002-09-16,341326800
2002-09-17,337277160
2002-09-18,326863800
2002-09-19,314136360
2002-09-20,312979320
2002-09-23,314136360
2002-09-24,307772640
2002-09-25,311822280
2002-09-26,318764520
2002-09-27,312400800
2002-09-30,310451200
2002-10-01,306976000
2002-10-02,298867200
2002-10-03,297129600
2002-10-04,289600000
2002-10-07,270486400
2002-10-08,269907200
2002-10-09,267590400
2002-10-10,258902400
2002-10-11,258902400
2002-10-14,253110400
2002-10-15,260640000
2002-10-16,252531200
2002-10-17,255427200
2002-10-18,246739200
2002-10-21,242105599
2002-10-22,239788799
2002-10-23,248476800
2002-10-24,253110400
2002-10-25,268169600
2002-10-28,262956800
2002-10-29,264115199
2002-10-30,267011200
2002-10-31,277436800
2002-11-01,289600000
2002-11-04,290179200
2002-11-05,290179200
2002-11-06,285545600
2002-11-07,283228800
2002-11-08,290179200
2002-11-11,285545600
2002-11-12,285545600
2002-11-13,286124800
2002-11-14,289020800
2002-11-15,294233600
2002-11-18,301184000
2002-11-19,293654400
2002-11-20,310451200
2002-11-21,308713600
2002-11-22,309872000
2002-11-25,309872000
2002-11-26,298288000
2002-11-27,301184000
2002-11-29,300025600
2002-12-02,310451200
2002-12-03,309872000
2002-12-04,312768000
2002-12-05,313347200
2002-12-06,323193600
2002-12-09,323193600
2002-12-10,322614400
2002-12-11,327827200
2002-12-12,332460800
2002-12-13,327827200
2002-12-16,335356800
2002-12-17,333040000
2002-12-18,333040000
2002-12-19,333040000
2002-12-20,352153600
2002-12-23,357366400
2002-12-24,356787200
2002-12-26,354470400
2002-12-27,356787200
2002-12-30,346361600
2002-12-31,353312000
2003-01-02,356787200
2003-01-03,349836800
2003-01-06,346940800
2003-01-07,353312000
2003-01-08,344624000
2003-01-09,344044800
2003-01-10,343465600
2003-01-13,338252800
2003-01-14,340569600
2003-01-15,342886400
2003-01-16,335936000
2003-01-17,326089600
2003-01-21,320297600
2003-01-22,316243200
2003-01-23,316243200
2003-01-24,306396800
2003-01-27,302342400
2003-01-28,306396800
2003-01-29,290179200
2003-01-30,266431999
2003-01-31,275120000
2003-02-03,260060800
2003-02-04,246160000
2003-02-05,258902400
2003-02-06,261798399
2003-02-07,259481600
2003-02-10,261219200
2003-02-11,253689600
2003-02-12,253110400
2003-02-13,257744000
2003-02-14,260640000
2003-02-18,271644800
2003-02-19,268169600
2003-02-20,275120000
2003-02-21,280912000
2003-02-24,278595200
2003-02-25,280912000
2003-02-26,278016000
2003-02-27,280912000
2003-02-28,277436800
2003-03-03,281491200
2003-03-04,282649600
2003-03-05,282649600
2003-03-06,277436800
2003-03-07,282649600
2003-03-10,286124800
2003-03-11,290758400
2003-03-12,294812800
2003-03-13,295392000
2003-03-14,293075200
2003-03-17,298288000
2003-03-18,298288000
2003-03-19,298288000
2003-03-20,304659200
2003-03-21,311030400
2003-03-24,302921600
2003-03-25,304080000
2003-03-26,296550400
2003-03-27,292496000
2003-03-28,291337600
2003-03-31,283866800
2003-04-01,291977280
2003-04-02,294294560
2003-04-03,297191160
2003-04-04,294873880
2003-04-07,302405040
2003-04-08,298929120
2003-04-09,294873880
2003-04-10,293135920
2003-04-11,290239320
2003-04-14,293135920
2003-04-15,291397960
2003-04-16,289660000
2003-04-17,304143000
2003-04-21,305880960
2003-04-22,313991440
2003-04-23,322101920
2003-04-24,320943280
2003-04-25,323260560
2003-04-28,331371040
2003-04-29,333688320
2003-04-30,345274720
2003-05-01,347592000
2003-05-02,352226560
2003-05-05,352226560
2003-05-06,359178400
2003-05-07,357440440
2003-05-08,360337040
2003-05-09,370185480
2003-05-12,371344120
2003-05-13,375978680
2003-05-14,375978680
2003-05-15,371923440
2003-05-16,360337040
2003-05-19,355123160
2003-05-20,359178400
2003-05-21,357440440
2003-05-22,358019760
2003-05-23,359178400
2003-05-27,362075000
2003-05-28,362075000
2003-05-29,360916360
2003-05-30,364392280
2003-06-02,355702480
2003-06-03,352226560
2003-06-04,349909280
2003-06-05,355123160
2003-06-06,356281800
2003-06-09,360337040
2003-06-10,362654320
2003-06-11,360337040
2003-06-12,355123160
2003-06-13,356861120
2003-06-16,352805880
2003-06-17,352226560
2003-06-18,351647240
2003-06-19,347012680
2003-06-20,342378120
2003-06-23,338902200
2003-06-24,336584920
2003-06-25,334267640
2003-06-26,333688320
2003-06-27,342957440
2003-06-30,355687120
2003-07-01,367291920
2003-07-02,376575760
2003-07-03,368452400
2003-07-07,353366160
2003-07-08,367872160
2003-07-09,362650000
2003-07-10,362650000
2003-07-11,372514080
2003-07-14,371353600
2003-07-15,360329040
2003-07-16,352785920
2003-07-17,360909280
2003-07-18,363230240
2003-07-21,336539200
2003-07-22,358008080
2003-07-23,375415280
2003-07-24,367872160
2003-07-25,357427840
2003-07-28,362650000
2003-07-29,363810480
2003-07-30,369032640
2003-07-31,380637440
2003-08-01,394563200
2003-08-04,396303920
2003-08-05,385859600
2003-08-06,389921280
2003-08-07,383538640
2003-08-08,381797920
2003-08-11,375415280
2003-08-12,381217680
2003-08-13,380057200
2003-08-14,388760800
2003-08-15,386439840
2003-08-18,398044640
2003-08-19,409069200
2003-08-20,409069200
2003-08-21,410809920
2003-08-22,406168000
2003-08-25,410809920
2003-08-26,414871600
2003-08-27,411390160
2003-08-28,404427280
2003-08-29,420674000
2003-09-02,437500960
2003-09-03,436340480
2003-09-04,454908160
2003-09-05,454327920
2003-09-08,458389600
2003-09-09,461290800
2003-09-10,456068640
2003-09-11,462451280
2003-09-12,467093200
2003-09-15,471735120
2003-09-16,486241120
2003-09-17,487401600
2003-09-18,490883040
2003-09-19,485080639
2003-09-22,490302799
2003-09-23,504228560
2003-09-24,497845920
2003-09-25,475216560
2003-09-26,464192000
2003-09-29,456648880
2003-09-30,461093040
2003-10-01,483470480
2003-10-02,483470480
2003-10-03,488770400
2003-10-06,482292720
2003-10-07,484059360
2003-10-08,482292720
2003-10-09,486414880
2003-10-10,482881599
2003-10-13,488770400
2003-10-14,487003760
2003-10-15,486414880
2003-10-16,485237120
2003-10-17,486414880
2003-10-20,489359280
2003-10-21,472281760
2003-10-22,469337360
2003-10-23,466392960
2003-10-24,464037440
2003-10-27,467570720
2003-10-28,471692880
2003-10-29,474048400
2003-10-30,479937200
2003-10-31,486414880
2003-11-03,504081280
2003-11-04,509381200
2003-11-05,514681120
2003-11-06,513503360
2003-11-07,514681120
2003-11-10,477581679
2003-11-11,483470480
2003-11-12,485826000
2003-11-13,488770400
2003-11-14,482292720
2003-11-17,481703840
2003-11-18,480526080
2003-11-19,481114960
2003-11-20,477581679
2003-11-21,480526080
2003-11-24,497603599
2003-11-25,500548000
2003-11-26,509381200
2003-11-28,500548000
2003-12-01,505847920
2003-12-02,505259040
2003-12-03,495248080
2003-12-04,514681120
2003-12-05,499370240
2003-12-08,515858880
2003-12-09,503492400
2003-12-10,497603599
2003-12-11,511147840
2003-12-12,524103200
2003-12-15,502903519
2003-12-16,498781360
2003-12-17,502314639
2003-12-18,518214400
2003-12-19,515270000
2003-12-22,521747679
2003-12-23,522925440
2003-12-24,514681120
2003-12-26,511736720
2003-12-29,515270000
2003-12-30,503492400
2003-12-31,498781360
2004-01-02,501725760
2004-01-05,499959120
2004-01-06,494070320
2004-01-07,495248080
2004-01-08,495836960
2004-01-09,487003760
2004-01-12,531758639
2004-01-13,522925440
2004-01-14,529992000
2004-01-15,529992000
2004-01-16,521158800
2004-01-20,529992000
2004-01-21,519392160
2004-01-22,521747679
2004-01-23,522336559
2004-01-26,523514320
2004-01-27,524103200
2004-01-28,521747679
2004-01-29,520569920
2004-01-30,524103200
2004-02-02,524103200
2004-02-03,528225360
2004-02-04,524103200
2004-02-05,524692080
2004-02-06,524692080
2004-02-09,524103200
2004-02-10,549425040
2004-02-11,548247280
2004-02-12,542947360
2004-02-13,532347519
2004-02-17,533525280
2004-02-18,537647440
2004-02-19,536469679
2004-02-20,534703040
2004-02-23,537647440
2004-02-24,538825200
2004-02-25,539414080
2004-02-26,539414080
2004-02-27,542947360
2004-03-01,540591840
2004-03-02,537647440
2004-03-03,542358480
2004-03-04,548836160
2004-03-05,558258240
2004-03-08,542947360
2004-03-09,547069520
2004-03-10,541180720
2004-03-11,535880800
2004-03-12,535291920
2004-03-15,530580880
2004-03-16,508792320
2004-03-17,528225360
2004-03-18,525869840
2004-03-19,529403120
2004-03-22,526458720
2004-03-23,532347519
2004-03-24,529992000
2004-03-25,534114160
2004-03-26,531758639
2004-03-29,542358480
2004-03-30,553547200
2004-03-31,559504000
2004-04-01,560102400
2004-04-02,571472000
2004-04-05,572070400
2004-04-06,570275200
2004-04-07,576259200
2004-04-08,580448000
2004-04-12,579251200
2004-04-13,584636800
2004-04-14,584636800
2004-04-15,585235200
2004-04-16,583440000
2004-04-19,583440000
2004-04-20,586432000
2004-04-21,589424000
2004-04-22,588825600
2004-04-23,585833600
2004-04-26,585833600
2004-04-27,587030400
2004-04-28,584038400
2004-04-29,579849600
2004-04-30,580448000
2004-05-03,579849600
2004-05-04,581046400
2004-05-05,579849600
2004-05-06,580448000
2004-05-07,576259200
2004-05-10,565488000
2004-05-11,564291200
2004-05-12,576857600
2004-05-13,568480000
2004-05-14,561897600
2004-05-17,556512000
2004-05-18,554118400
2004-05-19,559504000
2004-05-20,559504000
2004-05-21,561897600
2004-05-24,561299200
2004-05-25,572668800
2004-05-26,570873600
2004-05-27,567283200
2004-05-28,568480000
2004-06-01,565488000
2004-06-02,568480000
2004-06-03,564889600
2004-06-04,560700800
2004-06-07,561299200
2004-06-08,557708800
2004-06-09,561299200
2004-06-10,563094400
2004-06-14,567283200
2004-06-15,579849600
2004-06-16,584636800
2004-06-17,595408000
2004-06-18,600195200
2004-06-21,597801600
2004-06-22,604982400
2004-06-23,613360000
2004-06-24,633705600
2004-06-25,594809600
2004-06-28,608572800
2004-06-29,619344000
2004-06-30,638439520
2004-07-01,649904880
2004-07-02,643870480
2004-07-06,636025760
2004-07-07,631198240
2004-07-08,614301920
2004-07-09,625767280
2004-07-12,611284720
2004-07-13,612491600
2004-07-14,608870960
2004-07-15,611284720
2004-07-16,606457200
2004-07-19,597405600
2004-07-20,624560400
2004-07-21,599215920
2004-07-22,587750560
2004-07-23,585940240
2004-07-26,569043920
2004-07-27,575078320
2004-07-28,574474880
2004-07-29,578698960
2004-07-30,574474880
2004-08-02,577492080
2004-08-03,578095520
2004-08-04,583526480
2004-08-05,569043920
2004-08-06,557578560
2004-08-09,555768240
2004-08-10,562406080
2004-08-11,565423280
2004-08-12,552147600
2004-08-13,557578560
2004-08-16,563612960
2004-08-17,560595760
2004-08-18,565423280
2004-08-19,576285200
2004-08-20,590767760
2004-08-23,581112720
2004-08-24,591974640
2004-08-25,594388400
2004-08-26,590164320
2004-08-27,601629680
2004-08-30,598009040
2004-08-31,603440000
2004-09-01,607060640
2004-09-02,603440000
2004-09-03,596198720
2004-09-07,603440000
2004-09-08,602836560
2004-09-09,603440000
2004-09-10,604043440
2004-09-13,603440000
2004-09-14,597405600
2004-09-15,596198720
2004-09-16,599215920
2004-09-17,593784960
2004-09-20,596802160
2004-09-21,601629680
2004-09-22,588957440
2004-09-23,588957440
2004-09-24,588354000
2004-09-27,581716160
2004-09-28,608267520
2004-09-29,620336320
2004-09-30,639254700
2004-10-01,660093300
2004-10-04,682157700
2004-10-05,677867400
2004-10-06,682157700
2004-10-07,660706200
2004-10-08,652125600
2004-10-11,662544900
2004-10-12,665609400
2004-10-13,649674000
2004-10-14,628835400
2004-10-15,663770700
2004-10-18,654577200
2004-10-19,643545000
2004-10-20,639867600
2004-10-21,636190200
2004-10-22,625770900
2004-10-25,668673900
2004-10-26,685222200
2004-10-27,707899500
2004-10-28,714028500
2004-10-29,702383400
2004-11-01,706060800
2004-11-02,697480200
2004-11-03,704835000
2004-11-04,707286600
2004-11-05,702383400
2004-11-08,698093100
2004-11-09,702383400
2004-11-10,720157500
2004-11-11,717093000
2004-11-12,720157500
2004-11-15,714028500
2004-11-16,698093100
2004-11-17,710964000
2004-11-18,702996300
2004-11-19,700544700
2004-11-22,707899500
2004-11-23,707899500
2004-11-24,709125300
2004-11-26,704222100
2004-11-29,714641400
2004-11-30,716480100
2004-12-01,738544500
2004-12-02,723222000
2004-12-03,718931700
2004-12-06,723834900
2004-12-07,720157500
2004-12-08,726286500
2004-12-09,735480000
2004-12-10,729351000
2004-12-13,735480000
2004-12-14,735480000
2004-12-15,733641300
2004-12-16,717093000
2004-12-17,720157500
2004-12-20,707286600
2004-12-21,706673700
2004-12-22,706060800
2004-12-23,702383400
2004-12-27,678480300
2004-12-28,714641400
2004-12-29,766737900
2004-12-30,761221800
2004-12-31,767350800
2005-01-03,775318500
2005-01-04,781447500
2005-01-05,781447500
2005-01-06,780834600
2005-01-07,778383000
2005-01-10,789415200
2005-01-11,780221700
2005-01-12,785737800
2005-01-13,780221700
2005-01-14,778383000
2005-01-18,790028100
2005-01-19,798608700
2005-01-20,788189400
2005-01-21,794318400
2005-01-24,782673300
2005-01-25,785737800
