,FOSL
2001-07-27,588928852
2001-07-30,596475344
2001-07-31,603720007
2001-08-01,606738577
2001-08-02,612473955
2001-08-03,623642744
2001-08-06,625152029
2001-08-07,605229292
2001-08-08,614285069
2001-08-09,618812992
2001-08-10,612775784
2001-08-13,618812992
2001-08-14,638433900
2001-08-15,663790117
2001-08-16,665601300
2001-08-17,664092015
2001-08-20,671034780
2001-08-21,667110584
2001-08-22,658054807
2001-08-23,662582730
2001-08-24,662280832
2001-08-27,657149250
2001-08-28,651112042
2001-08-29,638132070
2001-08-30,619114890
2001-08-31,619114890
2001-09-04,626057655
2001-09-05,600701369
2001-09-06,595267889
2001-09-07,568100489
2001-09-10,544857284
2001-09-17,487503915
2001-09-18,481466707
2001-09-19,462147629
2001-09-20,463656982
2001-09-21,435282127
2001-09-24,467279280
2001-09-25,451280669
2001-09-26,455808592
2001-09-27,450677010
2001-09-28,474222044
2001-10-01,464864369
2001-10-02,467581109
2001-10-03,513162030
2001-10-04,503804355
2001-10-05,494748509
2001-10-08,503279550
2001-10-09,500559120
2001-10-10,528972515
2001-10-11,530181610
2001-10-12,531995184
2001-10-15,520206677
2001-10-16,544086000
2001-10-17,533506519
2001-10-18,526856632
2001-10-19,521718012
2001-10-22,553154077
2001-10-23,556176815
2001-10-24,559199484
2001-10-25,569778965
2001-10-26,570685752
2001-10-29,543179212
2001-10-30,539551927
2001-10-31,548317764
2001-11-01,543179212
2001-11-02,545295095
2001-11-05,543179212
2001-11-06,544388239
2001-11-07,542876904
2001-11-08,538947379
2001-11-09,552247290
2001-11-12,544992787
2001-11-13,572499395
2001-11-14,594565074
2001-11-15,616328514
2001-11-16,638091954
2001-11-19,642021480
2001-11-20,640812384
2001-11-21,646253244
2001-11-23,657437272
2001-11-26,659855394
2001-11-27,661366729
2001-11-28,643230575
2001-11-29,637789715
2001-11-30,657437272
2001-12-03,646857792
2001-12-04,649880530
2001-12-05,664994015
2001-12-06,671039422
2001-12-07,678596165
2001-12-10,679805260
2001-12-11,678596165
2001-12-12,681316595
2001-12-13,671643970
2001-12-14,677689309
2001-12-17,625698900
2001-12-18,640812384
2001-12-19,624792112
2001-12-20,621769374
2001-12-21,639905597
2001-12-24,634766977
2001-12-26,647764579
2001-12-27,651391865
2001-12-28,647160100
2001-12-31,634766977
2002-01-02,629326117
2002-01-03,628721569
2002-01-04,619955800
2002-01-07,634684777
2002-01-08,628925900
2002-01-09,621348487
2002-01-10,621348487
2002-01-11,629835236
2002-01-14,628925900
2002-01-15,630441369
2002-01-16,635594045
2002-01-17,631956906
2002-01-18,611043202
2002-01-22,604678191
2002-01-23,606799862
2002-01-24,613771074
2002-01-25,622560889
2002-01-28,667116100
2002-01-29,672874977
2002-01-30,681967860
2002-01-31,709852775
2002-02-01,717430188
2002-02-04,699850557
