,FDS
2001-07-16,1152214050
2001-07-17,1187864850
2001-07-18,1163602500
2001-07-19,1168058850
2001-07-20,1154194650
2001-07-23,1092796050
2001-07-24,1102699050
2001-07-25,1089330000
2001-07-26,1088834850
2001-07-27,1078931850
2001-07-30,1085863950
2001-07-31,1094281500
2001-08-01,1053184050
2001-08-02,1075960950
2001-08-03,1032387750
2001-08-06,1007630250
2001-08-07,1007630250
2001-08-08,1057145250
2001-08-09,1065067650
2001-08-10,1055164649
2001-08-13,1022979900
2001-08-14,1039319849
2001-08-15,1032882900
2001-08-16,1031397449
2001-08-17,989804849
2001-08-20,923949900
2001-08-21,767482500
2001-08-22,838288950
2001-08-23,841259849
2001-08-24,849182249
2001-08-27,850172550
2001-08-28,852153150
2001-08-29,838288950
2001-08-30,840269550
2001-08-31,849072899
2001-09-04,857613870
2001-09-05,841034339
2001-09-06,797324670
2001-09-07,803353590
2001-09-10,782252370
2001-09-17,676746270
2001-09-18,616457070
2001-09-19,722967990
2001-09-20,739045110
2001-09-21,777228270
2001-09-24,767180070
2001-09-25,781247550
2001-09-26,794310210
2001-09-27,813904200
2001-09-28,812396970
2001-10-01,773711400
2001-10-02,817421070
2001-10-03,879217500
2001-10-04,904338000
2001-10-05,903835589
2001-10-08,881227140
2001-10-09,866657250
2001-10-10,894289800
2001-10-11,945033209
2001-10-12,916898250
2001-10-15,942018750
2001-10-16,952066950
2001-10-17,937999470
2001-10-18,924434399
2001-10-19,915893430
2001-10-22,923931990
2001-10-23,882734370
2001-10-24,916898250
2001-10-25,954076589
2001-10-26,956086230
2001-10-29,911874149
2001-10-30,830483730
2001-10-31,828976500
2001-11-01,837517470
2001-11-02,861633149
2001-11-05,855604230
2001-11-06,877710270
2001-11-07,892782570
2001-11-08,886251240
2001-11-09,891275339
2001-11-12,884744010
2001-11-13,919410300
2001-11-14,971660940
2001-11-15,981709140
2001-11-16,956086230
2001-11-19,989747700
2001-11-20,998791080
2001-11-21,1005322410
2001-11-23,994771800
2001-11-26,1016375430
2001-11-27,1028433270
2001-11-28,997283850
2001-11-29,1006327230
2001-11-30,1005876809
2001-12-03,1002857670
2001-12-04,989774730
2001-12-05,1063743660
2001-12-06,1140731730
2001-12-07,1139725350
2001-12-10,1142241300
2001-12-11,1097457390
2001-12-12,1088903160
2001-12-13,1093431870
2001-12-14,1074310650
2001-12-17,1098463770
2001-12-18,1166897610
2001-12-19,1158846570
2001-12-20,1157337000
2001-12-21,1159852950
2001-12-24,1167400800
2001-12-26,1163878470
2001-12-27,1173942270
2001-12-28,1173942270
2001-12-31,1172432700
2002-01-02,1206146430
2002-01-03,1250427150
2002-01-04,1286656830
2002-01-07,1259484570
2002-01-08,1241369730
2002-01-09,1240363350
2002-01-10,1232815500
2002-01-11,1231305930
2002-01-14,1274580270
2002-01-15,1253446290
2002-01-16,1227783600
2002-01-17,1271561130
2002-01-18,1242879300
2002-01-22,1242376110
2002-01-23,1232815500
2002-01-24,1261497330
2002-01-25,1256465430
2002-01-28,1240866540
2002-01-29,1246401630
2002-01-30,1239356970
2002-01-31,1298230200
2002-02-01,1272064320
2002-02-04,1246401630
