,HOLX
2001-07-05,102755400
2001-07-06,101354190
2001-07-09,102599710
2001-07-10,102755400
2001-07-11,101198500
2001-07-12,101976950
2001-07-13,101821260
2001-07-16,101042810
2001-07-17,100887120
2001-07-18,100420050
2001-07-19,101198500
2001-07-20,101198500
2001-07-23,92791240
2001-07-24,93569690
2001-07-25,87186400
2001-07-26,90611580
2001-07-27,93414000
2001-07-30,89677440
2001-07-31,89988820
2001-08-01,93881070
2001-08-02,96683490
2001-08-03,98084700
2001-08-06,96216420
2001-08-07,98084700
2001-08-08,99797290
2001-08-09,96216420
2001-08-10,88743300
2001-08-13,80958800
2001-08-14,82515700
2001-08-15,81737250
2001-08-16,79401900
2001-08-17,78934830
2001-08-20,73952750
2001-08-21,72395850
2001-08-22,73952750
2001-08-23,75976720
2001-08-24,71928780
2001-08-27,72084470
2001-08-28,74731200
2001-08-29,82515700
2001-08-30,80803110
2001-08-31,96216420
2001-09-04,96839180
2001-09-05,96527800
2001-09-06,97617630
2001-09-07,98084700
2001-09-10,96683490
2001-09-17,93725380
2001-09-18,86407950
2001-09-19,86407950
2001-09-20,86407950
2001-09-21,82515700
2001-09-24,80958800
2001-09-25,80958800
2001-09-26,79713280
2001-09-27,79713280
2001-09-28,78623450
2001-10-01,81148450
2001-10-02,80345000
2001-10-03,86290530
2001-10-04,83558800
2001-10-05,85969150
2001-10-08,104287810
2001-10-09,104448500
2001-10-10,98502970
2001-10-11,100431250
2001-10-12,103645050
2001-10-15,94325030
2001-10-16,100431250
2001-10-17,106055400
2001-10-18,107180230
2001-10-19,100591940
2001-10-22,109269200
2001-10-23,112965070
2001-10-24,116500250
2001-10-25,114089900
2001-10-26,129355450
2001-10-29,124374060
2001-10-30,121963710
2001-10-31,143014100
2001-11-01,145424450
2001-11-02,149441700
2001-11-05,151048600
2001-11-06,175794860
2001-11-07,160690000
2001-11-08,160529310
2001-11-09,169367260
2001-11-12,168724500
2001-11-13,164867940
2001-11-14,169688640
2001-11-15,159404480
2001-11-16,161493450
2001-11-19,147352730
2001-11-20,153137570
2001-11-21,155065850
2001-11-23,163261040
2001-11-26,163100350
2001-11-27,172902440
2001-11-28,171456230
2001-11-29,176759000
2001-11-30,173545200
2001-12-03,173866580
2001-12-04,171777610
2001-12-05,174991410
2001-12-06,171938300
2001-12-07,168724500
2001-12-10,160850690
2001-12-11,159886550
2001-12-12,167599670
2001-12-13,156994130
2001-12-14,148638250
2001-12-17,156512060
2001-12-18,159886550
2001-12-19,160690000
2001-12-20,159083100
2001-12-21,157476200
2001-12-24,160368620
2001-12-26,159886550
2001-12-27,158279650
2001-12-28,160207930
2001-12-31,176017629
2002-01-02,185680600
2002-01-03,189470000
2002-01-04,202732900
2002-01-07,202922370
2002-01-08,201027670
2002-01-09,200838200
2002-01-10,226227180
2002-01-11,230395520
2002-01-14,251805629
2002-01-15,260521250
2002-01-16,276626200
2002-01-17,261468600
2002-01-18,256731850
2002-01-22,256542379
2002-01-23,259194960
2002-01-24,262984360
2002-01-25,276247260
2002-01-28,274542030
2002-01-29,262037010
2002-01-30,251995100
2002-01-31,247258350
2002-02-01,265258000
2002-02-04,249153050
2002-02-05,253889800
2002-02-06,251047750
2002-02-07,257489730
2002-02-08,254647680
2002-02-11,249342520
2002-02-12,245363650
2002-02-13,240437430
2002-02-14,247068879
2002-02-15,241953190
2002-02-19,230206050
2002-02-20,231153400
2002-02-21,242521600
2002-02-22,250100400
2002-02-25,251047750
2002-02-26,249153050
2002-02-27,249342520
2002-02-28,242142660
2002-03-01,239679550
2002-03-04,245932060
2002-03-05,237784850
2002-03-06,248205700
2002-03-07,241574250
2002-03-08,246311000
2002-03-11,245363650
2002-03-12,248205700
2002-03-13,246311000
2002-03-14,242521600
2002-03-15,246689940
2002-03-18,273405210
2002-03-19,297278430
2002-03-20,297467900
2002-03-21,292162740
2002-03-22,290078570
2002-03-25,284205000
2002-03-26,284015530
2002-03-27,300878360
2002-03-28,292731150
2002-04-01,302912610
2002-04-02,299253780
2002-04-03,300409200
2002-04-04,283270470
2002-04-05,260547210
2002-04-08,268442580
2002-04-09,282115050
2002-04-10,299831490
2002-04-11,285003600
2002-04-12,296750370
2002-04-15,300409200
2002-04-16,302720040
2002-04-17,316007370
2002-04-18,300024060
2002-04-19,303490320
2002-04-22,308112000
2002-04-23,304260600
2002-04-24,308112000
2002-04-25,307149150
2002-04-26,305030880
2002-04-29,316585080
2002-04-30,312541110
2002-05-01,309845130
2002-05-02,334879230
2002-05-03,328716990
2002-05-06,311578260
2002-05-07,310615410
2002-05-08,315814800
2002-05-09,308882280
2002-05-10,310230270
2002-05-13,308112000
2002-05-14,315622230
2002-05-15,316777650
2002-05-16,320051340
2002-05-17,327369000
2002-05-20,321591900
2002-05-21,319666200
2002-05-22,321977040
2002-05-23,314081670
2002-05-24,333146100
2002-05-28,327369000
2002-05-29,327369000
2002-05-30,325443300
2002-05-31,317740500
2002-06-03,292706400
2002-06-04,275952810
2002-06-05,281922480
2002-06-06,278263650
2002-06-07,293091540
2002-06-10,242638200
2002-06-11,260354640
2002-06-12,254962680
2002-06-13,242638200
2002-06-14,257658660
2002-06-17,262280339
2002-06-18,260547210
2002-06-19,253422120
2002-06-20,262665480
2002-06-21,285003600
2002-06-24,259969500
2002-06-25,273064260
2002-06-26,270175710
2002-06-27,278841360
2002-06-28,278648790
2002-07-01,282740000
2002-07-02,270713000
2002-07-03,253200000
2002-07-05,254255000
2002-07-08,245181999
2002-07-09,221761000
2002-07-10,220917000
2002-07-11,264172000
2002-07-12,267548000
2002-07-15,265649000
2002-07-16,266704000
2002-07-17,244127000
2002-07-18,251090000
2002-07-19,236531000
2002-07-22,226825000
2002-07-23,205936000
2002-07-24,230412000
2002-07-25,261006999
2002-07-26,253833000
2002-07-29,261640000
2002-07-30,271979000
2002-07-31,269869000
2002-08-01,232100000
2002-08-02,204881000
2002-08-05,192010000
2002-08-06,186735000
2002-08-07,189900000
2002-08-08,196652000
2002-08-09,211000000
2002-08-12,209312000
2002-08-13,208890000
2002-08-14,207624000
2002-08-15,205725000
2002-08-16,213954000
2002-08-19,216275000
2002-08-20,211000000
2002-08-21,216486000
2002-08-22,224504000
2002-08-23,220494999
2002-08-26,228302000
2002-08-27,213954000
2002-08-28,214587000
2002-08-29,219651000
2002-08-30,226825000
2002-09-03,216275000
2002-09-04,226192000
2002-09-05,219440000
2002-09-06,222393999
2002-09-09,220494999
2002-09-10,226825000
2002-09-11,220706000
2002-09-12,214376000
2002-09-13,211000000
2002-09-16,205725000
2002-09-17,200450000
2002-09-18,195808000
2002-09-19,185680000
2002-09-20,195175000
2002-09-23,193065000
2002-09-24,186735000
2002-09-25,195175000
2002-09-26,185891000
2002-09-27,207835000
2002-09-30,190855000
2002-10-01,206045500
2002-10-02,203513750
2002-10-03,231363000
2002-10-04,228636500
2002-10-07,223767750
2002-10-08,214225000
2002-10-09,216172500
2002-10-10,228052250
2002-10-11,217146250
2002-10-14,224352000
2002-10-15,235258000
2002-10-16,234673750
2002-10-17,243632250
2002-10-18,237595000
2002-10-21,235063250
2002-10-22,239542500
2002-10-23,241100500
2002-10-24,246358750
2002-10-25,247332500
2002-10-28,239542500
2002-10-29,238374000
2002-10-30,239542500
2002-10-31,240711000
2002-11-01,251811750
2002-11-04,265833750
2002-11-05,255122500
2002-11-06,257264750
2002-11-07,258238500
2002-11-08,241684750
2002-11-11,241684750
2002-11-12,253953999
2002-11-13,243437500
2002-11-14,247722000
2002-11-15,258043750
2002-11-18,262133500
2002-11-19,257654250
2002-11-20,269923500
2002-11-21,274987000
2002-11-22,275766000
2002-11-25,263107250
2002-11-26,263107250
2002-11-27,268170750
2002-11-29,267976000
2002-12-02,276545000
2002-12-03,270897250
2002-12-04,266028500
2002-12-05,267197000
2002-12-06,269339250
2002-12-09,262523000
2002-12-10,257849000
2002-12-11,262717750
2002-12-12,259991250
2002-12-13,252006500
2002-12-16,245774499
2002-12-17,244606000
2002-12-18,239932000
2002-12-19,238374000
2002-12-20,241295250
2002-12-23,238568750
2002-12-24,237400250
2002-12-26,247916750
2002-12-27,248501000
2002-12-30,240442400
2002-12-31,239071800
2003-01-02,244945800
2003-01-03,243379400
2003-01-06,254540000
2003-01-07,240834000
2003-01-08,238876000
2003-01-09,241421400
2003-01-10,235155800
2003-01-13,236134800
2003-01-14,234764200
2003-01-15,234372600
2003-01-16,217338000
2003-01-17,209114400
2003-01-21,203240400
2003-01-22,198149599
2003-01-23,198149599
2003-01-24,195800000
2003-01-27,186989000
2003-01-28,191688199
2003-01-29,190513400
2003-01-30,192863000
2003-01-31,194037800
2003-02-03,190709200
2003-02-04,152919800
2003-02-05,158402200
2003-02-06,158793800
2003-02-07,158402200
2003-02-10,154486200
2003-02-11,150570200
2003-02-12,152724000
2003-02-13,146850000
2003-02-14,150374400
2003-02-18,151745000
2003-02-19,148024800
2003-02-20,149003800
2003-02-21,148808000
2003-02-24,147829000
2003-02-25,146850000
2003-02-26,143913000
2003-02-27,140780200
2003-02-28,141563400
2003-03-03,143129800
2003-03-04,145479400
2003-03-05,149591200
2003-03-06,151549200
2003-03-07,156640000
2003-03-10,156248400
2003-03-11,156052600
2003-03-12,159185400
2003-03-13,160556000
2003-03-14,163493000
2003-03-17,171716600
2003-03-18,177394800
2003-03-19,181702400
2003-03-20,179352800
2003-03-21,170150200
2003-03-24,162905600
2003-03-25,165646800
2003-03-26,166430000
2003-03-27,167604800
2003-03-28,172304000
2003-03-31,169238160
2003-04-01,172383120
2003-04-02,172776239
2003-04-03,167076000
2003-04-04,167076000
2003-04-07,170220960
2003-04-08,169238160
2003-04-09,170810640
2003-04-10,178673040
2003-04-11,177886800
2003-04-14,181031760
2003-04-15,181818000
2003-04-16,176117760
2003-04-17,176510880
2003-04-21,173365920
2003-04-22,176904000
2003-04-23,176904000
2003-04-24,176904000
2003-04-25,175921200
2003-04-28,176904000
2003-04-29,176314320
2003-04-30,176904000
2003-05-01,175724640
2003-05-02,176904000
2003-05-05,177690239
2003-05-06,176707440
2003-05-07,192039120
2003-05-08,188107920
2003-05-09,187714800
2003-05-12,185159520
2003-05-13,183193920
2003-05-14,184373280
2003-05-15,196363440
2003-05-16,196166880
2003-05-19,194594400
2003-05-20,198525600
2003-05-21,203832719
2003-05-22,217198800
2003-05-23,219557520
2003-05-27,226437120
2003-05-28,233709840
2003-05-29,238427280
2003-05-30,245896560
2003-06-02,234102960
2003-06-03,230368320
2003-06-04,239606640
2003-06-05,246486239
2003-06-06,248648400
2003-06-09,244717200
2003-06-10,255921120
2003-06-11,254545200
2003-06-12,266535360
2003-06-13,261424800
2003-06-16,257297040
2003-06-17,252776160
2003-06-18,248648400
2003-06-19,238820400
2003-06-20,245700000
2003-06-23,238427280
2003-06-24,235282320
2003-06-25,236265120
2003-06-26,248058719
2003-06-27,251203680
2003-06-30,259221270
2003-07-01,259419300
2003-07-02,255062640
2003-07-03,257240970
2003-07-07,263973990
2003-07-08,272093220
2003-07-09,275261700
2003-07-10,257439000
2003-07-11,264568080
2003-07-14,259419300
2003-07-15,261993690
2003-07-16,266350350
2003-07-17,261993690
2003-07-18,266944440
2003-07-21,265360200
2003-07-22,280608510
2003-07-23,291104100
2003-07-24,287341530
2003-07-25,293480460
2003-07-28,289915920
2003-07-29,286747440
2003-07-30,277043970
2003-07-31,277242000
2003-08-01,272885340
2003-08-04,262983840
2003-08-05,267340500
2003-08-06,270310950
2003-08-07,262785810
2003-08-08,283380930
2003-08-11,300411510
2003-08-12,318630270
2003-08-13,316848000
2003-08-14,320808600
2003-08-15,314867700
2003-08-18,323184960
2003-08-19,318828300
2003-08-20,326749500
2003-08-21,324967230
2003-08-22,315857850
2003-08-25,315857850
2003-08-26,316848000
2003-08-27,314273610
2003-08-28,324967230
2003-08-29,324571170
2003-09-02,331106160
2003-09-03,324175110
2003-09-04,320808600
2003-09-05,315857850
2003-09-08,316848000
2003-09-09,315857850
2003-09-10,312491340
2003-09-11,307738620
2003-09-12,303381960
2003-09-15,308926800
2003-09-16,307540590
2003-09-17,304966200
2003-09-18,310313010
2003-09-19,306748470
2003-09-22,295658790
2003-09-23,300609540
2003-09-24,280212450
2003-09-25,276053820
2003-09-26,269716860
2003-09-29,262324270
2003-09-30,271714400
2003-10-01,265720700
2003-10-02,269117130
2003-10-03,278507260
2003-10-06,285499910
2003-10-07,283302220
2003-10-08,284900540
2003-10-09,285100330
2003-10-10,286698650
2003-10-13,286299070
2003-10-14,283302220
2003-10-15,282702850
2003-10-16,282702850
2003-10-17,274711250
2003-10-20,278107680
2003-10-21,279506210
2003-10-22,257928890
2003-10-23,255331620
2003-10-24,259327420
2003-10-27,263323220
2003-10-28,273112930
2003-10-29,279706000
2003-10-30,274311670
2003-10-31,271714400
2003-11-03,281304320
2003-11-04,281903690
2003-11-05,279905790
2003-11-06,284700750
2003-11-07,287298020
2003-11-10,278307470
2003-11-11,268917340
2003-11-12,301682900
2003-11-13,308675550
2003-11-14,306078280
2003-11-17,301682900
2003-11-18,293115904
2003-11-19,299884790
2003-11-20,284500960
2003-11-21,278507260
2003-11-24,288896340
2003-11-25,306677650
2003-11-26,303680800
2003-11-28,300484160
2003-12-01,311073030
2003-12-02,309874290
2003-12-03,308875340
2003-12-04,310473660
2003-12-05,319664000
2003-12-08,317865890
2003-12-09,311672400
2003-12-10,313670300
2003-12-11,331651400
2003-12-12,344637750
2003-12-15,343638800
2003-12-16,325058330
2003-12-17,333849090
2003-12-18,337245520
2003-12-19,338044680
2003-12-22,339643000
2003-12-23,346835440
2003-12-24,342839640
2003-12-26,341640900
2003-12-29,353894610
2003-12-30,353692500
2003-12-31,348639750
2004-01-02,356522040
2004-01-05,358947360
2004-01-06,363798000
2004-01-07,370871850
2004-01-08,366021210
2004-01-09,362787450
2004-01-12,363393780
2004-01-13,358543139
2004-01-14,362787450
2004-01-15,357330480
2004-01-16,367840200
2004-01-20,360588493
2004-01-21,368850750
2004-01-22,361170570
2004-01-23,362181120
2004-01-26,358745250
2004-01-27,352479840
2004-01-28,351065070
2004-01-29,352681950
2004-01-30,354096720
2004-02-02,351453121
2004-02-03,384033253
2004-02-04,402198900
2004-02-05,393508170
2004-02-06,402198900
2004-02-09,401188350
2004-02-10,403209450
2004-02-11,404220000
2004-02-12,392295510
2004-02-13,389263860
2004-02-17,391689180
2004-02-18,390880740
2004-02-19,390072300
2004-02-20,399167250
2004-02-23,394720830
2004-02-24,396944040
2004-02-25,396337710
2004-02-26,393710280
2004-02-27,404220000
2004-03-01,401188350
2004-03-02,394720830
2004-03-03,407857980
2004-03-04,408892783
2004-03-05,408060090
2004-03-08,409272750
2004-03-09,409297003
2004-03-10,409272750
2004-03-11,408060090
2004-03-12,412910730
2004-03-15,390476520
2004-03-16,389061750
2004-03-17,399571470
2004-03-18,405836879
2004-03-19,390880740
2004-03-22,385221660
2004-03-23,389263860
2004-03-24,387040650
2004-03-25,393508170
2004-03-26,390880740
2004-03-29,409419490
2004-03-30,411048210
2004-03-31,412269750
2004-04-01,411251800
2004-04-02,418377450
2004-04-05,434461060
2004-04-06,428353360
2004-04-07,426928230
2004-04-08,427539000
2004-04-12,441383120
2004-04-13,448915950
2004-04-14,447083640
2004-04-15,451969800
2004-04-16,449323130
2004-04-19,465406740
2004-04-20,451969800
2004-04-21,468257000
2004-04-22,468053409
2004-04-23,463574430
2004-04-26,456245190
2004-04-27,460520580
2004-04-28,433646700
2004-04-29,411862570
2004-04-30,410233850
2004-05-03,410844620
2004-05-04,434053880
2004-05-05,428149770
2004-05-06,429167719
2004-05-07,408808719
2004-05-10,383359969
2004-05-11,390689210
2004-05-12,392725110
2004-05-13,386821000
2004-05-14,394557420
2004-05-17,388042540
2004-05-18,388856900
2004-05-19,388042540
2004-05-20,400054350
2004-05-21,402293840
2004-05-24,406772820
2004-05-25,417359500
2004-05-26,410437440
2004-05-27,418988219
2004-05-28,418581040
2004-06-01,424281560
2004-06-02,430592850
2004-06-03,426928230
2004-06-04,422856430
2004-06-07,427539000
2004-06-08,435275420
2004-06-09,433646700
2004-06-10,434053880
2004-06-14,431203620
2004-06-15,432628750
2004-06-16,437107730
2004-06-17,432221570
2004-06-18,433646700
2004-06-21,429982080
2004-06-22,437922090
2004-06-23,447898000
2004-06-24,441179530
2004-06-25,465406740
2004-06-28,451854980
2004-06-29,475820090
2004-06-30,476229750
2004-07-01,469470360
2004-07-02,468036550
2004-07-06,458204710
2004-07-07,459228860
2004-07-08,452264639
2004-07-09,446324570
2004-07-12,437721710
2004-07-13,436697560
2004-07-14,429118850
2004-07-15,429118850
2004-07-16,419082180
2004-07-19,426251230
2004-07-20,429217168
2004-07-21,414780750
2004-07-22,403515100
2004-07-23,397779860
2004-07-26,384670740
2004-07-27,408840680
2004-07-28,402286120
2004-07-29,404744080
2004-07-30,408021360
2004-08-02,407202040
2004-08-03,409864830
2004-08-04,404744080
2004-08-05,400032990
2004-08-06,368694000
2004-08-09,367874680
2004-08-10,380983800
2004-08-11,399418500
2004-08-12,401466800
2004-08-13,397575030
2004-08-16,397370200
2004-08-17,398189520
2004-08-18,400032990
2004-08-19,395936389
2004-08-20,398189520
2004-08-23,394502580
2004-08-24,391225300
2004-08-25,391634960
2004-08-26,390405980
2004-08-27,392249450
2004-08-30,380983800
2004-08-31,379345160
2004-09-01,389177000
2004-09-02,407406870
2004-09-03,399828160
2004-09-07,398394350
2004-09-08,394912240
2004-09-09,407202040
2004-09-10,407816530
2004-09-13,415395240
2004-09-14,418467690
2004-09-15,410888980
2004-09-16,418058030
2004-09-17,416829050
2004-09-20,406587550
2004-09-21,417443540
2004-09-22,387948020
2004-09-23,389177000
2004-09-24,390405980
2004-09-27,372471880
2004-09-28,391054180
2004-09-29,393944759
2004-09-30,397867690
2004-10-01,400551800
2004-10-04,416037050
2004-10-05,416656460
2004-10-06,412940000
2004-10-07,411701180
2004-10-08,403235910
2004-10-11,405920020
2004-10-12,408397660
2004-10-13,392499470
2004-10-14,395390050
2004-10-15,396628870
2004-10-18,398693570
2004-10-19,394357700
2004-10-20,402203560
2004-10-21,407158840
2004-10-22,400964740
2004-10-25,402822970
2004-10-26,405300610
2004-10-27,412940000
2004-10-28,415211170
2004-10-29,414591759
2004-11-01,410668830
2004-11-02,410049420
2004-11-03,420166450
2004-11-04,413146470
2004-11-05,412527060
2004-11-08,411701180
2004-11-09,404887670
2004-11-10,467035140
2004-11-11,482933330
2004-11-12,492430950
2004-11-15,501928570
2004-11-16,487888610
2004-11-17,487682140
2004-11-18,489333900
2004-11-19,474468060
2004-11-22,505438560
2004-11-23,498625050
2004-11-24,484998029
2004-11-26,495115060
2004-11-29,497592700
2004-11-30,515968529
2004-12-01,512665009
2004-12-02,514316770
2004-12-03,515968529
2004-12-06,506883850
2004-12-07,510806779
2004-12-08,514110300
2004-12-09,516587940
2004-12-10,550242550
2004-12-13,559120760
2004-12-14,573160720
2004-12-15,564901920
2004-12-16,559533700
2004-12-17,554991360
2004-12-20,543016100
2004-12-21,549210200
2004-12-22,580180700
2004-12-23,580180700
2004-12-27,595626510
2004-12-28,604711980
2004-12-29,591189420
2004-12-30,582103950
2004-12-31,580413630
2005-01-03,574708800
2005-01-04,544916910
2005-01-05,542170140
2005-01-06,541113690
2005-01-07,520407270
2005-01-10,554636250
2005-01-11,555270120
2005-01-12,566468490
2005-01-13,552312060
2005-01-14,562453980
2005-01-18,590555550
2005-01-19,592034580
2005-01-20,592879740
2005-01-21,618023250
2005-01-24,579779760
