,FRC
2012-04-27,6122480000
2012-04-30,6011460000
2012-05-01,6098820000
2012-05-02,6078800000
2012-05-03,6035119999
2012-05-04,5958680000
2012-05-07,5947760000
2012-05-08,5940480000
2012-05-09,5893160000
2012-05-10,5931380000
2012-05-11,6115200000
2012-05-14,6046040000
2012-05-15,5991440000
2012-05-16,6117020000
2012-05-17,6006000000
2012-05-18,5905900000
2012-05-21,5955040000
2012-05-22,6000540000
2012-05-23,5967780000
2012-05-24,5996900000
2012-05-25,5978700000
2012-05-29,5973240000
2012-05-30,5787600000
2012-05-31,5714800000
2012-06-01,5480020000
2012-06-04,5374460000
2012-06-05,5487300000
2012-06-06,5689320000
2012-06-07,5703880000
2012-06-08,5789420000
2012-06-11,5733000000
2012-06-12,5791240000
2012-06-13,5794880000
2012-06-14,5778500000
2012-06-15,5816720000
2012-06-18,5860400000
2012-06-19,5933200000
2012-06-20,6031480000
2012-06-21,5951400000
2012-06-22,5887700000
2012-06-25,5902260000
2012-06-26,5944119999
2012-06-27,5962320000
2012-06-28,6009640000
2012-06-29,6115200000
2012-07-02,6095180000
2012-07-03,6118840000
2012-07-05,6075160000
2012-07-06,6029660000
2012-07-09,6004180000
2012-07-10,5995080000
2012-07-11,5975060000
2012-07-12,5967780000
2012-07-13,6047859999
2012-07-16,6007820000
2012-07-17,6040580000
2012-07-18,5960500000
2012-07-19,5985980000
2012-07-20,5973240000
2012-07-23,5878599999
2012-07-24,5862220000
2012-07-25,5862220000
2012-07-26,5898619999
2012-07-27,5927740000
2012-07-30,5900440000
2012-07-31,5920460000
2012-08-01,5874960000
2012-08-02,5858580000
2012-08-03,5869500000
2012-08-06,5849480000
2012-08-07,5887700000
2012-08-08,5874960000
2012-08-09,5878599999
2012-08-10,5869500000
2012-08-13,5842200000
2012-08-14,5833099999
2012-08-15,5864040000
2012-08-16,5893160000
2012-08-17,5915000000
2012-08-20,5984160000
2012-08-21,6015099999
2012-08-22,5951400000
2012-08-23,5882240000
2012-08-24,5905900000
2012-08-27,5869500000
2012-08-28,5880420000
2012-08-29,5935020000
2012-08-30,5924099999
2012-08-31,5949580000
2012-09-04,5978700000
2012-09-05,5978700000
2012-09-06,6007820000
2012-09-07,6051500000
2012-09-10,5956859999
2012-09-11,5971420000
2012-09-12,6020560000
2012-09-13,6013280000
2012-09-14,6186180000
2012-09-17,6109740000
2012-09-18,6188000000
2012-09-19,6169800000
2012-09-20,6211660000
2012-09-21,6308119999
2012-09-24,6286280000
2012-09-25,6266260000
2012-09-26,6251700000
2012-09-27,6206200000
2012-09-28,6271720000
2012-10-01,6073340000
2012-10-02,6075160000
2012-10-03,6142500000
2012-10-04,6149780000
2012-10-05,6164340000
2012-10-08,6144320000
2012-10-09,6082440000
2012-10-10,6109740000
2012-10-11,6157060000
2012-10-12,6097000000
2012-10-15,6140680000
2012-10-16,6135220000
2012-10-17,6200740000
2012-10-18,6188000000
2012-10-19,6142500000
2012-10-22,6200740000
2012-10-23,6166160000
2012-10-24,6191640000
2012-10-25,6300840000
2012-10-26,6202560000
2012-10-31,6251700000
2012-11-01,6373640000
2012-11-02,6279000000
2012-11-05,6300840000
2012-11-06,6360900000
2012-11-07,6233500000
2012-11-08,6093359999
2012-11-09,6167980000
2012-11-12,6233500000
2012-11-13,6153420000
2012-11-14,6062420000
2012-11-15,5995080000
2012-11-16,6006000000
2012-11-19,6133400000
2012-11-20,6107920000
2012-11-21,6147960000
2012-11-23,6224400000
2012-11-26,6188000000
2012-11-27,6115200000
2012-11-28,6078800000
2012-11-29,6097000000
2012-11-30,6155240000
2012-12-03,6095180000
2012-12-04,5998720000
2012-12-05,6087900000
2012-12-06,6033300000
2012-12-07,6007820000
2012-12-10,5938660000
2012-12-11,5951400000
2012-12-12,5824000000
2012-12-13,5827640000
2012-12-14,5827640000
2012-12-17,5991440000
2012-12-18,6109740000
2012-12-19,6062420000
2012-12-20,6075160000
2012-12-21,6027840000
2012-12-24,5998720000
2012-12-26,5958680000
2012-12-27,5933200000
2012-12-28,5940480000
2012-12-31,5965960000
2013-01-02,6033300000
2013-01-03,6131580000
2013-01-04,6331780000
2013-01-07,6273540000
2013-01-08,6360900000
2013-01-09,6251700000
2013-01-10,6277180000
2013-01-11,6308119999
2013-01-14,6306300000
2013-01-15,6286280000
2013-01-16,6479200000
2013-01-17,6528340000
2013-01-18,6531980000
2013-01-22,6566560000
2013-01-23,6541080000
2013-01-24,6479200000
2013-01-25,6431880000
2013-01-28,6433700000
2013-01-29,6446440000
2013-01-30,6475560000
2013-01-31,6495580000
2013-02-01,6606599999
2013-02-04,6579300000
2013-02-05,6684859999
2013-02-06,6750380000
2013-02-07,6699420000
2013-02-08,6721260000
2013-02-11,6781320000
2013-02-12,6768580000
2013-02-13,6764940000
2013-02-14,6777680000
2013-02-15,6754020000
2013-02-19,6743099999
2013-02-20,6675760000
2013-02-21,6624800000
2013-02-22,6717619999
2013-02-25,6562920000
2013-02-26,6628440000
2013-02-27,6633900000
2013-02-28,6633900000
2013-03-01,6708520000
2013-03-04,6735820000
2013-03-05,6764940000
2013-03-06,6804980000
2013-03-07,6890520000
2013-03-08,6994260000
2013-03-11,6897800000
2013-03-12,6883240000
2013-03-13,6901440000
2013-03-14,6932380000
2013-03-15,6932380000
2013-03-18,6870500000
2013-03-19,6895980000
2013-03-20,6926920000
2013-03-21,6934200000
2013-03-22,6945119999
2013-03-25,6994260000
2013-03-26,6988800000
2013-03-27,7005180000
2013-03-28,7028840000
2013-04-01,6892340000
2013-04-02,6866859999
2013-04-03,6810440000
2013-04-04,6806800000
2013-04-05,6823180000
2013-04-08,6877780000
2013-04-09,7183540000
2013-04-10,7250880000
2013-04-11,7285460000
2013-04-12,7280000000
2013-04-15,6956040000
2013-04-16,6886880000
2013-04-17,6693960000
2013-04-18,6677580000
2013-04-19,6713980000
2013-04-22,6739460000
2013-04-23,6841380000
2013-04-24,6843200000
2013-04-25,6877780000
2013-04-26,6825000000
2013-04-29,6828640000
2013-04-30,6912359999
2013-05-01,6808619999
2013-05-02,6914180000
2013-05-03,6956040000
2013-05-06,6970599999
2013-05-07,7087080000
2013-05-08,7114380000
2013-05-09,7159880000
2013-05-10,7167160000
2013-05-13,7187180000
2013-05-14,7250880000
2013-05-15,7285460000
2013-05-16,7245420000
2013-05-17,7232680000
2013-05-20,7267260000
2013-05-21,7099820000
2013-05-22,7014280000
2013-05-23,6963320000
2013-05-24,7021560000
2013-05-28,6983340000
2013-05-29,6832280000
2013-05-30,6863220000
2013-05-31,6763119999
2013-06-03,6843200000
2013-06-04,6715800000
2013-06-05,6812260000
2013-06-06,6905080000
2013-06-07,6983340000
2013-06-10,7043400000
2013-06-11,6926920000
2013-06-12,6959680000
2013-06-13,7048859999
2013-06-14,7017920000
2013-06-17,7050680000
2013-06-18,7008820000
2013-06-19,6932380000
2013-06-20,6861400000
2013-06-21,6888700000
2013-06-24,6801340000
2013-06-25,6892340000
2013-06-26,6897800000
2013-06-27,6996080000
2013-06-28,7003359999
2013-07-01,7054320000
2013-07-02,7172619999
2013-07-03,7118020000
2013-07-05,6985160000
2013-07-08,7125300000
2013-07-09,7214480000
2013-07-10,7198099999
2013-07-11,7165340000
2013-07-12,7281820000
2013-07-15,7307300000
2013-07-16,7225400000
2013-07-17,7607599999
2013-07-18,7953400000
2013-07-19,7862400000
2013-07-22,7733180000
2013-07-23,7846020000
2013-07-24,7822359999
2013-07-25,7815080000
2013-07-26,7755020000
2013-07-29,7664020000
2013-07-30,7778680000
2013-07-31,7860580000
2013-08-01,8115380000
2013-08-02,8071700000
2013-08-05,8093540000
2013-08-06,8100820000
2013-08-07,8113560000
2013-08-08,8080800000
2013-08-09,8129940000
2013-08-12,8108099999
2013-08-13,8089900000
2013-08-14,8095359999
2013-08-15,8013460000
2013-08-16,7977060000
2013-08-19,7955220000
2013-08-20,8102640000
2013-08-21,8122660000
2013-08-22,8319220000
2013-08-23,8355619999
2013-08-26,8253700000
2013-08-27,7975240000
2013-08-28,8046220000
2013-08-29,8097180000
2013-08-30,8058960000
2013-09-03,8097180000
2013-09-04,8180900000
2013-09-05,8253700000
2013-09-06,8171800000
2013-09-09,8255520000
2013-09-10,8326500000
2013-09-11,8286460000
2013-09-12,8228220000
2013-09-13,8290099999
2013-09-16,8372000000
2013-09-17,8513960000
2013-09-18,8535800000
2013-09-19,8372000000
2013-09-20,8559460000
2013-09-23,8495760000
2013-09-24,8563099999
2013-09-25,8510320000
2013-09-26,8490300000
2013-09-27,8503040000
2013-09-30,8486660000
2013-10-01,8606780000
2013-10-02,8561280000
2013-10-03,8481200000
2013-10-04,8554000000
2013-10-07,8475740000
2013-10-08,8342880000
2013-10-09,8395660000
2013-10-10,8555820000
2013-10-11,8670480000
2013-10-14,8677760000
2013-10-15,8623160000
2013-10-16,8808800000
2013-10-17,8981700000
2013-10-18,9059960000
2013-10-21,9172800000
2013-10-22,9121840000
2013-10-23,9078160000
2013-10-24,9198280000
2013-10-25,9276540000
2013-10-28,9398480000
2013-10-29,9382100000
2013-10-30,9349340000
2013-10-31,9294740000
2013-11-01,9220120000
2013-11-04,9165520000
2013-11-05,9140040000
2013-11-06,9183720000
2013-11-07,9085440000
2013-11-08,9280180000
2013-11-11,9178260000
2013-11-12,9061780000
2013-11-13,8992620000
2013-11-14,9050860000
2013-11-15,8992620000
2013-11-18,8959860000
2013-11-19,8805160000
2013-11-20,8990800000
2013-11-21,9234680000
2013-11-22,9296560000
2013-11-25,9292920000
2013-11-26,9272900000
2013-11-27,9356620000
2013-11-29,9300200000
2013-12-02,9358440000
2013-12-03,9154600000
2013-12-04,9167340000
2013-12-05,9127300000
2013-12-06,9269260000
2013-12-09,9305660000
2013-12-10,9263800000
2013-12-11,9229220000
2013-12-12,9283820000
2013-12-13,9267440000
2013-12-16,9378460000
2013-12-17,9287460000
2013-12-18,9442160000
2013-12-19,9376640000
2013-12-20,9474920000
2013-12-23,9536800000
2013-12-24,9555000000
2013-12-26,9520420000
2013-12-27,9595040000
2013-12-30,9527700000
2013-12-31,9527700000
2014-01-02,9351160000
2014-01-03,9385740000
2014-01-06,9340240000
2014-01-07,9221940000
2014-01-08,9296560000
2014-01-09,9373000000
2014-01-10,9460360000
2014-01-13,9385740000
2014-01-14,9394840000
2014-01-15,9494940000
2014-01-16,9407580000
2014-01-17,9322040000
2014-01-21,9433060000
2014-01-22,9482200000
2014-01-23,9378460000
2014-01-24,9229220000
2014-01-27,8979880000
2014-01-28,8999900000
2014-01-29,8910720000
2014-01-30,8996260000
2014-01-31,8832460000
2014-02-03,8672300000
2014-02-04,8918000000
2014-02-05,8837920000
2014-02-06,8948940000
2014-02-07,8988980000
2014-02-10,8985340000
2014-02-11,9130940000
2014-02-12,9063600000
2014-02-13,8998080000
2014-02-14,9150960000
2014-02-18,9254700000
2014-02-19,9034480000
2014-02-20,9083620000
2014-02-21,9181900000
2014-02-24,9398480000
2014-02-25,9309300000
2014-02-26,9327500000
2014-02-27,9398480000
2014-02-28,9458540000
2014-03-03,9387560000
2014-03-04,9569560000
2014-03-05,9569560000
2014-03-06,9516780000
2014-03-07,9631440000
2014-03-10,9584120000
2014-03-11,9589580000
2014-03-12,9565920000
2014-03-13,9582300000
2014-03-14,9605960000
2014-03-17,9686040000
2014-03-18,9760660000
2014-03-19,9880780000
2014-03-20,10062780000
2014-03-21,10079160000
2014-03-24,10042760000
2014-03-25,9991800000
2014-03-26,9933560000
2014-03-27,9651460000
2014-03-28,9782500000
2014-03-31,9826180000
2014-04-01,9971780000
2014-04-02,9999080000
2014-04-03,9986340000
2014-04-04,9946300000
2014-04-07,9700600000
2014-04-08,9900800000
2014-04-09,9928100000
2014-04-10,9686040000
2014-04-11,9547720000
2014-04-14,9529520000
2014-04-15,9529520000
2014-04-16,9476740000
2014-04-17,9478560000
2014-04-21,9445800000
2014-04-22,9449440000
2014-04-23,9447620000
2014-04-24,9393020000
2014-04-25,9314760000
2014-04-28,9183720000
2014-04-29,9176440000
2014-04-30,9238320000
2014-05-01,9323860000
2014-05-02,9443980000
2014-05-05,9352980000
2014-05-06,9252880000
2014-05-07,9258340000
2014-05-08,9189180000
2014-05-09,9252880000
2014-05-12,9382100000
2014-05-13,9236500000
2014-05-14,9092720000
2014-05-15,9089080000
2014-05-16,9203740000
2014-05-19,9318400000
2014-05-20,9207380000
2014-05-21,9292920000
2014-05-22,9285640000
2014-05-23,9363900000
2014-05-27,9447620000
2014-05-28,9296560000
2014-05-29,9256520000
2014-05-30,9256520000
2014-06-02,9374820000
2014-06-03,9520420000
2014-06-04,9658740000
2014-06-05,9695140000
2014-06-06,9853480000
2014-06-09,9904440000
2014-06-10,9895340000
2014-06-11,9726080000
2014-06-12,9716980000
2014-06-13,9693320000
2014-06-16,9758840000
2014-06-17,9889880000
2014-06-18,9959040000
2014-06-19,9940840000
2014-06-20,9993620000
2014-06-23,10028200000
2014-06-24,9889880000
2014-06-25,9922640000
2014-06-26,10033660000
2014-06-27,9922640000
2014-06-30,10008180000
2014-07-01,10093720000
2014-07-02,10022740000
2014-07-03,10122840000
2014-07-07,10057320000
2014-07-08,9948120000
2014-07-09,9960860000
2014-07-10,9869860000
2014-07-11,9889880000
2014-07-14,9868040000
2014-07-15,10010000000
2014-07-16,8499400000
2014-07-17,8692320000
2014-07-18,8612240000
2014-07-21,8519420000
2014-07-22,8330140000
2014-07-23,8379280000
2014-07-24,8521240000
2014-07-25,8612240000
2014-07-28,8544900000
2014-07-29,8559460000
2014-07-30,8523060000
2014-07-31,8503040000
2014-08-01,8554000000
2014-08-04,8597680000
2014-08-05,8554000000
2014-08-06,8581300000
2014-08-07,8406580000
2014-08-08,8444800000
2014-08-11,8428420000
2014-08-12,8364720000
2014-08-13,8364720000
2014-08-14,8575840000
2014-08-15,8817900000
2014-08-18,8765120000
2014-08-19,8808800000
2014-08-20,8796060000
2014-08-21,8867040000
2014-08-22,8894340000
2014-08-25,8912540000
2014-08-26,8947120000
2014-08-27,8883420000
2014-08-28,8816080000
2014-08-29,8899800000
2014-09-02,8901620000
2014-09-03,8881600000
2014-09-04,8967140000
2014-09-05,9027200000
2014-09-08,9009000000
2014-09-09,8901620000
2014-09-10,8890700000
2014-09-11,8914360000
2014-09-12,8894340000
2014-09-15,8792420000
2014-09-16,8721440000
2014-09-17,8796060000
2014-09-18,8845200000
2014-09-19,8777860000
2014-09-22,8694140000
2014-09-23,8661380000
2014-09-24,8765120000
2014-09-25,8761480000
2014-09-26,9010820000
2014-09-29,9023560000
2014-09-30,8987160000
2014-10-01,8963500000
2014-10-02,8956220000
2014-10-03,9038120000
2014-10-06,8987160000
2014-10-07,8827000000
2014-10-08,8950760000
2014-10-09,8797880000
2014-10-10,8648640000
2014-10-13,8579480000
2014-10-14,8568560000
2014-10-15,8437520000
2014-10-16,8621340000
2014-10-17,8588580000
2014-10-20,8442980000
2014-10-21,8646820000
2014-10-22,8532160000
2014-10-23,8568560000
2014-10-24,8659560000
2014-10-27,8706880000
2014-10-28,8819720000
2014-10-29,8890700000
2014-10-30,8943480000
2014-10-31,9269260000
2014-11-03,9207380000
2014-11-04,9225580000
2014-11-05,9302020000
2014-11-06,9423960000
2014-11-07,9382100000
2014-11-10,9391200000
2014-11-11,9400300000
2014-11-12,9489480000
2014-11-13,9398480000
2014-11-14,9374820000
2014-11-17,9373000000
2014-11-18,9362080000
2014-11-19,9380280000
2014-11-20,9342060000
2014-11-21,9305660000
2014-11-24,9367540000
2014-11-25,9429420000
2014-11-26,9573200000
2014-11-28,9378460000
2014-12-01,9165520000
2014-12-02,9247420000
2014-12-03,9340240000
2014-12-04,9338420000
2014-12-05,9429420000
2014-12-08,9464000000
2014-12-09,9511320000
2014-12-10,9227400000
2014-12-11,9282000000
2014-12-12,9138220000
2014-12-15,9200100000
2014-12-16,9161880000
2014-12-17,9303840000
2014-12-18,9449440000
2014-12-19,9491300000
2014-12-22,9522240000
2014-12-23,9629620000
2014-12-24,9573200000
2014-12-26,9555000000
2014-12-29,9620520000
2014-12-30,9605960000
2014-12-31,9485840000
2015-01-02,9482200000
2015-01-05,9198280000
2015-01-06,8947120000
2015-01-07,9041760000
2015-01-08,9214660000
2015-01-09,9050860000
2015-01-12,8932560000
2015-01-13,8803340000
2015-01-14,8692320000
2015-01-15,8666840000
2015-01-16,8808800000
2015-01-20,8754200000
2015-01-21,8888880000
2015-01-22,9445800000
2015-01-23,9320220000
2015-01-26,9403940000
2015-01-27,9378460000
2015-01-28,9149140000
2015-01-29,9340240000
2015-01-30,9267440000
2015-02-02,9469460000
2015-02-03,9618700000
2015-02-04,9560460000
2015-02-05,9940840000
2015-02-06,10051860000
2015-02-09,10073700000
2015-02-10,10159240000
2015-02-11,10133760000
2015-02-12,10335780000
2015-02-13,10266620000
2015-02-17,10281180000
2015-02-18,10153780000
2015-02-19,10171980000
2015-02-20,10306660000
2015-02-23,10297560000
2015-02-24,10230220000
2015-02-25,10288460000
2015-02-26,10379460000
2015-02-27,10374000000
2015-03-02,10457720000
2015-03-03,10457720000
2015-03-04,10434060000
2015-03-05,10501400000
2015-03-06,10537800000
2015-03-09,10552360000
2015-03-10,10470460000
2015-03-11,10639720000
2015-03-12,10859940000
2015-03-13,10381280000
2015-03-16,10430420000
2015-03-17,10452260000
2015-03-18,10417680000
2015-03-19,10381280000
2015-03-20,10472280000
2015-03-23,10457720000
2015-03-24,10426780000
2015-03-25,10264800000
2015-03-26,10326680000
2015-03-27,10292100000
2015-03-30,10439520000
2015-03-31,10390380000
2015-04-01,10328500000
2015-04-02,10401300000
2015-04-06,10368540000
2015-04-07,10370360000
2015-04-08,10377640000
2015-04-09,10432240000
2015-04-10,10374000000
2015-04-13,10406760000
2015-04-14,10397660000
2015-04-15,10426780000
2015-04-16,10641540000
2015-04-17,10717980000
2015-04-20,10739820000
2015-04-21,10701600000
2015-04-22,10808980000
2015-04-23,10805340000
2015-04-24,10703420000
2015-04-27,10652460000
2015-04-28,10758020000
2015-04-29,10756200000
2015-04-30,10608780000
2015-05-01,10577840000
2015-05-04,10632440000
2015-05-05,10625160000
2015-05-06,10661560000
2015-05-07,10632440000
2015-05-08,10794420000
2015-05-11,10790780000
2015-05-12,10887240000
2015-05-13,10987340000
2015-05-14,11109280000
2015-05-15,10932740000
2015-05-18,11091080000
2015-05-19,11253060000
2015-05-20,11127480000
2015-05-21,11149320000
2015-05-22,11105640000
2015-05-26,11038300000
2015-05-27,11223940000
2015-05-28,11171160000
2015-05-29,11020100000
2015-06-01,10976420000
2015-06-02,11092900000
2015-06-03,11282180000
2015-06-04,11247600000
2015-06-05,11449620000
2015-06-08,11404120000
2015-06-09,11564280000
2015-06-10,11697140000
2015-06-11,11718980000
2015-06-12,11646180000
2015-06-15,11607960000
2015-06-16,11646180000
2015-06-17,11555180000
2015-06-18,11533340000
2015-06-19,11395020000
2015-06-22,11553360000
2015-06-23,11722620000
2015-06-24,11620700000
2015-06-25,11595220000
2015-06-26,11708060000
2015-06-29,11496940000
2015-06-30,11471460000
2015-07-01,11680760000
2015-07-02,11567920000
2015-07-06,11555180000
2015-07-07,11402300000
2015-07-08,11233040000
2015-07-09,11376820000
2015-07-10,11560640000
2015-07-13,11693500000
2015-07-14,11759020000
2015-07-15,11773580000
2015-07-16,11638900000
2015-07-17,11589760000
2015-07-20,11606140000
2015-07-21,11518780000
2015-07-22,11718980000
2015-07-23,11607960000
2015-07-24,11573380000
2015-07-27,11384100000
2015-07-28,11378640000
