,AAPL
2001-05-23,8101783048
2001-05-24,8091431703
2001-05-25,7937919301
2001-05-29,7487928747
2001-05-30,6898487996
2001-05-31,6957861750
2001-06-01,7285784553
2001-06-04,7205512801
2001-06-05,7303167001
2001-06-06,7229926351
2001-06-07,7554333603
2001-06-08,7435586096
2001-06-11,6989306402
2001-06-12,7083445051
2001-06-13,7139303253
2001-06-14,6933448200
2001-06-15,7128756600
2001-06-18,7090476153
2001-06-19,7041649053
2001-06-20,7557653846
2001-06-21,7843780652
2001-06-22,7763508900
2001-06-25,8366816547
2001-06-26,8283224552
2001-06-27,8140258803
2001-06-28,8209983902
2001-06-29,8108814151
2001-07-02,8384706097
2001-07-03,8363488442
2001-07-05,8135595121
2001-07-06,7728530498
2001-07-09,7963692831
2001-07-10,7416355940
2001-07-11,7907505340
2001-07-12,8545999560
2001-07-13,8717901850
2001-07-16,8405727291
2001-07-17,8805522902
2001-07-18,7293568590
2001-07-19,7002415225
2001-07-20,7009487777
2001-07-23,6855070405
2001-07-24,6697116758
2001-07-25,6479635804
2001-07-26,6521678192
2001-07-27,6651538094
2001-07-30,6641125727
2001-07-31,6592010787
2001-08-01,6686704391
2001-08-02,6953300285
2001-08-03,6840925302
2001-08-06,6711261861
2001-08-07,6753304250
2001-08-08,6630516900
2001-08-09,6683168115
2001-08-10,6672559288
2001-08-13,6697116758
2001-08-14,6570793132
2001-08-15,6469223437
2001-08-16,6542895847
2001-08-17,6339363535
2001-08-20,6356848454
2001-08-21,6286712320
2001-08-22,6388478475
2001-08-23,6248206207
2001-08-24,6514802101
2001-08-27,6637589451
2001-08-28,6455078334
2001-08-29,6255082298
2001-08-30,6255082298
2001-08-31,6507729550
2001-09-04,6402427118
2001-09-05,6507729550
2001-09-06,6216576185
2001-09-07,6062158814
2001-09-10,6093788835
2001-09-17,5960392658
2001-09-18,5711281682
2001-09-19,5971001485
2001-09-20,5500873280
2001-09-21,5518358198
2001-09-24,5771005450
2001-09-25,5451758340
2001-09-26,5315022347
2001-09-27,5441149512
2001-09-28,5441149512
2001-10-01,5459668200
2001-10-02,5287516500
2001-10-03,5262923400
2001-10-04,5579092293
2001-10-05,5670381880
2001-10-08,5691630319
2001-10-09,5621195680
2001-10-10,5909426812
2001-10-11,6232678519
2001-10-12,6327509512
2001-10-15,6320426700
2001-10-16,6327509512
2001-10-17,5969040487
2001-10-18,6323968106
2001-10-19,6429423319
2001-10-22,6682240387
2001-10-23,6373154306
2001-10-24,6657647287
2001-10-25,6742050806
2001-10-26,6559274887
2001-10-29,6193919793
2001-10-30,6183492319
2001-10-31,6169326693
2001-11-01,6531140380
2001-11-02,6524254312
2001-11-05,6699947419
2001-11-06,6875443780
2001-11-07,6882526593
2001-11-08,6573440512
2001-11-09,6573440512
2001-11-12,6587409393
2001-11-13,6805205887
2001-11-14,6889609406
2001-11-15,6833340393
2001-11-16,6664730100
2001-11-19,7026543787
2001-11-20,6861474900
2001-11-21,6914202506
2001-11-23,6970471519
2001-11-26,7507978312
2001-11-27,7377930000
2001-11-28,7212861112
2001-11-29,7174102387
2001-11-30,7483385212
2001-12-03,7395440287
2001-12-04,7869792000
2001-12-05,8347685119
2001-12-06,8003381719
2001-12-07,7918978200
2001-12-10,7918978200
2001-12-11,7651995506
2001-12-12,7550081700
2001-12-13,7377930000
2001-12-14,7163674912
2001-12-17,7244340280
2001-12-18,7381471406
2001-12-19,7595726493
2001-12-20,7262047312
2001-12-21,7377930000
2001-12-24,7504436906
2001-12-26,7550081700
2001-12-27,7753909312
2001-12-28,7880416219
2001-12-31,7741183721
2002-01-02,8236055721
2002-01-03,8335030121
2002-01-04,8374026035
2002-01-07,8094720278
2002-01-08,7992182800
2002-01-09,7652898556
2002-01-10,7504436956
2002-01-11,7440697443
2002-01-14,7476130278
2002-01-15,7670516000
2002-01-16,7345286121
2002-01-17,7946258678
2002-01-18,7836595043
2002-01-22,7712877043
2002-01-23,8137081321
2002-01-24,8204185964
2002-01-25,8218438278
2002-01-28,8225564435
2002-01-29,8154698764
2002-01-30,8515361478
2002-01-31,8738053878
2002-02-01,8628390243
2002-02-04,8960746278
2002-02-05,8995981164
2002-02-06,8720436435
2002-02-07,8589592278
2002-02-08,8494180956
2002-02-11,8829902121
2002-02-12,8734490800
2002-02-13,8840591356
2002-02-14,8695692835
2002-02-15,8448256835
2002-02-19,7995745878
2002-02-20,8176077235
2002-02-21,7599848278
2002-02-22,8038106921
2002-02-25,8416387078
2002-02-26,8366899878
2002-02-27,7762364243
2002-02-28,7670516000
2002-03-01,8289106000
2002-03-04,8586029200
2002-03-05,8317412678
2002-03-06,8508235321
2002-03-07,8617898956
2002-03-08,8716873356
2002-03-11,8858208800
2002-03-12,8738053878
2002-03-13,8656696921
2002-03-14,8635516400
2002-03-15,8819410835
2002-03-18,8745180035
2002-03-19,8783978000
2002-03-20,8808721600
2002-03-21,8578903043
2002-03-22,8515361478
2002-03-25,8253673164
2002-03-26,8292669078
2002-03-27,8296232156
2002-03-28,8366899878
2002-04-01,8716895728
2002-04-02,8577797390
2002-04-03,8463844519
2002-04-04,8873555980
2002-04-05,8816679328
2002-04-08,8752418690
2002-04-09,8588574019
2002-04-10,8788141219
2002-04-11,8859386709
2002-04-12,8930632200
2002-04-15,8909278509
2002-04-16,9172906780
2002-04-17,9304820700
2002-04-18,9055361700
2002-04-19,8902094090
2002-04-22,8741841628
2002-04-23,8642058028
2002-04-24,8470829371
2002-04-25,8595558871
2002-04-26,8200016680
2002-04-29,8538682219
2002-04-30,8649042880
2002-05-01,8545667071
2002-05-02,8442490828
2002-05-03,8378230190
2002-05-06,8071694971
2002-05-07,8007633900
2002-05-08,8684765409
2002-05-09,8620504771
2002-05-10,8310576909
2002-05-13,8531497800
2002-05-14,9126607190
2002-05-15,9009062109
2002-05-16,8984116209
2002-05-17,8912870719
2002-05-20,8816679328
2002-05-21,8360468709
2002-05-22,8667003928
2002-05-23,8973339580
2002-05-24,8606335500
2002-05-28,8545667071
2002-05-29,8545667071
2002-05-30,8624096980
2002-05-31,8303392490
2002-06-03,8164493719
2002-06-04,8118194128
2002-06-05,8096640871
2002-06-06,7897073671
2002-06-07,7626260980
2002-06-10,7654799090
2002-06-11,7291387219
2002-06-12,7159473300
2002-06-13,6963498309
2002-06-14,7163065509
2002-06-17,7319925328
2002-06-18,7180826990
2002-06-19,6100968871
2002-06-20,6097576228
2002-06-21,6004777480
2002-06-24,6154452880
2002-06-25,6108153290
2002-06-26,5898009028
2002-06-27,6079615180
2002-06-28,6314904909
2002-07-01,6119159889
2002-07-02,6076174720
2002-07-03,6294917009
2002-07-05,6721755729
2002-07-08,6460028270
2002-07-09,6287886725
2002-07-10,6212562245
2002-07-11,6564076485
2002-07-12,6277040000
2002-07-15,6538968325
2002-07-16,6406196375
2002-07-17,5606350830
2002-07-18,5376761815
2002-07-19,5365915089
2002-07-22,5351653655
2002-07-23,5190157969
2002-07-24,5452086295
2002-07-25,5150788375
2002-07-26,5143557224
2002-07-29,5387407674
2002-07-30,5534441059
2002-07-31,5473578880
2002-08-01,5308668485
2002-08-02,5183127685
2002-08-05,5018016424
2002-08-06,5286975034
2002-08-07,5391826711
2002-08-08,5487840314
2002-08-09,5380377390
2002-08-12,5376761815
2002-08-13,5233344005
2002-08-14,5441239569
2002-08-15,5599119680
2002-08-16,5670828584
2002-08-19,5731891630
2002-08-20,5706783470
2002-08-21,5782107950
2002-08-22,5728276055
2002-08-23,5642104849
2002-08-26,5570395944
2002-08-27,5326545495
2002-08-28,5272713600
2002-08-29,5272713600
2002-08-30,5290590609
2002-09-03,5039509009
2002-09-04,5193773544
2002-09-05,5086109754
2002-09-06,5158019525
2002-09-09,5154403950
2002-09-10,5139941649
2002-09-11,5125680215
2002-09-12,5071848320
2002-09-13,5082695045
2002-09-16,5201004695
2002-09-17,5308668485
2002-09-18,5387407674
2002-09-19,5229728430
2002-09-20,5333776645
2002-09-23,5326545495
2002-09-24,5251221015
2002-09-25,5355269230
2002-09-26,5272713600
2002-09-27,5279944750
2002-09-30,5206355224
2002-10-01,5209974519
2002-10-02,5087923863
2002-10-03,5134572549
2002-10-04,5037655883
2002-10-07,4944157440
2002-10-08,4914800940
2002-10-09,4882830505
2002-10-10,5069626318
2002-10-11,5209974519
2002-10-14,5303271890
2002-10-15,5443217946
2002-10-16,5227869920
2002-10-17,5066208096
2002-10-18,5148848655
2002-10-21,5227869920
2002-10-22,5278137900
2002-10-23,5342681986
2002-10-24,5274518605
2002-10-25,5536716389
2002-10-28,5604879770
2002-10-29,5543753906
2002-10-30,5737788309
2002-10-31,5769959816
2002-11-01,5874115070
2002-11-04,6064530179
2002-11-05,6068149473
2002-11-06,6182961540
2002-11-07,5744825826
2002-11-08,5687520329
2002-11-11,5443217946
2002-11-12,5615737653
2002-11-13,5597641180
2002-11-14,5852600375
2002-11-15,5726930425
2002-11-18,5619155876
2002-11-19,5482829114
2002-11-20,5576126485
2002-11-21,5870495776
2002-11-22,5748445120
2002-11-25,5734169014
2002-11-26,5533097094
2002-11-27,5644289866
2002-11-29,5565469673
2002-12-02,5450456535
2002-12-03,5443217946
2002-12-04,5375054565
2002-12-05,5253003910
2002-12-06,5367815976
2002-12-09,5296033300
2002-12-10,5486448409
2002-12-11,5561850379
2002-12-12,5454075830
2002-12-13,5310510479
2002-12-16,5332025174
2002-12-17,5414665733
2002-12-18,5231489214
2002-12-19,5098580675
2002-12-20,5077065980
2002-12-23,5202735930
2002-12-24,5156087244
2002-12-26,5170363350
2002-12-27,5048312695
2002-12-30,5051931989
2002-12-31,5165764021
2003-01-02,5335338517
2003-01-03,5371272160
2003-01-06,5371272160
2003-01-07,5353305339
2003-01-08,5245100660
2003-01-09,5291935521
2003-01-10,5306470478
2003-01-13,5273968700
2003-01-14,5266701221
2003-01-15,5201899539
2003-01-16,5270334960
2003-01-17,5082793643
2003-01-21,5054127478
2003-01-22,5003658878
2003-01-23,5108229817
2003-01-24,4974790839
2003-01-27,5093694860
2003-01-28,5256001878
2003-01-29,5382173378
2003-01-30,5162130282
2003-01-31,5176665239
2003-02-03,5284869917
2003-02-04,5263067482
2003-02-05,5209167017
2003-02-06,5201899539
2003-02-07,5100962339
2003-02-10,5173031500
2003-02-11,5173031500
2003-02-12,5187364582
2003-02-13,5241466921
2003-02-14,5288301782
2003-02-18,5504711139
2003-02-19,5353305339
2003-02-20,5324437300
2003-02-21,5407407678
2003-02-24,5313536082
2003-02-25,5414473282
2003-02-26,5227133839
2003-02-27,5356939078
2003-02-28,5411041417
2003-03-03,5281236178
2003-03-04,5248734400
2003-03-05,5270334960
2003-03-06,5248734400
2003-03-07,5237833182
2003-03-10,5180298978
2003-03-11,5129830378
2003-03-12,5126196639
2003-03-13,5306470478
2003-03-14,5328071039
2003-03-17,5411041417
2003-03-18,5407407678
2003-03-19,5389238982
2003-03-20,5374905900
2003-03-21,5407407678
2003-03-24,5180298978
2003-03-25,5245100660
2003-03-26,5194632060
2003-03-27,5223500100
2003-03-28,5252368139
2003-03-31,5101613020
2003-04-01,5108886606
2003-04-02,5267491209
2003-04-03,5216980189
2003-04-04,5198998266
2003-04-07,5227890570
2003-04-08,5213545440
2003-04-09,5119594943
2003-04-10,5184653136
2003-04-11,4762381009
2003-04-14,4899568940
2003-04-15,4831075996
2003-04-16,4776928183
2003-04-17,4733690750
2003-04-21,4740762293
2003-04-22,4874313430
2003-04-23,4899568940
2003-04-24,4849057920
2003-04-25,4816528823
2003-04-28,5000590980
2003-04-29,5072720716
2003-04-30,5130505323
2003-05-01,5181016343
2003-05-02,5213545440
2003-05-05,5805130506
2003-05-06,6313877500
2003-05-07,6368025313
2003-05-08,6494302863
2003-05-09,6602598490
2003-05-12,6696346943
2003-05-13,6735947583
2003-05-14,6692710150
2003-05-15,6757566299
2003-05-16,6782821809
2003-05-19,6530266709
2003-05-20,6418536333
2003-05-21,6440155050
2003-05-22,6580777729
2003-05-23,6609670033
2003-05-27,6811714113
2003-05-28,6595324903
2003-05-29,6530266709
2003-05-30,6476320940
2003-06-02,6295895576
2003-06-03,6245384556
2003-06-04,6350043390
2003-06-05,6364388520
2003-06-06,6187599950
2003-06-09,6057685606
2003-06-10,6198308286
2003-06-11,6295895576
2003-06-12,6411262746
2003-06-13,6284985196
2003-06-16,6591688110
2003-06-17,6562795806
2003-06-18,6898391023
2003-06-19,6905664610
2003-06-20,6927283326
2003-06-23,6876772306
2003-06-24,6775750266
2003-06-25,6887480643
2003-06-26,6959610379
2003-06-27,6757566299
2003-06-30,6903304049
2003-07-01,6914053700
2003-07-02,6979362899
2003-07-03,6928656999
2003-07-07,7196586975
2003-07-08,7388660924
2003-07-09,7203888624
2003-07-10,7091524350
2003-07-11,7189285325
2003-07-14,7207539449
2003-07-15,7102476824
2003-07-16,7196586975
2003-07-17,7569579575
2003-07-18,7554773452
2003-07-21,7464719774
2003-07-22,7533476974
2003-07-23,7529826150
2003-07-24,7428414350
2003-07-25,7801406950
2003-07-28,7602234175
2003-07-29,7504473200
2003-07-30,7345053850
2003-07-31,7634888774
2003-08-01,7508124024
2003-08-04,7681943849
2003-08-05,7381359274
2003-08-06,7109778474
2003-08-07,7218289100
2003-08-08,7113226475
2003-08-11,7120528125
2003-08-12,7135131424
2003-08-13,7308951249
2003-08-14,7232892399
2003-08-15,7138579425
2003-08-18,7366755975
2003-08-19,7359657149
2003-08-20,7609535824
2003-08-21,7852112850
2003-08-22,7562480749
2003-08-25,7555179100
2003-08-26,7623936300
2003-08-27,7779704825
2003-08-28,8036885150
2003-08-29,8189002850
2003-09-02,8276014174
2003-09-03,8312116775
2003-09-04,8268712524
2003-09-05,8149249424
2003-09-08,8236057925
2003-09-09,8101991525
2003-09-10,8033234325
2003-09-11,8170951549
2003-09-12,8366473500
2003-09-15,8044186799
2003-09-16,8098543524
2003-09-17,8011532200
2003-09-18,8286763825
2003-09-19,8178050375
2003-09-22,7997131724
2003-09-23,8123896474
2003-09-24,7721697275
2003-09-25,7399410575
2003-09-26,7493520725
2003-09-29,7714598449
2003-09-30,7509964000
2003-10-01,7535335500
2003-10-02,7455567504
2003-10-03,7861511504
2003-10-06,8079097488
2003-10-07,8416031008
2003-10-08,8358183988
2003-10-09,8499452500
2003-10-10,8582873992
2003-10-13,8825628504
2003-10-14,8898089508
2003-10-15,8995922012
2003-10-16,8426991496
2003-10-17,8245737500
2003-10-20,8416031008
2003-10-21,8401619996
2003-10-22,8249390996
2003-10-23,8332812488
2003-10-24,8191341004
2003-10-27,8191341004
2003-10-28,8597285004
2003-10-29,8586527488
2003-10-30,8368941504
2003-10-31,8296480500
2003-11-03,8390659508
2003-11-04,8303787491
2003-11-05,8347223500
2003-11-06,8379901992
2003-11-07,8155211988
2003-11-10,7937626003
2003-11-11,7807115008
2003-11-12,8093508500
2003-11-13,8126186992
2003-11-14,7778090012
2003-11-17,7658539504
2003-11-18,7397517512
2003-11-19,7401171008
2003-11-20,7384933248
2003-11-21,7350428008
2003-11-24,7665846496
2003-11-25,7495552988
2003-11-26,7509964000
2003-11-28,7578771508
2003-12-01,7868818496
2003-12-02,7807115008
2003-12-03,7622410488
2003-12-04,7665846496
2003-12-05,7557053504
2003-12-08,7629514508
2003-12-09,7412131496
2003-12-10,7386759995
2003-12-11,7687564499
2003-12-12,7571667488
2003-12-15,7310645496
2003-12-16,7292580988
2003-12-17,7205506000
2003-12-18,7263555992
2003-12-19,7140351988
2003-12-22,7194545512
2003-12-23,7180134500
2003-12-24,7397517512
2003-12-26,7531682004
2003-12-29,7665846496
2003-12-30,7712936000
2003-12-31,7807523845
2004-01-02,7774584160
2004-01-05,8099684534
2004-01-06,8070427546
2004-01-07,8253130274
2004-01-08,8534447464
2004-01-09,8402893316
2004-01-12,8669684310
2004-01-13,8812081956
2004-01-14,8841338944
2004-01-15,8348266633
2004-01-16,8300596156
2004-01-20,8304278854
2004-01-21,8260495670
2004-01-22,8103367232
2004-01-23,8242286775
2004-01-26,8406576014
2004-01-27,8428467606
2004-01-28,8227555984
2004-01-29,8286069960
2004-01-30,8242286775
2004-02-02,8154515812
2004-02-03,8132624220
2004-02-04,7960969585
2004-02-05,8191138195
2004-02-06,8297118053
2004-02-09,8281364290
2004-02-10,8395732515
2004-02-11,8695258600
2004-02-12,8669684310
2004-02-13,8402893316
2004-02-17,8461407292
2004-02-18,8498029675
2004-02-19,8209347090
2004-02-20,8183772800
2004-02-23,8107049930
2004-02-24,8169246603
2004-02-25,8333535842
2004-02-26,8417624107
2004-02-27,8739041784
2004-03-01,8775664167
2004-03-02,8698941297
2004-03-03,8739041784
2004-03-04,9192218203
2004-03-05,9769378780
2004-03-08,9499109683
2004-03-09,9900932927
2004-03-10,10112892643
2004-03-11,9919141822
2004-03-12,10068904864
2004-03-15,9663398922
2004-03-16,9433230312
2004-03-17,9568467157
2004-03-18,9378399034
2004-03-19,9447961103
2004-03-22,9447961103
2004-03-23,9239684085
2004-03-24,9316406955
2004-03-25,9816844662
2004-03-26,9879041335
2004-03-29,10196776314
2004-03-30,10200459012
2004-03-31,10140681923
2004-04-01,10166933533
2004-04-02,10313102498
2004-04-05,10620561354
2004-04-06,10436800084
2004-04-07,10241908131
2004-04-08,10324443193
2004-04-12,10515554914
2004-04-13,10099309386
2004-04-14,9990522714
2004-04-15,10988083894
2004-04-16,10943141138
2004-04-19,10631902050
2004-04-20,10399417791
2004-04-21,10399417791
2004-04-22,10418108938
2004-04-23,10388077096
2004-04-26,10174283984
2004-04-27,10103089618
2004-04-28,9919328348
2004-04-29,10039455715
2004-04-30,9668152943
2004-05-03,9776939615
2004-05-04,9803191225
2004-05-05,9994302946
2004-05-06,9968051336
2004-05-07,10001863410
2004-05-10,9855694445
2004-05-11,10178064216
2004-05-12,10238127900
2004-05-13,10196965375
2004-05-14,10148032374
2004-05-17,9990522714
2004-05-18,10148032374
2004-05-19,9926888811
2004-05-20,10016774324
2004-05-21,10166933533
2004-05-24,10253038814
2004-05-25,10654373428
2004-05-26,10691965733
2004-05-27,10564487915
2004-05-28,10523115378
2004-06-01,10523115378
2004-06-02,10845695161
2004-06-03,10650593196
2004-06-04,10793191941
2004-06-07,11179405628
2004-06-08,11381858044
2004-06-09,11325784605
2004-06-10,11528237021
2004-06-14,11295752763
2004-06-15,11509545875
2004-06-16,12278193016
2004-06-17,12304444626
2004-06-18,12342036931
2004-06-21,12124463588
2004-06-22,12375638992
2004-06-23,12638365105
2004-06-24,12443263140
2004-06-25,12638365105
2004-06-28,12184527271
2004-06-29,12188307503
2004-06-30,12480425996
2004-07-01,12388498650
2004-07-02,11920485360
2004-07-06,11870655583
2004-07-07,11655872063
2004-07-08,11559863829
2004-07-09,11517766260
2004-07-12,11176475246
2004-07-13,11207189290
2004-07-14,11345080309
2004-07-15,12630130110
2004-07-16,12350052399
2004-07-19,12261776373
2004-07-20,12350052399
2004-07-21,12127536673
2004-07-22,12150518509
2004-07-23,11774647349
2004-07-26,11989430869
2004-07-27,12438328426
2004-07-28,12376900340
2004-07-29,12518872246
2004-07-30,12403748280
2004-08-02,12112287043
2004-08-03,12001029180
2004-08-04,12192830863
2004-08-05,12039475430
2004-08-06,11421758026
2004-08-09,11621291916
2004-08-10,12089305206
2004-08-11,11893637420
2004-08-12,11648139856
2004-08-13,11828343229
2004-08-16,11805361393
2004-08-17,11839941540
2004-08-18,12173715130
2004-08-19,11778513453
2004-08-20,11813093600
2004-08-23,11920485360
