,DLX
2000-07-11,1345748690
2000-07-12,1363846440
2000-07-13,1342129140
2000-07-14,1349368240
2000-07-17,1324031390
2000-07-18,1360226890
2000-07-19,1342129140
2000-07-20,1295074990
2000-07-21,1309553190
2000-07-24,1295074990
2000-07-25,1295074990
2000-07-26,1244401290
2000-07-27,1251640390
2000-07-28,1233542640
2000-07-31,1244401290
2000-08-01,1298694540
2000-08-02,1298694540
2000-08-03,1258879490
2000-08-04,1280596790
2000-08-07,1291455440
2000-08-08,1266118590
2000-08-09,1276977240
2000-08-10,1273357690
2000-08-11,1313172740
2000-08-14,1316792290
2000-08-15,1338509590
2000-08-16,1360226890
2000-08-17,1298694540
2000-08-18,1287835890
2000-08-21,1302314090
2000-08-22,1280596790
2000-08-23,1284216340
2000-08-24,1262499040
2000-08-25,1269738140
2000-08-28,1280596790
2000-08-29,1262499040
2000-08-30,1266118590
2000-08-31,1273357690
2000-09-01,1273357690
2000-09-05,1258879490
2000-09-06,1233542640
2000-09-07,1233542640
2000-09-08,1229923090
2000-09-11,1237162190
2000-09-12,1237162190
2000-09-13,1233542640
2000-09-14,1229923090
2000-09-15,1226303540
2000-09-18,1197347140
2000-09-19,1197347140
2000-09-20,1190108040
2000-09-21,1172010290
2000-09-22,1186488490
2000-09-25,1168390740
2000-09-26,1157532090
2000-09-27,1164771190
2000-09-28,1182868940
2000-09-29,1175629840
2000-10-02,1151252896
2000-10-03,1158452727
2000-10-04,1176452303
2000-10-05,1158452727
2000-10-06,1183652134
2000-10-09,1216051371
2000-10-10,1208851540
2000-10-11,1169252473
2000-10-12,1172852388
2000-10-13,1165652557
2000-10-16,1151252896
2000-10-17,1144053066
2000-10-18,1151252896
2000-10-19,1205251625
2000-10-20,1198051795
2000-10-23,1266450184
2000-10-24,1259250354
2000-10-25,1230451032
2000-10-26,1237650862
2000-10-27,1255650439
2000-10-30,1270050100
2000-10-31,1298849422
2000-11-01,1298849422
2000-11-02,1306049252
2000-11-03,1327648744
2000-11-06,1327648744
2000-11-07,1324048828
2000-11-08,1327648744
2000-11-09,1316848998
2000-11-10,1270050100
2000-11-13,1262850269
2000-11-14,1273650015
2000-11-15,1262850269
2000-11-16,1262850269
2000-11-17,1266450184
2000-11-20,1262850269
2000-11-21,1352848150
2000-11-22,1345648320
2000-11-24,1306049252
2000-11-27,1302449337
2000-11-28,1284449761
2000-11-29,1288049676
2000-11-30,1342048405
2000-12-01,1349248235
2000-12-04,1304609286
2000-12-05,1327648744
2000-12-06,1319008947
2000-12-07,1344928337
2000-12-08,1387407337
2000-12-11,1375887608
2000-12-12,1327648744
2000-12-13,1324768812
2000-12-14,1351408184
2000-12-15,1300289388
2000-12-18,1328368727
2000-12-19,1323328845
2000-12-20,1299569405
2000-12-21,1324768812
2000-12-22,1362927913
2000-12-26,1373007676
2000-12-27,1381647472
2000-12-28,1446445947
2000-12-29,1454365761
2001-01-02,1400008050
2001-01-03,1425814650
2001-01-04,1417929300
2001-01-05,1394273250
2001-01-08,1374201450
2001-01-09,1400008050
2001-01-10,1450904400
2001-01-11,1440868500
2001-01-12,1429398900
2001-01-16,1432983150
2001-01-17,1496065950
2001-01-18,1486746900
2001-01-19,1484596350
2001-01-22,1488180600
2001-01-23,1513987200
2001-01-24,1495349100
2001-01-25,1468825650
2001-01-26,1450904400
2001-01-29,1491048000
2001-01-30,1505385000
2001-01-31,1504668150
2001-02-01,1544094900
2001-02-02,1524739950
2001-02-05,1549829700
2001-02-06,1561299300
2001-02-07,1569901500
2001-02-08,1612912500
2001-02-09,1643020200
2001-02-12,1701801900
2001-02-13,1706819850
2001-02-14,1652339250
2001-02-15,1666676250
2001-02-16,1683163800
2001-02-20,1715422050
2001-02-21,1739078100
2001-02-22,1681730100
2001-02-23,1697500800
2001-02-26,1719723150
2001-02-27,1724741100
2001-02-28,1745529750
2001-03-01,1702518750
2001-03-02,1724741100
2001-03-05,1745529750
2001-03-06,1739794950
2001-03-07,1714705200
2001-03-08,1735493850
2001-03-09,1703952450
2001-03-12,1681013250
2001-03-13,1683880650
2001-03-14,1644453900
2001-03-15,1659507750
2001-03-16,1655923500
2001-03-19,1676712150
2001-03-20,1684597500
2001-03-21,1640152800
2001-03-22,1610045100
2001-03-23,1682446950
2001-03-26,1694633400
2001-03-27,1706819850
2001-03-28,1697500800
2001-03-29,1647321300
2001-03-30,1696783950
2001-04-02,1635717500
2001-04-03,1582817700
2001-04-04,1653118750
2001-04-05,1687921250
2001-04-06,1680960750
2001-04-09,1712283000
2001-04-10,1746389450
2001-04-11,1715763250
2001-04-12,1714371150
2001-04-16,1726900050
2001-04-17,1747085500
2001-04-18,1758918350
2001-04-19,1754046000
2001-04-20,1754046000
2001-04-23,1774231450
2001-04-24,1779103800
2001-04-25,1787456400
2001-04-26,1795112950
2001-04-27,1810426050
2001-04-30,1809033950
2001-05-01,1799985300
2001-05-02,1800681350
2001-05-03,1785368250
2001-05-04,1795112950
2001-05-07,1816690500
2001-05-08,1838964100
2001-05-09,1876550800
2001-05-10,1930842700
2001-05-11,1930146650
2001-05-14,1919705900
2001-05-15,1914137500
2001-05-16,1961468900
2001-05-17,1928754550
2001-05-18,1917617750
2001-05-21,1937803200
2001-05-22,1937803200
2001-05-23,1922490100
2001-05-24,1921794050
2001-05-25,1907873050
2001-05-29,1928058500
2001-05-30,1924578250
2001-05-31,1928754550
2001-06-01,1920401950
2001-06-04,1940587400
2001-06-05,1942675550
2001-06-06,1947547900
2001-06-07,1967037300
2001-06-08,1923882200
2001-06-11,1939195300
2001-06-12,1867502150
2001-06-13,1861933750
2001-06-14,1851493000
2001-06-15,1948243950
2001-06-18,1936411100
2001-06-19,1944067650
2001-06-20,1965645200
2001-06-21,1956596550
2001-06-22,1928058500
2001-06-25,1917617750
2001-06-26,1969821500
2001-06-27,1948940000
2001-06-28,1939891350
2001-06-29,2011584500
2001-07-02,1967763560
2001-07-03,1956334800
2001-07-05,1971797240
2001-07-06,1937510960
2001-07-09,1932132720
2001-07-10,1920703960
2001-07-11,1907930640
2001-07-12,1953645680
2001-07-13,1967763560
2001-07-16,1984570560
2001-07-17,2000033000
2001-07-18,2022218240
2001-07-19,2034991560
2001-07-20,1996671600
2001-07-23,2052470840
2001-07-24,2067933280
2001-07-25,2076672920
2001-07-26,2098185880
2001-07-27,2115665160
2001-07-30,2106253240
2001-07-31,2120371120
2001-08-01,2139194960
2001-08-02,2178187200
2001-08-03,2168775280
2001-08-06,2151296000
2001-08-07,2166758440
2001-08-08,2144573200
2001-08-09,2155329680
2001-08-10,2174153520
2001-08-13,2202389280
2001-08-14,2214490320
2001-08-15,2229952760
2001-08-16,2225919080
2001-08-17,2203733840
2001-08-20,2234658720
2001-08-21,2230625040
2001-08-22,2242053800
2001-08-23,2285752000
2001-08-24,2286424280
2001-08-27,2253482560
2001-08-28,2225246800
2001-08-29,2238692400
2001-08-30,2213145760
2001-08-31,2206422960
2001-09-04,2236003280
2001-09-05,2227935920
2001-09-06,2209112080
2001-09-07,2175498080
2001-09-10,2154657400
2001-09-17,2107597800
2001-09-18,2122387960
2001-09-19,2117009720
2001-09-20,2138522680
2001-09-21,2106253240
2001-09-24,2158691080
2001-09-25,2242726080
2001-09-26,2168103000
2001-09-27,2262894480
2001-09-28,2322055120
2001-10-01,2215615421
2001-10-02,2252841867
2001-10-03,2302905020
2001-10-04,2309965208
2001-10-05,2284291797
2001-10-08,2224601115
2001-10-09,2204704221
2001-10-10,2244498009
2001-10-11,2281724455
2001-10-12,2237437820
2001-10-15,2242572503
2001-10-16,2251558197
2001-10-17,2192509350
2001-10-18,2182239986
2001-10-19,2195718527
2001-10-22,2197002197
2001-10-23,2231661303
2001-10-24,2255409209
2001-10-25,2238079656
2001-10-26,2257976550
2001-10-29,2251558197
2001-10-30,2234870479
2001-10-31,2246423515
2001-11-01,2285575467
2001-11-02,2294561161
2001-11-05,2300979514
2001-11-06,2332429443
2001-11-07,2383134431
2001-11-08,2428704737
2001-11-09,2392120125
2001-11-12,2404314996
2001-11-13,2454378148
2001-11-14,2480693395
2001-11-15,2458229160
2001-11-16,2419719043
2001-11-19,2454378148
2001-11-20,2447317960
2001-11-21,2473633207
2001-11-23,2480693395
2001-11-26,2513426995
2001-11-27,2486469913
2001-11-28,2496739278
2001-11-29,2528831042
2001-11-30,2536533066
2001-12-03,2554504454
2001-12-04,2571192171
2001-12-05,2636017536
2001-12-06,2616762477
2001-12-07,2625106336
2001-12-10,2554504454
2001-12-11,2607134947
2001-12-12,2609702289
2001-12-13,2571834007
2001-12-14,2614836971
2001-12-17,2607134947
2001-12-18,2657839935
2001-12-19,2640510383
2001-12-20,2645645065
2001-12-21,2662974618
2001-12-24,2700842900
2001-12-26,2707903088
2001-12-27,2707903088
2001-12-28,2691857206
2001-12-31,2668751135
2002-01-02,2641152218
2002-01-03,2679020500
2002-01-04,2696991888
2002-01-07,2677736829
2002-01-08,2701484735
2002-01-09,2735502005
2002-01-10,2784923323
2002-01-11,2775295793
2002-01-14,2774653958
2002-01-15,2795192687
2002-01-16,2770161111
2002-01-17,2807387558
2002-01-18,2837553817
2002-01-22,2867720075
2002-01-23,2882482287
2002-01-24,2929978098
2002-01-25,2929336263
2002-01-28,2951800498
2002-01-29,2908797534
2002-01-30,2885049628
2002-01-31,2953084169
2002-02-01,2909439369
2002-02-04,2894035322
2002-02-05,2898528169
2002-02-06,2943456639
2002-02-07,2954367839
2002-02-08,2990952451
2002-02-11,3013416686
2002-02-12,3017267698
2002-02-13,3016625863
2002-02-14,2999938145
2002-02-15,2987743274
2002-02-19,2976190239
2002-02-20,3016625863
2002-02-21,2976832075
2002-02-22,2989026945
2002-02-25,3035880921
2002-02-26,3051926803
2002-02-27,3063479839
2002-02-28,3042299274
2002-03-01,3054494145
2002-03-04,3088511415
2002-03-05,3091078756
2002-03-06,3083376733
2002-03-07,3028820733
2002-03-08,3104557297
2002-03-11,3082093062
2002-03-12,3058986992
2002-03-13,3040373768
2002-03-14,3059628827
2002-03-15,3103915462
2002-03-18,3124454191
2002-03-19,3180935697
2002-03-20,3161680638
2002-03-21,3170024497
2002-03-22,3095571603
2002-03-25,3041015604
2002-03-26,2904304687
2002-03-27,2832419134
2002-03-28,2969130051
2002-04-01,2896432802
2002-04-02,2864362009
2002-04-03,2791416676
2002-04-04,2744882584
2002-04-05,2818456756
2002-04-08,2806508814
2002-04-09,2844867997
2002-04-10,2820343273
2002-04-11,2766263112
2002-04-12,2814054883
2002-04-15,2782612929
2002-04-16,2726017411
2002-04-17,2667535377
2002-04-18,2717213664
2002-04-19,2734192319
2002-04-22,2725388572
2002-04-23,2742996066
2002-04-24,2732934641
2002-04-25,2713440630
2002-04-26,2709667595
2002-04-29,2685142871
2002-04-30,2759345883
2002-05-01,2792674354
2002-05-02,2835435411
2002-05-03,2777582216
2002-05-06,2759974722
2002-05-07,2787014802
2002-05-08,2831033538
2002-05-09,2845496837
2002-05-10,2814054883
2002-05-13,2846125676
2002-05-14,2853671745
2002-05-15,2897061641
2002-05-16,2885113699
2002-05-17,2896432802
2002-05-20,2853671745
2002-05-21,2831033538
2002-05-22,2815312561
2002-05-23,2880082986
2002-05-24,2883227181
2002-05-28,2861217814
2002-05-29,2882598342
2002-05-30,2821600951
2002-05-31,2844867997
2002-06-03,2836693089
2002-06-04,2799591584
2002-06-05,2793932032
2002-06-06,2778839894
2002-06-07,2753686331
2002-06-10,2758088204
2002-06-11,2739851871
2002-06-12,2739851871
2002-06-13,2688287067
2002-06-14,2668164216
2002-06-17,2732305802
2002-06-18,2666277699
2002-06-19,2619114768
2002-06-20,2538623365
2002-06-21,2491460434
2002-06-24,2503408377
2002-06-25,2411597871
2002-06-26,2446184021
2002-06-27,2441153308
2002-06-28,2445555182
2002-07-01,2353106768
2002-07-02,2317172015
2002-07-03,2231672085
2002-07-05,2332661133
2002-07-08,2292389427
2002-07-09,2262030756
2002-07-10,2216802532
2002-07-11,2258313367
2002-07-12,2247161203
2002-07-15,2213085144
2002-07-16,2187063426
2002-07-17,2210606885
2002-07-18,2170954743
2002-07-19,2105900449
2002-07-22,2073063519
2002-07-23,2067487437
2002-07-24,2152987367
2002-07-25,2278759003
2002-07-26,2282476391
2002-07-29,2397715427
2002-07-30,2389661086
2002-07-31,2409487157
2002-08-01,2359921980
2002-08-02,2302922027
2002-08-05,2387182827
2002-08-06,2505519687
2002-08-07,2539595746
2002-08-08,2651736958
2002-08-09,2705019523
2002-08-12,2719889076
2002-08-13,2733519500
2002-08-14,2814062912
2002-08-15,2851856360
2002-08-16,2851236795
2002-08-19,2907617184
2002-08-20,2851236795
2002-08-21,2855573748
2002-08-22,2913193266
2002-08-23,2869823736
2002-08-26,2907617184
2002-08-27,2846280277
2002-08-28,2814682477
2002-08-29,2803530312
2002-08-30,2816541171
2002-09-03,2772552077
2002-09-04,2849378101
2002-09-05,2832649854
2002-09-06,2857432442
2002-09-09,2887171548
2002-09-10,2908236748
2002-09-11,2910715007
2002-09-12,2845041148
2002-09-13,2886551983
2002-09-16,2899562842
2002-09-17,2856812877
2002-09-18,2843182454
2002-09-19,2783704242
2002-09-20,2830171595
2002-09-23,2781845547
2002-09-24,2745910794
2002-09-25,2793617277
2002-09-26,2830171595
2002-09-27,2765117300
2002-09-30,2681016378
2002-10-01,2778594427
2002-10-02,2723855521
2002-10-03,2762529748
2002-10-04,2730995379
2002-10-07,2711955759
2002-10-08,2772644546
2002-10-09,2669116616
2002-10-10,2730995379
2002-10-11,2831548367
2002-10-14,2899971999
2002-10-15,2960065797
2002-10-16,2872007558
2002-10-17,2761339772
2002-10-18,2753604926
2002-10-21,2877957439
2002-10-22,2816078677
2002-10-23,2813698724
2002-10-24,2761934760
2002-10-25,2812508748
2002-10-28,2706005878
2002-10-29,2736945260
2002-10-30,2721475569
2002-10-31,2750034998
2002-11-01,2783949319
2002-11-04,2745870081
2002-11-05,2726830462
2002-11-06,2751224974
2002-11-07,2706600866
2002-11-08,2694106116
2002-11-11,2656621866
2002-11-12,2672686545
2002-11-13,2662571747
2002-11-14,2659001818
2002-11-15,2666141676
2002-11-18,2623897521
2002-11-19,2600097997
2002-11-20,2527509448
2002-11-21,2582248354
2002-11-22,2603667925
2002-11-25,2571538568
2002-11-26,2551308972
2002-11-27,2594148116
2002-11-29,2582248354
2002-12-02,2548929020
2002-12-03,2463250734
2002-12-04,2522749544
2002-12-05,2531674365
2002-12-06,2606642866
2002-12-09,2525724484
2002-12-10,2512634746
2002-12-11,2490620186
2002-12-12,2498355031
2002-12-13,2439451210
2002-12-16,2432906340
2002-12-17,2430526388
2002-12-18,2403751924
2002-12-19,2385307292
2002-12-20,2481100377
2002-12-23,2475150496
2002-12-24,2470985579
2002-12-26,2481695365
2002-12-27,2460870781
2002-12-30,2459680805
2002-12-31,2504899901
2003-01-02,2502519948
2003-01-03,2488835222
2003-01-06,2501329972
2003-01-07,2508469829
2003-01-08,2476935460
2003-01-09,2492405150
2003-01-10,2457895841
2003-01-13,2436476269
2003-01-14,2395422090
2003-01-15,2392447150
2003-01-16,2405536888
2003-01-17,2369242614
2003-01-21,2334138316
2003-01-22,2288324232
2003-01-23,2349608006
2003-01-24,2350797983
2003-01-27,2337708244
2003-01-28,2379357411
2003-01-29,2394827102
2003-01-30,2314503709
2003-01-31,2394232114
2003-02-03,2398397031
2003-02-04,2372217554
2003-02-05,2410296793
2003-02-06,2389472209
2003-02-07,2356152876
2003-02-10,2391852162
2003-02-11,2367457649
2003-02-12,2326403471
2003-02-13,2290704185
2003-02-14,2328188435
2003-02-18,2357342852
2003-02-19,2360317792
2003-02-20,2357937840
2003-02-21,2388877221
2003-02-24,2329973399
2003-02-25,2358532828
2003-02-26,2339493209
2003-02-27,2376977459
2003-02-28,2397802043
2003-03-03,2342468149
2003-03-04,2289514208
2003-03-05,2315693685
2003-03-06,2309743804
2003-03-07,2350202995
2003-03-10,2293084137
2003-03-11,2244295113
2003-03-12,2247865041
2003-03-13,2214545708
2003-03-14,2240130196
2003-03-17,2310933780
2003-03-18,2304388911
2003-03-19,2321048578
2003-03-20,2281779363
2003-03-21,2372217554
2003-03-24,2337708244
2003-03-25,2366862661
2003-03-26,2362102757
2003-03-27,2356747864
2003-03-28,2380547388
2003-03-31,2224143329
2003-04-01,2242433070
2003-04-02,2256843169
2003-04-03,2262385514
2003-04-04,2283446428
2003-04-07,2294531119
2003-04-08,2322797082
2003-04-09,2302844638
2003-04-10,2342749527
2003-04-11,2348846107
2003-04-14,2408703441
2003-04-15,2400944157
2003-04-16,2369352786
2003-04-17,2380991712
2003-04-21,2342195292
2003-04-22,2379883243
2003-04-23,2409811910
2003-04-24,2402606860
2003-04-25,2405932268
2003-04-28,2455259145
2003-04-29,2454150675
2003-04-30,2439186342
2003-05-01,2461909959
2003-05-02,2484079342
2003-05-05,2486850515
2003-05-06,2452487972
2003-05-07,2469115009
2003-05-08,2446391391
2003-05-09,2463572663
2003-05-12,2480199700
2003-05-13,2472994651
2003-05-14,2474103120
2003-05-15,2504031787
2003-05-16,2496272503
2003-05-19,2464681132
2003-05-20,2466898071
2003-05-21,2498489441
2003-05-22,2512899540
2003-05-23,2533406219
2003-05-27,2553912898
2003-05-28,2576636515
2003-05-29,2552250194
2003-05-30,2603239775
2003-06-02,2638710787
2003-06-03,2612661762
2003-06-04,2679724145
2003-06-05,2659217466
2003-06-06,2643698898
2003-06-09,2593263553
2003-06-10,2613770232
2003-06-11,2610444824
2003-06-12,2619866812
2003-06-13,2590492380
2003-06-16,2611553293
2003-06-17,2586058503
2003-06-18,2579961923
2003-06-19,2544490910
2003-06-20,2541719738
2003-06-23,2516779182
2003-06-24,2524538466
2003-06-25,2488513219
2003-06-26,2485187811
2003-06-27,2458030317
2003-06-30,2369594169
2003-07-01,2396040533
2003-07-02,2409792642
2003-07-03,2458982878
2003-07-07,2481197823
2003-07-08,2504470623
2003-07-09,2489131732
2003-07-10,2492305296
2003-07-11,2516635950
2003-07-14,2509230968
2003-07-15,2524569859
2003-07-16,2544140168
2003-07-17,2431478660
2003-07-18,2448933260
2003-07-21,2392338042
2003-07-22,2391809114
2003-07-23,2394982678
2003-07-24,2389164478
2003-07-25,2436767932
2003-07-28,2433065442
2003-07-29,2382288424
2003-07-30,2382288424
2003-07-31,2348437078
2003-08-01,2311412169
2003-08-04,2275974042
2003-08-05,2245296261
2003-08-06,2291312933
2003-08-07,2278089751
2003-08-08,2290255079
2003-08-11,2277031897
2003-08-12,2260635151
2003-08-13,2260635151
2003-08-14,2263279788
2003-08-15,2269097988
2003-08-18,2288668297
2003-08-19,2297660060
2003-08-20,2295015424
2003-08-21,2304536115
2003-08-22,2286023660
2003-08-25,2264866570
2003-08-26,2261164079
2003-08-27,2245825188
2003-08-28,2250056606
2003-08-29,2258519442
2003-09-02,2309296460
2003-09-03,2296073279
2003-09-04,2287610442
2003-09-05,2268040133
2003-09-08,2260106224
2003-09-09,2228370588
2003-09-10,2228370588
2003-09-11,2229428443
2003-09-12,2230486297
2003-09-15,2209329206
2003-09-16,2199808515
2003-09-17,2199808515
2003-09-18,2218320970
2003-09-19,2228899515
2003-09-22,2205626715
2003-09-23,2198750661
2003-09-24,2161196825
2003-09-25,2145857934
2003-09-26,2113593370
2003-09-29,2127345479
2003-09-30,2013844913
2003-10-01,2035418239
2003-10-02,2059500092
2003-10-03,2080571713
2003-10-06,2093616049
2003-10-07,2113182555
2003-10-08,2088598997
2003-10-09,2064517144
2003-10-10,2067025671
2003-10-13,2069534197
2003-10-14,2058496681
2003-10-15,2056991566
2003-10-16,1971199966
2003-10-17,2000298871
2003-10-20,2010332976
2003-10-21,1999295461
2003-10-22,1998793755
2003-10-23,1998793755
2003-10-24,1997288640
2003-10-27,1996285229
2003-10-28,2021370492
2003-10-29,2021370492
2003-10-30,2036421650
2003-10-31,2025384134
2003-11-03,2044448934
2003-11-04,2031906303
2003-11-05,2053981334
2003-11-06,2061005208
2003-11-07,2085588765
2003-11-10,2049465987
2003-11-11,2047459166
2003-11-12,2082076829
2003-11-13,2048462576
2003-11-14,2025885839
2003-11-17,1968189734
2003-11-18,1951633461
2003-11-19,1936582303
2003-11-20,1956148808
2003-11-21,1990264766
2003-11-24,2025384134
2003-11-25,2048462576
2003-11-26,2066523965
2003-11-28,2067025671
2003-12-01,2083581944
2003-12-02,2066022260
2003-12-03,2071039313
2003-12-04,2077059776
2003-12-05,2044448934
2003-12-08,2024380724
2003-12-09,2007824450
2003-12-10,1997288640
2003-12-11,2005817629
2003-12-12,2006319334
2003-12-15,1995281819
2003-12-16,1997790345
2003-12-17,1989261355
2003-12-18,2001803987
2003-12-19,2022875608
2003-12-22,2054984744
2003-12-23,2041438702
2003-12-24,2041438702
2003-12-26,2047960871
2003-12-29,2094117755
2003-12-30,2078564892
2003-12-31,2073547839
2004-01-02,2046455755
2004-01-05,2066523965
2004-01-06,2122213249
2004-01-07,2118701312
2004-01-08,2133250765
2004-01-09,2108667207
2004-01-12,2090104113
2004-01-13,2106660386
2004-01-14,2107663797
2004-01-15,2109168913
2004-01-16,2107663797
2004-01-20,2065018850
2004-01-21,2065520555
2004-01-22,2068029081
2004-01-23,2130742239
2004-01-26,2122213249
2004-01-27,2118701312
2004-01-28,2062510323
2004-01-29,2002807397
2004-01-30,2026387545
2004-02-02,1999797166
2004-02-03,1956650514
2004-02-04,1958155629
2004-02-05,1966684619
2004-02-06,1965681208
2004-02-09,1955647103
2004-02-10,1982237482
2004-02-11,2010332976
2004-02-12,1983240892
2004-02-13,1963674387
2004-02-17,1987254534
2004-02-18,1994278408
2004-02-19,1984244303
2004-02-20,1962169271
2004-02-23,1946616408
2004-02-24,1945612998
2004-02-25,1955647103
2004-02-26,1956148808
2004-02-27,1975715313
2004-03-01,1993274997
2004-03-02,1986752829
2004-03-03,1988257945
2004-03-04,1994278408
2004-03-05,1997288640
2004-03-08,1993776703
2004-03-09,1989261355
2004-03-10,1969193145
2004-03-11,1946616408
2004-03-12,1953138577
2004-03-15,1939592535
2004-03-16,1952135166
2004-03-17,1973206787
2004-03-18,1984746008
2004-03-19,1989261355
2004-03-22,1951633461
2004-03-23,1964677798
2004-03-24,1953138577
2004-03-25,1963674387
2004-03-26,1976718724
2004-03-29,2023879018
2004-03-30,2018861966
2004-03-31,2004476975
2004-04-01,2008975801
2004-04-02,2039467845
2004-04-05,2033969280
2004-04-06,2059462628
2004-04-07,2045966150
2004-04-08,2032969541
2004-04-12,2040467584
2004-04-13,2066460802
2004-04-14,2062961715
2004-04-15,2070959628
2004-04-16,2087955193
2004-04-19,2085955715
2004-04-20,2066460802
2004-04-21,2074958585
2004-04-22,2110949194
2004-04-23,2066460802
2004-04-26,2057963019
2004-04-27,2063961454
2004-04-28,2033969280
2004-04-29,2043966671
2004-04-30,2064961193
2004-05-03,2141441237
2004-05-04,2116947628
2004-05-05,2116947628
2004-05-06,2097452715
2004-05-07,2081456889
2004-05-10,2059962497
2004-05-11,2050964845
2004-05-12,2039967715
2004-05-13,2041967193
2004-05-14,2033469410
2004-05-17,2122446194
2004-05-18,2118947107
2004-05-19,2123445933
2004-05-20,2083956237
2004-05-21,2095453237
2004-05-24,2094453498
2004-05-25,2111948933
2004-05-26,2099952063
2004-05-27,2133443324
2004-05-28,2140441498
2004-06-01,2138442020
2004-06-02,2149439151
2004-06-03,2145440194
2004-06-04,2152938237
2004-06-07,2155937455
2004-06-08,2156437324
2004-06-09,2135442803
2004-06-10,2139941629
2004-06-14,2133443324
2004-06-15,2146939803
2004-06-16,2144940324
2004-06-17,2139441759
2004-06-18,2141941107
2004-06-21,2137942150
2004-06-22,2140941368
2004-06-23,2152438368
2004-06-24,2173432890
2004-06-25,2155437585
2004-06-28,2143440716
2004-06-29,2151938498
2004-06-30,2175189138
2004-07-01,2163188094
2004-07-02,2160687877
2004-07-06,2153187224
2004-07-07,2180689616
2004-07-08,2164188181
2004-07-09,2182189746
2004-07-12,2178189398
2004-07-13,2188690311
2004-07-14,2187690225
2004-07-15,2191690572
2004-07-16,2194690833
2004-07-19,2216192703
2004-07-20,2235194355
2004-07-21,2219192964
2004-07-22,2220193051
2004-07-23,2175689181
2004-07-26,2148186790
2004-07-27,2148186790
2004-07-28,2152687181
2004-07-29,2205691790
2004-07-30,2202691529
2004-08-02,2193690746
2004-08-03,2188190268
2004-08-04,2182689790
2004-08-05,2155687442
2004-08-06,2122184529
2004-08-09,2124684746
2004-08-10,2155187398
2004-08-11,2163188094
2004-08-12,2125684833
2004-08-13,2113183746
2004-08-16,2140186094
2004-08-17,2149686920
2004-08-18,2154687355
2004-08-19,2138685963
2004-08-20,2148686833
2004-08-23,2108183311
