,BAC
2001-09-18,88111035360
2001-09-19,87983060000
2001-09-20,85807478880
2001-09-21,81584292000
2001-09-24,85359565120
2001-09-25,88143029200
2001-09-26,88079041520
2001-09-27,90990480960
2001-09-28,93422012800
2001-10-01,91003050160
2001-10-02,91805655080
2001-10-03,92608260000
2001-10-04,90910441900
2001-10-05,86650461940
2001-10-08,83748736460
2001-10-09,80476577940
2001-10-10,84582210800
2001-10-11,84273516600
2001-10-12,81803963000
2001-10-15,85755248760
2001-10-16,89089146120
2001-10-17,88132194100
2001-10-18,87977847000
2001-10-19,88039585840
2001-10-22,90169575820
2001-10-23,90941311320
2001-10-24,92546521160
2001-10-25,93812167380
2001-10-26,93596081440
2001-10-29,91836524500
2001-10-30,91064789000
2001-10-31,91064789000
2001-11-01,92546521160
2001-11-02,93966514480
2001-11-05,94213469840
2001-11-06,95880418520
2001-11-07,96868239960
2001-11-08,97393020100
2001-11-09,97331281260
2001-11-12,97269542420
2001-11-13,97948669660
2001-11-14,98010408500
2001-11-15,97609106040
2001-11-16,96528676340
2001-11-19,98720405160
2001-11-20,98010408500
2001-11-21,98133886180
2001-11-23,100325615000
2001-11-26,100202137320
2001-11-27,97979539080
2001-11-28,95263030120
2001-11-29,98164755600
2001-11-30,94738249980
2001-12-03,94799988820
2001-12-04,96219982140
2001-12-05,95849549100
2001-12-06,97238673000
2001-12-07,97516497780
2001-12-10,95263030120
2001-12-11,96405198660
2001-12-12,97053456480
2001-12-13,95139552440
2001-12-14,94799988820
2001-12-17,97639975460
2001-12-18,97362150680
2001-12-19,98010408500
2001-12-20,97393020100
2001-12-21,95077813600
2001-12-24,95386507800
2001-12-26,96250851560
2001-12-27,97176934160
2001-12-28,98072147340
2001-12-31,97176934160
2002-01-02,97176934160
2002-01-03,97084325900
2002-01-04,98596927480
2002-01-07,97423889520
2002-01-08,95849549100
2002-01-09,95633463160
2002-01-10,95695202000
2002-01-11,93997383900
2002-01-14,93719559120
2002-01-15,94861727660
2002-01-16,93843036800
2002-01-17,94336947520
2002-01-18,93843036800
2002-01-22,96744762280
2002-01-23,97022587060
2002-01-24,98782144000
2002-01-25,97794322560
2002-01-28,98226494440
2002-01-29,91373483200
2002-01-30,95170421860
2002-01-31,97300411840
2002-02-01,94707380560
2002-02-04,91682177400
2002-02-05,90910441900
2002-02-06,90848703060
2002-02-07,91003050160
2002-02-08,93534342600
2002-02-11,94553033460
2002-02-12,94244339260
2002-02-13,95880418520
2002-02-14,95787810260
2002-02-15,93843036800
2002-02-19,91929132760
2002-02-20,94429555780
2002-02-21,94336947520
2002-02-22,94645641720
2002-02-25,97639975460
2002-02-26,98226494440
2002-02-27,98103016760
2002-02-28,98720405160
2002-03-01,100016920800
2002-03-04,102486474400
2002-03-05,100418223260
2002-03-06,102949515700
2002-03-07,103381687580
2002-03-08,104709072640
2002-03-11,104585594960
2002-03-12,104956028000
2002-03-13,104276900760
2002-03-14,103412557000
2002-03-15,106777323780
2002-03-18,106221674219
2002-03-19,106283413060
2002-03-20,104709072640
2002-03-21,104956028000
2002-03-22,105943849440
2002-03-25,105172113940
2002-03-26,106684715520
2002-03-27,106190804800
2002-03-28,104986897420
2002-04-01,104511973620
2002-04-02,105462919080
2002-04-03,104696027580
2002-04-04,105370892100
2002-04-05,105708324360
2002-04-08,106567242840
2002-04-09,106904675100
2002-04-10,107272783020
2002-04-11,105217513799
2002-04-12,107456836980
2002-04-15,106137783600
2002-04-16,108469133760
2002-04-17,108591836400
2002-04-18,108315755460
2002-04-19,109849538460
2002-04-22,108990619980
2002-04-23,110432376000
2002-04-24,109665484500
2002-04-25,108653187720
2002-04-26,110094943740
2002-04-29,109328052240
2002-04-30,111168591840
2002-05-01,110800483919
2002-05-02,112825077480
2002-05-03,113009131440
2002-05-06,111168591840
2002-05-07,111904807679
2002-05-08,113499942000
