,HSIC
2000-12-11,973051398
2000-12-12,936177908
2000-12-13,954614653
2000-12-14,966905928
2000-12-15,1003779418
2000-12-18,1085720581
2000-12-19,1081623490
2000-12-20,1102108780
2000-12-21,1116448601
2000-12-22,1110302964
2000-12-26,1163564653
2000-12-27,1173807382
2000-12-28,1155370637
2000-12-29,1134885346
2001-01-02,1074066206
2001-01-03,1057605457
2001-01-04,1016453503
2001-01-05,991762297
2001-01-08,991762297
2001-01-09,1041144542
2001-01-10,1082296496
2001-01-11,1026741408
2001-01-12,995877526
2001-01-16,927976751
2001-01-17,960898248
2001-01-18,927462306
2001-01-19,925919137
2001-01-22,1004107816
2001-01-23,989704683
2001-01-24,1030856637
2001-01-25,1003593371
2001-01-26,1024683793
2001-01-29,1018510950
2001-01-30,1014395889
2001-01-31,956783019
2001-02-01,1032914251
2001-02-02,1010280660
2001-02-05,1030856637
2001-02-06,1056576566
2001-02-07,1065835748
2001-02-08,1057605457
2001-02-09,1026741408
2001-02-12,1053490229
2001-02-13,1069950977
2001-02-14,1100815026
2001-02-15,1094642183
2001-02-16,1113160545
2001-02-20,1119333389
2001-02-21,1102872473
2001-02-22,1069950977
2001-02-23,1032914251
2001-02-26,1057605457
2001-02-27,979416610
2001-02-28,940322271
2001-03-01,942379885
2001-03-02,983531839
2001-03-05,962955862
2001-03-06,1006165431
2001-03-07,1084354110
2001-03-08,1076123820
2001-03-09,1067893362
2001-03-12,1119333389
2001-03-13,1119333389
2001-03-14,1102872473
2001-03-15,1098757412
2001-03-16,1078181435
2001-03-19,1117275774
2001-03-20,1074066206
2001-03-21,1100815026
2001-03-22,1115218160
2001-03-23,1098757412
2001-03-26,1119333389
2001-03-27,1115218160
2001-03-28,1156370114
2001-03-29,1222213274
2001-03-30,1209867587
2001-04-02,1075687904
2001-04-03,1090224344
2001-04-04,1071534636
2001-04-05,1127603422
2001-04-06,1140063058
2001-04-09,1186496295
2001-04-10,1229357653
2001-04-11,1207760826
2001-04-12,1169883390
2001-04-16,1196131844
2001-04-17,1230354370
2001-04-18,1200783471
2001-04-19,1257599710
2001-04-20,1262583462
2001-04-23,1274544910
2001-04-24,1288499790
2001-04-25,1275541626
2001-04-26,1244641546
2001-04-27,1263912644
2001-04-30,1276538343
2001-05-01,1184502692
2001-05-02,1233344689
2001-05-03,1205102802
2001-05-04,1250289889
2001-05-07,1236999600
2001-05-08,1270890000
2001-05-09,1299132056
2001-05-10,1278199650
2001-05-11,1287502904
2001-05-14,1314415949
2001-05-15,1305444990
2001-05-16,1312090050
2001-05-17,1335680480
2001-05-18,1328370829
2001-05-21,1329035250
2001-05-22,1322390190
2001-05-23,1262583462
2001-05-24,1324715919
2001-05-25,1281854561
2001-05-29,1254277095
2001-05-30,1256270528
2001-05-31,1254277095
2001-06-01,1289164212
2001-06-04,1292486826
2001-06-05,1297470749
2001-06-06,1291490110
2001-06-07,1328038534
2001-06-08,1325712636
2001-06-11,1322390190
2001-06-12,1199786585
2001-06-13,1192809229
2001-06-14,1149947871
2001-06-15,1165231763
2001-06-18,1134331683
2001-06-19,1115060585
2001-06-20,1103431602
2001-06-21,1114063868
2001-06-22,1097450963
2001-06-25,1050270104
2001-06-26,1141641334
2001-06-27,1154599328
2001-06-28,1186828590
2001-06-29,1270890000
2001-07-02,1196328837
2001-07-03,1166337238
2001-07-05,1142344094
2001-07-06,1132346838
2001-07-09,1166003962
2001-07-10,1166003962
2001-07-11,1161338610
2001-07-12,1141677542
2001-07-13,1129680971
2001-07-16,1136345808
2001-07-17,1138011848
2001-07-18,1176001218
2001-07-19,1169336381
2001-07-20,1166337238
2001-07-23,1166337238
2001-07-24,1195995561
2001-07-25,1156340151
2001-07-26,1174668285
2001-07-27,1216323180
2001-07-30,1225320609
2001-07-31,1232985104
2001-08-01,1209658342
2001-08-02,1209658342
2001-08-03,1173335351
2001-08-06,1104021448
2001-08-07,1136345808
2001-08-08,1111352837
2001-08-09,1095024019
2001-08-10,1061366895
2001-08-13,1071364151
2001-08-14,1104688000
2001-08-15,1149675314
2001-08-16,1148009104
2001-08-17,1158006191
2001-08-20,1159006018
2001-08-21,1166670514
2001-08-22,1180666571
2001-08-23,1181332952
2001-08-24,1164004647
2001-08-27,1195662285
2001-08-28,1163338095
2001-08-29,1187997790
2001-08-30,1181332952
2001-08-31,1210324894
2001-09-04,1202327123
2001-09-05,1218655771
2001-09-06,1181666228
2001-09-07,1189664000
2001-09-10,1196661943
2001-09-17,1169336381
2001-09-18,1250979962
2001-09-19,1241316151
2001-09-20,1255645314
2001-09-21,1219655599
2001-09-24,1232651828
2001-09-25,1208991791
2001-09-26,1223321124
2001-09-27,1316294895
2001-09-28,1286303295
2001-10-01,1289855217
2001-10-02,1282490399
2001-10-03,1325340440
2001-10-04,1309606392
2001-10-05,1340070248
2001-10-08,1307263111
2001-10-09,1286842329
2001-10-10,1305924068
2001-10-11,1252026543
2001-10-12,1240309793
2001-10-15,1272447324
2001-10-16,1246335570
2001-10-17,1200472640
2001-10-18,1206498416
2001-10-19,1268095393
2001-10-22,1306928307
2001-10-23,1220223815
2001-10-24,1207837459
2001-10-25,1199803033
2001-10-26,1182060337
2001-10-29,1159965880
2001-10-30,1122137206
2001-10-31,1129836828
2001-11-01,1115107190
2001-11-02,1077947951
2001-11-05,1091338717
2001-11-06,1207167852
2001-11-07,1209176501
2001-11-08,1203820161
2001-11-09,1244326920
2001-11-12,1260060968
2001-11-13,1311280238
2001-11-14,1305924068
2001-11-15,1280146946
2001-11-16,1269099633
2001-11-19,1271443085
2001-11-20,1316971211
2001-11-21,1305589265
2001-11-23,1311280238
2001-11-26,1308267350
2001-11-27,1299228685
2001-11-28,1330696780
2001-11-29,1339065838
2001-11-30,1345761221
2001-12-03,1337057360
2001-12-04,1338061599
2001-12-05,1341409291
2001-12-06,1298893882
2001-12-07,1307263111
2001-12-10,1271108282
2001-12-11,1261065378
2001-12-12,1259056729
2001-12-13,1199468230
2001-12-14,1194446693
2001-12-17,1201811682
2001-12-18,1173691279
2001-12-19,1192773018
2001-12-20,1190094762
2001-12-21,1185073225
2001-12-24,1188420917
2001-12-26,1196790145
2001-12-27,1222901900
2001-12-28,1251357107
2001-12-31,2485569665
2002-01-02,2519802465
2002-01-03,2504364157
2002-01-04,2437241167
2002-01-07,2405693245
2002-01-08,2403679672
2002-01-09,2423816432
2002-01-10,2406364551
2002-01-11,2478186334
2002-01-14,2527186137
2002-01-15,2684925402
2002-01-16,2691637770
2002-01-17,2840651094
2002-01-18,2832596459
2002-01-22,2899048143
2002-01-23,2903746937
2002-01-24,2892336118
2002-01-25,2897705875
2002-01-28,2923212734
2002-01-29,2929925102
2002-01-30,3011143789
2002-01-31,3080280694
2002-02-01,3044034321
2002-02-04,3029267318
2002-02-05,2981609783
2002-02-06,2924555002
2002-02-07,2894349691
2002-02-08,3002417848
2002-02-11,3021883645
2002-02-12,2945363410
2002-02-13,2939993311
2002-02-14,2896363265
2002-02-15,2893678386
2002-02-19,2897705875
2002-02-20,2953418045
2002-02-21,2986308235
2002-02-22,2985637272
2002-02-25,2871527711
2002-02-26,2883609835
2002-02-27,2960130413
2002-02-28,2886966019
2002-03-01,2876226505
2002-03-04,2809103173
2002-03-05,2739966610
2002-03-06,2880924957
2002-03-07,2883609835
2002-03-08,2846692157
2002-03-11,2835952642
2002-03-12,2777555251
2002-03-13,2860788197
2002-03-14,2917842635
2002-03-15,2920527856
2002-03-18,2852733219
2002-03-19,2828568970
2002-03-20,2811117088
2002-03-21,2823199213
2002-03-22,2794336170
2002-03-25,2762116943
2002-03-26,2856760708
2002-03-27,2935294859
2002-03-28,2956774229
2002-04-01,1489518857
2002-04-02,1511298399
2002-04-03,1544648400
2002-04-04,1555878514
2002-04-05,1556218857
2002-04-08,1564045886
2002-04-09,1555538171
2002-04-10,1568129485
2002-04-11,1592971770
2002-04-12,1616452856
2002-04-15,1622918684
2002-04-16,1625641257
2002-04-17,1607604971
2002-04-18,1602160172
2002-04-19,1633127943
2002-04-22,1592631600
2002-04-23,1568810172
2002-04-24,1566427942
2002-04-25,1601479485
2002-04-26,1589228514
2002-04-29,1566768285
2002-04-30,1619515772
2002-05-01,1635509999
2002-05-02,1623259028
2002-05-03,1612028913
2002-05-06,1608285657
2002-05-07,1672943772
2002-05-08,1670561542
2002-05-09,1623599371
2002-05-10,1620536628
2002-05-13,1641975827
2002-05-14,1664776400
2002-05-15,1693021771
2002-05-16,1675666171
2002-05-17,1697445713
2002-05-20,1696424857
2002-05-21,1701189143
2002-05-22,1705272742
2002-05-23,1701869656
2002-05-24,1703571199
2002-05-28,1682812513
2002-05-29,1685875256
2002-05-30,1699827943
2002-05-31,1687236629
2002-06-03,1670901885
2002-06-04,1666818286
2002-06-05,1661032970
2002-06-06,1628704000
2002-06-07,1654226972
2002-06-10,1676346858
2002-06-11,1650483543
2002-06-12,1611008057
2002-06-13,1620876972
2002-06-14,1658991258
2002-06-17,1689278342
2002-06-18,1687576799
2002-06-19,1678048227
2002-06-20,1658991258
2002-06-21,1636871372
2002-06-24,1601139142
2002-06-25,1540564800
2002-06-26,1551454572
2002-06-27,1569150341
2002-06-28,1514361142
2002-07-01,1512492753
2002-07-02,1475041119
2002-07-03,1468856480
2002-07-05,1528297979
2002-07-08,1527267089
2002-07-09,1499779847
2002-07-10,1482256647
2002-07-11,1449615306
2002-07-12,1455456314
2002-07-15,1417661225
2002-07-16,1444461382
2002-07-17,1476759093
2002-07-18,1410789327
2002-07-19,1406666293
2002-07-22,1355471038
2002-07-23,1357189012
2002-07-24,1416974140
2002-07-25,1416630510
2002-07-26,1452707625
2002-07-29,1517646501
2002-07-30,1489128370
2002-07-31,1476071833
2002-08-01,1449615306
2002-08-02,1482943731
2002-08-05,1441369063
2002-08-06,1474697489
2002-08-07,1537574936
2002-08-08,1649585859
2002-08-09,1651647463
2002-08-12,1685663149
2002-08-13,1661268050
2002-08-14,1700781114
2002-08-15,1751632740
2002-08-16,1781868846
2002-08-19,1770873914
2002-08-20,1760909872
2002-08-21,1803858885
2002-08-22,1817602506
2002-08-23,1782212476
2002-08-26,1781868846
2002-08-27,1751976370
2002-08-28,1699063140
2002-08-29,1727924901
2002-08-30,1716929970
2002-09-03,1731360850
2002-09-04,1776027838
2002-09-05,1794925382
2002-09-06,1829628152
2002-09-09,1850930931
2002-09-10,1856771940
2002-09-11,1882197752
2002-09-12,1863643838
2002-09-13,1863300208
2002-09-16,1855397595
2002-09-17,1852305276
2002-09-18,1834438446
2002-09-19,1812448582
2002-09-20,1824474404
2002-09-23,1821725540
2002-09-24,1789428004
2002-09-25,1835812966
2002-09-26,1860895149
2002-09-27,1829284698
2002-09-30,1819527922
2002-10-01,1825046948
2002-10-02,1780895262
2002-10-03,1831945512
2002-10-04,1814353867
2002-10-07,1786759261
2002-10-08,1816078552
2002-10-09,1777446069
2002-10-10,1814353867
2002-10-11,1826426661
2002-10-14,1916454542
2002-10-15,1904381748
2002-10-16,1908176090
2002-10-17,1897827981
2002-10-18,1879546568
2002-10-21,1862644691
2002-10-22,1840223964
2002-10-23,1881616049
2002-10-24,1828151346
2002-10-25,1866439033
2002-10-28,1811249470
2002-10-29,1802971193
2002-10-30,1771582070
2002-10-31,1730534957
2002-11-01,1792278112
2002-11-04,1705699601
2002-11-05,1601529621
2002-11-06,1675000597
2002-11-07,1682589105
2002-11-08,1636022966
2002-11-11,1606703499
2002-11-12,1658443693
2002-11-13,1700525722
2002-11-14,1716047710
2002-11-15,1732259642
2002-11-18,1712598340
2002-11-19,1666722145
2002-11-20,1695696640
2002-11-21,1574624607
2002-11-22,1503913232
2002-11-25,1432511736
2002-11-26,1416299804
2002-11-27,1465970341
2002-11-29,1468039998
2002-12-02,1428372598
2002-12-03,1394569021
2002-12-04,1449413613
2002-12-05,1485631643
2002-12-06,1510811795
2002-12-09,1500808834
2002-12-10,1555653250
2002-12-11,1592906196
2002-12-12,1574969579
2002-12-13,1541855947
2002-12-16,1571175413
2002-12-17,1532542754
2002-12-18,1507707398
2002-12-19,1535992124
2002-12-20,1542545715
2002-12-23,1580833578
2002-12-24,1578418949
2002-12-26,1574624607
2002-12-27,1545650289
2002-12-30,3150627777
2002-12-31,3106446913
2003-01-02,3147866187
2003-01-03,3092640724
2003-01-06,3099543995
2003-01-07,2976666617
2003-01-08,2950434329
2003-01-09,3016705096
2003-01-10,2989092364
2003-01-13,2987711921
2003-01-14,2973905379
2003-01-15,2900731341
2003-01-16,2875879496
2003-01-17,2929034470
2003-01-21,2938008582
2003-01-22,2876569893
2003-01-23,2855860432
2003-01-24,2789589313
2003-01-27,2792350903
2003-01-28,2818582840
2003-01-29,2861382908
2003-01-30,2761976582
2003-01-31,2797873379
2003-02-03,2790279711
2003-02-04,2708131562
2003-02-05,2497583559
2003-02-06,2699157450
2003-02-07,2579041311
2003-02-10,2634267126
2003-02-11,2570067200
2003-02-12,2496202764
2003-02-13,2472041668
2003-02-14,2414054615
2003-02-18,2519673815
2003-02-19,2519673815
2003-02-20,2591467058
2003-02-21,2663951050
2003-02-24,2605963997
2003-02-25,2681208875
2003-02-26,2641170397
2003-02-27,2708131562
2003-02-28,2761286184
2003-03-03,2809608729
2003-03-04,2898660149
2003-03-05,2956647202
2003-03-06,2897279706
2003-03-07,2910395850
2003-03-10,2857240875
2003-03-11,2888995640
2003-03-12,2875189450
2003-03-13,2953195567
2003-03-14,2978047412
2003-03-17,3001518111
2003-03-18,2996686032
2003-03-19,2991163204
2003-03-20,2998066475
2003-03-21,3033963273
2003-03-24,2969763346
2003-03-25,3067788878
2003-03-26,3103685675
2003-03-27,3102305232
2003-03-28,3130608362
2003-03-31,1538705838
2003-04-01,1539047052
2003-04-02,1578623526
2003-04-03,1540752947
2003-04-04,1474564740
2003-04-07,1483094046
2003-04-08,1468082370
2003-04-09,1475588208
2003-04-10,1499129364
2003-04-11,1468082370
2003-04-14,1476270636
2003-04-15,1480705896
2003-04-16,1449658901
2003-04-17,1431235260
2003-04-21,1432941156
2003-04-22,1453752947
2003-04-23,1451705838
2003-04-24,1424411850
2003-04-25,1428505896
2003-04-28,1460235317
2003-04-29,1460917571
2003-04-30,1471152948
2003-05-01,1531882428
2003-05-02,1563611849
2003-05-05,1544164740
2003-05-06,1686435318
2003-05-07,1687117572
2003-05-08,1629117630
2003-05-09,1666646994
2003-05-12,1684729422
2003-05-13,1687117572
2003-05-14,1668352889
2003-05-15,1704517572
2003-05-16,1685752890
2003-05-19,1625023584
2003-05-20,1601823468
2003-05-21,1603529364
2003-05-22,1666646994
2003-05-23,1668352889
2003-05-27,1679270520
2003-05-28,1669717572
2003-05-29,1666988208
2003-05-30,1677223584
2003-06-02,1671082428
2003-06-03,1695647052
2003-06-04,1701788208
2003-06-05,1724647110
2003-06-06,1696670520
2003-06-09,1671764682
2003-06-10,1671423468
2003-06-11,1724647110
2003-06-12,1707588150
2003-06-13,1714752947
2003-06-16,1777529364
2003-06-17,1786400058
2003-06-18,1803800058
2003-06-19,1777529364
2003-06-20,1792541214
2003-06-23,1769341098
2003-06-24,1771729422
2003-06-25,1776164682
2003-06-26,1833823584
2003-06-27,1801752947
2003-06-30,1796006662
2003-07-01,1814134400
2003-07-02,1802505275
2003-07-03,1812424229
2003-07-07,1852441941
2003-07-08,1852441941
2003-07-09,1864071065
2003-07-10,1879120357
2003-07-11,1898958265
2003-07-14,1918796000
2003-07-15,1932135295
2003-07-16,1919822032
2003-07-17,1878094324
2003-07-18,1899984298
2003-07-21,1911271354
2003-07-22,1903746534
2003-07-23,1907508944
2003-07-24,1886302934
2003-07-25,1941028042
2003-07-28,1970442662
2003-07-29,2007382101
2003-07-30,2012170544
2003-07-31,1998831423
2003-08-01,1955051301
2003-08-04,1941028042
2003-08-05,2028930180
2003-08-06,1977283344
2003-08-07,1981729717
2003-08-08,1969074560
2003-08-11,1963260085
2003-08-12,1971810937
2003-08-13,1979677652
2003-08-14,1989596432
2003-08-15,2021405360
2003-08-18,2049109983
2003-08-19,2052188255
2003-08-20,1981729717
2003-08-21,1991648672
2003-08-22,1954709232
2003-08-25,1949578895
2003-08-26,1954709232
2003-08-27,1949236826
2003-08-28,1958129573
2003-08-29,1974547141
2003-09-02,2007724170
2003-09-03,1980019547
2003-09-04,1947868724
2003-09-05,1949236826
2003-09-08,1983439888
2003-09-09,1938633734
2003-09-10,1922912689
2003-09-11,1923924418
2003-09-12,1923924418
2003-09-15,1935908171
2003-09-16,1954380944
2003-09-17,1976952962
2003-09-18,2011142418
2003-09-19,1999176108
2003-09-22,1991989345
2003-09-23,2003275354
2003-09-24,1971126800
2003-09-25,1952671471
2003-09-26,1911609236
2003-09-29,1944064383
2003-09-30,1946462539
2003-10-01,1956072669
2003-10-02,1934121663
2003-10-03,1939950758
2003-10-06,1947162731
2003-10-07,1950243574
2003-10-08,1934786845
2003-10-09,1941316131
2003-10-10,1948860696
2003-10-13,1944396974
2003-10-14,1935837132
2003-10-15,1932388689
2003-10-16,1997961629
2003-10-17,1980106744
2003-10-20,2018547261
2003-10-21,2012700662
2003-10-22,1990749656
2003-10-23,2006188880
2003-10-24,2017181888
2003-10-27,2006871567
2003-10-28,2068996064
2003-10-29,2094745609
2003-10-30,2144511724
2003-10-31,2129755187
2003-11-03,2193245058
2003-11-04,2141763472
2003-11-05,2153789263
2003-11-06,2156187419
2003-11-07,2182619650
2003-11-10,2206968812
2003-11-11,2224491106
2003-11-12,2254686868
2003-11-13,2279053534
2003-11-14,2242328486
2003-11-17,2244726643
2003-11-18,2200807126
2003-11-19,2232035670
2003-11-20,2212132725
2003-11-21,2257435120
2003-11-24,2316741345
2003-11-25,2302054827
2003-11-26,2292794794
2003-11-28,2314763304
2003-12-01,2362463855
2003-12-02,2344276379
2003-12-03,2313380426
2003-12-04,2341878223
2003-12-05,2306518548
2003-12-08,2360065699
2003-12-09,2289013759
2003-12-10,2285582821
2003-12-11,2351138256
2003-12-12,2347357222
2003-12-15,2308584114
2003-12-16,2310299583
2003-12-17,2285232725
2003-12-18,2303087610
2003-12-19,2316811364
2003-12-22,2335348936
2003-12-23,2348390004
2003-12-24,2336031623
2003-12-26,2322657964
2003-12-29,4700724844
2003-12-30,4687694131
2003-12-31,4647866385
2004-01-02,4602539118
2004-01-05,4587406676
2004-01-06,4570242564
2004-01-07,4579840456
2004-01-08,4579174908
2004-01-09,4673962841
2004-01-12,4737154796
2004-01-13,4781115940
2004-01-14,4792780531
2004-01-15,4715857286
2004-01-16,4739186467
2004-01-20,4739186467
2004-01-21,4773549720
2004-01-22,4852539664
2004-01-23,4852539664
2004-01-26,4947327596
2004-01-27,4873837174
2004-01-28,4798280052
2004-01-29,4847040142
2004-01-30,4818176411
2004-02-02,4809944643
2004-02-03,4889635163
2004-02-04,4866971529
2004-02-05,4789347708
2004-02-06,4836741675
2004-02-09,4838808374
2004-02-10,4908165398
2004-02-11,5009118400
2004-02-12,4948693720
2004-02-13,4895800232
2004-02-17,4918463865
2004-02-18,4875203297
2004-02-19,4755685032
2004-02-20,4706924942
2004-02-23,4844272867
2004-02-24,4928832390
2004-02-25,4914330467
2004-02-26,4920530564
2004-02-27,4910897644
2004-03-01,4989222041
2004-03-02,5080577152
2004-03-03,5053079544
2004-03-04,4935627977
2004-03-05,4880002243
2004-03-08,4933596307
2004-03-09,4961724433
2004-03-10,4963125585
2004-03-11,4962425009
2004-03-12,4990588164
2004-03-15,4975490752
2004-03-16,4988521465
2004-03-17,4987855918
2004-03-18,4954193241
2004-03-19,4874502721
2004-03-22,4787281009
2004-03-23,4747453264
2004-03-24,4779049241
2004-03-25,4807877944
2004-03-26,4785914886
2004-03-29,2424755424
2004-03-30,2441969712
2004-03-31,2455407396
2004-04-01,2497424311
2004-04-02,2537719797
2004-04-05,2617625712
2004-04-06,2611073743
2004-04-07,2646907567
2004-04-08,2630360772
2004-04-12,2651720541
2004-04-13,2604539340
2004-04-14,2579736712
2004-04-15,2564928912
2004-04-16,2626584168
2004-04-19,2655163399
2004-04-20,2631397142
2004-04-21,2682038767
2004-04-22,2728183598
2004-04-23,2700623172
2004-04-26,2688239424
2004-04-27,2534961998
2004-04-28,2446782686
2004-04-29,2444376199
2004-04-30,2427161911
2004-05-03,2437139172
2004-05-04,2405802141
2004-05-05,2444042452
2004-05-06,2399601484
2004-05-07,2386515112
2004-05-10,2361027427
2004-05-11,2385830054
2004-05-12,2384108625
2004-05-13,2383423567
2004-05-14,2368949512
2004-05-17,2338297540
2004-05-18,2349311172
2004-05-19,2320046882
2004-05-20,2265277341
2004-05-21,2250820852
2004-05-24,2252524716
2004-05-25,2262185796
2004-05-26,2305239081
2004-05-27,2316252712
2004-05-28,2313161167
2004-06-01,2359657310
2004-06-02,2361027427
2004-06-03,2359305998
2004-06-04,2355863140
2004-06-07,2371022253
2004-06-08,2368615766
2004-06-09,2321083252
2004-06-10,2333818312
2004-06-14,2292820202
2004-06-15,2290765027
2004-06-16,2238401973
2004-06-17,2192608454
2004-06-18,2194329883
2004-06-21,2174006484
2004-06-22,2175394166
2004-06-23,2157828566
2004-06-24,2219817568
2004-06-25,2224630543
2004-06-28,4361574400
2004-06-29,4310360064
2004-06-30,4310360064
2004-07-01,4324704256
2004-07-02,4319934464
2004-07-06,4295319552
2004-07-07,4302178304
2004-07-08,4231849984
2004-07-09,4149266432
2004-07-12,4242782207
2004-07-13,4515182592
2004-07-14,4511735808
2004-07-15,4451016704
2004-07-16,4325400576
2004-07-19,4332886016
2004-07-20,4358162432
2004-07-21,4212074496
2004-07-22,4190906368
2004-07-23,4164968448
2004-07-26,4163575808
2004-07-27,4513128448
2004-07-28,4489906176
2004-07-29,4522668032
2004-07-30,4580706304
2004-08-02,4573882368
2004-08-03,4487190528
2004-08-04,4396390400
2004-08-05,4339048448
2004-08-06,4277598208
2004-08-09,4200445952
2004-08-10,4234600448
2004-08-11,4286476288
2004-08-12,4166326272
2004-08-13,4175900671
2004-08-16,4193622016
2004-08-17,4173150208
2004-08-18,4166326272
2004-08-19,4238012415
2004-08-20,4312414208
2004-08-23,4283760640
2004-08-24,4276936704
2004-08-25,4333582336
2004-08-26,4288530432
2004-08-27,4271435775
2004-08-30,4214128639
2004-08-31,4251660288
2004-09-01,4323346432
2004-09-02,4361226240
2004-09-03,4369094656
2004-09-07,4444157952
2004-09-08,4365647872
2004-09-09,4325400576
2004-09-10,4326758400
2004-09-13,4343121920
2004-09-14,4281706496
2004-09-15,4246194176
