,MTG
2001-06-18,7812133121
2001-06-19,7836689505
2001-06-20,7884734604
2001-06-21,8006448856
2001-06-22,7878328591
2001-06-25,7870854909
2001-06-26,7974418790
2001-06-27,8221050299
2001-06-28,8005381187
2001-06-29,7755546671
2001-07-02,7740117295
2001-07-03,7722928971
2001-07-05,7674586808
2001-07-06,7635913079
2001-07-09,7611204862
2001-07-10,7423207565
2001-07-11,7537080214
2001-07-12,7885143781
2001-07-13,8126854592
2001-07-16,8121483241
2001-07-17,8156934160
2001-07-18,8163379781
2001-07-19,7895886484
2001-07-20,7956045619
2001-07-23,8105369187
2001-07-24,7646655781
2001-07-25,7892663673
2001-07-26,7941005835
2001-07-27,8057027025
2001-07-30,8011907673
2001-07-31,8061324106
2001-08-01,8107517727
2001-08-02,8020501835
2001-08-03,8057027025
2001-08-06,7944228646
2001-08-07,8014056214
2001-08-08,7890515133
2001-08-09,7877623889
2001-08-10,7890515133
2001-08-13,7826058916
2001-08-14,7885143781
2001-08-15,7882995241
2001-08-16,7884069511
2001-08-17,7887292322
2001-08-20,7962491241
2001-08-21,8029095997
2001-08-22,8058101295
2001-08-23,8113963349
2001-08-24,8133300214
2001-08-27,7912000538
2001-08-28,7605833511
2001-08-29,7601536430
2001-08-30,7547822917
2001-08-31,7509149187
2001-09-04,7524188971
2001-09-05,7406019241
2001-09-06,7208353511
2001-09-07,7081589619
2001-09-10,7096629403
2001-09-17,6604613619
2001-09-18,6713114917
2001-09-19,6499335133
2001-09-20,6102929403
2001-09-21,6036324647
2001-09-24,6305966484
2001-09-25,6429507565
2001-09-26,6478923998
2001-09-27,6756085728
2001-09-28,7019281944
2001-10-01,6662137135
2001-10-02,6831324135
2001-10-03,7129263506
2001-10-04,7161185581
2001-10-05,6720660940
2001-10-08,6605741469
2001-10-09,6614254022
2001-10-10,5810881791
2001-10-11,6134358822
2001-10-12,6038592596
2001-10-15,6098180470
2001-10-16,5990709483
2001-10-17,5837483521
2001-10-18,5592747610
2001-10-19,5533159736
2001-10-22,5639566654
2001-10-23,5678937213
2001-10-24,5714051496
2001-10-25,5731076603
2001-10-26,5823650622
2001-10-29,5670424660
2001-10-30,5610836786
2001-10-31,5505493937
2001-11-01,5733204741
2001-11-02,5821522483
2001-11-05,5937506024
2001-11-06,6085411640
2001-11-07,5996029829
2001-11-08,5924737194
2001-11-09,5854508628
2001-11-12,5915160571
2001-11-13,6056681772
2001-11-14,6044977011
2001-11-15,6022631558
2001-11-16,6009862728
2001-11-19,6144999514
2001-11-20,6249278294
2001-11-21,6250342363
2001-11-23,6328019413
2001-11-26,6317378721
2001-11-27,6325891275
2001-11-28,6169473105
2001-11-29,6276944092
2001-11-30,6230125048
2001-12-03,6223740633
2001-12-04,6118397785
2001-12-05,6190754489
2001-12-06,6059873980
2001-12-07,6001350175
2001-12-10,5851316420
2001-12-11,5973684376
2001-12-12,6008798659
2001-12-13,5950274854
2001-12-14,5953467062
2001-12-17,6023695627
2001-12-18,6105628954
2001-12-19,6264175262
2001-12-20,6352493004
2001-12-21,6352493004
2001-12-24,6386543218
2001-12-26,6426977847
2001-12-27,6497206413
2001-12-28,6541897318
2001-12-31,6567434978
2002-01-02,6580203809
2002-01-03,6554666148
2002-01-04,6565306840
2002-01-07,6442938884
2002-01-08,6400376117
2002-01-09,6372710319
2002-01-10,6618510299
2002-01-11,6861118072
2002-01-14,6717468733
2002-01-15,6817491236
2002-01-16,6807914613
2002-01-17,6804722406
2002-01-18,6896232355
2002-01-22,6904744909
2002-01-23,6788761368
2002-01-24,6818555305
2002-01-25,7029241003
2002-01-28,7020728449
2002-01-29,6966460921
2002-01-30,7094149223
2002-01-31,7129263506
2002-02-01,7143096405
2002-02-04,6995190789
2002-02-05,6841964827
2002-02-06,6758967431
2002-02-07,6707892110
2002-02-08,6851541450
2002-02-11,6953692091
2002-02-12,6894104217
2002-02-13,7006895550
2002-02-14,7065419355
2002-02-15,6949435814
2002-02-19,6891976078
2002-02-20,6934538846
2002-02-21,6828131928
2002-02-22,6884527594
2002-02-25,6959012437
2002-02-26,6949435814
2002-02-27,7132455713
2002-02-28,7142032336
2002-03-01,7237798562
2002-03-04,7345269549
2002-03-05,7401665216
2002-03-06,7420818461
2002-03-07,7363358725
2002-03-08,7403793354
2002-03-11,7389960455
2002-03-12,7436779499
2002-03-13,7335692926
2002-03-14,7347397687
2002-03-15,7542122347
2002-03-18,7529353517
2002-03-19,7486790750
2002-03-20,7296322367
2002-03-21,7187787310
2002-03-22,7171826273
2002-03-25,7015408103
2002-03-26,7128199436
2002-03-27,7317603750
2002-03-28,7281425398
2002-04-01,7123909130
2002-04-02,7184914110
2002-04-03,7022935370
2002-04-04,7094458450
2002-04-05,7159670669
2002-04-08,7179655060
2002-04-09,7452073849
2002-04-10,7553047610
2002-04-11,7636140599
2002-04-12,7743425220
2002-04-15,7599327250
2002-04-16,7630881550
2002-04-17,7594068200
2002-04-18,7594068200
2002-04-19,7639296029
2002-04-22,7588809150
2002-04-23,7546736750
2002-04-24,7537270460
2002-04-25,7434193080
2002-04-26,7414208689
2002-04-29,7342685610
2002-04-30,7505716160
2002-05-01,7538322270
2002-05-02,7596171820
2002-05-03,7513078830
2002-05-06,7485731770
2002-05-07,7522545120
2002-05-08,7557254849
2002-05-09,7479420910
2002-05-10,7473110050
2002-05-13,7573032000
2002-05-14,7604586300
2002-05-15,7637192410
2002-05-16,7645606890
2002-05-17,7683472050
2002-05-20,7601430870
2002-05-21,7413156880
2002-05-22,7498353490
2002-05-23,7521493310
2002-05-24,7506767970
2002-05-28,7455229279
2002-05-29,7484679960
2002-05-30,7570928380
2002-05-31,7655073180
2002-06-03,7560410279
2002-06-04,7519389689
2002-06-05,7569876570
2002-06-06,7510975210
2002-06-07,7614052590
2002-06-10,7587757340
2002-06-11,7278525200
2002-06-12,7178603250
2002-06-13,7022935370
2002-06-14,7143893520
2002-06-17,7324804840
2002-06-18,7204898500
2002-06-19,7205950310
2002-06-20,7181758680
2002-06-21,7144945330
2002-06-24,7099717500
2002-06-25,7013469080
2002-06-26,6973500300
2002-06-27,6994536500
2002-06-28,7131271800
2002-07-01,6987686357
2002-07-02,6811370234
2002-07-03,6704137036
2002-07-05,6855707037
2002-07-08,6784561935
2002-07-09,6640209553
2002-07-10,6201996966
2002-07-11,6193748259
2002-07-12,6192717170
2002-07-15,6142193837
2002-07-16,6072079823
2002-07-17,5785437236
2002-07-18,5534882745
2002-07-19,5617369821
2002-07-22,5491577031
2002-07-23,5452395670
2002-07-24,5653457916
2002-07-25,5673048596
2002-07-26,5979281863
2002-07-29,6285515130
2002-07-30,6494826083
2002-07-31,6495857172
2002-08-01,6403059212
2002-08-02,6072079823
2002-08-05,5880297373
2002-08-06,5929789618
2002-08-07,5938038325
2002-08-08,6157660163
2002-08-09,6321603225
2002-08-12,6266955538
2002-08-13,6083421796
2002-08-14,6238085062
2002-08-15,6282421864
2002-08-16,6209214585
2002-08-19,6331914110
2002-08-20,6195810435
2002-08-21,6216432204
2002-08-22,6519572206
2002-08-23,6415432273
2002-08-26,6460800165
2002-08-27,6346349348
2002-08-28,6216432204
2002-08-29,6278297511
2002-08-30,6208183497
2002-09-03,5984437305
2002-09-04,6024649754
2002-09-05,5986499482
2002-09-06,6019494312
2002-09-09,6082390707
