,PXD
2000-10-02,1371403260
2000-10-03,1365500520
2000-10-04,1365500520
2000-10-05,1365500520
2000-10-06,1383208740
2000-10-09,1395998010
2000-10-10,1390095270
2000-10-11,1395998010
2000-10-12,1426495500
2000-10-13,1383208740
2000-10-16,1365500520
2000-10-17,1371403260
2000-10-18,1328116500
2000-10-19,1340905770
2000-10-20,1365500520
2000-10-23,1340905770
2000-10-24,1334019240
2000-10-25,1254332250
2000-10-26,1284829740
2000-10-27,1267121520
2000-10-30,1297619010
2000-10-31,1284829740
2000-11-01,1334019240
2000-11-02,1340905770
2000-11-03,1322213760
2000-11-06,1316311020
2000-11-07,1316311020
2000-11-08,1328116500
2000-11-09,1316311020
2000-11-10,1267121520
2000-11-13,1235640240
2000-11-14,1260234990
2000-11-15,1358613990
2000-11-16,1414690020
2000-11-17,1371403260
2000-11-20,1358613990
2000-11-21,1407803490
2000-11-22,1414690020
2000-11-24,1439284770
2000-11-27,1414690020
2000-11-28,1414690020
2000-11-29,1420592760
2000-11-30,1426495500
2000-12-01,1439284770
2000-12-04,1451090250
2000-12-05,1445187510
2000-12-06,1463879520
2000-12-07,1456992990
2000-12-08,1500279750
2000-12-11,1530777240
2000-12-12,1506182490
2000-12-13,1475685000
2000-12-14,1445187510
2000-12-15,1439284770
2000-12-18,1475685000
2000-12-19,1555371990
2000-12-20,1555371990
2000-12-21,1691135010
2000-12-22,1702940489
2000-12-26,1942985250
2000-12-27,1973482739
2000-12-28,1986272010
2000-12-29,1937082510
2001-01-02,1881990270
2001-01-03,1795416750
2001-01-04,1715729760
2001-01-05,1770822000
2001-01-08,1918390500
2001-01-09,1825914239
2001-01-10,1906585020
2001-01-11,1820011500
2001-01-12,1808206020
2001-01-16,1752129989
2001-01-17,1734421770
2001-01-18,1660637520
2001-01-19,1678345739
2001-01-22,1734421770
2001-01-23,1752129989
2001-01-24,1776724739
2001-01-25,1746227250
2001-01-26,1721632500
2001-01-29,1770822000
2001-01-30,1721632500
2001-01-31,1721632500
2001-02-01,1706875650
2001-02-02,1718681130
2001-02-05,1770822000
2001-02-06,1780659900
2001-02-07,1824930450
2001-02-08,1780659900
2001-02-09,1871168580
2001-02-12,1838703510
2001-02-13,1865265840
2001-02-14,1848541410
2001-02-15,1770822000
2001-02-16,1809189810
2001-02-20,1767870630
2001-02-21,1706875650
2001-02-22,1668507840
2001-02-23,1681297110
2001-02-26,1700972910
2001-02-27,1645880670
2001-02-28,1657686150
2001-03-01,1671459209
2001-03-02,1658669940
2001-03-05,1740324510
2001-03-06,1726551450
2001-03-07,1957742099
2001-03-08,1942001459
2001-03-09,1942985250
2001-03-12,1829849400
2001-03-13,1749178620
2001-03-14,1706875650
2001-03-15,1652767200
2001-03-16,1638010349
2001-03-19,1692118800
2001-03-20,1678345739
2001-03-21,1617350760
2001-03-22,1593739800
2001-03-23,1668507840
2001-03-26,1628172450
2001-03-27,1642929300
2001-03-28,1583901900
2001-03-29,1524874500
2001-03-30,1544550300
2001-04-02,1475055000
2001-04-03,1406219100
2001-04-04,1484888700
2001-04-05,1600926360
2001-04-06,1524223500
2001-04-09,1616660280
2001-04-10,1655995080
2001-04-11,1627477350
2001-04-12,1666812150
2001-04-16,1698279990
2001-04-17,1730731200
2001-04-18,1665828780
2001-04-19,1637311049
2001-04-20,1720897500
2001-04-23,1747448490
2001-04-24,1796616990
2001-04-25,1927405200
2001-04-26,1967723370
2001-04-27,1926421830
2001-04-30,1879220070
2001-05-01,1843818750
2001-05-02,1770066000
2001-05-03,1809400799
2001-05-04,1901837580
2001-05-07,1848735600
2001-05-08,1836935160
2001-05-09,1855619190
2001-05-10,1851685709
2001-05-11,1861519410
2001-05-14,1930355310
2001-05-15,2185048140
2001-05-16,2172264330
2001-05-17,2202748800
2001-05-18,2224382940
2001-05-21,2261751000
2001-05-22,2197831950
2001-05-23,2114245500
2001-05-24,2116212240
2001-05-25,2116212240
2001-05-29,2085727770
2001-05-30,2026725570
2001-05-31,2074910700
2001-06-01,2106378540
2001-06-04,2163414000
2001-06-05,2168330850
2001-06-06,2045409600
2001-06-07,2034592530
2001-06-08,2050326450
2001-06-11,2044426230
2001-06-12,2041476120
2001-06-13,2015908500
2001-06-14,1986407400
2001-06-15,1993290990
2001-06-18,2001157950
2001-06-19,1956906299
2001-06-20,1894953990
2001-06-21,1821201240
2001-06-22,1833985049
2001-06-25,1757282190
2001-06-26,1783833180
2001-06-27,1721880870
2001-06-28,1671729000
2001-06-29,1676645850
2001-07-02,1654262400
2001-07-03,1639492199
2001-07-05,1650323680
2001-07-06,1675925360
2001-07-09,1599120319
2001-07-10,1595181600
2001-07-11,1518376560
2001-07-12,1526254000
2001-07-13,1545947600
2001-07-16,1496713600
2001-07-17,1516407200
2001-07-18,1521330600
2001-07-19,1487851480
2001-07-20,1575488000
2001-07-23,1641461560
2001-07-24,1570564600
2001-07-25,1650323680
2001-07-26,1699557680
2001-07-27,1720235960
2001-07-30,1673956000
2001-07-31,1672971319
2001-08-01,1743868280
2001-08-02,1769469960
2001-08-03,1698573000
2001-08-06,1678879400
2001-08-07,1703496400
2001-08-08,1651308360
2001-08-09,1644415600
2001-08-10,1709404480
2001-08-13,1741898920
2001-08-14,1792117600
2001-08-15,1891570280
2001-08-16,1896493680
2001-08-17,1876800079
2001-08-20,1831504800
2001-08-21,1793102280
2001-08-22,1792117600
2001-08-23,1821658000
2001-08-24,1781286120
2001-08-27,1749776360
2001-08-28,1713343199
2001-08-29,1768485280
2001-08-30,1733036800
2001-08-31,1723190000
2001-09-04,1802949079
2001-09-05,1821658000
2001-09-06,1803933760
2001-09-07,1854152439
2001-09-10,1814765240
2001-09-17,1831504800
2001-09-18,1708419800
2001-09-19,1569579920
2001-09-20,1564656520
2001-09-21,1570564600
2001-09-24,1457326400
2001-09-25,1426801320
2001-09-26,1256451680
2001-09-27,1360827760
2001-09-28,1401199640
2001-10-01,1420350750
2001-10-02,1445323950
2001-10-03,1456770000
2001-10-04,1531689600
2001-10-05,1568108850
2001-10-08,1568108850
2001-10-09,1621176900
2001-10-10,1706501999
2001-10-11,1664880000
2001-10-12,1652393400
2001-10-15,1617014700
2001-10-16,1687772100
2001-10-17,1641987900
2001-10-18,1613893050
2001-10-19,1664880000
2001-10-22,1663839450
2001-10-23,1653433950
2001-10-24,1748124000
2001-10-25,1806394800
2001-10-26,1871949449
2001-10-29,1825124700
2001-10-30,1775178299
2001-10-31,1769975550
2001-11-01,1767894449
2001-11-02,1731475200
2001-11-05,1702339800
2001-11-06,1765813350
2001-11-07,1805354250
2001-11-08,1828246350
2001-11-09,1880273850
2001-11-12,1853219549
2001-11-13,1852179000
2001-11-14,1767894449
2001-11-15,1592041500
2001-11-16,1606609200
2001-11-19,1641987900
2001-11-20,1706501999
2001-11-21,1706501999
2001-11-23,1766853900
2001-11-26,1725231899
2001-11-27,1727313000
2001-11-28,1690893750
2001-11-29,1729394100
2001-11-30,1742921250
2001-12-03,1784543249
2001-12-04,1815759750
2001-12-05,1872990000
2001-12-06,1819921949
2001-12-07,1841773500
2001-12-10,1825124700
2001-12-11,1800151500
2001-12-12,1799110950
2001-12-13,1768935000
2001-12-14,1819921949
2001-12-17,1820962500
2001-12-18,1820962500
2001-12-19,1894841550
2001-12-20,1894841550
2001-12-21,1951031250
2001-12-24,1987450500
2001-12-26,1999937100
2001-12-27,2014504800
2001-12-28,2023869750
2001-12-31,2004099300
2002-01-02,1920855300
2002-01-03,1894841550
2002-01-04,1896922650
2002-01-07,1879233299
2002-01-08,1878192750
2002-01-09,1818881400
2002-01-10,1783502700
2002-01-11,1745002350
2002-01-14,1676326050
2002-01-15,1729394100
2002-01-16,1748124000
2002-01-17,1767894449
2002-01-18,1735637400
2002-01-22,1701299250
2002-01-23,1788705450
2002-01-24,1825124700
2002-01-25,1846976250
2002-01-28,1820962500
2002-01-29,1780381050
2002-01-30,1797029850
2002-01-31,1812638100
2002-02-01,1851138450
2002-02-04,1817840850
2002-02-05,1823043600
2002-02-06,1815759750
2002-02-07,1850097900
2002-02-08,1923976949
2002-02-11,1930220250
2002-02-12,1900044300
2002-02-13,1887557700
2002-02-14,1945828500
2002-02-15,1904206500
2002-02-19,1876111650
2002-02-20,1910449800
2002-02-21,1945828500
2002-02-22,1976004449
2002-02-25,2028031949
2002-02-26,2016585900
2002-02-27,2029072500
2002-02-28,2062370100
2002-03-01,2055086250
2002-03-04,2081100000
2002-03-05,2074856700
2002-03-06,2122721999
2002-03-07,2211168750
2002-03-08,2157060150
2002-03-11,2215330950
2002-03-12,2198682150
2002-03-13,2152897950
2002-03-14,2182033350
2002-03-15,2256952950
2002-03-18,2272561200
2002-03-19,2264236800
2002-03-20,2249669100
2002-03-21,2296493850
2002-03-22,2274642300
2002-03-25,2211168750
2002-03-26,2208047100
2002-03-27,2300656050
2002-03-28,2319385950
2002-04-01,2565247840
2002-04-02,2623033900
2002-04-03,2575445380
2002-04-04,2475736100
2002-04-05,2444010420
2002-04-08,2539187460
2002-04-09,2446276540
2002-04-10,2564114780
2002-04-11,2578844560
2002-04-12,2444010420
2002-04-15,2483667520
2002-04-16,2502929540
2002-04-17,2642295920
2002-04-18,2618501660
2002-04-19,2646828160
2002-04-22,2635497560
2002-04-23,2633231440
2002-04-24,2589042100
2002-04-25,2687618320
2002-04-26,2698948920
2002-04-29,2719344000
2002-04-30,2718210940
2002-05-01,2757868040
2002-05-02,2773730880
2002-05-03,2816787160
2002-05-06,2747670500
2002-05-07,2713678700
2002-05-08,2825851640
2002-05-09,2718210940
2002-05-10,2729541540
2002-05-13,2787327600
2002-05-14,2804323500
2002-05-15,2759001100
2002-05-16,2785061480
2002-05-17,2765799460
2002-05-20,2774863940
2002-05-21,2762400280
2002-05-22,2726142360
2002-05-23,2809988800
2002-05-24,2787327600
2002-05-28,2737472960
2002-05-29,2730674600
2002-05-30,2674021600
2002-05-31,2734073780
2002-06-03,2664957120
2002-06-04,2628699200
2002-06-05,2581110680
2002-06-06,2596973520
2002-06-07,2617368600
2002-06-10,2572046200
2002-06-11,2548251940
2002-06-12,2594707400
2002-06-13,2612836360
2002-06-14,2644562040
2002-06-17,2759001100
2002-06-18,2740872140
2002-06-19,2787327600
2002-06-20,2788460660
2002-06-21,2815654100
2002-06-24,2815654100
2002-06-25,2857577320
2002-06-26,2857577320
2002-06-27,2832650000
2002-06-28,2951621300
2002-07-01,2939682900
2002-07-02,2822327970
2002-07-03,2773526910
2002-07-05,2869967100
2002-07-08,2759583750
2002-07-09,2715430410
2002-07-10,2691029880
2002-07-11,2645714610
2002-07-12,2566703370
2002-07-15,2471425110
2002-07-16,2507444940
2002-07-17,2550436350
2002-07-18,2575998810
2002-07-19,2528359680
2002-07-22,2422624050
2002-07-23,2387766150
2002-07-24,2492339850
2002-07-25,2450510370
2002-07-26,2543464770
2002-07-29,2689867950
2002-07-30,2702649180
2002-07-31,2813032530
2002-08-01,2674762860
2002-08-02,2624799870
2002-08-05,2517902310
2002-08-06,2579484600
2002-08-07,2613180570
2002-08-08,2742154800
2002-08-09,2872290960
2002-08-12,2851376220
2002-08-13,2793279720
2002-08-14,2865319380
2002-08-15,2980350450
2002-08-16,2991969750
2002-08-19,2997779400
2002-08-20,2917606230
2002-08-21,2957111850
2002-08-22,2957111850
2002-08-23,2924577810
2002-08-26,2926901670
2002-08-27,2918768160
2002-08-28,2832785340
2002-08-29,2859509730
2002-08-30,2892043770
2002-09-03,2774688840
2002-09-04,2836271130
2002-09-05,2885072190
2002-09-06,2922253950
2002-09-09,2932711320
2002-09-10,3003589050
2002-09-11,3007074840
2002-09-12,2904825000
2002-09-13,2964083430
2002-09-16,2846728500
2002-09-17,2707296900
2002-09-18,2738669010
2002-09-19,2727049710
2002-09-20,2684058300
2002-09-23,2728211640
2002-09-24,2768879190
2002-09-25,2831623410
2002-09-26,2897853420
2002-09-27,2865319380
2002-09-30,2820735750
2002-10-01,2960318550
2002-10-02,3053373750
2002-10-03,3075474360
2002-10-04,3012662100
2002-10-07,2944033890
2002-10-08,2912627760
2002-10-09,2933565180
2002-10-10,2937054750
2002-10-11,2926586040
2002-10-14,3021967620
2002-10-15,3081290310
2002-10-16,3006846150
2002-10-17,3151081710
2002-10-18,3151081710
2002-10-21,3153408090
2002-10-22,2973113640
2002-10-23,3016151670
2002-10-24,2917280520
2002-10-25,2850978690
2002-10-28,2862610590
2002-10-29,2747454780
2002-10-30,2812593420
2002-10-31,2892853530
2002-11-01,2850978690
2002-11-04,2782350480
2002-11-05,2817246180
2002-11-06,2811430230
2002-11-07,2789329620
2002-11-08,2673010620
2002-11-11,2628809400
2002-11-12,2626483020
2002-11-13,2552038860
2002-11-14,2654399580
2002-11-15,2742802020
2002-11-18,2820735750
2002-11-19,2780024100
2002-11-20,2942870700
2002-11-21,2843999550
2002-11-22,2776534530
2002-11-25,2818409370
2002-11-26,2787003240
2002-11-27,2849815500
2002-11-29,2868426540
2002-12-02,2903322240
2002-12-03,2934728370
2002-12-04,2904485430
2002-12-05,2942870700
2002-12-06,3037089090
2002-12-09,3008009340
2002-12-10,3001030200
2002-12-11,3001030200
2002-12-12,3032436330
2002-12-13,3009172530
2002-12-16,3111533250
2002-12-17,3070821600
2002-12-18,3024294000
2002-12-19,2954502600
2002-12-20,3020804430
2002-12-23,3059189700
2002-12-24,3034762710
2002-12-26,3003356580
2002-12-27,2913790950
2002-12-30,2905648620
2002-12-31,2947760750
2003-01-02,3048159730
2003-01-03,3028313420
2003-01-06,3020141410
2003-01-07,2867208080
2003-01-08,2814673730
2003-01-09,2884719530
2003-01-10,2848529200
2003-01-13,2825180600
2003-01-14,2807669150
2003-01-15,2919742430
2003-01-16,3002629960
2003-01-17,2969941920
2003-01-21,2925579580
2003-01-22,2883552100
2003-01-23,2919742430
2003-01-24,2867208080
2003-01-27,2732953630
2003-01-28,2781985690
2003-01-29,2813506300
2003-01-30,2778483400
2003-01-31,2834520040
2003-02-03,2833352610
2003-02-04,2940756170
2003-02-05,2875380090
2003-02-06,2895226400
2003-02-07,2912737850
2003-02-10,2941923600
2003-02-11,2915072710
2003-02-12,2842692050
2003-02-13,2800664570
2003-02-14,2831017750
2003-02-18,2871877800
2003-02-19,2892891540
2003-02-20,2908068130
2003-02-21,3010801970
2003-02-24,3153228430
2003-02-25,3145056420
2003-02-26,3108866090
2003-02-27,3037652860
2003-02-28,3052829450
2003-03-03,3075010620
2003-03-04,3136884410
2003-03-05,3154395860
2003-03-06,3145056420
2003-03-07,3118205530
2003-03-10,3090187210
2003-03-11,3046992300
2003-03-12,2969941920
2003-03-13,2944258460
2003-03-14,2901063550
2003-03-17,2833352610
2003-03-18,2895226400
2003-03-19,2918575000
2003-03-20,2979281360
2003-03-21,2920909860
2003-03-24,2888221820
2003-03-25,2952430470
2003-03-26,2925579580
2003-03-27,2943091030
2003-03-28,2936086450
2003-03-31,2936825500
2003-04-01,3078401550
2003-04-02,3122863450
2003-04-03,3025749300
2003-04-04,3045640150
2003-04-07,3017558950
2003-04-08,2989477750
2003-04-09,3005858450
2003-04-10,3045640150
2003-04-11,3001178250
2003-04-14,3016388900
2003-04-15,3036279750
2003-04-16,3023409200
2003-04-17,2994157950
2003-04-21,3032769600
2003-04-22,3016388900
2003-04-23,2985967600
2003-04-24,2962566600
2003-04-25,2918104700
2003-04-28,2894703700
2003-04-29,2748447450
2003-04-30,2798759600
2003-05-01,2810460100
2003-05-02,2843221500
2003-05-05,2808120000
2003-05-06,2765998200
2003-05-07,2761318000
2003-05-08,2783548950
2003-05-09,2761318000
2003-05-12,2770678400
2003-05-13,2860772250
2003-05-14,2907574250
2003-05-15,2920444800
2003-05-16,2930975250
2003-05-19,2865452450
2003-05-20,2830350950
2003-05-21,2994157950
2003-05-22,2992987900
2003-05-23,3062020850
2003-05-27,3111162950
2003-05-28,3007028500
2003-05-29,2975437150
2003-05-30,3128713700
2003-06-02,3112333000
2003-06-03,3122863450
2003-06-04,3148604550
2003-06-05,3119353300
2003-06-06,3107652800
2003-06-09,3088932000
2003-06-10,3159135000
2003-06-11,3292520700
2003-06-12,3252739000
2003-06-13,3164985250
2003-06-16,3138074100
2003-06-17,3077231500
2003-06-18,3019899050
2003-06-19,3119353300
2003-06-20,3121693400
2003-06-23,3117013200
2003-06-24,3059680750
2003-06-25,3104142650
2003-06-26,3072551300
2003-06-27,3077231500
2003-06-30,3059337600
2003-07-01,3073403520
2003-07-02,3041755200
2003-07-03,3083952960
2003-07-07,3041755200
2003-07-08,3004246080
2003-07-09,3028861440
2003-07-10,2937432960
2003-07-11,2930400000
2003-07-14,2913989760
2003-07-15,2894063040
2003-07-16,2889374400
2003-07-17,2848348800
2003-07-18,2926883520
2003-07-21,2881169280
2003-07-22,2882341440
2003-07-23,2837799360
2003-07-24,2813184000
2003-07-25,2817872640
2003-07-28,2776847040
2003-07-29,2745198720
2003-07-30,2724099840
2003-07-31,2813184000
2003-08-01,2773330560
2003-08-04,2710033920
2003-08-05,2674869120
2003-08-06,2779191360
2003-08-07,2867103360
2003-08-08,2884685760
2003-08-11,2989008000
2003-08-12,2994868800
2003-08-13,2989008000
2003-08-14,2943293760
2003-08-15,3011279040
2003-08-18,2998385280
2003-08-19,2953843200
2003-08-20,2992524480
2003-08-21,3041755200
2003-08-22,3021828480
2003-08-25,2989008000
2003-08-26,2931572160
2003-08-27,2923367040
2003-08-28,2953843200
2003-08-29,2972597760
2003-09-02,2939777280
2003-09-03,2931572160
2003-09-04,2930400000
2003-09-05,2918678400
2003-09-08,2947982400
2003-09-09,2936260800
2003-09-10,2944465920
2003-09-11,2903440320
2003-09-12,2869447680
2003-09-15,2854209600
2003-09-16,2853037440
2003-09-17,2813184000
2003-09-18,2876480640
2003-09-19,2937432960
2003-09-22,2922194880
2003-09-23,2942121600
2003-09-24,2989008000
2003-09-25,2959704000
2003-09-26,2939777280
2003-09-29,2969081280
2003-09-30,3011357880
2003-10-01,3046841280
2003-10-02,3092969700
2003-10-03,3152108700
2003-10-06,3163936500
2003-10-07,3165119280
2003-10-08,3126087540
2003-10-09,3111894180
2003-10-10,3161570940
2003-10-13,3116625300
2003-10-14,3084690240
2003-10-15,3010175100
2003-10-16,3070496880
2003-10-17,3022002900
2003-10-20,3030282360
2003-10-21,3033830700
2003-10-22,3039744600
2003-10-23,3046841280
2003-10-24,3042110160
2003-10-27,2998347300
2003-10-28,3046841280
2003-10-29,3110711400
2003-10-30,3077593560
2003-10-31,3128453100
2003-11-03,3134367000
2003-11-04,3098883600
2003-11-05,3101249160
2003-11-06,3111894180
2003-11-07,3126087540
2003-11-10,3154474260
2003-11-11,3130818660
2003-11-12,3186409320
2003-11-13,3211247700
2003-11-14,3202968240
2003-11-17,3179312640
2003-11-18,3208882140
2003-11-19,3192323220
2003-11-20,3205333800
2003-11-21,3173398740
2003-11-24,3223075500
2003-11-25,3249096660
2003-11-26,3328342920
2003-11-28,3354364080
2003-12-01,3382750800
2003-12-02,3408771960
2003-12-03,3400492500
2003-12-04,3486835440
2003-12-05,3492749340
2003-12-08,3567264480
2003-12-09,3515222160
2003-12-10,3451352040
2003-12-11,3529415520
2003-12-12,3587371740
2003-12-15,3545974440
2003-12-16,3642962400
2003-12-17,3687908040
2003-12-18,3836938319
2003-12-19,3808551600
2003-12-22,3728122560
2003-12-23,3697370280
2003-12-24,3751778160
2003-12-26,3802637700
2003-12-29,3873604500
2003-12-30,3873604500
2003-12-31,3790697670
2004-01-02,3782387340
2004-01-05,3888047250
2004-01-06,3853618740
2004-01-07,3799008000
2004-01-08,3793072050
2004-01-09,3869052210
2004-01-12,3905855100
2004-01-13,3893983199
2004-01-14,3877362539
2004-01-15,3828687750
2004-01-16,3825126180
2004-01-20,3923662949
2004-01-21,3915352619
2004-01-22,3912978240
2004-01-23,4032884430
2004-01-26,4017450960
2004-01-27,3977086500
2004-01-28,3888047250
2004-01-29,3841746840
2004-01-30,3789510480
2004-02-02,3746771640
2004-02-03,3721840650
2004-02-04,3664855530
2004-02-05,3548510910
2004-02-06,3567505950
2004-02-09,3620929500
2004-02-10,3680289000
2004-02-11,3724215030
2004-02-12,3680289000
2004-02-13,3662481150
2004-02-17,3686224950
2004-02-18,3632801400
2004-02-19,3595998510
2004-02-20,3573441900
2004-02-23,3593624130
2004-02-24,3622116690
2004-02-25,3686224950
2004-02-26,3751520400
2004-02-27,3813254279
2004-03-01,3923662949
2004-03-02,3908229480
2004-03-03,3933160470
2004-03-04,3917727000
2004-03-05,4002017490
2004-03-08,4018638150
2004-03-09,3980648070
2004-03-10,3916539810
2004-03-11,3870239400
2004-03-12,3936722039
2004-03-15,3974712119
2004-03-16,3909416670
2004-03-17,3975899310
2004-03-18,3991332779
2004-03-19,3937909230
2004-03-22,3860741880
2004-03-23,3844121220
2004-03-24,3732525360
2004-03-25,3756269160
2004-03-26,3822751800
2004-03-29,3934347660
2004-03-30,3840559650
2004-03-31,3839016499
2004-04-01,3743932500
2004-04-02,3741555400
2004-04-05,3785531750
2004-04-06,3720161500
2004-04-07,3742743950
2004-04-08,3792663050
2004-04-12,3919837899
2004-04-13,3879427200
2004-04-14,3906763849
2004-04-15,4041070000
2004-04-16,4088612000
2004-04-19,4082669250
2004-04-20,3948363100
2004-04-21,3999470750
2004-04-22,4041070000
2004-04-23,4017298999
2004-04-26,4050578400
2004-04-27,4100497500
2004-04-28,4017298999
2004-04-29,3887747050
2004-04-30,3887747050
2004-05-03,3984019600
2004-05-04,3874673000
2004-05-05,3860410399
2004-05-06,3753440900
2004-05-07,3585855350
2004-05-10,3529993500
2004-05-11,3690447750
2004-05-12,3728481350
2004-05-13,3632208800
2004-05-14,3709464550
2004-05-17,3755818000
2004-05-18,3650037050
2004-05-19,3623888950
2004-05-20,3610814900
2004-05-21,3565650000
2004-05-24,3743932500
2004-05-25,3779589000
2004-05-26,3743932500
2004-05-27,3660734000
2004-05-28,3678562250
2004-06-01,3722538600
2004-06-02,3694013400
2004-06-03,3631020250
2004-06-04,3621511850
2004-06-07,3686882100
2004-06-08,3726104250
2004-06-09,3748686700
2004-06-10,3839016499
2004-06-14,3791474500
2004-06-15,3905575300
2004-06-16,4013733350
2004-06-17,4054144050
2004-06-18,4086234900
2004-06-21,4061275350
2004-06-22,4112383000
2004-06-23,4150416600
2004-06-24,4110005900
2004-06-25,4159925000
2004-06-28,4063652449
2004-06-29,4134965450
2004-06-30,4162698040
2004-07-01,4128285770
2004-07-02,4159138149
2004-07-06,4152018370
2004-07-07,4176937600
2004-07-08,4165071300
2004-07-09,4182870750
2004-07-12,4181684120
2004-07-13,4140152070
2004-07-14,4155578260
2004-07-15,4153205000
2004-07-16,4315773310
2004-07-19,4375104810
2004-07-20,4381037960
2004-07-21,4348998950
2004-07-22,4331199500
2004-07-23,4258815070
2004-07-26,4122352620
2004-07-27,4229149320
2004-07-28,4254068550
2004-07-29,4269494739
2004-07-30,4277801149
2004-08-02,4184057380
2004-08-03,4245762140
2004-08-04,4035728630
2004-08-05,3838748050
2004-08-06,3797216000
2004-08-09,3938424969
2004-08-10,3892146399
2004-08-11,3862480649
2004-08-12,3726018200
2004-08-13,3824508489
2004-08-16,3826881750
2004-08-17,3702285600
2004-08-18,3777043290
2004-08-19,3767550250
2004-08-20,3892146399
2004-08-23,3838748050
2004-08-24,3787722960
2004-08-25,3807895670
2004-08-26,3856547500
2004-08-27,3956224420
2004-08-30,3873160320
2004-08-31,3969277350
2004-09-01,4093873500
