,CTAS
2000-11-08,8157379332
2000-11-09,8095858127
2000-11-10,7907969039
2000-11-13,7814855863
2000-11-14,7804879451
2000-11-15,7783263892
2000-11-16,7824832274
2000-11-17,8032674185
2000-11-20,8064266156
2000-11-21,8252155244
2000-11-22,8479949979
2000-11-24,8581376831
2000-11-27,8697768301
2000-11-28,8318664655
2000-11-29,8659525390
2000-11-30,8740985625
2000-12-01,8559096250
2000-12-04,8397798125
2000-12-05,8569391875
2000-12-06,8246795625
2000-12-07,8312001250
2000-12-08,8236500000
2000-12-11,7979109375
2000-12-12,7744025937
2000-12-13,7764617187
2000-12-14,7774912812
2000-12-15,8054610625
2000-12-18,8130111875
2000-12-19,8203897187
2000-12-20,8001416562
2000-12-21,8644893125
2000-12-22,8837078125
2000-12-26,9190561250
2000-12-27,9147662812
2000-12-28,9084173125
2000-12-29,9127071562
2001-01-02,8644893125
2001-01-03,8589983125
2001-01-04,8536789062
2001-01-05,8160998750
2001-01-08,8236500000
2001-01-09,8536789062
2001-01-10,8322296875
2001-01-11,8001416562
2001-01-12,7625626250
2001-01-16,7721718750
2001-01-17,7903608125
2001-01-18,7925915312
2001-01-19,8032303437
2001-01-22,7860709687
2001-01-23,8173010312
2001-01-24,7936210937
2001-01-25,8183305937
2001-01-26,8322296875
2001-01-29,8493890625
2001-01-30,8140407500
2001-01-31,8011712187
2001-02-01,7797220000
2001-02-02,7550125000
2001-02-05,7807515625
2001-02-06,7829822812
2001-02-07,8022007812
2001-02-08,8044315000
2001-02-09,8215908750
2001-02-12,8236500000
2001-02-13,7915619687
2001-02-14,7989405000
2001-02-15,7915619687
2001-02-16,7687399999
2001-02-20,7721718750
2001-02-21,7744025937
2001-02-22,7689115937
2001-02-23,7443736875
2001-02-26,7883016875
2001-02-27,7335632812
2001-02-28,6012757870
2001-03-01,6198048298
2001-03-02,6124599840
2001-03-05,6082867762
2001-03-06,6259811775
2001-03-07,6218079696
2001-03-08,6186363316
2001-03-09,6176347618
2001-03-12,5947655827
2001-03-13,5852506688
2001-03-14,5675562676
2001-03-15,5947655827
2001-03-16,6019435002
2001-03-19,6353291630
2001-03-20,5905923749
2001-03-21,6218079696
2001-03-22,6436755787
2001-03-23,6615369083
2001-03-26,6675463276
2001-03-27,6618707650
2001-03-28,6560282740
2001-03-29,6468472167
2001-03-30,6580314137
2001-04-02,6423401522
2001-04-03,6101229876
2001-04-04,6226426112
2001-04-05,6410047257
2001-04-06,6309890269
2001-04-09,6319905968
2001-04-10,6607022668
2001-04-11,6710518222
2001-04-12,6727211054
2001-04-16,6568629155
2001-04-17,6773950982
2001-04-18,7246358110
2001-04-19,7147870405
2001-04-20,6939210012
2001-04-23,6970926392
2001-04-24,6882454386
2001-04-25,7057729115
2001-04-26,7000973489
2001-04-27,7217980297
2001-04-30,7313129436
2001-05-01,7772182299
2001-05-02,7939110613
2001-05-03,7611931118
2001-05-04,7436656388
2001-05-07,7341507249
2001-05-08,7336499400
2001-05-09,7309790870
2001-05-10,7308121586
2001-05-11,7176248218
2001-05-14,7329822267
2001-05-15,7344845816
2001-05-16,7752150902
2001-05-17,7889032119
2001-05-18,7853977173
2001-05-21,8221219464
2001-05-22,8184495235
2001-05-23,8029251903
2001-05-24,8201188066
2001-05-25,8062637566
2001-05-29,7934102764
2001-05-30,7842292191
2001-05-31,7990986651
2001-06-01,8138333317
2001-06-04,8059519984
2001-06-05,8229139983
2001-06-06,7996126651
2001-06-07,8059519984
2001-06-08,7860773318
2001-06-11,7812799984
2001-06-12,7972139984
2001-06-13,7855633318
2001-06-14,7691153318
2001-06-15,7788813318
2001-06-18,7802519984
2001-06-19,7716853318
2001-06-20,8011546651
2001-06-21,8148613317
2001-06-22,7867626651
2001-06-25,7889899984
2001-06-26,7754546651
2001-06-27,7840213318
2001-06-28,8025253317
2001-06-29,7924166651
2001-07-02,7883046651
2001-07-03,7927593317
2001-07-05,7919026651
2001-07-06,7473559985
2001-07-09,7533526652
2001-07-10,8074939984
2001-07-11,8061233317
2001-07-12,8295959983
2001-07-13,8342219983
2001-07-16,8362779983
2001-07-17,8570093316
2001-07-18,8571806649
2001-07-19,8731146649
2001-07-20,8811673316
2001-07-23,8772266649
2001-07-24,8712299983
2001-07-25,8851079982
2001-07-26,8981293315
2001-07-27,8864786649
2001-07-30,8650619983
2001-07-31,8595793316
2001-08-01,8643766649
2001-08-02,8671179983
2001-08-03,8561526650
2001-08-06,8438166650
2001-08-07,8422746650
2001-08-08,8112633317
2001-08-09,8129766650
2001-08-10,8155466650
2001-08-13,8249699983
2001-08-14,8176026650
2001-08-15,8008119984
2001-08-16,8086933317
2001-08-17,7814513318
2001-08-20,8184593317
2001-08-21,8302813317
2001-08-22,8395333317
2001-08-23,8167459984
2001-08-24,8345646650
2001-08-27,8337079983
2001-08-28,8050953317
2001-08-29,7876193318
2001-08-30,8045813317
2001-08-31,7902442560
2001-09-04,7885469960
2001-09-05,7849827500
2001-09-06,7722533000
2001-09-07,7712349440
2001-09-10,7593541240
2001-09-17,6968949560
2001-09-18,6989316680
2001-09-19,6789040000
2001-09-20,6593855100
2001-09-21,6436009920
2001-09-24,6772067400
2001-09-25,6688901659
2001-09-26,6675323580
2001-09-27,6765278360
2001-09-28,6839957799
2001-10-01,6634589340
2001-10-02,6617616740
2001-10-03,6889178340
2001-10-04,6935004360
2001-10-05,6787342740
2001-10-08,6626103040
2001-10-09,6525964700
2001-10-10,6734727680
2001-10-11,7011381060
2001-10-12,6817893420
2001-10-15,7023261880
2001-10-16,7104730360
2001-10-17,6890875600
2001-10-18,6943490659
2001-10-19,6975738600
2001-10-22,7116611180
2001-10-23,7041931740
2001-10-24,7108124880
2001-10-25,7357622100
2001-10-26,7350833060
2001-10-29,7007986540
2001-10-30,6860324920
2001-10-31,6860324920
2001-11-01,6855233140
2001-11-02,6957068740
2001-11-05,7237116640
2001-11-06,7417026200
2001-11-07,7488311120
2001-11-08,7406842640
2001-11-09,7478127560
2001-11-12,7427209760
2001-11-13,7758175460
2001-11-14,7656339860
2001-11-15,7686890540
2001-11-16,7595238500
2001-11-19,7569779600
2001-11-20,7264272799
2001-11-21,7284639920
2001-11-23,7355924840
2001-11-26,7386475520
2001-11-27,7337254979
2001-11-28,7138675560
2001-11-29,7349135799
2001-11-30,7198970197
2001-12-03,7033902560
2001-12-04,7230973106
2001-12-05,7682382562
2001-12-06,7865978198
2001-12-07,7842397107
2001-12-10,7702594925
2001-12-11,7988936744
2001-12-12,8044520744
2001-12-13,7823869107
2001-12-14,7901349835
2001-12-17,8076523653
2001-12-18,8404974563
2001-12-19,8351074927
2001-12-20,8152320017
2001-12-21,8186007290
2001-12-24,8202850926
2001-12-26,8310650199
2001-12-27,8278647290
2001-12-28,8369602927
2001-12-31,8084945472
2002-01-02,8186007290
2002-01-03,8303912745
2002-01-04,8307281472
2002-01-07,8243275654
2002-01-08,8413396381
2002-01-09,8297175290
2002-01-10,8367918563
2002-01-11,8251697472
2002-01-14,8145582563
2002-01-15,8199482199
2002-01-16,8199482199
2002-01-17,8379709109
2002-01-18,8251697472
2002-01-22,8169163654
2002-01-23,8256750563
2002-01-24,8445399290
2002-01-25,8406658927
2002-01-28,8404974563
2002-01-29,8314018927
2002-01-30,8372971654
2002-01-31,8425186927
2002-02-01,8403290199
2002-02-04,8260119290
2002-02-05,8401605836
2002-02-06,8280331654
2002-02-07,8280331654
2002-02-08,8372971654
2002-02-11,8421818200
2002-02-12,8123685835
2002-02-13,8116948381
2002-02-14,7978830562
2002-02-15,7800288016
2002-02-19,7817131653
2002-02-20,7847450198
2002-02-21,7332034924
2002-02-22,7490365107
2002-02-25,7384250197
2002-02-26,7411200016
2002-02-27,7490365107
2002-02-28,7470013671
2002-03-01,7859621519
2002-03-04,8202004173
2002-03-05,8072134891
2002-03-06,8390904948
2002-03-07,7982744345
2002-03-08,8230676612
2002-03-11,8279588420
2002-03-12,8129479769
2002-03-13,7868054589
2002-03-14,7935519152
2002-03-15,8276215192
2002-03-18,8296454561
2002-03-19,8475235651
2002-03-20,8357172667
2002-03-21,8289708104
2002-03-22,8362232509
2002-03-25,8149719137
2002-03-26,8347052982
2002-03-27,8353799439
2002-03-28,8409457703
2002-04-01,8390904948
2002-04-02,8308260859
2002-04-03,8249229367
2002-04-04,8325127000
2002-04-05,8254289209
2002-04-08,8446563212
2002-04-09,8298141175
2002-04-10,8449936440
2002-04-11,8323440386
2002-04-12,8433070300
2002-04-15,8481982107
2002-04-16,8667509654
2002-04-17,8659076584
2002-04-18,8692808865
2002-04-19,8721481304
2002-04-22,8669196268
2002-04-23,8627030916
2002-04-24,8633777373
2002-04-25,8785572638
2002-04-26,8512341160
2002-04-29,8478608879
2002-04-30,8731600988
2002-05-01,8721481304
2002-05-02,8831111218
2002-05-03,8736660830
2002-05-06,8593298635
2002-05-07,8981219869
2002-05-08,9279750558
2002-05-09,9294930084
2002-05-10,9063863958
2002-05-13,9247704890
2002-05-14,9492263929
2002-05-15,9394440314
2002-05-16,9305049769
2002-05-17,9208912767
2002-05-20,9097596239
2002-05-21,9073983642
2002-05-22,9057117502
2002-05-23,9163374187
2002-05-24,9030131677
2002-05-28,9073983642
2002-05-29,8827737990
2002-05-30,8709675005
2002-05-31,8940527434
2002-06-03,8705926350
2002-06-04,8676815266
2002-06-05,8834357600
2002-06-06,8642566933
2002-06-07,8628867600
2002-06-10,8666540766
2002-06-11,8454201099
2002-06-12,8529547433
2002-06-13,8253848349
2002-06-14,8310358099
2002-06-17,8437076933
2002-06-18,8262410432
2002-06-19,8144253682
2002-06-20,8068907349
2002-06-21,8017534848
2002-06-24,8233299349
2002-06-25,8149390932
2002-06-26,8127129515
2002-06-27,8368580266
2002-06-28,8464475599
2002-07-01,8166515099
2002-07-02,8125417099
2002-07-03,8144253682
2002-07-05,8517560516
2002-07-08,8348031266
2002-07-09,8317207766
2002-07-10,8014110015
2002-07-11,7942188515
2002-07-12,7801770348
2002-07-15,8019247265
2002-07-16,7570594098
2002-07-17,7731561265
2002-07-18,7567169264
2002-07-19,7358254430
2002-07-22,7132215430
2002-07-23,6971248263
2002-07-24,7200712097
2002-07-25,7127078180
2002-07-26,7344555097
2002-07-29,7722999181
2002-07-30,7548332681
2002-07-31,7514084347
2002-08-01,7339417847
2002-08-02,7140777513
2002-08-05,6913026096
2002-08-06,7166463763
2002-08-07,7140777513
2002-08-08,7435313181
2002-08-09,7341130264
2002-08-12,7306881930
2002-08-13,7053444263
2002-08-14,7695600514
2002-08-15,7642515598
2002-08-16,7663064598
2002-08-19,7870267015
2002-08-20,7810332431
2002-08-21,7883966348
2002-08-22,7962737515
2002-08-23,7731561265
2002-08-26,7935338848
2002-08-27,7734986098
2002-08-28,7442162847
2002-08-29,7556894764
2002-08-30,7536345764
2002-09-03,7302930802
2002-09-04,7436458370
2002-09-05,7109487019
2002-09-06,7354287559
2002-09-09,7393661072
2002-09-10,7468984316
2002-09-11,7446729721
2002-09-12,7263557289
2002-09-13,7352575667
2002-09-16,7189945938
2002-09-17,7082096748
2002-09-18,7222471883
2002-09-19,6900636208
2002-09-20,7123182154
2002-09-23,7172827019
2002-09-24,7052994586
2002-09-25,7246438370
2002-09-26,7508357829
2002-09-27,7302930802
2002-09-30,7176250802
2002-10-01,7311490262
2002-10-02,7100927559
2002-10-03,7150572424
2002-10-04,7112910802
2002-10-07,7085520532
2002-10-08,7210488640
2002-10-09,6779091884
2002-10-10,7171115127
2002-10-11,7462136748
2002-10-14,7600799991
2002-10-15,7910652423
2002-10-16,7825057829
2002-10-17,8157164855
2002-10-18,8242759450
2002-10-21,8525221612
2002-10-22,8467017287
2002-10-23,8651901612
2002-10-24,8345472963
2002-10-25,8585137828
2002-10-28,8275285396
2002-10-29,8208521612
2002-10-30,8150317288
2002-10-31,8092112964
2002-11-01,8268437828
2002-11-04,8184555126
2002-11-05,8342049179
2002-11-06,8431067558
2002-11-07,8328354044
2002-11-08,8225640531
2002-11-11,7980839991
2002-11-12,8001382693
2002-11-13,8090401072
2002-11-14,8451610260
2002-11-15,8434491342
2002-11-18,8304387558
2002-11-19,8282132963
2002-11-20,8444762693
2002-11-21,8746055666
2002-11-22,8761462693
2002-11-25,8641630260
2002-11-26,8384846477
2002-11-27,8824802692
2002-11-29,8639918368
2002-12-02,8502232692
2002-12-03,8328442264
2002-12-04,8541040264
2002-12-05,8347002407
2002-12-06,8385809978
2002-12-09,8104033265
2002-12-10,8235641550
2002-12-11,8146215407
2002-12-12,8039916408
2002-12-13,7818881980
2002-12-16,8048352836
2002-12-17,7849253122
2002-12-18,7761514266
2002-12-19,7768263408
2002-12-20,7800321837
2002-12-23,7933617408
2002-12-24,7884686122
2002-12-26,7877936979
2002-12-27,7700771980
2002-12-30,7795259980
2002-12-31,7719332123
2003-01-02,7920119122
2003-01-03,7943741122
2003-01-06,8139466265
2003-01-07,7992672408
2003-01-08,7721019408
2003-01-09,7859376837
2003-01-10,7891435265
2003-01-13,7820569265
2003-01-14,7869500551
2003-01-15,7634967837
2003-01-16,7557352695
2003-01-17,7299197981
2003-01-21,7192898981
2003-01-22,7182775267
2003-01-23,7206397267
2003-01-24,6985362839
2003-01-27,7034294124
2003-01-28,7039355982
2003-01-29,7128782124
2003-01-30,6868940125
2003-01-31,6968489982
2003-02-03,7064665267
2003-02-04,6953304410
2003-02-05,6868940125
2003-02-06,6755891982
2003-02-07,6644531125
2003-02-10,6686713268
2003-02-11,6691775125
2003-02-12,6482551697
2003-02-13,6539919411
2003-02-14,6658029411
2003-02-18,5920685556
2003-02-19,5664218128
2003-02-20,5466805700
2003-02-21,5618661414
2003-02-24,5417874414
2003-02-25,5385815986
2003-02-26,5213712843
2003-02-27,5502238700
2003-02-28,5745641592
2003-03-03,5677179971
2003-03-04,5518006700
2003-03-05,5504314376
2003-03-06,5459814322
2003-03-07,5547102890
2003-03-10,5417025809
2003-03-11,5367391133
2003-03-12,5377660376
2003-03-13,5586468322
2003-03-14,5672045349
2003-03-17,5933911052
2003-03-18,5951026457
2003-03-19,5918507187
2003-03-20,5981834187
2003-03-21,6161545944
2003-03-24,5863737890
2003-03-25,6017776538
2003-03-26,6012641917
2003-03-27,5993814971
2003-03-28,5846622484
2003-03-31,5630968376
2003-04-01,5684026133
2003-04-02,5904814863
2003-04-03,5925353349
2003-04-04,5851757106
2003-04-07,5947603376
2003-04-08,5942468754
2003-04-09,5822660917
2003-04-10,5889410998
2003-04-11,5867160971
2003-04-14,6033180403
2003-04-15,6152988241
2003-04-16,5928776430
2003-04-17,6063988133
2003-04-21,5981834187
2003-04-22,6093084322
2003-04-23,6182084430
2003-04-24,6016064998
2003-04-25,5880853295
2003-04-28,6175238268
2003-04-29,6159834403
2003-04-30,6135872835
2003-05-01,6033180403
2003-05-02,6173526727
2003-05-05,6106776646
2003-05-06,6233430646
2003-05-07,6105065106
2003-05-08,5971564944
2003-05-09,6101642025
2003-05-12,6192353673
2003-05-13,6204334457
2003-05-14,6202622916
2003-05-15,6322430754
2003-05-16,6298469187
2003-05-19,6043449646
2003-05-20,5990391890
2003-05-21,6034891944
2003-05-22,6029757322
2003-05-23,6075968917
2003-05-27,6313873052
2003-05-28,6378911592
2003-05-29,6387469295
2003-05-30,6336123079
2003-06-02,6327565376
2003-06-03,6332699998
2003-06-04,6630508051
2003-06-05,6575738754
2003-06-06,6368642349
2003-06-09,6426834727
2003-06-10,6560334889
2003-06-11,6627084970
2003-06-12,6592854160
2003-06-13,6514123295
2003-06-16,6774277457
2003-06-17,6722931241
2003-06-18,6719508160
2003-06-19,6555200268
2003-06-20,6604834943
2003-06-23,6512411754
2003-06-24,6550065646
2003-06-25,6240276808
2003-06-26,6178661349
2003-06-27,6062276592
2003-06-30,6063988133
2003-07-01,6164969025
2003-07-02,6190642133
2003-07-03,6075968917
2003-07-07,6171815187
2003-07-08,6397738538
2003-07-09,6301892268
2003-07-10,6043449646
2003-07-11,6230007565
2003-07-14,6147853619
2003-07-15,6281353781
2003-07-16,6656181160
2003-07-17,6485027106
2003-07-18,6536373322
2003-07-21,6413142403
2003-07-22,6467911700
2003-07-23,6596277241
2003-07-24,6671585024
2003-07-25,6746892808
2003-07-28,6758873592
2003-07-29,6724642781
2003-07-30,6829046754
2003-07-31,7053258565
2003-08-01,6851296781
2003-08-04,6953989214
2003-08-05,6731488943
2003-08-06,6663027322
2003-08-07,6697258133
2003-08-08,6710950457
2003-08-11,6688700430
2003-08-12,6755450511
2003-08-13,6666450403
2003-08-14,6657892700
2003-08-15,6640777295
2003-08-18,6709238916
2003-08-19,6738335105
2003-08-20,6688700430
2003-08-21,6734912024
2003-08-22,6722931241
2003-08-25,6692123511
2003-08-26,6717796619
2003-08-27,6683565808
2003-08-28,6736623565
2003-08-29,6832469835
2003-09-02,6850171319
2003-09-03,7016668538
2003-09-04,7026862245
2003-09-05,6831482855
2003-09-08,6940215733
2003-09-09,6879053489
2003-09-10,6726147879
2003-09-11,6809396489
2003-09-12,6887548245
2003-09-15,6833181806
2003-09-16,7055744416
2003-09-17,6799202782
2003-09-18,6855268172
2003-09-19,6865461880
2003-09-22,6763524806
2003-09-23,6805998587
2003-09-24,6585134928
2003-09-25,6440724075
2003-09-26,6432229318
2003-09-29,6413540855
2003-09-30,6287818465
2003-10-01,6564747514
2003-10-02,6508682123
2003-10-03,6826386001
2003-10-06,6834880758
2003-10-07,6943613636
2003-10-08,6948710489
2003-10-09,7064239172
2003-10-10,7072733928
2003-10-13,7174671002
2003-10-14,7116906660
2003-10-15,7155982538
2003-10-16,7351361928
2003-10-17,7208650026
2003-10-20,7242629050
2003-10-21,7195058416
2003-10-22,7048948611
2003-10-23,7103315050
2003-10-24,7113508758
2003-10-27,7089723441
2003-10-28,7264715416
2003-10-29,7312286050
2003-10-30,7283403880
2003-10-31,7274909124
2003-11-03,7449901099
2003-11-04,7390437807
2003-11-05,7312286050
2003-11-06,7354759831
2003-11-07,7351361928
2003-11-10,7495772782
2003-11-11,7509364392
2003-11-12,7686055319
2003-11-13,7742120709
2003-11-14,7677560563
2003-11-17,7742120709
2003-11-18,7699646929
2003-11-19,7740421758
2003-11-20,7623194124
2003-11-21,7725131197
2003-11-24,8064921441
2003-11-25,7878036807
2003-11-26,7934102197
2003-11-28,7932403246
2003-12-01,8067817343
2003-12-02,8004734240
2003-12-03,7919486804
2003-12-04,8081456932
2003-12-05,7856403701
2003-12-08,7997914445
2003-12-09,7905847214
2003-12-10,8040538163
2003-12-11,8234902317
2003-12-12,8173524163
2003-12-15,7921191753
2003-12-16,7841059163
2003-12-17,7876863086
2003-12-18,8546907933
2003-12-19,8437791215
2003-12-22,8391757599
2003-12-23,8429266471
2003-12-24,8478709984
2003-12-26,8405397189
2003-12-29,8560547523
2003-12-30,8526448548
2003-12-31,8541793087
2004-01-02,8512808958
2004-01-05,8497464420
2004-01-06,8192278599
2004-01-07,7859813599
2004-01-08,7929716496
2004-01-09,7808665137
2004-01-12,7757516676
2004-01-13,7766041419
2004-01-14,7841059163
2004-01-15,7800140394
2004-01-16,7731942445
2004-01-20,7737057291
2004-01-21,7834239368
2004-01-22,7776271111
2004-01-23,7691023675
2004-01-26,7847878958
2004-01-27,7769451317
2004-01-28,7619415829
2004-01-29,7713188009
2004-01-30,7677384086
2004-02-02,7704663265
2004-02-03,7672269240
2004-02-04,7737057291
2004-02-05,7835944317
2004-02-06,7945061035
2004-02-09,7748991932
2004-02-10,7721712752
2004-02-11,7643285111
2004-02-12,7539283239
2004-02-13,7467675393
2004-02-17,7539283239
2004-02-18,7292065675
2004-02-19,7218752880
2004-02-20,7293770624
2004-02-23,7302295367
2004-02-24,7373903214
2004-02-25,7397772496
2004-02-26,7442101162
2004-02-27,7281835983
2004-03-01,7522661155
2004-03-02,7636850584
2004-03-03,7635120441
2004-03-04,7633390298
2004-03-05,7425773155
2004-03-08,7325424869
2004-03-09,7263139726
2004-03-10,7062443154
2004-03-11,7105696726
2004-03-12,7188743583
2004-03-15,7045141725
2004-03-16,7318504297
2004-03-17,7382519583
2004-03-18,7316774154
2004-03-19,7176632583
2004-03-22,7190473726
2004-03-23,7097046011
2004-03-24,7039951297
2004-03-25,7366948297
2004-03-26,7385979869
2004-03-29,7657612298
2004-03-30,7536502298
2004-03-31,7524391298
2004-04-01,7635120441
2004-04-02,7998450441
2004-04-05,8045164299
2004-04-06,8039973870
2004-04-07,7993260013
2004-04-08,7955196870
2004-04-12,8026132727
2004-04-13,7979418870
2004-04-14,8022672441
2004-04-15,7944816013
2004-04-16,7982879156
2004-04-19,8067656156
2004-04-20,8038243727
2004-04-21,7998450441
2004-04-22,8237210156
2004-04-23,8259702013
2004-04-26,7905022727
2004-04-27,7906752870
2004-04-28,7759690727
2004-04-29,7716437155
2004-04-30,7804674441
2004-05-03,7775262012
2004-05-04,7751040012
2004-05-05,7614358726
2004-05-06,7785642870
2004-05-07,7626469726
2004-05-10,7465566440
2004-05-11,7488058298
2004-05-12,7491518583
2004-05-13,7496709012
2004-05-14,7486328155
2004-05-17,7472487012
2004-05-18,7520931012
2004-05-19,7557264012
2004-05-20,7522661155
2004-05-21,7610898441
2004-05-24,7714707012
2004-05-25,7917133727
2004-05-26,7899832298
2004-05-27,7861769155
2004-05-28,7842737584
2004-06-01,7830626584
2004-06-02,7884261013
2004-06-03,7787373012
2004-06-04,7745849584
2004-06-07,7991529870
2004-06-08,7922324155
2004-06-09,7879070584
2004-06-10,7936165298
2004-06-14,7965577727
2004-06-15,8034783441
2004-06-16,8069386299
2004-06-17,7911943298
2004-06-18,7841007441
2004-06-21,7780452441
2004-06-22,7986339441
2004-06-23,7975958584
2004-06-24,7956927013
2004-06-25,8280463727
2004-06-28,8202607299
2004-06-29,8247591013
2004-06-30,8247591013
2004-07-01,8138592013
2004-07-02,8105719299
2004-07-06,7905022727
2004-07-07,7880800727
2004-07-08,7797753870
2004-07-09,7854848584
2004-07-12,7891181584
2004-07-13,7771801727
2004-07-14,7591866869
2004-07-15,7598787441
2004-07-16,7607438155
2004-07-19,7605708012
2004-07-20,7624739584
2004-07-21,7415392297
2004-07-22,7398090869
2004-07-23,7311583726
2004-07-26,7276980869
2004-07-27,7439614298
2004-07-28,7375599012
2004-07-29,7347916726
2004-07-30,7259679440
2004-08-02,7401551155
2004-08-03,7366948297
2004-08-04,7424043012
2004-08-05,7237187583
2004-08-06,6991507297
2004-08-09,6979396297
2004-08-10,7058982868
2004-08-11,7069363725
2004-08-12,6981126440
2004-08-13,6877317868
2004-08-16,6965555154
2004-08-17,6948253725
2004-08-18,7105696726
2004-08-19,7045141725
2004-08-20,7053792440
2004-08-23,7107426868
