,BBBY
2002-03-28,9845752500.0
2002-04-01,9577365163.0
2002-04-02,9174782991.0
2002-04-03,9215624340.0
2002-04-04,9822413836.0
2002-04-05,9947856016.0
2002-04-08,10510887488.0
2002-04-09,10216244520.0
2002-04-10,10365024488.0
2002-04-11,10102471671.0
2002-04-12,10134561823.0
2002-04-15,10090802340.0
2002-04-16,10356273000.0
2002-04-17,10230830820.0
2002-04-18,10452543163.0
2002-04-19,10391279828.0
2002-04-22,10306680163.0
2002-04-23,10528391340.0
2002-04-24,10545895483.0
2002-04-25,10773441180.0
2002-04-26,10604239516.0
2002-04-29,10633412991.0
2002-04-30,10843454836.0
2002-05-01,10767606659.0
2002-05-02,10755937328.0
2002-05-03,10706344491.0
2002-05-06,10505052676.0
2002-05-07,10385445016.0
2002-05-08,10327100983.0
2002-05-09,10251251348.0
2002-05-10,10073298488.0
2002-05-13,10152064508.0
2002-05-14,10519639851.0
2002-05-15,10478797336.0
2002-05-16,10452543163.0
2002-05-17,10472963983.0
2002-05-20,10388363151.0
2002-05-21,10172485328.0
2002-05-22,10093719016.0
2002-05-23,10432121176.0
2002-05-24,10245416828.0
2002-05-28,10172485328.0
2002-05-29,10064547000.0
2002-05-30,10087885663.0
2002-05-31,10006201508.0
2002-06-03,10039500114.0
2002-06-04,10051196877.0
2002-06-05,10492783372.0
2002-06-06,10217888247.0
2002-06-07,10384579325.0
2002-06-10,10343637877.0
2002-06-11,10051196877.0
2002-06-12,10340714052.0
2002-06-13,10112610364.0
2002-06-14,9998557497.0
2002-06-17,10057045697.0
2002-06-18,9893279614.0
2002-06-19,10057045697.0
2002-06-20,10089214500.0
2002-06-21,10603910075.0
2002-06-24,10671172674.0
2002-06-25,10659474742.0
2002-06-26,10796921135.0
2002-06-27,11022100997.0
2002-06-28,11036723924.0
2002-07-01,10826165820.0
2002-07-02,10410899015.0
2002-07-03,10621457120.0
2002-07-05,11025025992.0
2002-07-08,10668247680.0
2002-07-09,10317318187.0
2002-07-10,9551123059.0
2002-07-11,9761680872.0
2002-07-12,9483861630.0
2002-07-15,9419524317.0
2002-07-16,9086141870.0
2002-07-17,9062746590.0
2002-07-18,8969165470.0
2002-07-19,8553899250.0
2002-07-22,8442771962.0
2002-07-23,8466167242.0
2002-07-24,9179722697.0
2002-07-25,8796625280.0
2002-07-26,9138781250.0
2002-07-29,9796773500.0
2002-07-30,9551123059.0
2002-07-31,9065671000.0
2002-08-01,8556823660.0
2002-08-02,8162028310.0
2002-08-05,7881285242.0
2002-08-06,8249760317.0
2002-08-07,8489562522.0
2002-08-08,8109388930.0
2002-08-09,8369661712.0
2002-08-12,8556823660.0
2002-08-13,8834642317.0
2002-08-14,9527728364.0
2002-08-15,9697343559.0
2002-08-16,9545273947.0
2002-08-19,10136005059.0
2002-08-20,9978086627.0
2002-08-21,10036575120.0
2002-08-22,9928372242.0
2002-08-23,9837714947.0
2002-08-26,10118458015.0
2002-08-27,9548199234.0
2002-08-28,9220665022.0
2002-08-29,9147554772.0
2002-08-30,9375658752.0
2002-09-03,9148245623.0
2002-09-04,9303697746.0
2002-09-05,9033855306.0
2002-09-06,9796454386.0
2002-09-09,9758323890.0
2002-09-10,10075094863.0
2002-09-11,10230548453.0
2002-09-12,9825784500.0
2002-09-13,10142556646.0
2002-09-16,10201217166.0
2002-09-17,10075094863.0
2002-09-18,10072162380.0
2002-09-19,9928441363.0
2002-09-20,9954839286.0
2002-09-23,9784721813.0
2002-09-24,9482615896.0
2002-09-25,9878579760.0
2002-09-26,10122611477.0
2002-09-27,9972438000.0
2002-09-30,9553008990.0
2002-10-01,9511946010.0
2002-10-02,9171709890.0
2002-10-03,9215705940.0
2002-10-04,9215705940.0
2002-10-07,9069345747.0
2002-10-08,9582339103.0
2002-10-09,9162910680.0
2002-10-10,8846139120.0
2002-10-11,9394622916.0
2002-10-14,9509012353.0
2002-10-15,10022299603.0
2002-10-16,9902043733.0
2002-10-17,10262812516.0
2002-10-18,10324406693.0
2002-10-21,10476926333.0
2002-10-22,10400665926.0
2002-10-23,10723304213.0
2002-10-24,10567850916.0
2002-10-25,10937418323.0
2002-10-28,10567850916.0
2002-10-29,10421197416.0
2002-10-30,10397733443.0
2002-10-31,10400665926.0
2002-11-01,10573717056.0
2002-11-04,10195350733.0
2002-11-05,10362536896.0
2002-11-06,10295075113.0
2002-11-07,9846315990.0
2002-11-08,9910843823.0
2002-11-11,9576474136.0
2002-11-12,9676198516.0
2002-11-13,9922576396.0
2002-11-14,10207083306.0
2002-11-15,10529721886.0
2002-11-18,10016434636.0
2002-11-19,9746591610.0
2002-11-20,10221748363.0
2002-11-21,10336139266.0
2002-11-22,10239347369.0
2002-11-25,10318540260.0
2002-11-26,9878579760.0
2002-11-27,10306807686.0
2002-11-29,10174819536.0
2002-12-02,10238165435.0
2002-12-03,10034641260.0
2002-12-04,10332553595.0
2002-12-05,9795720935.0
2002-12-06,10096583490.0
2002-12-09,9739678260.0
2002-12-10,9869461685.0
2002-12-11,9778024039.0
2002-12-12,9837015460.0
2002-12-13,9432916740.0
2002-12-16,9839965974.0
2002-12-17,9662987290.0
2002-12-18,9536154379.0
2002-12-19,9949101990.0
2002-12-20,10397445750.0
2002-12-23,10282410474.0
2002-12-24,10267662324.0
2002-12-26,10320755959.0
2002-12-27,10323705000.0
2002-12-30,10412193605.0
2002-12-31,10185072095.0
2003-01-02,10680609935.0
2003-01-03,10405999382.0
2003-01-06,10642265629.0
2003-01-07,10677660894.0
2003-01-08,10523985171.0
2003-01-09,10851689064.0
2003-01-10,10798595724.0
2003-01-13,10819242840.0
2003-01-14,10739602829.0
2003-01-15,10418093160.0
2003-01-16,10536078654.0
2003-01-17,10359100265.0
2003-01-21,9957950290.0
2003-01-22,9984496960.0
2003-01-23,10158525425.0
2003-01-24,10005144370.0
2003-01-27,9940253394.0
2003-01-28,10090683935.0
2003-01-29,10025792959.0
2003-01-30,9736728040.0
2003-01-31,9881260500.0
2003-02-03,9881260500.0
2003-02-04,9792771894.0
2003-02-05,9704283289.0
2003-02-06,9624642984.0
2003-02-07,9559750829.0
2003-02-10,9559750829.0
2003-02-11,9677736324.0
2003-02-12,9559750829.0
2003-02-13,9350327394.0
2003-02-14,9606944910.0
2003-02-18,10025792959.0
2003-02-19,9801620490.0
2003-02-20,9839965974.0
2003-02-21,10143777275.0
2003-02-24,9863562425.0
2003-02-25,9807519750.0
2003-02-26,9595146095.0
2003-02-27,9837015460.0
2003-02-28,9745577814.0
2003-03-03,9639390840.0
2003-03-04,9379823105.0
2003-03-05,9252989604.0
2003-03-06,9114356700.0
2003-03-07,9309031985.0
2003-03-10,8937378605.0
2003-03-11,9046515210.0
2003-03-12,9252989604.0
2003-03-13,9854713829.0
2003-03-14,9972699324.0
2003-03-17,10494784129.0
2003-03-18,10435791234.0
2003-03-19,10586221775.0
2003-03-20,10565574660.0
2003-03-21,10895932925.0
2003-03-24,10415143824.0
2003-03-25,10692408750.0
2003-03-26,10769098540.0
2003-03-27,10553775845.0
2003-03-28,10300107370.0
2003-03-31,10188022314.0
2003-04-01,10096583490.0
2003-04-02,10465287240.0
2003-04-03,10692408750.0
2003-04-04,10721904460.0
2003-04-07,10751401644.0
2003-04-08,10966724340.0
2003-04-09,10757300904.0
2003-04-10,10951976484.0
2003-04-11,11049313685.0
2003-04-14,11370823355.0
2003-04-15,11541902484.0
2003-04-16,11267586894.0
2003-04-17,11656937760.0
2003-04-21,11597945160.0
2003-04-22,11538952265.0
2003-04-23,11435715510.0
2003-04-24,11420967654.0
2003-04-25,11184996370.0
2003-04-28,11518304855.0
2003-04-29,11804419260.0
2003-04-30,11642189904.0
2003-05-01,11615643234.0
2003-05-02,11783772144.0
2003-05-05,11659887095.0
2003-05-06,11978447724.0
2003-05-07,11792620740.0
2003-05-08,11683484724.0
2003-05-09,11842765039.0
2003-05-12,12187871160.0
2003-05-13,12143626120.0
2003-05-14,11943052459.0
2003-05-15,11946001500.0
2003-05-16,11795570959.0
2003-05-19,11314780974.0
2003-05-20,11267586894.0
2003-05-21,11471110775.0
2003-05-22,11878160010.0
2003-05-23,11639239685.0
2003-05-27,12004994394.0
2003-05-28,12034490105.0
2003-05-29,11963699574.0
2003-05-30,12326504064.0
2003-06-02,12252491028.0
2003-06-03,12424062000.0
2003-06-04,12725789220.0
2003-06-05,12956521504.0
2003-06-06,12687333494.0
2003-06-09,12483224495.0
2003-06-10,12616339741.0
2003-06-11,12882568754.0
2003-06-12,12844113028.0
2003-06-13,12625213480.0
2003-06-16,12716915481.0
2003-06-17,12438852254.0
2003-06-18,12551260730.0
2003-06-19,12001052270.0
2003-06-20,11581001241.0
2003-06-23,11666785544.0
2003-06-24,11684534500.0
2003-06-25,11717074005.0
2003-06-26,11841314034.0
2003-06-27,11557335770.0
2003-06-30,11483383020.0
2003-07-01,11368016730.0
2003-07-02,11578042244.0
2003-07-03,11252650735.0
2003-07-07,11651994994.0
2003-07-08,11841314034.0
2003-07-09,11749613215.0
2003-07-10,11566209508.0
2003-07-11,11758487250.0
2003-07-14,11782152721.0
2003-07-15,11560294471.0
2003-07-16,11368016730.0
2003-07-17,11122493008.0
2003-07-18,11406472455.0
2003-07-21,11379849465.0
2003-07-22,11155032514.0
2003-07-23,10974587508.0
2003-07-24,11258566955.0
2003-07-25,11566209508.0
2003-07-28,11536629000.0
2003-07-29,11486341721.0
2003-07-30,11394639720.0
2003-07-31,11486341721.0
2003-08-01,11323644784.0
2003-08-04,11492256758.0
2003-08-05,11199404755.0
2003-08-06,11338436221.0
2003-08-07,11625372004.0
2003-08-08,11788067758.0
2003-08-11,11649037475.0
2003-08-12,11651994994.0
2003-08-13,11740738294.0
2003-08-14,11974429280.0
2003-08-15,11989219534.0
2003-08-18,12246575991.0
2003-08-19,12160790505.0
2003-08-20,12424062000.0
2003-08-21,12586757754.0
2003-08-22,12598590490.0
2003-08-25,12580841534.0
2003-08-26,12509847485.0
2003-08-27,12619297259.0
2003-08-28,12826365255.0
2003-08-29,12758328725.0
2003-09-02,12851371170.0
2003-09-03,12708677250.0
2003-09-04,12476799927.0
2003-09-05,12152765817.0
2003-09-08,12292486055.0
2003-09-09,12042771695.0
2003-09-10,11926833480.0
2003-09-11,12093309720.0
2003-09-12,12075472980.0
2003-09-15,12188439000.0
2003-09-16,12301405020.0
2003-09-17,12218166900.0
2003-09-18,12286541070.0
2003-09-19,12316268970.0
2003-09-22,12018989970.0
2003-09-23,11947643010.0
2003-09-24,11718738180.0
2003-09-25,11807921880.0
2003-09-26,11537397990.0
2003-09-29,11534425200.0
2003-09-30,11376867330.0
2003-10-01,11944670220.0
2003-10-02,11822785830.0
2003-10-03,12027908340.0
2003-10-06,12126010410.0
2003-10-07,12215194110.0
2003-10-08,11908996740.0
2003-10-09,11977370910.0
2003-10-10,11968452540.0
2003-10-13,12128983200.0
2003-10-14,12366806400.0
2003-10-15,12209248530.0
2003-10-16,12322214550.0
2003-10-17,12114119250.0
2003-10-20,12224112480.0
2003-10-21,12131955990.0
2003-10-22,11995504929.0
2003-10-23,12102228090.0
2003-10-24,12273163514.0
2003-10-27,12322214550.0
2003-10-28,12756241889.0
2003-10-29,12714622830.0
2003-10-30,12777051420.0
2003-10-31,12551119380.0
2003-11-03,12887044650.0
2003-11-04,12785969790.0
2003-11-05,12670030980.0
2003-11-06,12616520760.0
2003-11-07,12527337060.0
2003-11-10,12375724770.0
2003-11-11,12548146590.0
2003-11-12,12750296310.0
2003-11-13,12539228220.0
2003-11-14,12268704330.0
2003-11-17,12057636240.0
2003-11-18,11935751850.0
2003-11-19,11819813040.0
2003-11-20,11914942320.0
2003-11-21,11882241630.0
2003-11-24,12334105710.0
2003-11-25,12277622700.0
2003-11-26,12491663580.0
2003-11-28,12557064960.0
2003-12-01,12981018570.0
2003-12-02,12770726670.0
2003-12-03,12722659950.0
2003-12-04,12647555700.0
2003-12-05,12635539020.0
2003-12-08,12539405580.0
2003-12-09,12172896840.0
2003-12-10,12016680000.0
2003-12-11,12241992750.0
2003-12-12,12115817610.0
2003-12-15,11896513200.0
2003-12-16,11716263000.0
2003-12-17,12004663320.0
2003-12-18,12668584890.0
2003-12-19,12749697480.0
2003-12-22,12821797560.0
