,MMI
2015-03-02,1477637940
2015-03-03,1434315750
2015-03-04,1460465180
2015-03-05,1437828360
2015-03-06,1371869350
2015-03-09,1458904020
2015-03-10,1421826470
2015-03-11,1382797470
2015-03-12,1330498610
2015-03-13,1279760910
2015-03-16,1282102650
2015-03-17,1303958889
2015-03-18,1298104540
2015-03-19,1312154980
2015-03-20,1350403400
2015-03-23,1378504280
2015-03-24,1383187760
2015-03-25,1381626600
2015-03-26,1428461400
2015-03-27,1425729370
2015-03-30,1447585610
2015-03-31,1456847599
2015-04-01,1461512000
2015-04-02,1456070200
2015-04-06,1496106300
2015-04-07,1500770700
2015-04-08,1502325500
2015-04-09,1510876900
2015-04-10,1500382000
2015-04-13,1493385400
2015-04-14,1471618200
2015-04-15,1453738000
2015-04-16,1439356100
2015-04-17,1421864600
2015-04-20,1448684900
2015-04-21,1445575300
2015-04-22,1444797900
2015-04-23,1470063400
2015-04-24,1454515400
2015-04-27,1465010300
2015-04-28,1513597800
2015-04-29,1499993300
2015-04-30,1375220600
2015-05-01,1420698500
2015-05-04,1443631800
2015-05-05,1383383300
2015-05-06,1417977599
2015-05-07,1425362900
2015-05-08,1657416800
2015-05-11,1599500500
2015-05-12,1655473300
2015-05-13,1655084600
2015-05-14,1699785099
2015-05-15,1725439300
2015-05-18,1758478800
2015-05-19,1761977100
2015-05-20,1770139800
2015-05-21,1762754500
2015-05-22,1770139800
2015-05-26,1762754500
2015-05-27,1779857300
2015-05-28,1796571400
2015-05-29,1823391699
2015-06-01,1896856000
2015-06-02,1889859400
2015-06-03,1916291000
2015-06-04,1884806300
2015-06-05,1929895500
2015-06-08,1879364500
2015-06-09,1872367900
2015-06-10,1857986000
2015-06-11,1872367900
2015-06-12,1835830099
2015-06-15,1810564600
2015-06-16,1866148700
2015-06-17,1841660600
2015-06-18,1861484300
2015-06-19,1858763400
2015-06-22,1842049300
2015-06-23,1837384900
2015-06-24,1802013200
2015-06-25,1784133000
2015-06-26,1731658500
2015-06-29,1693177200
2015-06-30,1794384600
2015-07-01,1759772500
2015-07-02,1809940600
2015-07-06,1781550900
2015-07-07,1826663300
2015-07-08,1771439500
2015-07-09,1802162600
2015-07-10,1833663500
2015-07-13,1855441900
2015-07-14,1848052800
2015-07-15,1823552100
2015-07-16,1835219100
2015-07-17,1836774699
2015-07-20,1886942800
2015-07-21,1941777700
2015-07-22,1955000300
2015-07-23,1930888500
2015-07-24,1972889699
2015-07-27,1927388400
2015-07-28,1940999899
