,ELV
2003-02-14,7554091305
2003-02-18,7795800001
2003-02-19,7865256522
2003-02-20,7795800001
2003-02-21,8045843479
2003-02-24,7784686957
2003-02-25,7920821740
2003-02-26,8106965218
2003-02-27,8190313044
2003-02-28,8281995653
2003-03-03,8195869566
2003-03-04,8070847827
2003-03-05,8276439131
2003-03-06,8323669566
2003-03-07,8404239131
2003-03-10,8190313044
2003-03-11,8151417392
2003-03-12,8112521740
2003-03-13,8401460870
2003-03-14,8195869566
2003-03-17,8515369566
2003-03-18,8593160870
2003-03-19,8707069566
2003-03-20,8757078262
2003-03-21,8679286957
2003-03-24,8657060870
2003-03-25,8793195653
2003-03-26,8737630436
2003-03-27,8776526088
2003-03-28,9023791305
2003-03-31,9178045312
2003-04-01,9275006250
2003-04-02,9272235937
2003-04-03,9360885937
2003-04-04,9180815625
2003-04-07,9211289062
2003-04-08,9150342187
2003-04-09,9058921875
2003-04-10,9067232812
2003-04-11,9247303125
2003-04-14,9432914062
2003-04-15,9388589062
2003-04-16,8967501562
2003-04-17,9269465625
2003-04-21,9142031250
2003-04-22,9446765625
2003-04-23,9407981250
2003-04-24,9335953125
2003-04-25,9322101562
2003-04-28,9391359375
2003-04-29,9308250000
2003-04-30,9507712500
2003-05-01,9646228125
2003-05-02,9660079687
2003-05-05,9834609375
2003-05-06,9989746875
2003-05-07,9859542187
2003-05-08,9770892187
2003-05-09,9793054687
2003-05-12,9931570312
2003-05-13,9829068750
2003-05-14,9842920312
2003-05-15,9928800000
2003-05-16,10194750000
2003-05-19,10097789062
2003-05-20,10338806250
2003-05-21,10391442187
2003-05-22,10388671875
2003-05-23,10341576562
2003-05-27,10366509375
2003-05-28,10283400000
2003-05-29,10191979687
2003-05-30,10161506250
2003-06-02,10039612500
2003-06-03,10025760937
2003-06-04,10081167187
2003-06-05,10258467187
2003-06-06,10269548437
2003-06-09,10133803125
2003-06-10,10302792187
2003-06-11,10654621875
2003-06-12,10577053125
2003-06-13,10585364062
2003-06-16,10948275000
2003-06-17,11200373437
2003-06-18,11361051562
2003-06-19,10962126562
2003-06-20,10987059375
2003-06-23,10787596875
2003-06-24,10917801562
2003-06-25,10754353125
2003-06-26,10928882812
2003-06-27,10790367187
2003-06-30,10674654914
2003-07-01,10572253506
2003-07-02,10735542238
2003-07-03,10635908436
2003-07-07,10810267590
2003-07-08,10932042238
2003-07-09,11037211252
2003-07-10,10832408435
2003-07-11,11001232379
2003-07-14,10818570407
2003-07-15,10674654914
2003-07-16,10428338013
2003-07-17,10572253506
2003-07-18,10774288717
2003-07-21,10743845055
2003-07-22,10790894351
2003-07-23,11087028153
2003-07-24,10929274632
2003-07-25,11098098576
2003-07-28,11211570407
2003-07-29,11217105618
2003-07-30,10929274632
2003-07-31,10447711253
2003-08-01,10309330971
2003-08-04,10276119704
2003-08-05,9999359141
2003-08-06,9465211254
2003-08-07,9783485902
2003-08-08,9899725338
2003-08-11,10049176042
2003-08-12,10098992943
2003-08-13,10013197169
2003-08-14,10074084493
2003-08-15,10063014070
2003-08-18,10134971817
2003-08-19,10096225338
2003-08-20,9977218296
2003-08-21,9863746465
2003-08-22,9789021113
2003-08-25,9813929563
2003-08-26,9913563366
2003-08-27,9930169000
2003-08-28,9949542239
2003-08-29,10129436605
2003-09-02,10256746464
2003-09-03,10337007028
2003-09-04,10170950690
2003-09-05,10018732380
2003-09-08,10146042239
2003-09-09,10170950690
2003-09-10,10193091535
2003-09-11,10168183084
2003-09-12,10353612661
2003-09-15,10251211253
2003-09-16,10242908436
2003-09-17,10226302802
2003-09-18,10381288718
2003-09-19,10337007028
2003-09-22,10317633788
2003-09-23,10212464774
2003-09-24,9921866183
2003-09-25,9750274634
2003-09-26,9573147874
2003-09-29,9741971817
2003-09-30,9854254196
2003-10-01,10011723355
2003-10-02,10047637374
2003-10-03,10080788776
2003-10-06,10003435505
2003-10-07,9981334570
2003-10-08,9978571953
2003-10-09,10133278495
2003-10-10,10166429897
2003-10-13,10130515878
2003-10-14,10050399991
2003-10-15,9843203729
2003-10-16,9939895318
2003-10-17,10086314009
2003-10-20,10622261672
2003-10-21,10710665411
2003-10-22,10694089710
2003-10-23,10622261672
2003-10-24,10671988775
2003-10-27,9815577561
2003-10-28,9539315879
2003-10-29,9564179430
2003-10-30,9282392515
2003-10-31,9450912141
2003-11-03,9461962608
2003-11-04,9379084103
2003-11-05,9478538309
2003-11-06,9285155132
2003-11-07,9193988776
2003-11-10,9008893450
2003-11-11,9100059805
2003-11-12,9243715879
2003-11-13,9423285973
2003-11-14,9492351393
2003-11-17,9376321487
2003-11-18,9362508402
2003-11-19,9542078496
2003-11-20,9475775692
2003-11-21,9417760739
2003-11-24,9550366346
2003-11-25,9757562608
2003-11-26,9973046720
2003-11-28,9961996252
2003-12-01,10066975692
2003-12-02,10307323355
2003-12-03,10249308402
2003-12-04,10257596252
2003-12-05,10042112140
2003-12-08,10069738308
2003-12-09,9917794383
2003-12-10,9945420552
2003-12-11,10141566346
2003-12-12,10138803729
2003-12-15,10014485972
2003-12-16,10086314009
2003-12-17,10147091579
2003-12-18,10221682234
2003-12-19,10083551393
2003-12-22,10066975692
2003-12-23,10064213075
2003-12-24,10083551393
2003-12-26,10216157000
2003-12-29,10257596252
2003-12-30,10265884103
2003-12-31,10380843075
2004-01-02,10558009463
2004-01-05,10203676686
2004-01-06,10259041182
2004-01-07,10311637454
2004-01-08,10281186981
2004-01-09,10173226213
2004-01-12,10109557042
2004-01-13,10167689763
2004-01-14,10527558990
2004-01-15,10638287983
2004-01-16,10845904844
2004-01-20,10713030053
2004-01-21,10823759046
2004-01-22,11189164722
2004-01-23,11000925434
2004-01-26,11067362830
2004-01-27,10865282418
2004-01-28,10920646914
2004-01-29,11349721762
2004-01-30,11319271288
2004-02-02,11535192824
2004-02-03,11679140515
2004-02-04,11565643297
2004-02-05,11438304956
2004-02-06,11526888150
2004-02-09,11457682529
2004-02-10,11629312468
2004-02-11,11468755429
2004-02-12,11701286314
2004-02-13,11654226492
2004-02-17,11623776019
2004-02-18,11465987204
2004-02-19,11432768506
2004-02-20,11380172235
2004-02-23,11338648862
2004-02-24,11554570398
2004-02-25,11679140515
2004-02-26,11817551756
2004-02-27,11897830276
2004-03-01,12019632168
2004-03-02,11947658323
2004-03-03,12083301339
2004-03-04,12224480805
2004-03-05,12432097666
2004-03-08,12288149975
2004-03-09,12130361161
2004-03-10,12194030332
2004-03-11,12005791044
2004-03-12,12163579859
2004-03-15,12318600449
2004-03-16,12443170565
2004-03-17,12448707015
2004-03-18,12465316364
2004-03-19,12387806069
2004-03-22,12191262107
2004-03-23,12318600449
2004-03-24,12110983587
2004-03-25,12196798556
2004-03-26,12207871456
2004-03-29,12407183643
2004-03-30,12537290209
2004-03-31,12536776745
2004-04-01,12614232559
2004-04-02,12655726745
2004-04-05,12948952326
2004-04-06,12879795349
2004-04-07,12951718605
2004-04-08,12962783722
2004-04-12,13120461629
2004-04-13,12755312791
2004-04-14,12614232559
2004-04-15,12282279070
2004-04-16,12083106977
2004-04-19,12226953489
2004-04-20,12094172094
2004-04-21,12373566280
2004-04-22,13106630233
2004-04-23,13051304652
2004-04-26,12843833722
2004-04-27,12910224419
2004-04-28,12705519768
2004-04-29,12611466280
2004-04-30,12251850001
2004-05-03,12442723256
2004-05-04,12285045349
2004-05-05,12561673256
2004-05-06,12478684884
2004-05-07,12210355814
2004-05-10,11895000001
2004-05-11,11917130233
2004-05-12,12157796512
