,DUK
2000-08-24,15075718257
2000-08-25,15063451603
2000-08-28,15330864669
2000-08-29,15357851308
2000-08-30,15718490948
2000-08-31,16000623999
2000-09-01,15988357344
2000-09-05,16412783587
2000-09-06,16866649800
2000-09-07,16626223373
2000-09-08,17180676152
2000-09-11,17828355504
2000-09-12,18029528637
2000-09-13,17843075490
2000-09-14,17695875637
2000-09-15,17379395953
2000-09-18,17438275895
2000-09-19,16626223373
2000-09-20,16358810307
2000-09-21,15985904014
2000-09-22,16226330440
2000-09-25,16986863013
2000-09-26,17614915718
2000-09-27,17551129115
2000-09-28,18164461835
2000-09-29,18341101658
2000-10-02,18591341408
2000-10-03,18363181636
2000-10-04,17681155652
2000-10-05,17200302799
2000-10-06,17494702505
2000-10-09,17629635703
2000-10-10,17897048769
2000-10-11,17924035409
2000-10-12,17749848916
2000-10-13,18203715129
2000-10-16,18525101474
2000-10-17,18819501180
2000-10-18,18603608063
2000-10-19,18576621423
2000-10-20,18456408210
2000-10-23,18164461835
2000-10-24,18068781931
2000-10-25,17897048769
2000-10-26,17362222637
2000-10-27,17749848916
2000-10-30,18311661688
2000-10-31,18483394849
2000-11-01,18552088114
2000-11-02,18122755210
2000-11-03,18188995144
2000-11-06,18269955063
2000-11-07,18230701769
2000-11-08,18110488556
2000-11-09,18498114835
2000-11-10,18711554621
2000-11-13,18552088114
2000-11-14,18095768570
2000-11-15,18284675048
2000-11-16,18603608063
2000-11-17,18871021128
2000-11-20,18964247702
2000-11-21,18390168276
2000-11-22,18404888261
2000-11-24,18390168276
2000-11-27,18269955063
2000-11-28,18404888261
2000-11-29,18657581342
2000-11-30,19231660768
2000-12-01,18657581342
2000-12-04,19018220981
2000-12-05,19138434194
2000-12-06,18471128195
2000-12-07,18525101474
2000-12-08,18336194997
2000-12-11,18176728489
2000-12-12,17975555357
2000-12-13,18242968423
2000-12-14,17695875637
2000-12-15,17681155652
2000-12-18,18176728489
2000-12-19,18188995144
2000-12-20,18311661688
2000-12-21,17963288703
2000-12-22,18068781931
2000-12-26,18630594702
2000-12-27,18630594702
2000-12-28,18350914982
2000-12-29,18230701769
2001-01-02,17912265421
2001-01-03,16762483237
2001-01-04,16099433900
2001-01-05,15801434198
2001-01-08,15910700755
2001-01-09,15299801366
2001-01-10,14922335077
2001-01-11,14259285740
2001-01-12,15178118155
2001-01-16,15165701500
2001-01-17,15153284846
2001-01-18,15570484429
2001-01-19,15761700904
2001-01-22,16017483982
2001-01-23,16059700606
2001-01-24,16154067179
2001-01-25,16774899891
2001-01-26,16668116665
2001-01-29,16017483982
2001-01-30,15714517618
2001-01-31,15831234168
2001-02-01,15918150748
2001-02-02,16268300398
2001-02-05,16923899742
2001-02-06,17209482790
2001-02-07,17311299355
2001-02-08,17763265570
2001-02-09,17879982120
2001-02-12,17815415517
2001-02-13,17631649035
2001-02-14,17793065540
2001-02-15,17360965972
2001-02-16,17817898848
2001-02-20,18230131769
2001-02-21,18356781643
2001-02-22,18299665033
2001-02-23,17862598804
2001-02-26,17966898699
2001-02-27,17805482194
2001-02-28,17641582358
2001-03-01,17909782090
2001-03-02,17529832470
2001-03-05,17688765644
2001-03-06,17835282164
2001-03-07,18433764899
2001-03-08,18823647843
2001-03-09,18602631397
2001-03-12,17624199042
2001-03-13,16874233125
2001-03-14,16419783580
2001-03-15,16774899891
2001-03-16,16884166449
2001-03-19,17057999608
2001-03-20,16948733051
2001-03-21,17018266315
2001-03-22,16447100219
2001-03-23,16399916933
2001-03-26,17060482939
2001-03-27,17867565465
2001-03-28,17711115622
2001-03-29,17966898699
2001-03-30,18503298163
2001-04-02,19433200566
2001-04-03,19203877462
2001-04-04,18734924598
2001-04-05,19046700953
2001-04-06,18013458653
2001-04-09,18389651610
2001-04-10,19157497509
2001-04-11,19100810899
2001-04-12,18866334466
2001-04-16,19095657570
2001-04-17,20033563299
2001-04-18,20038716627
2001-04-19,19714056952
2001-04-20,20141783191
2001-04-23,20662269337
2001-04-24,20662269337
2001-04-25,20564356102
2001-04-26,21327048672
2001-04-27,21030732302
2001-04-30,21004965661
2001-05-01,20932819067
2001-05-02,20123746542
2001-05-03,19997490002
2001-05-04,20590122743
2001-05-07,20257733075
2001-05-08,19871233462
2001-05-09,20590122743
2001-05-10,20613312720
2001-05-11,20685459314
2001-05-14,21041038958
2001-05-15,20412332920
2001-05-16,20729262604
2001-05-17,20360799639
2001-05-18,20680305986
2001-05-21,21156988842
2001-05-22,21113185553
2001-05-23,20945702387
2001-05-24,20721532611
2001-05-25,20064483268
2001-05-29,19719210280
2001-05-30,19966570033
2001-05-31,20536012797
2001-06-01,19850620149
2001-06-04,19853196813
2001-06-05,19090504242
2001-06-06,18582901417
2001-06-07,18817377849
2001-06-08,18853451146
2001-06-11,19090504242
2001-06-12,19134307532
2001-06-13,18685967980
2001-06-14,17748062251
2001-06-15,18335541664
2001-06-18,18366461633
2001-06-19,18866334466
2001-06-20,18559711440
2001-06-21,17629535703
2001-06-22,18101065232
2001-06-25,17742908923
2001-06-26,17894932105
2001-06-27,18101065232
2001-06-28,17652725680
2001-06-29,17523892476
2001-07-02,17631232368
2001-07-03,17605399061
2001-07-05,18103981896
2001-07-06,18292565040
2001-07-09,18401064932
2001-07-10,18909981090
2001-07-11,18690397976
2001-07-12,18703314630
2001-07-13,18625814707
2001-07-16,18757564575
2001-07-17,18928064405
2001-07-18,19031397635
2001-07-19,18690397976
2001-07-20,18132398534
2001-07-23,17535649131
2001-07-24,16608233391
2001-07-25,16887233112
2001-07-26,17744898921
2001-07-27,17272149394
2001-07-30,17587315746
2001-07-31,17388399278
2001-08-01,17605399061
2001-08-02,18013565319
2001-08-03,17969648697
2001-08-06,17303149363
2001-08-07,17450399216
2001-08-08,16631483368
2001-08-09,17114566218
2001-08-10,17099066234
2001-08-13,16838149828
2001-08-14,17008649658
2001-08-15,16897566435
2001-08-16,17013816319
2001-08-17,17181732818
2001-08-20,17316066017
2001-08-21,17235982764
2001-08-22,17564065769
2001-08-23,17450399216
2001-08-24,17450399216
2001-08-27,17564065769
2001-08-28,17675148991
2001-08-29,17517565815
2001-08-30,17424565908
2001-08-31,17703565629
2001-09-04,17868898797
2001-09-05,17587315746
2001-09-06,17837898828
2001-09-07,18103981896
2001-09-10,17788815544
2001-09-17,17135232864
2001-09-18,17496899169
2001-09-19,17062899603
2001-09-20,17442649224
2001-09-21,16739983260
2001-09-24,16752899913
2001-09-25,16933733066
2001-09-26,16468733531
2001-09-27,16342150324
2001-09-28,17044816288
2001-10-01,17145122854
2001-10-02,17621805711
2001-10-03,17786712213
2001-10-04,17954195379
2001-10-05,18070145263
2001-10-08,17972232027
2001-10-09,17562542437
2001-10-10,17451745881
2001-10-11,17320336012
2001-10-12,17384752615
2001-10-15,17212116121
2001-10-16,17791865541
2001-10-17,17876895456
2001-10-18,17441439225
2001-10-19,17580579086
2001-10-22,17683645649
2001-10-23,17477512522
2001-10-24,16673593326
2001-10-25,17446592553
2001-10-26,17294569372
2001-10-29,17580579086
2001-10-30,16938989727
2001-10-31,17253342746
2001-11-01,17392482607
2001-11-02,16825616507
2001-11-05,17248189418
2001-11-06,17168312831
2001-11-07,16807579859
2001-11-08,17634689031
2001-11-09,17815055518
2001-11-12,17990268676
2001-11-13,18147445185
2001-11-14,16982793017
2001-11-15,16614330052
2001-11-16,16709666623
2001-11-19,16701936631
2001-11-20,16998253001
2001-11-21,16853959812
2001-11-23,16908069758
2001-11-26,16665863334
2001-11-27,16655556677
2001-11-28,16269057064
2001-11-29,16413350253
2001-11-30,16238137095
2001-12-03,16111880554
2001-12-04,16480343519
2001-12-05,16704513295
2001-12-06,16106727226
2001-12-07,16534453465
2001-12-10,16243290423
2001-12-11,15235814764
2001-12-12,15493481173
2001-12-13,15918630748
2001-12-14,15722804277
2001-12-17,15743417589
2001-12-18,16305130361
2001-12-19,16926106407
2001-12-20,16913223086
2001-12-21,17024019642
2001-12-24,17330642669
2001-12-26,17348679317
2001-12-27,17719718946
2001-12-28,17827938838
2001-12-31,17634689031
2002-01-02,18223795109
2002-01-03,18018915314
2002-01-04,17630169036
2002-01-07,17919102080
2002-01-08,17551369115
2002-01-09,17740488926
2002-01-10,17724728941
2002-01-11,17561875771
2002-01-14,17680075653
2002-01-15,17698462301
2002-01-16,17551369115
2002-01-17,16484943515
2002-01-18,16590010076
2002-01-22,16366743633
2002-01-23,16301077032
2002-01-24,16366743633
2002-01-25,16503330163
2002-01-28,16232783767
2002-01-29,15815144184
2002-01-30,15678557654
2002-01-31,15967490699
2002-02-01,15870304129
2002-02-04,15615517717
2002-02-05,15111198222
2002-02-06,14706691959
2002-02-07,14908945091
2002-02-08,15242531424
2002-02-11,15641784358
2002-02-12,15796757536
2002-02-13,15949104050
2002-02-14,15888690777
2002-02-15,15350224649
2002-02-19,15350224649
2002-02-20,15536717796
2002-02-21,15541971124
2002-02-22,15476304523
2002-02-25,15476304523
2002-02-26,15757357575
2002-02-27,16054170612
2002-02-28,16164490502
2002-03-01,16576876756
2002-03-04,16718716614
2002-03-05,16805396527
2002-03-06,17181009485
2002-03-07,16918343081
2002-03-08,16547983452
2002-03-11,16461303538
2002-03-12,16387756945
2002-03-13,16114583885
2002-03-14,16104077229
2002-03-15,16135597197
2002-03-18,16453423546
2002-03-19,16508583491
2002-03-20,16695076638
2002-03-21,17414782585
2002-03-22,17404275929
2002-03-25,17207276126
2002-03-26,16973503026
2002-03-27,17217782782
2002-03-28,17309716023
2002-04-01,18107471892
2002-04-02,18326301673
2002-04-03,18229351770
2002-04-04,18614381385
2002-04-05,18594991404
2002-04-08,18930161069
2002-04-09,18877531122
2002-04-10,18905231094
2002-04-11,18669781330
2002-04-12,18592221407
2002-04-15,18088081911
2002-04-16,17963432036
2002-04-17,18644851355
2002-04-18,18398321601
2002-04-19,18359541640
2002-04-22,18514661485
2002-04-23,18780581219
2002-04-24,18841521158
2002-04-25,18351231648
2002-04-26,17963432036
2002-04-29,18406631593
2002-04-30,18509121490
2002-05-01,18281981718
2002-05-02,18157331842
2002-05-03,18107471892
2002-05-06,17877562122
2002-05-07,17542392457
2002-05-08,17572862427
2002-05-09,17617182382
2002-05-10,17503612496
2002-05-13,17528542471
2002-05-14,17852632147
2002-05-15,17475912524
2002-05-16,16755713244
2002-05-17,16187863812
2002-05-20,16586743413
2002-05-21,16509183490
2002-05-22,16905293094
2002-05-23,17065952934
2002-05-24,16755713244
2002-05-28,16703083296
2002-05-29,16182323817
2002-05-30,15345784654
2002-05-31,15456584543
2002-06-03,14825025174
2002-06-04,15307004692
2002-06-05,15124184875
2002-06-06,14813945186
2002-06-07,14487085512
2002-06-10,14046655953
2002-06-11,14060505939
2002-06-12,14550795449
2002-06-13,14969065030
2002-06-14,14974605025
2002-06-17,15312544687
2002-06-18,15897014102
2002-06-19,15852694147
2002-06-20,14969065030
2002-06-21,15337474662
2002-06-24,15287614712
2002-06-25,15307004692
2002-06-26,15110334889
2002-06-27,14891505108
2002-06-28,15018924981
2002-07-01,14714525285
2002-07-02,14539385460
2002-07-03,14417065582
2002-07-05,14683945316
2002-07-08,14689505310
2002-07-09,14083465916
2002-07-10,12601727398
2002-07-11,13546926453
2002-07-12,11995688004
2002-07-15,11486948513
2002-07-16,10789169210
2002-07-17,10864229135
2002-07-18,10041349958
2002-07-19,9668830331
2002-07-22,9354690645
2002-07-23,9207350792
2002-07-24,10694649305
2002-07-25,10922609077
2002-07-26,10880909119
2002-07-29,10855889144
2002-07-30,12081867918
2002-07-31,12354307645
2002-08-01,12329287670
2002-08-02,11756608243
2002-08-05,11695448304
2002-08-06,12115227884
2002-08-07,12479407520
2002-08-08,12643427356
2002-08-09,12760187239
2002-08-12,12943667056
2002-08-13,12901967098
2002-08-14,13449626550
2002-08-15,13546926453
2002-08-16,12904747095
2002-08-19,13332866667
2002-08-20,13352326647
2002-08-21,13744306255
2002-08-22,13569166430
2002-08-23,13132706867
2002-08-26,13502446497
2002-08-27,12968687031
2002-08-28,13224446775
2002-08-29,13204986795
2002-08-30,13002046997
2002-09-03,12304267695
2002-09-04,12315387684
2002-09-05,12334847665
2002-09-06,12112447887
2002-09-09,12193067806
2002-09-10,11675988324
2002-09-11,11297908702
2002-09-12,10922609077
2002-09-13,11136668863
2002-09-16,11131108868
2002-09-17,10608469391
2002-09-18,10961529038
2002-09-19,10380509619
2002-09-20,9885670114
2002-09-23,9599330400
2002-09-24,9324110675
2002-09-25,8893211106
2002-09-26,9271290728
2002-09-27,9257390742
2002-09-30,9474230525
2002-10-01,10408830421
2002-10-02,9993433514
2002-10-03,10092052923
2002-10-04,9566082738
2002-10-07,9587002007
2002-10-08,9434590192
2002-10-09,8627704113
2002-10-10,9852975567
2002-10-11,10077110589
2002-10-14,9960560377
2002-10-15,9924698774
2002-10-16,9715506086
2002-10-17,9748379223
2002-10-18,9763321558
2002-10-21,10462622826
2002-10-22,10238487804
2002-10-23,10492507496
2002-10-24,9939641108
2002-10-25,10178718465
2002-10-28,10522392166
2002-10-29,10247453205
2002-10-30,10507449831
2002-10-31,10674803981
2002-11-01,10638942377
2002-11-04,11111120157
2002-11-05,11233647302
2002-11-06,11389047584
2002-11-07,10842158130
2002-11-08,10399865020
2002-11-11,9589990474
2002-11-12,9772286959
2002-11-13,9685621417
2002-11-14,9622863611
2002-11-15,9721483020
2002-11-18,9637805946
2002-11-19,9721483020
2002-11-20,9691598351
2002-11-21,9939641108
2002-11-22,10498484430
2002-11-25,10435726624
2002-11-26,10310211012
2002-11-27,10361014950
2002-11-29,10283314809
2002-12-02,10017341249
2002-12-03,11045373884
2002-12-04,10262395540
2002-12-05,9972514245
2002-12-06,10247453205
2002-12-09,10029295117
2002-12-10,10056191320
2002-12-11,10080099056
2002-12-12,10065156721
2002-12-13,9993433514
2002-12-16,10115960659
2002-12-17,10366991884
2002-12-18,10259407073
2002-12-19,10262395540
2002-12-20,10465611293
2002-12-23,10295268677
2002-12-24,10259407073
2002-12-26,10301245611
2002-12-27,10059179787
2002-12-30,10092052923
2002-12-31,10178718465
2003-01-02,10378279621
2003-01-03,10497879502
2003-01-06,10973289026
2003-01-07,10847709152
2003-01-08,11071958928
2003-01-09,11128768871
2003-01-10,10946379053
2003-01-13,9313840686
2003-01-14,9355700644
2003-01-15,9412510587
2003-01-16,9424470575
2003-01-17,9331780668
2003-01-21,9074640925
2003-01-22,8928131071
2003-01-23,9074640925
2003-01-24,8940091059
2003-01-27,8647071352
2003-01-28,8913181086
2003-01-29,8877301122
2003-01-30,8814511185
2003-01-31,8877301122
2003-02-03,8969991030
2003-02-04,8862351137
2003-02-05,8751721248
2003-02-06,8599231400
2003-02-07,8416841583
2003-02-10,8261361738
2003-02-11,8052061947
2003-02-12,7277652722
2003-02-13,7642432357
2003-02-14,7376322623
2003-02-18,7522832477
2003-02-19,7397252602
2003-02-20,7217852782
2003-02-21,7146092853
2003-02-24,7178982821
2003-02-25,7095262904
2003-02-26,7095262904
2003-02-27,7035462964
2003-02-28,7041442958
2003-03-03,6984633015
2003-03-04,6996593003
2003-03-05,6879983120
2003-03-06,6766363233
2003-03-07,6646763353
2003-03-10,6422513577
2003-03-11,6467363532
2003-03-12,6906893093
2003-03-13,7140112859
2003-03-14,7229812770
2003-03-17,7630472369
2003-03-18,8084951915
2003-03-19,7986282013
2003-03-20,8189601810
2003-03-21,8028141971
2003-03-24,7693262306
2003-03-25,7896582103
2003-03-26,7938442061
2003-03-27,8028141971
2003-03-28,7833792166
2003-03-31,7579642420
2003-04-01,7212986120
2003-04-02,7396392603
2003-04-03,7276126057
2003-04-04,7417439249
2003-04-07,7375345957
2003-04-08,7363319303
2003-04-09,7339265994
2003-04-10,7384365948
2003-04-11,7543719122
2003-04-14,7730132269
2003-04-15,7934585398
2003-04-16,8018771981
2003-04-17,8229238437
2003-04-21,8172111827
2003-04-22,8674224659
2003-04-23,8779457887
2003-04-24,8857631142
2003-04-25,8752397914
2003-04-28,9095157571
2003-04-29,9056070943
2003-04-30,9218430781
2003-05-01,8830571169
2003-05-02,8800504532
2003-05-05,8809524523
2003-05-06,8791484541
2003-05-07,8779457887
2003-05-08,8848611151
2003-05-09,8872664460
2003-05-12,8827564505
2003-05-13,8857631142
2003-05-14,8947831052
2003-05-15,9140257526
2003-05-16,9320657346
2003-05-19,9083130916
2003-05-20,9095157571
2003-05-21,9026004307
2003-05-22,9365757300
2003-05-23,9750610249
2003-05-27,10075329924
2003-05-28,10054283279
2003-05-29,9934016732
2003-05-30,10159516507
2003-06-02,10117423215
2003-06-03,10090363242
2003-06-04,10219649780
2003-06-05,10153503179
2003-06-06,9958070041
2003-06-09,9934016732
2003-06-10,10090363242
2003-06-11,10015196651
2003-06-12,9949050050
2003-06-13,9711523621
2003-06-16,9912970087
2003-06-17,10484236182
2003-06-18,10739802593
2003-06-19,10649602683
2003-06-20,10691695974
2003-06-23,10562409437
2003-06-24,10478222855
2003-06-25,10550382782
2003-06-26,10682675983
2003-06-27,10499269500
2003-06-30,10457176209
2003-07-01,10301906364
2003-07-02,10238556428
2003-07-03,10081689918
2003-07-07,10151073182
2003-07-08,10033423299
2003-07-09,10006273327
2003-07-10,9764940235
2003-07-11,9849406817
2003-07-14,9792090207
2003-07-15,9665390334
2003-07-16,9517573815
2003-07-17,9445173888
2003-07-18,9722706943
2003-07-21,9433107233
2003-07-22,9713656953
2003-07-23,9556790443
2003-07-24,9644273689
2003-07-25,9635223698
2003-07-28,9623157043
2003-07-29,9580923752
2003-07-30,9128424204
2003-07-31,9227974105
2003-08-01,9161607505
2003-08-04,9043957622
2003-08-05,8923291076
2003-08-06,8962507704
2003-08-07,8983624349
2003-08-08,8971557695
2003-08-11,9077140922
2003-08-12,9212890787
2003-08-13,8941391058
2003-08-14,9025857640
2003-08-15,9119374213
2003-08-18,9034907631
2003-08-19,8956474376
2003-08-20,9125407541
2003-08-21,9092224241
2003-08-22,8941391058
2003-08-25,8914241085
2003-08-26,8914241085
2003-08-27,8956474376
2003-08-28,8941391058
2003-08-29,8983624349
2003-09-02,9261157405
2003-09-03,9339590660
2003-09-04,9255124078
2003-09-05,9128424204
2003-09-08,9255124078
2003-09-09,9149540850
2003-09-10,9270207396
2003-09-11,9312440687
2003-09-12,9351657315
2003-09-15,9297357369
2003-09-16,9351657315
2003-09-17,9330540669
2003-09-18,9592990407
2003-09-19,9755890244
2003-09-22,9556790443
2003-09-23,9644273689
2003-09-24,9418023915
2003-09-25,9466290533
2003-09-26,9445173888
2003-09-29,9466290533
2003-09-30,9366740633
2003-10-01,9408973924
2003-10-02,9466290533
2003-10-03,9418023915
2003-10-06,9415007251
2003-10-07,9466290533
2003-10-08,9804156862
2003-10-09,9701590298
2003-10-10,9798123535
2003-10-13,9864490135
2003-10-14,9807173526
2003-10-15,9707623625
2003-10-16,9728740271
2003-10-17,9680473652
2003-10-20,9734773598
2003-10-21,9728740271
2003-10-22,9734773598
2003-10-23,9571873761
2003-10-24,9529640470
2003-10-27,9454223879
2003-10-28,9267190732
2003-10-29,9309424023
2003-10-30,9433107233
2003-10-31,9544723788
2003-11-03,9608073725
2003-11-04,9393890606
2003-11-05,9303390696
2003-11-06,9297357369
2003-11-07,9261157405
2003-11-10,9270207396
2003-11-11,9303390696
2003-11-12,9176690823
2003-11-13,9155574177
2003-11-14,9176690823
2003-11-17,9013790986
2003-11-18,9040940959
2003-11-19,9270207396
2003-11-20,9288307378
2003-11-21,9396907269
2003-11-24,9571873761
2003-11-25,9487407179
2003-11-26,9475340524
2003-11-28,9487407179
2003-12-01,9517573815
2003-12-02,9345623987
2003-12-03,9345623987
2003-12-04,9496457170
2003-12-05,9599023734
2003-12-08,9777006889
2003-12-09,9783040216
2003-12-10,9997223336
2003-12-11,10102806563
2003-12-12,10027389972
2003-12-15,10024373308
2003-12-16,10066606600
2003-12-17,10160123173
2003-12-18,10295873037
2003-12-19,10422572910
2003-12-22,10600556066
2003-12-23,10853955812
2003-12-24,10781555885
2003-12-26,10703122630
2003-12-29,10766472566
2003-12-30,10932389067
2003-12-31,10754405912
2004-01-02,10785909214
2004-01-05,10767669232
2004-01-06,10615669384
2004-01-07,11235828764
2004-01-08,11056468943
2004-01-09,10974389025
2004-01-12,10907509092
2004-01-13,10907509092
2004-01-14,11074708925
2004-01-15,11080788919
2004-01-16,11108148891
2004-01-20,11266228733
2004-01-21,11606708393
2004-01-22,11421268578
2004-01-23,11263188736
2004-01-26,11208468791
2004-01-27,11135508864
2004-01-28,11387828612
2004-01-29,11679668320
2004-01-30,11515508484
2004-02-02,11634068365
2004-02-03,11822548177
2004-02-04,11585428414
2004-02-05,11521588478
2004-02-06,11600628399
2004-02-09,11658388341
2004-02-10,11770868229
2004-02-11,11515508484
2004-02-12,11415188584
2004-02-13,11293588706
2004-02-17,11658388341
2004-02-18,11558068441
2004-02-19,11430388569
2004-02-20,11406068593
2004-02-23,11323988676
2004-02-24,11263188736
2004-02-25,11509428490
2004-02-26,11548948451
2004-02-27,11637108362
2004-03-01,11734388265
2004-03-02,11634068365
2004-03-03,11664468335
2004-03-04,11585428414
2004-03-05,11615828384
2004-03-08,11664468335
2004-03-09,11564148435
2004-03-10,11448628551
2004-03-11,11387828612
2004-03-12,11494228505
2004-03-15,11351348648
2004-03-16,11479028520
2004-03-17,11685748314
2004-03-18,11679668320
2004-03-19,11673588326
2004-03-22,11558068441
2004-03-23,11548948451
2004-03-24,11658388341
2004-03-25,11685748314
2004-03-26,11658388341
2004-03-29,11764788235
2004-03-30,11928948071
2004-03-31,11977588022
2004-04-01,12204667795
2004-04-02,11988601344
2004-04-05,11945388054
2004-04-06,11858961474
2004-04-07,11661415005
2004-04-08,11645981687
2004-04-12,11559555107
2004-04-13,11306448693
2004-04-14,11161375505
2004-04-15,11155202178
2004-04-16,11241628758
2004-04-19,11213848786
2004-04-20,11244715421
2004-04-21,11250888749
2004-04-22,11417568582
2004-04-23,11547208452
2004-04-26,11624375042
2004-04-27,11494735171
2004-04-28,11741668258
2004-04-29,11287928712
2004-04-30,11331142002
2004-05-03,11272495394
2004-05-04,11235455431
2004-05-05,11025562307
2004-05-06,11003955662
2004-05-07,10655162678
2004-05-10,10482309517
2004-05-11,10519349480
2004-05-12,10266243067
2004-05-13,10429836236
2004-05-14,10432922900
2004-05-17,10423662909
2004-05-18,10389709610
2004-05-19,10365016301
2004-05-20,10395882937
2004-05-21,10423662909
2004-05-24,10568736097
2004-05-25,10723069276
2004-05-26,10692202641
2004-05-27,10757022576
2004-05-28,10729242604
2004-06-01,10686029313
2004-06-02,10676769323
2004-06-03,10568736097
2004-06-04,10534782798
2004-06-07,10719982613
2004-06-08,10590342742
2004-06-09,10448356218
2004-06-10,10439096227
2004-06-14,10300196366
2004-06-15,10488482844
2004-06-16,10599602733
2004-06-17,10596516070
2004-06-18,10698375968
2004-06-21,10846535820
2004-06-22,10763195903
2004-06-23,10858882474
2004-06-24,11003955662
2004-06-25,10954569045
2004-06-28,10973089026
2004-06-29,10800235866
2004-06-30,10917529082
2004-07-01,10962082371
2004-07-02,10999602333
2004-07-06,11196582136
2004-07-07,11152808847
2004-07-08,11087148912
2004-07-09,11199708800
2004-07-12,11159062174
2004-07-13,11221595445
2004-07-14,11284128715
2004-07-15,11299762033
2004-07-16,11506121827
2004-07-19,11474855191
2004-07-20,11587415079
2004-07-21,11396688603
2004-07-22,11255988744
2004-07-23,11205962127
2004-07-26,11262242071
2004-07-27,11374801958
2004-07-28,11418575248
2004-07-29,11659328340
2004-07-30,11718734947
2004-08-02,11850054816
2004-08-03,11859434807
2004-08-04,11990754675
2004-08-05,11828168171
2004-08-06,12072047927
2004-08-09,11968868031
2004-08-10,12200241133
2004-08-11,12215874450
2004-08-12,12122074544
2004-08-13,12006387993
2004-08-16,12025147974
2004-08-17,11931348068
2004-08-18,12150214516
2004-08-19,11968868031
2004-08-20,11931348068
2004-08-23,11915714750
