,PGR
2000-07-19,5699808000
2000-07-20,5717400000
2000-07-21,4617900000
2000-07-24,4714656000
2000-07-25,4626696000
2000-07-26,4908168000
2000-07-27,5268804000
2000-07-28,5136864000
2000-07-31,4925760000
2000-08-01,4925760000
2000-08-02,4996128000
2000-08-03,5163252000
2000-08-04,5365560000
2000-08-07,5286396000
2000-08-08,5347968000
2000-08-09,5207232000
2000-08-10,5198436000
2000-08-11,5418336000
2000-08-14,5664624000
2000-08-15,5471112000
2000-08-16,5427132000
2000-08-17,5391948000
2000-08-18,5303988000
2000-08-21,5488704000
2000-08-22,5479908000
2000-08-23,5479908000
2000-08-24,5462316000
2000-08-25,5409540000
2000-08-28,5435928000
2000-08-29,5444724000
2000-08-30,5550276000
2000-08-31,5559072000
2000-09-01,5471112000
2000-09-05,5497500000
2000-09-06,5383152000
2000-09-07,5347968000
2000-09-08,5497500000
2000-09-11,5567868000
2000-09-12,5559072000
2000-09-13,5479908000
2000-09-14,5567868000
2000-09-15,5603052000
2000-09-18,5321580000
2000-09-19,5471112000
2000-09-20,5365560000
2000-09-21,5427132000
2000-09-22,5664624000
2000-09-25,5708604000
2000-09-26,5840544000
2000-09-27,5884524000
2000-09-28,6060444000
2000-09-29,5998872000
2000-10-02,6306300000
2000-10-03,6209280000
2000-10-04,6253380000
2000-10-05,6350400000
2000-10-06,6174000000
2000-10-09,5979960000
2000-10-10,5847660000
2000-10-11,5803560000
2000-10-12,5256720000
2000-10-13,5441940000
2000-10-16,5486040000
2000-10-17,5327280000
2000-10-18,5221440000
2000-10-19,6315120000
2000-10-20,6456240000
2000-10-23,6403320000
2000-10-24,6694380000
2000-10-25,6800220000
2000-10-26,6579720000
2000-10-27,6615000000
2000-10-30,7082459999
2000-10-31,7223580000
2000-11-01,6985440000
2000-11-02,6923700000
2000-11-03,6773760000
2000-11-06,6879600000
2000-11-07,6844320000
2000-11-08,6861960000
2000-11-09,6879600000
2000-11-10,7011900000
2000-11-13,7205940000
2000-11-14,7347060000
2000-11-15,7223580000
2000-11-16,7197120000
2000-11-17,7117740000
2000-11-20,7153019999
2000-11-21,7126560000
2000-11-22,7003080000
2000-11-24,6906060000
2000-11-27,6888420000
2000-11-28,6747300000
2000-11-29,6914880000
2000-11-30,6879600000
2000-12-01,7020720000
2000-12-04,7091279999
2000-12-05,7497000000
2000-12-06,7673399999
2000-12-07,7682220000
2000-12-08,8087940000
2000-12-11,7929180000
2000-12-12,7840980000
2000-12-13,7585200000
2000-12-14,7302959999
2000-12-15,7161839999
2000-12-18,7461720000
2000-12-19,7408800000
2000-12-20,7320600000
2000-12-21,7373519999
2000-12-22,7505820000
2000-12-26,7620480000
2000-12-27,7708680000
2000-12-28,7646940000
2000-12-29,7620480000
2001-01-02,7330560000
2001-01-03,7171583999
2001-01-04,6897792000
2001-01-05,6615168000
2001-01-08,6729984000
2001-01-09,6676992000
2001-01-10,6500352000
2001-01-11,6465024000
2001-01-12,6182400000
2001-01-16,6438528000
2001-01-17,6314880000
2001-01-18,6350208000
2001-01-19,6376704000
2001-01-22,6712320000
2001-01-23,6871296000
2001-01-24,6994944000
2001-01-25,7109760000
2001-01-26,7100927999
2001-01-29,6915456000
2001-01-30,7145088000
2001-01-31,6915456000
2001-02-01,6888960000
2001-02-02,6968448000
2001-02-05,7109760000
2001-02-06,7100927999
2001-02-07,7471872000
2001-02-08,7312895999
2001-02-09,7436544000
2001-02-12,7471872000
2001-02-13,7533695999
2001-02-14,7436544000
2001-02-15,7339392000
2001-02-16,7401216000
2001-02-20,7295232000
2001-02-21,7047936000
2001-02-22,7092095999
2001-02-23,7012608000
2001-02-26,7180416000
2001-02-27,7401216000
2001-02-28,7286400000
2001-03-01,7312895999
2001-03-02,7259904000
2001-03-05,7215744000
2001-03-06,7198080000
2001-03-07,7215744000
2001-03-08,7357056000
2001-03-09,7215744000
2001-03-12,7012608000
2001-03-13,6950784000
2001-03-14,6774144000
2001-03-15,6941952000
2001-03-16,6721152000
2001-03-19,6526848000
2001-03-20,6473856000
2001-03-21,6270720000
2001-03-22,6314880000
2001-03-23,6579840000
2001-03-26,6694656000
2001-03-27,6668160000
2001-03-28,6800640000
2001-03-29,6933120000
2001-03-30,7145088000
2001-04-02,7271759999
2001-04-03,7147608000
2001-04-04,7023456000
2001-04-05,7191947999
2001-04-06,7041192000
2001-04-09,7005720000
2001-04-10,7058928000
2001-04-11,7058928000
2001-04-12,6943644000
2001-04-16,7041192000
2001-04-17,7094400000
2001-04-18,7307232000
2001-04-19,8424600000
2001-04-20,8353656000
2001-04-23,8256108000
2001-04-24,8229503999
2001-04-25,8353656000
2001-04-26,8495544000
2001-04-27,8690640000
2001-04-30,8628564000
2001-05-01,8797056000
2001-05-02,8797056000
2001-05-03,8868000000
2001-05-04,8646300000
2001-05-07,8743848000
2001-05-08,8850264000
2001-05-09,8797056000
2001-05-10,8664036000
2001-05-11,8628564000
2001-05-14,8717244000
2001-05-15,8752716000
2001-05-16,8921208000
2001-05-17,8859132000
2001-05-18,9284796000
2001-05-21,9595176000
2001-05-22,9488760000
2001-05-23,9488760000
2001-05-24,9550836000
2001-05-25,9568572000
2001-05-29,9843480000
2001-05-30,9737064000
2001-05-31,9683856000
2001-06-01,9577440000
2001-06-04,9683856000
2001-06-05,9861216000
2001-06-06,10003104000
2001-06-07,9967632000
2001-06-08,9949896000
2001-06-11,9923292000
2001-06-12,9958764000
2001-06-13,9949896000
2001-06-14,9745932000
2001-06-15,9745932000
2001-06-18,9808008000
2001-06-19,9674988000
2001-06-20,9710460000
2001-06-21,9887820000
2001-06-22,9825744000
2001-06-25,9701592000
2001-06-26,9754800000
2001-06-27,9887820000
2001-06-28,10038576000
2001-06-29,9994236000
2001-07-02,9953664000
2001-07-03,9944832000
2001-07-05,9865344000
2001-07-06,9706368000
2001-07-09,9671040000
2001-07-10,9626880000
2001-07-11,9582720000
2001-07-12,9741696000
2001-07-13,9706368000
2001-07-16,9706368000
2001-07-17,9529728000
2001-07-18,9397248000
2001-07-19,9573888000
2001-07-20,9423744000
2001-07-23,9414912000
2001-07-24,9459072000
2001-07-25,9688704000
2001-07-26,9768192000
2001-07-27,9821184000
2001-07-30,9812352000
2001-07-31,9918336000
2001-08-01,9944832000
2001-08-02,9838848000
2001-08-03,9812352000
2001-08-06,9750528000
2001-08-07,9759360000
2001-08-08,9653376000
2001-08-09,9715200000
2001-08-10,9609216000
2001-08-13,9635712000
2001-08-14,9671040000
2001-08-15,9600384000
2001-08-16,9644544000
2001-08-17,9697536000
2001-08-20,9732864000
2001-08-21,9697536000
2001-08-22,9715200000
2001-08-23,9732864000
2001-08-24,9732864000
2001-08-27,9600384000
2001-08-28,9485568000
2001-08-29,9459072000
2001-08-30,9476736000
2001-08-31,9512064000
2001-09-04,9423744000
2001-09-05,9326592000
2001-09-06,9176448000
2001-09-07,8867328000
2001-09-10,9158784000
2001-09-17,8902656000
2001-09-18,8814336000
2001-09-19,8761344000
2001-09-20,8761344000
2001-09-21,8531712000
2001-09-24,8752512000
2001-09-25,9158784000
2001-09-26,9361920000
2001-09-27,9697536000
2001-09-28,9856512000
2001-10-01,9825480000
2001-10-02,10098900000
2001-10-03,10213560000
2001-10-04,10143000000
2001-10-05,9931320000
2001-10-08,9887220000
2001-10-09,10125360000
2001-10-10,10116540000
2001-10-11,10178280000
2001-10-12,10063620000
2001-10-15,10442880000
2001-10-16,10654560000
2001-10-17,10407600000
2001-10-18,10143000000
2001-10-19,10098900000
2001-10-22,10628100000
2001-10-23,10619280000
2001-10-24,10575180000
2001-10-25,10742760000
2001-10-26,10866240000
2001-10-29,10584000000
2001-10-30,10434060000
2001-10-31,10195920000
2001-11-01,10469340000
2001-11-02,10566360000
2001-11-05,10804500000
2001-11-06,10716300000
2001-11-07,10584000000
2001-11-08,10654560000
2001-11-09,10363500000
2001-11-12,10328220000
2001-11-13,10504620000
2001-11-14,10442880000
2001-11-15,10592820000
2001-11-16,10619280000
2001-11-19,10592820000
2001-11-20,10566360000
2001-11-21,10584000000
2001-11-23,10663380000
2001-11-26,10733940000
2001-11-27,10875060000
2001-11-28,10760400000
2001-11-29,10875060000
2001-11-30,10769220000
2001-12-03,10813320000
2001-12-04,10830960000
2001-12-05,10989720000
2001-12-06,10954440000
2001-12-07,10998540000
2001-12-10,10742760000
2001-12-11,10778040000
2001-12-12,10945620000
2001-12-13,10742760000
2001-12-14,10830960000
2001-12-17,10980900000
2001-12-18,10945620000
2001-12-19,10980900000
2001-12-20,11016180000
2001-12-21,10857420000
2001-12-24,10866240000
2001-12-26,10927980000
2001-12-27,11016180000
2001-12-28,11086740000
2001-12-31,10972080000
2002-01-02,10875060000
2002-01-03,10698660000
2002-01-04,10663380000
2002-01-07,10504620000
2002-01-08,10442880000
2002-01-09,10416420000
2002-01-10,10451700000
2002-01-11,10363500000
2002-01-14,10372320000
2002-01-15,10619280000
2002-01-16,10716300000
2002-01-17,10813320000
2002-01-18,10813320000
2002-01-22,10760400000
2002-01-23,10804500000
2002-01-24,10778040000
2002-01-25,10927980000
2002-01-28,10681020000
2002-01-29,10469340000
2002-01-30,10672200000
2002-01-31,10866240000
2002-02-01,10954440000
2002-02-04,10698660000
2002-02-05,10689840000
2002-02-06,10698660000
2002-02-07,10733940000
2002-02-08,10883880000
2002-02-11,10963260000
2002-02-12,10875060000
2002-02-13,11236680000
2002-02-14,11307240000
2002-02-15,11130840000
2002-02-19,11051460000
2002-02-20,11130840000
2002-02-21,11077920000
2002-02-22,11060280000
2002-02-25,11245500000
2002-02-26,11430720000
2002-02-27,11536560000
2002-02-28,11448360000
2002-03-01,11483640000
2002-03-04,11695320000
2002-03-05,11704140000
2002-03-06,11712960000
2002-03-07,11404260000
2002-03-08,11430720000
2002-03-11,11351340000
2002-03-12,11430720000
2002-03-13,11474820000
2002-03-14,11607120000
2002-03-15,11827620000
2002-03-18,11792340000
2002-03-19,11951100000
2002-03-20,11959920000
2002-03-21,12021660000
2002-03-22,12109860000
2002-03-25,11889360000
2002-03-26,12039300000
2002-03-27,12056940000
2002-03-28,12242160000
2002-04-01,12203296000
2002-04-02,12396720000
2002-04-03,12300008000
2002-04-04,12449472000
2002-04-05,12414304000
2002-04-08,12651688000
2002-04-09,12774776000
2002-04-10,12757192000
2002-04-11,12660480000
2002-04-12,12801152000
2002-04-15,12590144000
2002-04-16,12739608000
2002-04-17,13029744000
2002-04-18,12713232000
2002-04-19,12678064000
2002-04-22,12722024000
2002-04-23,12563768000
2002-04-24,12660480000
2002-04-25,12625312000
2002-04-26,12660480000
2002-04-29,12361552000
2002-04-30,12642896000
2002-05-01,12669272000
2002-05-02,12722024000
2002-05-03,12783568000
2002-05-06,12739608000
2002-05-07,12572560000
2002-05-08,12642896000
2002-05-09,12440680000
2002-05-10,12361552000
2002-05-13,12642896000
2002-05-14,12511016000
2002-05-15,12493432000
2002-05-16,12431888000
2002-05-17,12642896000
2002-05-20,12343968000
2002-05-21,12335176000
2002-05-22,12467056000
2002-05-23,12616520000
2002-05-24,12739608000
2002-05-28,12801152000
2002-05-29,13020952000
2002-05-30,13073704000
2002-05-31,13012160000
2002-06-03,12880280000
2002-06-04,12783568000
2002-06-05,12968200000
2002-06-06,12739608000
2002-06-07,12765984000
2002-06-10,12941824000
2002-06-11,12528600000
2002-06-12,12528600000
2002-06-13,12282424000
2002-06-14,12300008000
2002-06-17,12713232000
2002-06-18,12880280000
2002-06-19,12853904000
2002-06-20,12897864000
2002-06-21,12880280000
2002-06-24,12897864000
2002-06-25,12607728000
2002-06-26,12440680000
2002-06-27,12519808000
2002-06-28,12713232000
2002-07-01,12472596000
2002-07-02,12097808000
2002-07-03,11984500000
2002-07-05,12071660000
2002-07-08,11993216000
2002-07-09,11766600000
2002-07-10,11304652000
2002-07-11,11304652000
2002-07-12,11278504000
2002-07-15,11243640000
2002-07-16,11025740000
2002-07-17,10842704000
2002-07-18,10354608000
2002-07-19,10476632000
2002-07-22,10267448000
2002-07-23,10058264000
2002-07-24,10476632000
2002-07-25,10276164000
2002-07-26,10598656000
2002-07-29,11139048000
2002-07-30,10990876000
2002-07-31,11147764000
2002-08-01,10990876000
2002-08-02,10711964000
2002-08-05,10319744000
2002-08-06,10555076000
2002-08-07,10711964000
2002-08-08,10947296000
2002-08-09,11008308000
2002-08-12,10973444000
2002-08-13,10642236000
2002-08-14,11043172000
2002-08-15,11182628000
2002-08-16,11784032000
2002-08-19,11897340000
2002-08-20,11757884000
2002-08-21,11827612000
2002-08-22,12097808000
2002-08-23,11984500000
2002-08-26,12010648000
2002-08-27,11845044000
2002-08-28,11688156000
2002-08-29,11714304000
2002-08-30,11714304000
2002-09-03,11539984000
2002-09-04,11662008000
2002-09-05,11662008000
2002-09-06,11679440000
2002-09-09,11914772000
2002-09-10,11940920000
2002-09-11,11940920000
2002-09-12,11749168000
2002-09-13,11818896000
2002-09-16,11775316000
2002-09-17,11670724000
2002-09-18,11731736000
2002-09-19,11539984000
2002-09-20,11417960000
2002-09-23,11356948000
2002-09-24,11121616000
2002-09-25,11234924000
2002-09-26,11505120000
2002-09-27,11104184000
2002-09-30,11029392000
2002-10-01,11586960000
2002-10-02,11168784000
2002-10-03,10924848000
2002-10-04,10855152000
2002-10-07,10698336000
2002-10-08,11168784000
2002-10-09,10715760000
2002-10-10,11273328000
2002-10-11,11674080000
2002-10-14,11682792000
2002-10-15,12057408000
2002-10-16,12022560000
2002-10-17,12440736000
2002-10-18,12362328000
2002-10-21,12632400000
2002-10-22,12432024000
2002-10-23,12423312000
2002-10-24,12118392000
2002-10-25,12405888000
2002-10-28,12205512000
2002-10-29,11926728000
2002-10-30,12031272000
2002-10-31,11979000000
2002-11-01,12153240000
2002-11-04,12188088000
2002-11-05,12092256000
2002-11-06,12039984000
2002-11-07,11804760000
2002-11-08,11848320000
2002-11-11,11769912000
2002-11-12,11804760000
2002-11-13,11865744000
2002-11-14,12100968000
2002-11-15,12231648000
2002-11-18,12013848000
2002-11-19,12083544000
2002-11-20,12292632000
2002-11-21,12310056000
2002-11-22,12327480000
2002-11-25,12179376000
2002-11-26,12240360000
2002-11-27,12397176000
2002-11-29,12336192000
2002-12-02,12170664000
2002-12-03,12005136000
2002-12-04,11839608000
2002-12-05,11796048000
2002-12-06,11796048000
2002-12-09,11534688000
2002-12-10,11595672000
2002-12-11,11700216000
2002-12-12,11491128000
2002-12-13,11316888000
2002-12-16,11456280000
2002-12-17,11212344000
2002-12-18,11038104000
2002-12-19,10890000000
2002-12-20,11046816000
2002-12-23,10863864000
2002-12-24,10907424000
2002-12-26,10890000000
2002-12-27,10707048000
2002-12-30,10863864000
2002-12-31,10816556000
2003-01-02,11139048000
2003-01-03,11165196000
2003-01-06,11487688000
2003-01-07,11243640000
2003-01-08,11112900000
2003-01-09,11008308000
2003-01-10,10921148000
2003-01-13,10929864000
2003-01-14,10799124000
2003-01-15,10546360000
2003-01-16,10145424000
2003-01-17,10241300000
2003-01-21,10345892000
2003-01-22,10206436000
2003-01-23,10572508000
2003-01-24,10450484000
2003-01-27,10250016000
2003-01-28,10424336000
2003-01-29,10380756000
2003-01-30,10337176000
2003-01-31,10537644000
2003-02-03,10694532000
2003-02-04,10459200000
2003-02-05,10511496000
2003-02-06,10433052000
2003-02-07,10372040000
2003-02-10,10711964000
2003-02-11,10520212000
2003-02-12,10424336000
2003-02-13,10450484000
2003-02-14,10764260000
2003-02-18,10650952000
2003-02-19,10677100000
2003-02-20,10642236000
2003-02-21,10868852000
2003-02-24,10833988000
2003-02-25,10990876000
2003-02-26,10929864000
2003-02-27,11261072000
2003-02-28,11330800000
2003-03-03,11304652000
2003-03-04,11165196000
2003-03-05,11496404000
2003-03-06,11583564000
2003-03-07,11940920000
2003-03-10,11409244000
2003-03-11,11182628000
2003-03-12,11139048000
2003-03-13,11749168000
2003-03-14,12272128000
2003-03-17,12542324000
2003-03-18,12742792000
2003-03-19,12838668000
2003-03-20,12882248000
2003-03-21,13161160000
2003-03-24,12838668000
2003-03-25,12864816000
2003-03-26,12777656000
2003-03-27,13021704000
2003-03-28,13117580000
2003-03-31,12908032000
2003-04-01,13404160000
2003-04-02,13560832000
2003-04-03,13526016000
2003-04-04,13891584000
2003-04-07,13917696000
2003-04-08,14048256000
2003-04-09,13900288000
2003-04-10,14144000000
2003-04-11,14204928000
2003-04-14,14361600000
2003-04-15,14117887999
2003-04-16,14231040000
2003-04-17,14187520000
2003-04-21,14265856000
2003-04-22,14631423999
2003-04-23,15014400000
2003-04-24,14744576000
2003-04-25,14605312000
2003-04-28,14909952000
2003-04-29,14875136000
2003-04-30,14796800000
2003-05-01,14996992000
2003-05-02,14970880000
2003-05-05,14901248000
2003-05-06,14875136000
2003-05-07,14701056000
2003-05-08,14561792000
2003-05-09,14727168000
2003-05-12,15014400000
2003-05-13,14892544000
2003-05-14,15205887999
2003-05-15,15310336000
2003-05-16,15232000000
2003-05-19,15110144000
2003-05-20,15232000000
2003-05-21,15266816000
2003-05-22,15075328000
2003-05-23,15249408000
2003-05-27,15449600000
2003-05-28,15562752000
2003-05-29,15467008000
2003-05-30,15667200000
2003-06-02,15710720000
2003-06-03,15536640000
2003-06-04,15606272000
2003-06-05,15493120000
2003-06-06,15379968000
2003-06-09,15223295999
2003-06-10,15284223999
2003-06-11,15397376000
2003-06-12,15449600000
2003-06-13,15945728000
2003-06-16,16424448000
2003-06-17,16528895999
2003-06-18,16563712000
2003-06-19,16276480000
2003-06-20,16311295999
2003-06-23,16293887999
2003-06-24,16259072000
2003-06-25,16102400000
2003-06-26,16154623999
2003-06-27,16041472000
2003-06-30,15859728000
2003-07-01,15998544000
2003-07-02,16189416000
2003-07-03,16076628000
2003-07-07,16258823999
2003-07-08,16267500000
2003-07-09,16146036000
2003-07-10,15903107999
2003-07-11,16041923999
2003-07-14,15981192000
2003-07-15,15911784000
2003-07-16,15877080000
2003-07-17,14558328000
2003-07-18,14454216000
2003-07-21,14402160000
2003-07-22,14462892000
2003-07-23,14150555999
2003-07-24,14167907999
2003-07-25,14402160000
2003-07-28,14506271999
2003-07-29,14315400000
2003-07-30,14228639999
2003-07-31,14315400000
2003-08-01,14185260000
2003-08-04,14141880000
2003-08-05,14003064000
2003-08-06,14089823999
2003-08-07,14011739999
2003-08-08,14124528000
2003-08-11,14063796000
2003-08-12,14159232000
2003-08-13,14020416000
2003-08-14,14211288000
2003-08-15,14428188000
2003-08-18,14714496000
2003-08-19,15000804000
2003-08-20,15096239999
2003-08-21,15078888000
2003-08-22,15044184000
2003-08-25,15096239999
2003-08-26,15130944000
2003-08-27,15183000000
2003-08-28,15217704000
2003-08-29,15347844000
2003-09-02,15564744000
2003-09-03,15712236000
2003-09-04,15807671999
2003-09-05,15781644000
2003-09-08,15998544000
2003-09-09,15851052000
2003-09-10,15903107999
2003-09-11,15798996000
2003-09-12,15104916000
2003-09-15,15200352000
2003-09-16,15538716000
2003-09-17,15477984000
2003-09-18,15807671999
2003-09-19,15651504000
2003-09-22,15590771999
2003-09-23,15816348000
2003-09-24,15434604000
2003-09-25,15235055999
2003-09-26,15183000000
2003-09-29,15122268000
2003-09-30,14840064000
2003-10-01,15458400000
2003-10-02,15501340000
2003-10-03,15595808000
2003-10-06,15638748000
2003-10-07,15784744000
2003-10-08,15844860000
2003-10-09,15844860000
2003-10-10,15750392000
2003-10-13,15913564000
2003-10-14,15990856000
2003-10-15,15999444000
2003-10-16,16179792000
2003-10-17,15827684000
2003-10-20,15801919999
2003-10-21,15690276000
2003-10-22,15621572000
2003-10-23,15509927999
2003-10-24,15329580000
2003-10-27,15681688000
2003-10-28,16025208000
2003-10-29,16076735999
2003-10-30,16042384000
2003-10-31,15844860000
2003-11-03,16248496000
2003-11-04,16205556000
2003-11-05,16136852000
2003-11-06,16317200000
2003-11-07,16257084000
2003-11-10,16179792000
2003-11-11,16154027999
2003-11-12,16291435999
2003-11-13,16377316000
2003-11-14,17072944000
2003-11-17,16841068000
2003-11-18,16669308000
2003-11-19,16729424000
2003-11-20,16480372000
2003-11-21,16540488000
2003-11-24,16720835999
2003-11-25,16746600000
2003-11-26,16875419999
2003-11-28,16772364000
2003-12-01,17347760000
2003-12-02,17201764000
2003-12-03,16892596000
2003-12-04,17072944000
2003-12-05,16901184000
2003-12-08,17047180000
2003-12-09,16935535999
2003-12-10,16892596000
2003-12-11,17176000000
2003-12-12,17631164000
2003-12-15,17382112000
2003-12-16,17467992000
2003-12-17,17553872000
2003-12-18,17717044000
2003-12-19,17854452000
2003-12-22,17691280000
2003-12-23,17553872000
2003-12-24,17631164000
2003-12-26,17699868000
2003-12-29,17880216000
2003-12-30,17871628000
2003-12-31,18091040000
2004-01-02,17831360000
2004-01-05,18082384000
2004-01-06,18117008000
2004-01-07,17900608000
2004-01-08,17961200000
2004-01-09,18065072000
2004-01-12,18246848000
2004-01-13,18108352000
2004-01-14,18445936000
2004-01-15,18229536000
2004-01-16,18177600000
2004-01-20,18281472000
2004-01-21,18419968000
2004-01-22,18117008000
2004-01-23,17987168000
2004-01-26,17883296000
2004-01-27,17961200000
2004-01-28,17762112000
2004-01-29,17883296000
2004-01-30,17883296000
2004-02-02,17796736000
2004-02-03,17796736000
2004-02-04,17580336000
2004-02-05,17848672000
2004-02-06,17952544000
2004-02-09,17840016000
2004-02-10,17649584000
2004-02-11,17943888000
2004-02-12,17692864000
2004-02-13,17822704000
2004-02-17,18142976000
2004-02-18,18065072000
2004-02-19,18082384000
2004-02-20,18307440000
2004-02-23,18298784000
2004-02-24,18246848000
2004-02-25,18013136000
2004-02-26,18056416000
2004-02-27,17891952000
2004-03-01,18073728000
2004-03-02,18134320000
2004-03-03,18437280000
2004-03-04,18368032000
2004-03-05,18705616000
2004-03-08,18645024000
2004-03-09,18506528000
2004-03-10,18368032000
2004-03-11,17865984000
2004-03-12,18298784000
2004-03-15,18212224000
2004-03-16,18619056000
2004-03-17,18774864000
2004-03-18,18913360000
2004-03-19,19008576000
2004-03-22,18913360000
2004-03-23,18861424000
2004-03-24,18567120000
2004-03-25,18800832000
2004-03-26,18809488000
2004-03-29,18835456000
2004-03-30,19043200000
2004-03-31,18947880000
2004-04-01,19086312000
2004-04-02,19086312000
2004-04-05,19198788000
2004-04-06,18999792000
2004-04-07,18861360000
2004-04-08,19224744000
2004-04-12,19319916000
2004-04-13,19008444000
2004-04-14,18852708000
2004-04-15,19293960000
2004-04-16,19441044000
2004-04-19,19501608000
2004-04-20,19172832000
2004-04-21,19467000000
2004-04-22,19717908000
2004-04-23,19198788000
2004-04-26,19051704000
2004-04-27,19025748000
2004-04-28,18705624000
2004-04-29,18870012000
2004-04-30,18930576000
2004-05-03,19086312000
2004-05-04,18653712000
2004-05-05,18619104000
2004-05-06,18359544000
2004-05-07,18022116000
2004-05-10,17823120000
2004-05-11,17866380000
2004-05-12,17952900000
2004-05-13,18117288000
2004-05-14,17952900000
2004-05-17,17944248000
2004-05-18,18004812000
2004-05-19,17788512000
2004-05-20,17952900000
2004-05-21,18013464000
2004-05-24,17996160000
2004-05-25,18376848000
2004-05-26,18273024000
2004-05-27,18523932000
2004-05-28,18549888000
2004-06-01,18463368000
2004-06-02,18671016000
2004-06-03,18394152000
2004-06-04,18541236000
2004-06-07,18774840000
2004-06-08,18696972000
2004-06-09,18671016000
2004-06-10,18930576000
2004-06-14,18584496000
2004-06-15,18705624000
2004-06-16,18567192000
2004-06-17,18532584000
2004-06-18,18446064000
2004-06-21,18394152000
2004-06-22,18541236000
2004-06-23,18653712000
2004-06-24,18523932000
2004-06-25,18575844000
2004-06-28,18411456000
2004-06-29,18368196000
2004-06-30,18429120000
2004-07-01,18316800000
2004-07-02,18247680000
2004-07-06,18169920000
2004-07-07,18031680000
2004-07-08,17841600000
2004-07-09,17712000000
2004-07-12,17824320000
2004-07-13,17677440000
2004-07-14,17608320000
2004-07-15,17064000000
2004-07-16,16968960000
2004-07-19,16891200000
2004-07-20,16683839999
2004-07-21,16562880000
2004-07-22,16692480000
2004-07-23,16467839999
2004-07-26,16390079999
2004-07-27,16277760000
2004-07-28,16329599999
2004-07-29,16372800000
2004-07-30,16554240000
2004-08-02,16606079999
2004-08-03,16623359999
2004-08-04,16588800000
2004-08-05,16372800000
2004-08-06,16130880000
2004-08-09,16087680000
2004-08-10,16087680000
2004-08-11,16312320000
2004-08-12,16174079999
2004-08-13,16001280000
2004-08-16,16502400000
2004-08-17,16407359999
2004-08-18,16666560000
2004-08-19,16727040000
2004-08-20,16822079999
2004-08-23,16804800000
