,QRVO
2017-10-26,9050407880
2017-10-27,9323589560
2017-10-30,9643566250
2017-10-31,9587918130
2017-11-01,9417179580
2017-11-02,9396943900
2017-11-03,9338766320
2017-11-06,9926865770
2017-11-07,9923071580
2017-11-08,10221547860
2017-11-09,10050809310
2017-11-10,10063456610
2017-11-13,10001484840
2017-11-14,9916747930
2017-11-15,9697949640
2017-11-16,9853511430
2017-11-17,9780157090
2017-11-20,10009073220
2017-11-21,10192459070
2017-11-22,10068515530
2017-11-24,10196253260
2017-11-27,10084957020
2017-11-28,9995161190
2017-11-29,9699214370
2017-11-30,9685302340
2017-12-01,9385561330
2017-12-04,9156645200
2017-12-05,9078231940
2017-12-06,8865757300
2017-12-07,8691224560
2017-12-08,8584987239
2017-12-11,8678577260
2017-12-12,8560957370
2017-12-13,8510368170
2017-12-14,8249833790
2017-12-15,8287775690
2017-12-18,8480014650
2017-12-19,8447131670
2017-12-20,8482544109
2017-12-21,8534398040
2017-12-22,8560957370
2017-12-26,8334570700
2017-12-27,8506573980
2017-12-28,8519221280
2017-12-29,8423101799
2018-01-02,8701059360
2018-01-03,8639161580
2018-01-04,8680847840
2018-01-05,8593685660
2018-01-08,8696006480
2018-01-09,8716218000
2018-01-10,8557052279
2018-01-11,8701059360
2018-01-12,8973914880
2018-01-16,8754114600
2018-01-17,8949913700
2018-01-18,8930965400
2018-01-19,8640424800
2018-01-22,8380201480
2018-01-23,8503997039
2018-01-24,8450941800
2018-01-25,8344831320
2018-01-26,8582316680
2018-01-29,8613897180
2018-01-30,8927175740
2018-01-31,9066129940
2018-02-01,10527675480
2018-02-02,10203027940
2018-02-05,9547416760
2018-02-06,9988280540
2018-02-07,9864484980
2018-02-08,9707845700
2018-02-09,9834167700
2018-02-12,10000912740
2018-02-13,10023650700
2018-02-14,9956700040
2018-02-15,9923856320
2018-02-16,9765953820
2018-02-20,10127234740
2018-02-21,10099443900
2018-02-22,9916277000
2018-02-23,10122181860
2018-02-26,10292716560
2018-02-27,10258609620
2018-02-28,10195448620
2018-03-01,9930172420
2018-03-02,10248503860
2018-03-05,10508727180
2018-03-06,10570624960
2018-03-07,10525149040
2018-03-08,10640102060
2018-03-09,10801794220
2018-03-12,10912957580
2018-03-13,10537781240
2018-03-14,10386194840
2018-03-15,9979438000
2018-03-16,10200501500
2018-03-19,9906171240
2018-03-20,9482992540
2018-03-21,9370565960
2018-03-22,9177293300
2018-03-23,9038339100
2018-03-26,9264455480
2018-03-27,8871594060
2018-03-28,8658109880
2018-03-29,8899384900
2018-04-02,8607230940
2018-04-03,8755436580
2018-04-04,8981512980
2018-04-05,8968953180
2018-04-06,8756692560
2018-04-09,8740364820
2018-04-10,8947601520
2018-04-11,9068175600
2018-04-12,9107110980
2018-04-13,9112134900
2018-04-16,9078223440
2018-04-17,9227685060
2018-04-18,9183725760
2018-04-19,8870986740
2018-04-20,8776788240
2018-04-23,8626070640
2018-04-24,8548199880
2018-04-25,8497960680
2018-04-26,8600951040
2018-04-27,8462793239
2018-04-30,8465305200
2018-05-01,9017936400
2018-05-02,9324395520
2018-05-03,9637134540
2018-05-04,9983785020
2018-05-07,10002624720
2018-05-08,10034024220
2018-05-09,10074215580
2018-05-10,10297780020
2018-05-11,10253820720
2018-05-14,10257588660
2018-05-15,10060399800
2018-05-16,10179717900
2018-05-17,10124454780
2018-05-18,9996344820
2018-05-21,10192277700
2018-05-22,10145806440
2018-05-23,10211117400
2018-05-24,10202325540
2018-05-25,10234981020
2018-05-29,10040304120
2018-05-30,10164646140
2018-05-31,10079239500
2018-06-01,10275172380
2018-06-04,10260100620
2018-06-05,10263868560
2018-06-06,10059143820
2018-06-07,10178461920
2018-06-08,10067935680
2018-06-11,10026488340
2018-06-12,10139526540
2018-06-13,10098079200
2018-06-14,10506272700
2018-06-15,10690901760
2018-06-18,10775052420
2018-06-19,10488688980
2018-06-20,10482409080
2018-06-21,10327923540
2018-06-22,10305315900
2018-06-25,10093055280
2018-06-26,10263868560
2018-06-27,10034024220
2018-06-28,10108127040
2018-06-29,10069191660
2018-07-02,10016184600
2018-07-03,9683562240
2018-07-05,10231263720
2018-07-06,10195000380
2018-07-09,10326298680
2018-07-10,10415081340
2018-07-11,10036191960
2018-07-12,10251271080
2018-07-13,10174993020
2018-07-16,10169991180
2018-07-17,10343805120
2018-07-18,10303790400
2018-07-19,10473852960
2018-07-20,10153735200
2018-07-23,10321296840
2018-07-24,10156236120
2018-07-25,10159987500
2018-07-26,10278781200
2018-07-27,10218759120
2018-07-30,10107468180
2018-07-31,10223760960
2018-08-01,10276280280
2018-08-02,10555132860
2018-08-03,10526372280
2018-08-06,10653919200
2018-08-07,10761458760
2018-08-08,10697685300
2018-08-09,10692683460
2018-08-10,10402576740
2018-08-13,10392573060
2018-08-14,10352558340
2018-08-15,10247519700
2018-08-16,10273779360
2018-08-17,10191249000
2018-08-20,9776096280
2018-08-21,10141230600
2018-08-22,10081208520
2018-08-23,9903643200
2018-08-24,9957412980
2018-08-27,9952411140
2018-08-28,9982422180
2018-08-29,10039943340
2018-08-30,9928652400
2018-08-31,10014934140
2018-09-04,10038692880
2018-09-05,9963665280
2018-09-06,9394705980
2018-09-07,9372197700
2018-09-10,9250903080
2018-09-11,9174625020
2018-09-12,9185879160
2018-09-13,9415963800
2018-09-14,9470984040
2018-09-17,9249652620
2018-09-18,9383451840
2018-09-19,9604783260
2018-09-20,9837368820
2018-09-21,9831116520
2018-09-24,9809858700
2018-09-25,9534757500
2018-09-26,9385952760
2018-09-27,9343437120
2018-09-28,9614786940
2018-10-01,9584146800
2018-10-02,9607765320
2018-10-03,9478485000
2018-10-04,9468540360
2018-10-05,9035948520
2018-10-08,9071997840
2018-10-09,9241056720
2018-10-10,8737609320
2018-10-11,8874348120
2018-10-12,9034705440
2018-10-15,9028490040
2018-10-16,9379038600
2018-10-17,9375309360
2018-10-18,9124207200
2018-10-19,8993683800
2018-10-22,9059567040
2018-10-23,8987468400
2018-10-24,8475319440
2018-10-25,8823381840
2018-10-26,8669239920
2018-10-29,8617030560
2018-10-30,8819652600
2018-10-31,9137881080
2018-11-01,9756934920
2018-11-02,9198792000
2018-11-05,8617030560
2018-11-06,8702803080
2018-11-07,8736366240
2018-11-08,8792304840
2018-11-09,8471590200
2018-11-12,7930850400
2018-11-13,7912204200
2018-11-14,7816487040
2018-11-15,8099909280
2018-11-16,8244106559
2018-11-19,7850050200
2018-11-20,7709582160
2018-11-21,7903502640
2018-11-23,7996733640
2018-11-26,8138444760
2018-11-27,8058887640
2018-11-28,8331122159
2018-11-29,8116069320
2018-11-30,8180709480
2018-12-03,8421867000
2018-12-04,7975601280
2018-12-06,7796597760
2018-12-07,7598948040
2018-12-10,7398812160
2018-12-11,7406270640
2018-12-12,7538037120
2018-12-13,7554197160
2018-12-14,7523120160
2018-12-17,7500744720
2018-12-18,7669803600
2018-12-19,7413729120
2018-12-20,7433618400
2018-12-21,7170085440
2018-12-24,7019672760
2018-12-26,7460966160
2018-12-27,7506960120
2018-12-28,7556683320
2018-12-31,7230695990
2019-01-02,7284274340
2019-01-03,6624665320
2019-01-04,7068770310
2019-01-07,7117586140
2019-01-08,7068770310
2019-01-09,7197358350
2019-01-10,7365237180
2019-01-11,7583122470
2019-01-14,7284274340
2019-01-15,7329518280
2019-01-16,7311658830
2019-01-17,7411671750
2019-01-18,7534306640
2019-01-22,7374762220
2019-01-23,7371190330
2019-01-24,7546212940
2019-01-25,7829582880
2019-01-28,7749810670
2019-01-29,7579550580
2019-01-30,7802198390
2019-01-31,7781957680
2019-02-01,7848632960
2019-02-04,7853395479
2019-02-05,7862920520
2019-02-06,8171293689
2019-02-07,7921261390
2019-02-08,7680754130
2019-02-11,7679563500
2019-02-12,7760526340
2019-02-13,7727188700
2019-02-14,7699804210
2019-02-15,7758145080
2019-02-19,7723616810
2019-02-20,7841489180
2019-02-21,7865301780
2019-02-22,8072471400
2019-02-25,8179628100
2019-02-26,8232015820
2019-02-27,8257019049
2019-02-28,8351078820
2019-03-01,8393941500
2019-03-04,8340363150
2019-03-05,8317741180
2019-03-06,8223681409
2019-03-07,8137956049
2019-03-08,8165340540
2019-03-11,8259400310
2019-03-12,8243922119
2019-03-13,8226062670
2019-03-14,8173674950
2019-03-15,8293928580
2019-03-18,8314169290
2019-03-19,8347506930
2019-03-20,8229634560
2019-03-21,8797565070
2019-03-22,8533245210
2019-03-25,8437994810
2019-03-26,8471332450
2019-03-27,8402275909
2019-03-28,8361794490
2019-03-29,8540388990
2019-04-01,8634607030
2019-04-02,8736038010
2019-04-03,8776138630
2019-04-04,8732499720
2019-04-05,8832751270
2019-04-08,8875210750
2019-04-09,8871672460
2019-04-10,8990794890
2019-04-11,8969565150
2019-04-12,9104020170
2019-04-15,9009665770
2019-04-16,9236116330
2019-04-17,9029716080
2019-04-18,9043869240
2019-04-22,8964847430
2019-04-23,9034433800
2019-04-24,9111096750
2019-04-25,9116993900
2019-04-26,8844545570
2019-04-29,8898799350
2019-04-30,8917670230
2019-05-01,8914131940
2019-05-02,9052125250
2019-05-03,8866954740
2019-05-06,8766703190
2019-05-07,8690040240
2019-05-08,8984897740
2019-05-09,8863416450
2019-05-10,8853981010
2019-05-13,8379850150
2019-05-14,8593326980
2019-05-15,8651119050
2019-05-16,8033097730
2019-05-17,7540095990
2019-05-20,7226367610
2019-05-21,7258212220
2019-05-22,7100168600
2019-05-23,7154422380
2019-05-24,7347848900
2019-05-28,7162678390
2019-05-29,7321901440
2019-05-30,7297133410
2019-05-31,7215752740
2019-06-03,7298312840
2019-06-04,7569581740
2019-06-05,7482303920
2019-06-06,7483483350
2019-06-07,7593170339
2019-06-10,7725266500
2019-06-11,7584914330
2019-06-12,7404461540
2019-06-13,7466971330
2019-06-14,7253494500
2019-06-17,7272365380
2019-06-18,7676909870
2019-06-19,7735881370
2019-06-20,7647424120
2019-06-21,7535378270
2019-06-24,7613220650
2019-06-25,7484662780
2019-06-26,7741778520
2019-06-27,7909257580
2019-06-28,7856183230
2019-07-01,8208030520
2019-07-02,8096388280
2019-07-03,8023123059
2019-07-05,8020797180
2019-07-08,8019634239
2019-07-09,8097551219
2019-07-10,8063825960
2019-07-11,8063825960
2019-07-12,8170816440
2019-07-15,8220822860
2019-07-16,8204541700
2019-07-17,8201052880
2019-07-18,8284784559
2019-07-19,8290599260
2019-07-22,8466203200
2019-07-23,8592963660
2019-07-24,8760427020
2019-07-25,8690650620
2019-07-26,8712746480
2019-07-29,8684835920
2019-07-30,8779034060
2019-07-31,8523187260
2019-08-01,8296413960
2019-08-02,8244081660
2019-08-05,7925436100
2019-08-06,8156861160
2019-08-07,8230126380
2019-08-08,8380145640
2019-08-09,8081270059
2019-08-12,8069640660
2019-08-13,8338279800
2019-08-14,8114995320
2019-08-15,8153372340
2019-08-16,8327813340
2019-08-19,8375493880
