,ARNC
2021-12-23,3595938329
2021-12-27,3637380881
2021-12-28,3632067733
2021-12-29,3566184702
2021-12-30,3494988524
2021-12-31,3479485796
2022-01-03,3579622467
2022-01-04,3613352714
2022-01-05,3652353312
2022-01-06,3647082961
2022-01-07,3661839944
2022-01-10,3564865484
2022-01-11,3553270711
2022-01-12,3592271309
2022-01-13,3674488786
2022-01-14,3681867278
2022-01-18,3529027096
2022-01-19,3445755549
2022-01-20,3374078774
2022-01-21,3327699684
2022-01-24,3285536875
2022-01-25,3335078176
2022-01-26,3312942701
2022-01-27,3133750764
2022-01-28,3245482207
2022-01-31,3260239190
2022-02-01,3327699684
2022-02-02,3272888033
2022-02-03,3218076381
2022-02-04,3233887434
2022-02-07,3196994977
2022-02-08,3308726420
2022-02-09,3406754951
2022-02-10,3412025302
2022-02-11,3305564209
2022-02-14,3387781687
2022-02-15,3482648006
2022-02-16,3520594534
2022-02-17,3422566004
2022-02-18,3402538670
2022-02-22,3302401999
2022-02-23,3375132844
2022-02-24,3211751960
2022-02-25,3329807824
2022-02-28,3235995575
2022-03-01,2955612896
2022-03-02,2945072194
2022-03-03,2934531492
2022-03-04,2856530296
2022-03-07,2595120881
2022-03-08,2489713859
2022-03-09,2607769724
2022-03-10,2601445302
2022-03-11,2538201089
2022-03-14,2505524912
2022-03-15,2432794067
2022-03-16,2546633651
2022-03-17,2681554639
2022-03-18,2633067409
2022-03-21,2717393027
2022-03-22,2669959867
2022-03-23,2624634847
2022-03-24,2683662780
2022-03-25,2628851128
2022-03-28,2554012143
2022-03-29,2762718046
2022-03-30,2750069203
2022-03-31,2677265865
2022-04-01,2751460197
2022-04-04,2724290442
2022-04-05,2677265865
2022-04-06,2605161515
2022-04-07,2629196299
2022-04-08,2613521440
2022-04-11,2613521440
2022-04-12,2681445828
2022-04-13,2793259820
2022-04-14,2813114641
2022-04-18,2774449989
2022-04-19,2845509349
2022-04-20,2865364170
2022-04-21,2774449989
2022-04-22,2683535809
2022-04-25,2713840536
2022-04-26,2526787222
2022-04-27,2553956977
2022-04-28,2723245451
2022-04-29,2629196299
2022-05-02,2660546016
2022-05-03,2792214829
2022-05-04,2900893850
2022-05-05,2663680988
2022-05-06,2743100272
2022-05-09,2744145263
2022-05-10,2690850743
2022-05-11,2767135055
2022-05-12,2813114641
2022-05-13,2786989876
2022-05-16,2851779292
2022-05-17,2981358124
2022-05-18,2883129010
2022-05-19,2816249613
2022-05-20,2878949047
2022-05-23,2889398953
2022-05-24,2884174000
2022-05-25,2927018614
2022-05-26,2919703680
2022-05-27,2930153586
2022-05-31,2939558501
2022-06-01,2907163793
2022-06-02,3031517672
2022-06-03,2964638275
2022-06-06,3192446221
2022-06-07,3234245845
2022-06-08,3108846975
2022-06-09,3059732418
2022-06-10,3011662851
2022-06-13,3047192531
2022-06-14,2822519556
2022-06-15,2904028821
2022-06-16,2664725979
2022-06-17,2765045074
2022-06-21,2802664735
2022-06-22,2741010291
2022-06-23,2667860950
2022-06-24,2923883642
2022-06-27,2977178162
2022-06-28,2975088181
2022-06-29,2931198576
2022-06-30,2869515000
2022-07-01,2897136000
2022-07-05,2842917000
2022-07-06,2866446000
2022-07-07,2895090000
2022-07-08,2866446000
2022-07-11,2815296000
2022-07-12,2912481000
2022-07-13,2883837000
2022-07-14,2866446000
2022-07-15,2903274000
2022-07-18,2905320000
2022-07-19,2888952000
2022-07-20,2913504000
2022-07-21,2951355000
2022-07-22,2941125000
2022-07-25,2982045000
2022-07-26,2988183000
2022-07-27,3022965000
2022-07-28,3026034000
2022-07-29,3090483000
2022-08-01,3111966000
2022-08-02,2870538000
2022-08-03,2989206000
2022-08-04,2828595000
2022-08-05,2919642000
2022-08-08,2892021000
2022-08-09,2797905000
2022-08-10,2886906000
2022-08-11,2782560000
2022-08-12,2862354000
2022-08-15,2898159000
2022-08-16,2845986000
2022-08-17,2796882000
2022-08-18,2931918000
2022-08-19,2784606000
2022-08-22,2674122000
2022-08-23,2716065000
2022-08-24,2759031000
2022-08-25,2803020000
2022-08-26,2700720000
2022-08-29,2635248000
2022-08-30,2599443000
2022-08-31,2578983000
2022-09-01,2561592000
2022-09-02,2569776000
2022-09-06,2576937000
2022-09-07,2586144000
2022-09-08,2661846000
2022-09-09,2725272000
2022-09-12,2819388000
2022-09-13,2690490000
2022-09-14,2606604000
2022-09-15,2172852000
2022-09-16,2068506000
2022-09-19,2161599000
2022-09-20,2031678000
2022-09-21,1963137000
2022-09-22,1898687999
2022-09-23,1850607000
2022-09-26,1739100000
2022-09-27,1787181000
2022-09-28,1782066000
2022-09-29,1767744000
2022-09-30,1720296936
2022-10-03,1877788909
2022-10-04,1977735738
2022-10-05,2000955709
2022-10-06,1982783558
2022-10-07,1964611407
2022-10-10,2014080040
2022-10-11,2006003528
2022-10-12,1993888761
2022-10-13,2043357394
2022-10-14,1966630535
2022-10-17,2023166115
2022-10-18,2045376522
2022-10-19,2008022656
2022-10-20,2062539108
2022-10-21,2125132072
2022-10-24,2127151200
2022-10-25,2154409426
2022-10-26,2079701695
2022-10-27,2098883410
2022-10-28,2092826026
2022-10-31,2095854718
2022-11-01,2108979049
2022-11-02,1910094955
2022-11-03,1907066263
2022-11-04,1984802686
2022-11-07,1986821814
2022-11-08,1954515768
2022-11-09,1948458384
2022-11-10,2059510417
2022-11-11,2102921666
2022-11-14,2049414777
2022-11-15,2051433905
2022-11-16,2006003528
2022-11-17,2017108732
2022-11-18,2040328702
2022-11-21,2056481725
2022-11-22,2153399862
2022-11-23,2290700557
2022-11-25,2267480586
2022-11-28,2185705908
2022-11-29,2272528406
2022-11-30,2405790845
2022-12-01,2391656950
2022-12-02,2395695205
2022-12-05,2244260616
2022-12-06,2298777068
2022-12-07,2239212796
2022-12-08,2225078901
2022-12-09,2233155413
2022-12-12,2278585790
2022-12-13,2309882271
2022-12-14,2269499714
2022-12-15,2134218148
2022-12-16,2223059773
2022-12-19,2130179892
2022-12-20,2120084253
2022-12-21,2204887623
2022-12-22,2150371170
2022-12-23,2173591141
2022-12-27,2139265967
2022-12-28,2072634748
2022-12-29,2141285095
2022-12-30,2136237275
2023-01-03,2195284000
2023-01-04,2238796000
2023-01-05,2240868000
2023-01-06,2321676000
2023-01-09,2336180000
2023-01-10,2381764000
2023-01-11,2393160000
2023-01-12,2437708000
2023-01-13,2452212000
2023-01-17,2451176000
2023-01-18,2416988000
2023-01-19,2382800000
2023-01-20,2422168000
2023-01-23,2427348000
2023-01-24,2410772000
2023-01-25,2423204000
2023-01-26,2434600000
2023-01-27,2422168000
2023-01-30,2376584000
2023-01-31,2435636000
2023-02-01,2535092000
2023-02-02,2557884000
2023-02-03,2574460000
2023-02-06,2480184000
2023-02-07,2504012000
2023-02-08,2422168000
2023-02-09,2355864000
2023-02-10,2344468000
2023-02-13,2385908000
2023-02-14,2448068000
2023-02-15,2504012000
2023-02-16,2482256000
2023-02-17,2498832000
2023-02-21,2294740000
2023-02-22,2391088000
2023-02-23,2398340000
2023-02-24,2261588000
2023-02-27,2292668000
2023-02-28,2739184000
2023-03-01,2800308000
2023-03-02,2876972000
2023-03-03,2817920000
2023-03-06,2871792000
2023-03-07,2819992000
2023-03-08,2822064000
2023-03-09,2765084000
2023-03-10,2703960000
2023-03-13,2599324000
2023-03-14,2768192000
2023-03-15,2748508000
2023-03-16,2780624000
2023-03-17,2754724000
2023-03-20,2782696000
2023-03-21,2823100000
2023-03-22,2766120000
2023-03-23,2745400000
2023-03-24,2754724000
2023-03-27,2800308000
2023-03-28,2763012000
2023-03-29,2776480000
2023-03-30,2758868000
2023-03-31,2717428000
2023-04-03,2682204000
2023-04-04,2646980000
2023-04-05,2621080000
2023-04-06,2645944000
2023-04-10,2683240000
2023-04-11,2663556000
2023-04-12,2635584000
2023-04-13,2657340000
2023-04-14,2664592000
2023-04-17,2695672000
2023-04-18,2686348000
2023-04-19,2659412000
2023-04-20,2588964000
2023-04-21,2535092000
2023-04-24,2463608000
2023-04-25,2406628000
2023-04-26,2424240000
2023-04-27,2512300000
2023-04-28,2564100000
2023-05-01,2526804000
2023-05-02,2477076000
2023-05-03,2336180000
2023-05-04,2997148000
2023-05-05,3009580000
2023-05-08,3016832000
2023-05-09,3010616000
2023-05-10,3011652000
2023-05-11,3006472000
2023-05-12,2869678000
2023-05-15,2873654000
2023-05-16,2869678000
2023-05-17,2867690000
2023-05-18,2871666000
2023-05-19,2870672000
2023-05-22,2870672000
2023-05-23,2867690000
2023-05-24,2872660000
2023-05-25,2872660000
2023-05-26,2872660000
2023-05-30,2869678000
2023-05-31,2873654000
2023-06-01,2872660000
2023-06-02,2872660000
2023-06-05,2869678000
2023-06-06,2871666000
2023-06-07,2883594000
2023-06-08,2880612000
2023-06-09,2883594000
2023-06-12,2892540000
2023-06-13,2894528000
2023-06-14,2897510000
2023-06-15,2899498000
2023-06-16,2902480000
2023-06-20,2909438000
2023-06-21,2907450000
2023-06-22,2908444000
2023-06-23,2910432000
2023-06-26,2928324000
2023-06-27,2940252000
2023-06-28,2941246000
2023-06-29,2942240000
2023-06-30,2940252000
2023-07-03,2940252000
2023-07-05,2937270000
2023-07-06,2934288000
2023-07-07,2935282000
2023-07-10,2935282000
2023-07-11,2939258000
2023-07-12,2941246000
2023-07-13,2943234000
2023-07-14,2938264000
2023-07-17,2956156000
2023-07-18,2955162000
2023-07-19,2958144000
2023-07-20,2965102000
2023-07-21,2961126000
2023-07-24,2964108000
2023-07-25,2961126000
2023-07-26,2961126000
2023-07-27,2962120000
2023-07-28,2982871031
2023-07-31,2992884026
2023-08-01,2992884026
2023-08-02,2991882726
2023-08-03,2991882726
2023-08-04,2991882726
2023-08-07,2993885325
2023-08-08,2996889223
2023-08-09,2993885325
2023-08-10,2991882726
2023-08-11,2991882726
2023-08-14,2999893122
2023-08-15,2996889223
2023-08-16,3001895721
2023-08-17,3002897020
