,AME
2000-08-17,683334225
2000-08-18,696350115
2000-08-21,698519430
2000-08-22,683334225
2000-08-23,659471760
2000-08-24,689842170
2000-08-25,687672855
2000-08-28,687672855
2000-08-29,692011485
2000-08-30,687672855
2000-08-31,687672855
2000-09-01,683334225
2000-09-05,689842170
2000-09-06,687672855
2000-09-07,733228470
2000-09-08,692011485
2000-09-11,705027375
2000-09-12,696350115
2000-09-13,689842170
2000-09-14,692011485
2000-09-15,668149020
2000-09-18,661641075
2000-09-19,674656965
2000-09-20,663810390
2000-09-21,646455870
2000-09-22,659471760
2000-09-25,655133130
2000-09-26,672487650
2000-09-27,655133130
2000-09-28,674656965
2000-09-29,681164910
2000-10-02,676050840
2000-10-03,678252960
2000-10-04,680455080
2000-10-05,684859320
2000-10-06,673848720
2000-10-09,673848720
2000-10-10,662838120
2000-10-11,680455080
2000-10-12,656231760
2000-10-13,671646600
2000-10-16,682657200
2000-10-17,702476280
2000-10-18,698072040
2000-10-19,702476280
2000-10-20,715689000
2000-10-23,706880520
2000-10-24,704678400
2000-10-25,695869920
2000-10-26,702476280
2000-10-27,691465680
2000-10-30,687061440
2000-10-31,709082640
2000-11-01,704678400
2000-11-02,709082640
2000-11-03,713486880
2000-11-06,709082640
2000-11-07,717891120
2000-11-08,713486880
2000-11-09,698072040
2000-11-10,698072040
2000-11-13,700274160
2000-11-14,702476280
2000-11-15,717891120
2000-11-16,706880520
2000-11-17,724497480
2000-11-20,720093240
2000-11-21,717891120
2000-11-22,717891120
2000-11-24,728901720
2000-11-27,744316560
2000-11-28,744316560
2000-11-29,742114440
2000-11-30,742114440
2000-12-01,739912320
2000-12-04,733305960
2000-12-05,744316560
2000-12-06,750922920
2000-12-07,759731400
2000-12-08,779550480
2000-12-11,808178040
2000-12-12,803773800
2000-12-13,794965320
2000-12-14,801571680
2000-12-15,799369560
2000-12-18,816986520
2000-12-19,812582280
2000-12-20,816986520
2000-12-21,827997120
2000-12-22,852220440
2000-12-26,854422560
2000-12-27,878645880
2000-12-28,863231040
2000-12-29,845614080
2001-01-02,805975920
2001-01-03,839007720
2001-01-04,841209840
2001-01-05,836805600
2001-01-08,894060719
2001-01-09,863231040
2001-01-10,902869199
2001-01-11,883050120
2001-01-12,878645880
2001-01-16,852220440
2001-01-17,894060719
2001-01-18,865433160
2001-01-19,878645880
2001-01-22,867635280
2001-01-23,867635280
2001-01-24,869837400
2001-01-25,867635280
2001-01-26,861028920
2001-01-29,861028920
2001-01-30,863231040
2001-01-31,869837400
2001-02-01,869837400
2001-02-02,856624680
2001-02-05,861028920
2001-02-06,861028920
2001-02-07,863231040
2001-02-08,858826800
2001-02-09,861028920
2001-02-12,883050120
2001-02-13,894060719
2001-02-14,911677679
2001-02-15,916081920
2001-02-16,880848000
2001-02-20,872039520
2001-02-21,885252239
2001-02-22,883050120
2001-02-23,885252239
2001-02-26,902869199
2001-02-27,907273440
2001-02-28,900667080
2001-03-01,898464960
2001-03-02,909475560
2001-03-05,927092520
2001-03-06,924890400
2001-03-07,916081920
2001-03-08,916081920
2001-03-09,913879800
2001-03-12,902869199
2001-03-13,883050120
2001-03-14,883050120
2001-03-15,880848000
2001-03-16,834603480
2001-03-19,854422560
2001-03-20,836805600
2001-03-21,812582280
2001-03-22,819188640
2001-03-23,847816200
2001-03-26,874241640
2001-03-27,872039520
2001-03-28,874241640
2001-03-29,880848000
2001-03-30,900667080
2001-04-02,889218000
2001-04-03,880325820
2001-04-04,886994955
2001-04-05,898110180
2001-04-06,886994955
2001-04-09,904779315
2001-04-10,895887135
2001-04-11,898110180
2001-04-12,902556269
2001-04-16,886994955
2001-04-17,918117585
2001-04-18,918117585
2001-04-19,938124990
2001-04-20,889218000
2001-04-23,891441045
2001-04-24,891441045
2001-04-25,895887135
2001-04-26,904779315
2001-04-27,904779315
2001-04-30,909225405
2001-05-01,911448449
2001-05-02,891441045
2001-05-03,891441045
2001-05-04,922563675
2001-05-07,909225405
2001-05-08,891441045
2001-05-09,880325820
2001-05-10,853649280
2001-05-11,851426235
2001-05-14,846980145
2001-05-15,846980145
2001-05-16,849203190
2001-05-17,864764505
2001-05-18,849203190
2001-05-21,860318415
2001-05-22,866987550
2001-05-23,882548865
2001-05-24,849203190
2001-05-25,855872325
2001-05-29,866987550
2001-05-30,866987550
2001-05-31,878102775
2001-06-01,882548865
2001-06-04,886994955
2001-06-05,913671495
2001-06-06,920340629
2001-06-07,935901945
2001-06-08,958132394
2001-06-11,989255025
2001-06-12,984808934
2001-06-13,989255025
2001-06-14,984808934
2001-06-15,995924160
2001-06-18,984808934
2001-06-19,978139800
2001-06-20,991478070
2001-06-21,989255025
2001-06-22,987031980
2001-06-25,989255025
2001-06-26,1011485475
2001-06-27,987031980
2001-06-28,971470665
2001-06-29,1007039385
2001-07-02,999825120
2001-07-03,1015447387
2001-07-05,1017679139
2001-07-06,984202852
2001-07-09,990898110
2001-07-10,1008752129
2001-07-11,997593367
2001-07-12,1017679139
2001-07-13,1010983882
2001-07-16,999825120
2001-07-17,1024374397
2001-07-18,1017679139
2001-07-19,1008752129
2001-07-20,1002056872
2001-07-23,999825120
2001-07-24,979739347
2001-07-25,1002056872
2001-07-26,1010983882
2001-07-27,1026606149
2001-07-30,1042228417
2001-07-31,1033301407
2001-08-01,1039996665
2001-08-02,1033301407
2001-08-03,1053387180
2001-08-06,1042228417
2001-08-07,1071241200
2001-08-08,1066777695
2001-08-09,1060082437
2001-08-10,1106949240
2001-08-13,1064545942
2001-08-14,1109180992
2001-08-15,1100253982
2001-08-16,1124803260
2001-08-17,1100253982
2001-08-20,1106949240
2001-08-21,1093558725
2001-08-22,1089095220
2001-08-23,1073472952
2001-08-24,1042228417
2001-08-27,1042228417
2001-08-28,1044460169
2001-08-29,1015447387
2001-08-30,1010983882
2001-08-31,1008752129
2001-09-04,988666357
2001-09-05,979739347
2001-09-06,977507595
2001-09-07,979739347
2001-09-10,981971100
2001-09-17,937336050
2001-09-18,908323267
2001-09-19,850297702
2001-09-20,776649870
2001-09-21,734246572
2001-09-24,792272137
2001-09-25,798967395
2001-09-26,792272137
2001-09-27,823516672
2001-09-28,868151722
2001-10-01,845722215
2001-10-02,856791877
2001-10-03,901070527
2001-10-04,907712324
2001-10-05,894428730
2001-10-08,892214797
2001-10-09,885573000
2001-10-10,894428730
2001-10-11,890000864
2001-10-12,887786932
2001-10-15,881145135
2001-10-16,885573000
2001-10-17,878931202
2001-10-18,847936147
2001-10-19,870075472
2001-10-22,883359067
2001-10-23,885573000
2001-10-24,865647607
2001-10-25,874503337
2001-10-26,901070527
2001-10-29,883359067
2001-10-30,865647607
2001-10-31,885573000
2001-11-01,914354122
2001-11-02,914354122
2001-11-05,912140190
2001-11-06,940921312
2001-11-07,934279515
2001-11-08,974130300
2001-11-09,947563110
2001-11-12,954204907
2001-11-13,960846705
2001-11-14,991841760
2001-11-15,982986030
2001-11-16,989627827
2001-11-19,1009553219
2001-11-20,971916367
2001-11-21,982986030
2001-11-23,1009553219
2001-11-26,1018408949
2001-11-27,980772097
2001-11-28,971916367
2001-11-29,974130300
2001-11-30,945349177
2001-12-03,956418840
2001-12-04,982986030
2001-12-05,1011767152
2001-12-06,1011767152
2001-12-07,1011767152
2001-12-10,987413895
2001-12-11,982986030
2001-12-12,996269625
2001-12-13,1000697489
2001-12-14,1013981085
2001-12-17,1036120409
2001-12-18,1047190072
2001-12-19,1022836815
2001-12-20,1029478612
2001-12-21,1060473667
2001-12-24,1049404005
2001-12-26,1049404005
2001-12-27,1058259735
2001-12-28,1047190072
2001-12-31,1044976140
2002-01-02,1033906477
2002-01-03,1047190072
2002-01-04,1027264679
2002-01-07,1016195017
2002-01-08,994055692
2002-01-09,1020622882
2002-01-10,996269625
2002-01-11,980772097
2002-01-14,965274570
2002-01-15,958632772
2002-01-16,936493447
2002-01-17,965274570
2002-01-18,967488502
2002-01-22,956418840
2002-01-23,965274570
2002-01-24,971916367
2002-01-25,954204907
2002-01-28,958632772
2002-01-29,949777042
2002-01-30,958632772
2002-01-31,989627827
2002-02-01,998483557
2002-02-04,974130300
2002-02-05,989627827
2002-02-06,985199962
2002-02-07,978558165
2002-02-08,1002911422
2002-02-11,1033906477
2002-02-12,1060473667
2002-02-13,1064901532
2002-02-14,1047190072
2002-02-15,1062687600
2002-02-19,1058259735
2002-02-20,1062687600
2002-02-21,1027264679
2002-02-22,1053831870
2002-02-25,1040548275
2002-02-26,1029478612
2002-02-27,1089254790
2002-02-28,1131319507
2002-03-01,1160100630
2002-03-04,1135747372
2002-03-05,1111394115
2002-03-06,1164528495
2002-03-07,1191095685
2002-03-08,1202165347
2002-03-11,1213235010
2002-03-12,1204379280
2002-03-13,1228732537
2002-03-14,1257513660
2002-03-15,1295150512
2002-03-18,1290722647
2002-03-19,1268583322
2002-03-20,1253085795
2002-03-21,1235374335
2002-03-22,1237588267
2002-03-25,1230946470
2002-03-26,1219876807
2002-03-27,1228732537
2002-03-28,1219876807
2002-04-01,1247059800
2002-04-02,1267101832
2002-04-03,1251513585
2002-04-04,1213656412
2002-04-05,1213656412
2002-04-08,1231471552
2002-04-09,1244832907
2002-04-10,1264874940
2002-04-11,1276009402
2002-04-12,1282690080
2002-04-15,1249286692
2002-04-16,1273782510
2002-04-17,1233698445
2002-04-18,1202521950
2002-04-19,1224790875
2002-04-22,1195841272
2002-04-23,1191387487
2002-04-24,1191387487
2002-04-25,1222563982
2002-04-26,1227017767
2002-04-29,1229244660
2002-04-30,1278236295
2002-05-01,1273782510
2002-05-02,1282690080
2002-05-03,1302732112
2002-05-06,1300505220
2002-05-07,1271555617
2002-05-08,1273782510
2002-05-09,1278236295
2002-05-10,1262648047
2002-05-13,1289370757
2002-05-14,1340589285
2002-05-15,1284916972
2002-05-16,1273782510
2002-05-17,1282690080
2002-05-20,1291597650
2002-05-21,1238152230
2002-05-22,1235925337
2002-05-23,1244832907
2002-05-24,1229244660
2002-05-28,1211429520
2002-05-29,1182479917
2002-05-30,1193614380
2002-05-31,1244832907
2002-06-03,1249286692
2002-06-04,1218110197
2002-06-05,1220337090
2002-06-06,1189160595
2002-06-07,1195841272
2002-06-10,1218110197
2002-06-11,1218110197
2002-06-12,1227017767
2002-06-13,1209202627
2002-06-14,1213656412
2002-06-17,1244832907
2002-06-18,1278236295
2002-06-19,1258194262
2002-06-20,1260421155
2002-06-21,1255967370
2002-06-24,1255967370
2002-06-25,1240379122
2002-06-26,1238152230
2002-06-27,1240379122
2002-06-28,1229244660
2002-07-01,1189040175
2002-07-02,1184595165
2002-07-03,1177927650
2002-07-05,1229045265
2002-07-08,1204597710
2002-07-09,1186817670
2002-07-10,1109029995
2002-07-11,1113475005
2002-07-12,1113475005
2002-07-15,1102362480
2002-07-16,1084582440
2002-07-17,1095694965
2002-07-18,1075692420
2002-07-19,1064579895
2002-07-22,1011239775
2002-07-23,975679694
2002-07-24,1004572259
2002-07-25,1017907290
2002-07-26,1044577350
2002-07-29,1093472460
2002-07-30,1095694965
2002-07-31,1082359935
2002-08-01,1055689875
2002-08-02,1009017270
2002-08-05,1004572259
2002-08-06,1077914925
2002-08-07,1093472460
2002-08-08,1091249955
2002-08-09,1097917470
2002-08-12,1091249955
2002-08-13,1066802400
2002-08-14,1075692420
2002-08-15,1069024904
2002-08-16,1075692420
2002-08-19,1126810035
2002-08-20,1120142520
2002-08-21,1149035085
2002-08-22,1164592620
2002-08-23,1153480095
2002-08-26,1162370115
2002-08-27,1149035085
2002-08-28,1122365025
2002-08-29,1135700055
2002-08-30,1133477550
2002-09-03,1080137430
2002-09-04,1113475005
2002-09-05,1089027450
2002-09-06,1109029995
2002-09-09,1122365025
2002-09-10,1097917470
2002-09-11,1106807490
2002-09-12,1077914925
2002-09-13,1053467370
2002-09-16,1035687330
2002-09-17,1011239775
2002-09-18,989014725
2002-09-19,969012180
2002-09-20,966789674
2002-09-23,931229595
2002-09-24,917894565
2002-09-25,942342120
2002-09-26,989014725
2002-09-27,962344665
2002-09-30,959528834
2002-10-01,979565400
2002-10-02,968433974
2002-10-03,963981405
2002-10-04,928360845
2002-10-07,912776849
2002-10-08,919455705
2002-10-09,868251150
2002-10-10,894966569
2002-10-11,948397410
2002-10-14,968433974
2002-10-15,1021864815
2002-10-16,999601965
2002-10-17,1010733390
2002-10-18,1026317385
2002-10-21,1041901379
2002-10-22,1050806520
2002-10-23,1093105935
2002-10-24,1079748225
2002-10-25,1108689930
2002-10-28,1104237360
2002-10-29,1110916215
2002-10-30,1175478480
2002-10-31,1164347055
2002-11-01,1202193900
2002-11-04,1197741330
2002-11-05,1171025910
2002-11-06,1204420185
2002-11-07,1166573340
2002-11-08,1155441915
2002-11-11,1142084205
2002-11-12,1162120770
2002-11-13,1157668200
2002-11-14,1177704765
2002-11-15,1193288760
2002-11-18,1193288760
2002-11-19,1199967615
2002-11-20,1208872755
2002-11-21,1237814460
2002-11-22,1248945885
2002-11-25,1195515045
2002-11-26,1193288760
2002-11-27,1244493315
2002-11-29,1226683035
2002-12-02,1255624740
2002-12-03,1248945885
2002-12-04,1244493315
2002-12-05,1235588175
2002-12-06,1237814460
2002-12-09,1211099040
2002-12-10,1233361890
2002-12-11,1244493315
2002-12-12,1255624740
2002-12-13,1217777895
2002-12-16,1248945885
2002-12-17,1268982450
2002-12-18,1244493315
2002-12-19,1248945885
2002-12-20,1240040745
2002-12-23,1251172170
2002-12-24,1246719600
2002-12-26,1235588175
2002-12-27,1217777895
2002-12-30,1233361890
2002-12-31,1268982450
2003-01-02,1282340160
2003-01-03,1266756165
2003-01-06,1289019015
2003-01-07,1275661305
2003-01-08,1275661305
2003-01-09,1295697870
2003-01-10,1300150440
2003-01-13,1284566445
2003-01-14,1291245300
2003-01-15,1284566445
2003-01-16,1302376725
2003-01-17,1282340160
2003-01-21,1275661305
2003-01-22,1237814460
2003-01-23,1255624740
2003-01-24,1235588175
2003-01-27,1202193900
2003-01-28,1224456750
2003-01-29,1186609905
2003-01-30,1137631635
2003-01-31,1137631635
2003-02-03,1133179065
2003-02-04,1130952780
2003-02-05,1108689930
2003-02-06,1104237360
2003-02-07,1086427080
2003-02-10,1088653365
2003-02-11,1093105935
2003-02-12,1070843084
2003-02-13,1066390515
2003-02-14,1079748225
2003-02-18,1110916215
2003-02-19,1090879650
2003-02-20,1077521940
2003-02-21,1093105935
2003-02-24,1068616800
2003-02-25,1086427080
2003-02-26,1061937944
2003-02-27,1081974510
2003-02-28,1088653365
2003-03-03,1059711660
2003-03-04,1066390515
2003-03-05,1059711660
2003-03-06,1026317385
2003-03-07,1024091099
2003-03-10,999601965
2003-03-11,986244254
2003-03-12,979565400
2003-03-13,1093105935
2003-03-14,1081974510
2003-03-17,1155441915
2003-03-18,1146536775
2003-03-19,1137631635
2003-03-20,1113142500
2003-03-21,1148763060
2003-03-24,1117595070
2003-03-25,1128726495
2003-03-26,1115368785
2003-03-27,1119821355
2003-03-28,1102011075
2003-03-31,1085649682
2003-04-01,1105630965
2003-04-02,1141153245
2003-04-03,1150033815
2003-04-04,1156694242
2003-04-07,1165574812
2003-04-08,1163354670
2003-04-09,1143373387
2003-04-10,1145593530
2003-04-11,1143373387
2003-04-14,1178895667
2003-04-15,1196656807
2003-04-16,1167794955
2003-04-17,1185556095
2003-04-21,1183335952
2003-04-22,1176675525
2003-04-23,1192216522
2003-04-24,1176675525
2003-04-25,1154474100
2003-04-28,1207757520
2003-04-29,1227738802
2003-04-30,1241059657
2003-05-01,1243279800
2003-05-02,1263261082
2003-05-05,1252160370
2003-05-06,1278802080
2003-05-07,1276581937
2003-05-08,1258820797
2003-05-09,1272141652
2003-05-12,1281022222
2003-05-13,1265481225
2003-05-14,1241059657
2003-05-15,1238839515
2003-05-16,1227738802
2003-05-19,1189996380
2003-05-20,1196656807
2003-05-21,1189996380
2003-05-22,1185556095
2003-05-23,1170015097
2003-05-27,1196656807
2003-05-28,1203317235
2003-05-29,1205537377
2003-05-30,1223298517
2003-06-02,1221078375
2003-06-03,1227738802
2003-06-04,1245499942
2003-06-05,1247720085
2003-06-06,1236619372
2003-06-09,1214417947
2003-06-10,1232179087
2003-06-11,1256600655
2003-06-12,1269921510
2003-06-13,1249940227
2003-06-16,1265481225
2003-06-17,1256600655
2003-06-18,1258820797
2003-06-19,1258820797
2003-06-20,1265481225
2003-06-23,1241059657
2003-06-24,1241059657
2003-06-25,1249940227
2003-06-26,1252160370
2003-06-27,1243279800
2003-06-30,1218219142
2003-07-01,1247384610
2003-07-02,1267576087
2003-07-03,1285524067
2003-07-07,1283280570
2003-07-08,1319176530
2003-07-09,1312446037
2003-07-10,1316933032
2003-07-11,1334881012
2003-07-14,1316933032
2003-07-15,1330394017
2003-07-16,1319176530
2003-07-17,1283280570
2003-07-18,1319176530
2003-07-21,1305715545
2003-07-22,1312446037
2003-07-23,1314689535
2003-07-24,1312446037
2003-07-25,1323663525
2003-07-28,1321420027
2003-07-29,1330394017
2003-07-30,1319176530
2003-07-31,1314689535
2003-08-01,1316933032
2003-08-04,1316933032
2003-08-05,1307959042
2003-08-06,1305715545
2003-08-07,1307959042
2003-08-08,1319176530
2003-08-11,1319176530
2003-08-12,1323663525
2003-08-13,1343855002
2003-08-14,1357315987
2003-08-15,1359559485
2003-08-18,1399942440
2003-08-19,1395455445
2003-08-20,1402185937
2003-08-21,1417890420
2003-08-22,1404429435
2003-08-25,1393211947
2003-08-26,1384237957
2003-08-27,1377507465
2003-08-28,1393211947
2003-08-29,1395455445
2003-09-02,1422377415
2003-09-03,1411159927
2003-09-04,1411159927
2003-09-05,1388724952
2003-09-08,1386481455
2003-09-09,1381994460
2003-09-10,1346098500
2003-09-11,1366289977
2003-09-12,1366289977
2003-09-15,1381994460
2003-09-16,1417890420
2003-09-17,1449299385
2003-09-18,1465003867
2003-09-19,1471734360
2003-09-22,1469490862
2003-09-23,1482951847
2003-09-24,1465003867
2003-09-25,1447055887
2003-09-26,1444812390
2003-09-29,1444812390
2003-09-30,1424620912
2003-10-01,1487438842
2003-10-02,1478464852
2003-10-03,1494169335
2003-10-06,1509873817
2003-10-07,1527821797
2003-10-08,1518847807
2003-10-09,1518847807
2003-10-10,1521091305
2003-10-13,1530065295
2003-10-14,1530065295
2003-10-15,1570448250
2003-10-16,1586152732
2003-10-17,1552500270
2003-10-20,1559230762
2003-10-21,1525578300
2003-10-22,1509873817
2003-10-23,1489682340
2003-10-24,1471734360
2003-10-27,1514360812
2003-10-28,1543526280
2003-10-29,1577178742
2003-10-30,1591713382
2003-10-31,1582630852
2003-11-03,1614419707
2003-11-04,1609878442
2003-11-05,1605337177
2003-11-06,1605337177
2003-11-07,1616690340
2003-11-10,1591713382
2003-11-11,1580360220
2003-11-12,1598525280
2003-11-13,1591713382
2003-11-14,1566736425
2003-11-17,1562195160
2003-11-18,1566736425
2003-11-19,1555383262
2003-11-20,1534947570
2003-11-21,1548571365
2003-11-24,1580360220
2003-11-25,1580360220
2003-11-26,1575818955
2003-11-28,1591713382
2003-12-01,1612149075
2003-12-02,1618960972
2003-12-03,1607607810
2003-12-04,1591713382
2003-12-05,1580360220
2003-12-08,1587172117
2003-12-09,1569007057
2003-12-10,1541759467
2003-12-11,1562195160
2003-12-12,1575818955
2003-12-15,1578089587
2003-12-16,1566736425
2003-12-17,1596254647
2003-12-18,1632584767
2003-12-19,1628043502
2003-12-22,1641667297
2003-12-23,1632584767
2003-12-24,1634855400
2003-12-26,1637126032
2003-12-29,1632584767
2003-12-30,1630314135
2003-12-31,1623502237
2004-01-02,1646208562
2004-01-05,1682538682
2004-01-06,1666644255
2004-01-07,1675726785
2004-01-08,1677997417
2004-01-09,1682538682
2004-01-12,1682538682
2004-01-13,1680268050
2004-01-14,1682538682
2004-01-15,1689350580
2004-01-16,1687079947
2004-01-20,1714327537
2004-01-21,1712056905
2004-01-22,1700703742
2004-01-23,1691621212
2004-01-26,1693891845
2004-01-27,1689350580
2004-01-28,1687079947
2004-01-29,1700703742
2004-01-30,1732492597
2004-02-02,1707515640
2004-02-03,1698433110
2004-02-04,1698433110
2004-02-05,1687079947
2004-02-06,1696162477
2004-02-09,1666644255
2004-02-10,1664373622
2004-02-11,1664373622
2004-02-12,1682538682
2004-02-13,1682538682
2004-02-17,1696162477
2004-02-18,1684809315
2004-02-19,1668914887
2004-02-20,1671185520
2004-02-23,1648479195
2004-02-24,1648479195
2004-02-25,1668914887
2004-02-26,1675726785
2004-02-27,1671185520
2004-03-01,1689350580
2004-03-02,1675726785
2004-03-03,1664373622
2004-03-04,1664373622
2004-03-05,1680268050
2004-03-08,1643937930
2004-03-09,1634855400
2004-03-10,1632584767
2004-03-11,1589442750
2004-03-12,1625772870
2004-03-15,1584901485
2004-03-16,1587172117
2004-03-17,1609878442
2004-03-18,1607607810
2004-03-19,1584901485
2004-03-22,1550841997
2004-03-23,1559924527
2004-03-24,1557653895
2004-03-25,1600795912
2004-03-26,1641667297
2004-03-29,1712056905
2004-03-30,1716598170
2004-03-31,1733144850
2004-04-01,1767351656
2004-04-02,1796997555
2004-04-05,1803838916
2004-04-06,1803838916
2004-04-07,1796997555
2004-04-08,1815241185
2004-04-12,1822082546
2004-04-13,1796997555
2004-04-14,1806119370
2004-04-15,1806119370
2004-04-16,1810680277
2004-04-19,1824363000
2004-04-20,1844887083
2004-04-21,1874532982
2004-04-22,1872252528
2004-04-23,1865411167
2004-04-26,1824363000
2004-04-27,1838045722
2004-04-28,1826643453
2004-04-29,1794717101
2004-04-30,1790156193
2004-05-03,1792436647
2004-05-04,1792436647
2004-05-05,1826643453
2004-05-06,1796997555
2004-05-07,1751388480
2004-05-10,1742266665
2004-05-11,1776473471
2004-05-12,1742266665
2004-05-13,1760510295
2004-05-14,1751388480
2004-05-17,1751388480
2004-05-18,1753668933
2004-05-19,1739986211
2004-05-20,1749108026
2004-05-21,1783314832
2004-05-24,1785595286
2004-05-25,1790156193
2004-05-26,1808399823
2004-05-27,1806119370
2004-05-28,1824363000
2004-06-01,1831204361
2004-06-02,1854008898
2004-06-03,1815241185
2004-06-04,1833484814
2004-06-07,1883654797
2004-06-08,1892776612
2004-06-09,1860850260
2004-06-10,1888215704
2004-06-14,1874532982
2004-06-15,1965751132
2004-06-16,2009079753
2004-06-17,1986275216
2004-06-18,1990836123
2004-06-21,1956629317
2004-06-22,1995397031
2004-06-23,2025042930
2004-06-24,2018201568
2004-06-25,2038725652
2004-06-28,2034164745
2004-06-29,2088895635
2004-06-30,2106053460
2004-07-01,2094557534
2004-07-02,2055471390
2004-07-06,2043975465
2004-07-07,2050873020
2004-07-08,2078463239
2004-07-09,2094557534
2004-07-12,2083061610
2004-07-13,2092258350
2004-07-14,2087659980
2004-07-15,2089959165
2004-07-16,2069266500
2004-07-19,2071565685
2004-07-20,2071565685
2004-07-21,2170430640
2004-07-22,2161233900
2004-07-23,2106053460
2004-07-26,2085360795
2004-07-27,2071565685
2004-07-28,2080762425
2004-07-29,2106053460
2004-07-30,2101455090
2004-08-02,2106053460
2004-08-03,2078463239
2004-08-04,2092258350
2004-08-05,2043975465
2004-08-06,1970401545
2004-08-09,1963503989
2004-08-10,2011786875
2004-08-11,1970401545
2004-08-12,1949708880
2004-08-13,1954307250
2004-08-16,1958905620
2004-08-17,1963503989
2004-08-18,1984196655
2004-08-19,1956606435
2004-08-20,1984196655
2004-08-23,1993393395
2004-08-24,2000290949
2004-08-25,2000290949
2004-08-26,1972700730
2004-08-27,1977299100
2004-08-30,1961204804
2004-08-31,1945110510
2004-09-01,1945110510
2004-09-02,1991094210
2004-09-03,1956606435
2004-09-07,1988795025
2004-09-08,1995692580
2004-09-09,2020983614
2004-09-10,2043975465
2004-09-13,2055471390
2004-09-14,2053172205
2004-09-15,2064668130
2004-09-16,2080762425
2004-09-17,2092258350
2004-09-20,2080762425
2004-09-21,2085360795
2004-09-22,2064668130
2004-09-23,2027881170
2004-09-24,2016385245
2004-09-27,2007188505
2004-09-28,2023282800
2004-09-29,2062368945
2004-09-30,2082246480
2004-10-01,2091521520
2004-10-04,2114709119
2004-10-05,2105434080
2004-10-06,2130940440
2004-10-07,2121665400
2004-10-08,2093840279
2004-10-11,2077608960
2004-10-12,2100796560
2004-10-13,2112390359
2004-10-14,2098477800
2004-10-15,2089202760
2004-10-18,2091521520
2004-10-19,2079927720
2004-10-20,2181953160
