,GNRC
2012-12-13,1931526765
2012-12-14,1939824374
2012-12-17,1931526765
2012-12-18,1989610029
2012-12-19,2035243503
2012-12-20,2025764379
2012-12-21,1989610029
2012-12-24,1984870467
2012-12-26,1981312419
2012-12-27,1986646115
2012-12-28,1965905467
2012-12-31,2043989763
2013-01-02,2097012277
2013-01-03,2063052894
2013-01-04,2067816980
2013-01-07,2065434937
2013-01-08,2063650101
2013-01-09,2069608602
2013-01-10,2060073643
2013-01-11,2101776363
2013-01-14,2099394320
2013-01-15,2154798877
2013-01-16,2152416834
2013-01-17,2173264801
2013-01-18,2167903508
2013-01-22,2182799760
2013-01-23,2209009020
2013-01-24,2195904390
2013-01-25,2189945889
2013-01-28,2176841259
2013-01-29,2203647727
2013-01-30,2169097922
2013-01-31,2214967521
2013-02-01,2248926904
2013-02-04,2217349564
2013-02-05,2299560589
2013-02-06,2332922765
2013-02-07,2367479356
2013-02-08,2415133790
2013-02-11,2329353094
2013-02-12,2329353094
2013-02-13,2340075681
2013-02-14,2124415952
2013-02-15,2207224184
2013-02-19,2206626977
2013-02-20,2141097040
2013-02-21,2032072761
2013-02-22,2051135892
2013-02-25,2030885133
2013-02-26,2010627587
2013-02-27,2021947381
2013-02-28,2052330307
2013-03-01,2063650101
2013-03-04,2066629352
2013-03-05,2084498068
2013-03-06,2076157524
2013-03-07,2033864383
2013-03-08,2058288808
2013-03-11,2034454804
2013-03-12,2046969013
2013-03-13,2051733099
2013-03-14,2094033027
2013-03-15,2089268940
2013-03-18,2085095275
2013-03-19,2061268058
2013-03-20,2046371806
2013-03-21,2030287925
2013-03-22,2066032144
2013-03-25,2082116025
2013-03-26,2088074526
2013-03-27,2097012277
2013-03-28,2105352821
2013-04-01,2112711373
2013-04-02,2121085820
2013-04-03,2052897792
2013-04-04,2052298157
2013-04-05,2056481973
2013-04-08,2102544836
2013-04-09,2119893364
2013-04-10,2122884725
2013-04-11,2117494824
2013-04-12,2114510278
2013-04-15,2064263599
2013-04-16,2073230866
2013-04-17,2040332715
2013-04-18,2005042838
2013-04-19,2001451842
2013-04-22,2018200736
2013-04-23,2067254959
2013-04-24,2095962480
2013-04-25,2103737292
2013-04-26,2100153110
2013-04-29,2135442987
2013-04-30,2149200520
2013-05-01,2079213587
2013-05-02,2284983756
2013-05-03,2310107095
2013-05-06,2283191665
2013-05-07,2185689667
2013-05-08,2201838925
2013-05-09,2152791515
2013-05-10,2158174601
2013-05-13,2162958053
2013-05-14,2165349778
2013-05-15,2213204732
2013-05-16,2213804367
2013-05-17,2234137441
2013-05-20,2237128802
2013-05-21,2256269420
2013-05-22,2234737076
2013-05-23,2241919067
2013-05-24,2254477330
2013-05-28,2299940558
2013-05-29,2317881907
2013-05-30,2380094028
2013-05-31,2422559082
2013-06-03,2398035377
2013-06-04,2363937956
2013-06-05,2392652291
2013-06-06,2427349347
2013-06-07,2448282056
2013-06-10,2483715028
2013-06-11,2456458896
2013-06-12,2423070134
2013-06-13,2428521361
2013-06-14,2374009097
2013-06-17,2384911550
2013-06-18,2403990842
2013-06-19,2348797175
2013-06-20,2307231573
2013-06-21,2374690500
2013-06-24,2389681373
2013-06-25,2453051880
2013-06-26,2449644863
2013-06-27,2528006243
2013-06-28,2521873613
2013-07-01,2658358273
2013-07-02,2670633914
2013-07-03,2654948373
2013-07-05,2708824798
2013-07-08,2699959057
2013-07-09,2674043815
2013-07-10,2660404214
2013-07-11,2759973302
2013-07-12,2774294884
2013-07-15,2813167747
2013-07-16,2829535268
2013-07-17,2832945169
2013-07-18,2804302006
2013-07-19,2796800226
2013-07-22,2811121807
2013-07-23,2804302006
2013-07-24,2793390325
2013-07-25,2839764969
2013-07-26,2806347946
2013-07-29,2798164186
2013-07-30,2946153859
2013-07-31,2956383560
2013-08-01,2963203360
2013-08-02,2880683773
2013-08-05,2896369314
2013-08-06,2878637833
2013-08-07,2847948730
2013-08-08,2880001793
2013-08-09,2887503574
2013-08-12,2908644955
2013-08-13,2911372876
2013-08-14,2926376437
2013-08-15,2884775653
2013-08-16,2917510696
2013-08-19,2884775653
2013-08-20,2883411693
2013-08-21,2844538830
2013-08-22,2884775653
2013-08-23,2879319813
2013-08-26,2882047733
2013-08-27,2802938046
2013-08-28,2752471522
2013-08-29,2787934485
2013-08-30,2699959057
2013-09-03,2707460838
2013-09-04,2724510339
2013-09-05,2747697661
2013-09-06,2706778858
2013-09-09,2727238259
2013-09-10,2770884983
2013-09-11,2780432704
2013-09-12,2823397448
2013-09-13,2840446949
2013-09-16,2834991109
2013-09-17,2855450511
2013-09-18,2869090112
2013-09-19,2876591893
2013-09-20,2973433061
2013-09-23,2924330497
2013-09-24,2964567320
2013-09-25,2965249300
2013-09-26,2976160981
2013-09-27,2933878218
2013-09-30,2908210501
2013-10-01,2930035720
2013-10-02,2890477510
2013-10-03,2873426557
2013-10-04,2867970252
2013-10-07,2846827071
2013-10-08,2745885430
2013-10-09,2668133086
2013-10-10,2757480078
2013-10-11,2791581984
2013-10-14,2772484917
2013-10-15,2724742249
2013-10-16,2749977659
2013-10-17,2777941222
2013-10-18,2808632936
2013-10-21,2857057642
2013-10-22,2833868347
2013-10-23,2854329490
2013-10-24,3235588793
2013-10-25,3440200226
2013-10-28,3375406606
2013-10-29,3386319216
2013-10-30,3353581386
2013-10-31,3365858072
2013-11-01,3248547517
2013-11-04,3281967385
2013-11-05,3280603309
2013-11-06,3259460127
2013-11-07,3210353383
2013-11-08,3318797443
2013-11-11,3359719729
2013-11-12,3349489158
2013-11-13,3338576548
2013-11-14,3369950301
2013-11-15,3417692969
2013-11-18,3429287617
2013-11-19,3402006092
2013-11-20,3388365330
2013-11-21,3468845827
2013-11-22,3440200226
2013-11-25,3501583656
2013-11-26,3616166059
2013-11-27,3606617525
2013-11-29,3632534973
2013-12-02,3597751030
2013-12-03,3610027716
2013-12-04,3601161220
2013-12-05,3583428229
2013-12-06,3632534973
2013-12-09,3644811659
2013-12-10,3620940325
2013-12-11,3538413714
2013-12-12,3582064153
2013-12-13,3545234095
2013-12-16,3631852935
2013-12-17,3632534973
2013-12-18,3742343109
2013-12-19,3717789737
2013-12-20,3824187682
2013-12-23,3826915835
2013-12-24,3828279911
2013-12-26,3856243473
2013-12-27,3835782330
2013-12-30,3816685263
2013-12-31,3875410752
2014-01-02,3851463122
2014-01-03,3882937150
2014-01-06,3815199568
2014-01-07,3831620800
2014-01-08,3762514782
2014-01-09,3748830422
2014-01-10,3752935730
2014-01-13,3707093124
2014-01-14,3773462270
2014-01-15,3779620232
2014-01-16,3481985402
2014-01-17,3411510948
2014-01-21,3529196444
2014-01-22,3493617108
2014-01-23,3433405924
2014-01-24,3250035500
2014-01-27,3128244696
2014-01-28,3187771662
2014-01-29,3164508250
2014-01-30,3185719008
2014-01-31,3293141234
2014-02-03,3176139956
2014-02-04,3222666780
2014-02-05,3280141092
2014-02-06,3387563318
2014-02-07,3432721706
2014-02-10,3306825594
2014-02-11,3284246400
2014-02-12,3413563602
2014-02-13,3875410752
2014-02-14,3872673880
2014-02-18,3851463122
2014-02-19,3780988668
2014-02-20,3778936014
2014-02-21,3796041464
2014-02-24,3787830848
2014-02-25,3831620800
2014-02-26,3943148334
2014-02-27,3954780040
2014-02-28,3897989946
2014-03-03,3933569282
2014-03-04,4035517764
2014-03-05,4009517480
2014-03-06,4036886200
2014-03-07,4053307432
2014-03-10,4021149186
2014-03-11,3945885206
