,Log-Normal kappa=2
2012-07-30,0.004507020185381629
2012-07-31,0.0026119510319997665
2012-08-01,-0.0017358404284296303
2012-08-02,-0.004543106832611493
2012-08-03,0.01260110602398405
2012-08-06,0.0018341358457986652
2012-08-07,-0.00018513733432109805
2012-08-08,0.00125929942651616
2012-08-09,0.0014450179918099224
2012-08-10,0.0009813213553375693
2012-08-13,0.003125457471298368
2012-08-14,0.0019159145514634625
2012-08-15,-0.0001175699368046439
2012-08-16,0.0033443366903951263
2012-08-17,0.0033207697499374206
2012-08-20,0.004591851353372751
2012-08-21,-0.005662309452837158
2012-08-22,0.0036918429681407805
2012-08-23,-0.005682543934127418
2012-08-24,0.004616234776096357
2012-08-27,0.00237135553682885
2012-08-28,0.000480670166037295
2012-08-29,-0.0005313828542236531
2012-08-30,-0.007659014159132835
2012-08-31,0.004220169194464165
2012-09-04,0.0015699149415289496
2012-09-05,-0.0014532796101553382
2012-09-06,0.013807629903805092
2012-09-07,0.0020500228461606228
2012-09-10,-0.007113644845041662
2012-09-11,-0.0002545567047308279
2012-09-12,0.0031129028928757584
2012-09-13,0.013487618931399123
2012-09-14,0.004918745300352427
2012-09-17,0.0006332010337587005
2012-09-18,0.0011008395343056227
2012-09-19,-0.0007921887235598363
2012-09-20,0.0022246036991844056
2012-09-21,0.00010559623709439907
2012-09-24,-0.0021321871864675456
2012-09-25,-0.007711547015905691
2012-09-26,-0.004858326377704658
2012-09-27,0.007214515810203802
2012-09-28,-0.006112034776383751
2012-10-01,6.0013029623887364e-05
2012-10-02,-0.00014305236265470443
2012-10-03,0.004535273909174211
2012-10-04,0.002102776063497512
2012-10-05,-0.003112404990613487
2012-10-08,-0.005554387562004512
2012-10-09,-0.007299857083124918
2012-10-10,-0.002809690768338564
2012-10-11,-0.0036163432214122953
2012-10-12,0.00011353478261143228
2012-10-15,0.005280054312964336
2012-10-16,0.00754447936661673
2012-10-17,0.0007803345388756567
2012-10-18,-0.009549556594285231
2012-10-19,-0.014776047532387062
2012-10-22,0.005767758626985495
2012-10-23,-0.014449764527955083
2012-10-24,0.0003630065290857594
2012-10-25,0.00224567844875238
2012-10-26,-0.0012449464252138722
2012-10-31,-0.0016017369034164038
2012-11-01,0.004416626148197998
2012-11-02,-0.012094017170530647
2012-11-05,0.0036570492745373797
2012-11-06,0.0034174407258043384
2012-11-07,-0.01878140501659809
2012-11-08,-0.01347667835140974
2012-11-09,0.0038402586967973564
2012-11-12,-0.0022245531103758
2012-11-13,-0.005737550447591276
2012-11-14,-0.00737001302611257
2012-11-15,-0.007815497907339916
2012-11-16,0.0017890972774894155
2012-11-19,0.02079320847439988
2012-11-20,-0.0011429153436379306
2012-11-21,0.001246554322512645
2012-11-23,0.011728161019705943
2012-11-26,0.00205358033002017
2012-11-27,-0.005770676440432568
2012-11-28,0.005687474328299718
2012-11-29,0.0024738800366428415
2012-11-30,-0.000184996867362693
2012-12-03,-0.0031548375773763158
2012-12-04,-0.003620151565130435
2012-12-05,-0.009104639359682384
2012-12-06,0.005012709636977097
2012-12-07,-0.0019451719232030582
2012-12-10,-0.00016759096296465345
2012-12-11,0.00661518295513424
2012-12-12,-0.0025214985425351323
2012-12-13,-0.004975023560495161
2012-12-14,-0.008050647662420638
2012-12-17,0.009467576597300777
2012-12-18,0.009082591541673565
2012-12-19,-0.006813220097930273
2012-12-20,0.0019452663813342836
2012-12-21,-0.007038642872622809
2012-12-24,-0.003024290152453302
2012-12-26,-0.0038142728447102875
2012-12-27,0.0006342748923747281
2012-12-28,-0.009628505488411957
2012-12-31,0.013394112621609494
2013-01-02,0.0181671188915265
2013-01-03,-0.005494939786006186
2013-01-04,-0.0039786938873858325
2013-01-07,-0.004928210722928233
2013-01-08,0.0004246221507589067
2013-01-09,-0.002329950717555032
2013-01-10,0.0055099033832566825
2013-01-11,0.001270580770654537
