,Min. Variance
2014-11-03,0.14565408369982827
2014-12-01,0.16491010516348995
2015-01-02,0.10874259586991555
2015-02-02,0.10189165076281445
2015-03-02,0.17155450180592852
2015-04-01,0.07186359660916458
2015-05-01,0.25213807131715904
2015-06-01,0.276759419824587
2015-07-01,0.2329791486506137
2015-08-03,0.22269170937097243
2015-09-01,0.240338594189582
2015-10-01,0.026366265145141024
2015-11-02,0.2746326768293975
2015-12-01,0.13202912190502045
2016-01-04,0.2960899712908308
2016-02-01,0.17413152789482417
2016-03-01,0.489974785455777
2016-04-01,0.12141170390034234
2016-05-02,0.37276979981075786
2016-06-01,0.03241287067828948
2016-07-01,0.29046316317552257
2016-08-01,0.2864173193752113
2016-09-01,0.16773998334952278
2016-10-03,0.08227096117909272
2016-11-01,0.045718492001351224
2016-12-01,0.22043781200928447
2017-01-03,0.3384306224466266
2017-02-01,0.27897407053666445
2017-03-01,0.1318261539613766
2017-04-03,0.15878017493921176
2017-05-01,0.12735697752475755
2017-06-01,0.3116519642645055
2017-07-03,0.2821799655464729
2017-08-01,0.3488035490726202
2017-09-01,0.34555657624905434
2017-10-02,0.31572183342407356
2017-11-01,0.28197512546349807
2017-12-01,0.025178112316289455
2018-01-02,0.08048420328200562
2018-02-01,0.04136853890820284
2018-03-01,0.359747949705277
2018-04-02,0.26827856459205984
2018-05-01,0.03033861544114779
2018-06-01,0.2937911227356243
2018-07-02,0.05417434434057815
2018-08-01,0.06668874969139918
2018-09-04,0.10838508009179056
2018-10-01,0.17675784537923606
2018-11-01,0.09958050321961197
2018-12-03,0.01636322560951342
2019-01-02,0.07332964888431251
2019-02-01,0.020549435617404334
2019-03-01,0.16963699106202124
2019-04-01,0.07814828515318369
2019-05-01,0.03571574292130272
2019-06-03,0.20296691137188022
2019-07-01,0.22034433242616944
2019-08-01,0.22186242623707203
2019-09-03,0.41191546354778935
2019-10-01,0.09861487351092524
2019-11-01,0.10351397508839563
2019-12-02,0.12807703551432656
2020-01-02,0.33317341141662327
2020-02-03,0.15423964483146463
2020-03-02,0.28171197316660934
2020-04-01,0.53301
2020-05-01,0.07781134057355421
2020-06-01,0.4959617358625045
2020-07-01,0.43505087759652006
2020-08-03,0.10943395151626605
2020-09-01,0.08915789689693082
2020-10-01,0.07002842968114005
2020-11-02,0.13179771783624739
2020-12-01,0.13732267982279978
2021-01-04,0.46569052340626227
2021-02-01,0.20528437799752003
2021-03-01,0.1116039474644291
2021-04-01,0.12022407338128142
2021-05-03,0.014851806966081637
2021-06-01,0.4391093668093748
2021-07-01,0.12012293615926636
2021-08-02,0.019976745057300304
2021-09-01,0.086706092254117
2021-10-01,0.01832603207843038
2021-11-01,0.048398601399359004
2021-12-01,0.6145869738857076
2022-01-03,0.25225641025466605
2022-02-01,0.5174099999999997
2022-03-01,0.23611368485001247
2022-04-01,0.1311142619488265
2022-05-02,0.1587171106226565
2022-06-01,0.004101824470716743
2022-07-01,0.011480880640290025
2022-08-01,0.0714066313428075
2022-09-01,0.14328609004369755
2022-10-03,0.14624954844626342
2022-11-01,0.053473253386431906
2022-12-01,0.047518166011528314
2023-01-03,0.026163557132270948
2023-02-01,0.5139405642357624
2023-03-01,0.32461791314585386
2023-04-03,0.08226161299407185
2023-05-01,0.049379077497508694
2023-06-01,0.4238400000000001
