,Jorion Hyperpar.
2006-08-29,-0.002852865063831986
2006-08-30,-0.0024616260492255084
2006-08-31,-0.00183555766362259
2006-09-01,0.002721484450706551
2006-09-05,-0.0008583614565105261
2006-09-06,-0.004752848068462257
2006-09-07,-0.0003192551558013914
2006-09-08,-0.0017435584322653655
2006-09-11,-0.0029407210063533513
2006-09-12,0.005814412200519927
2006-09-13,-0.004138206452907103
2006-09-14,0.00046612595471499403
2006-09-15,-0.003924409503753514
2006-09-18,0.0040444851230714085
2006-09-19,0.0031242528518298433
2006-09-20,0.007222371638050754
2006-09-21,-0.0012343559495853172
2006-09-22,0.0021053148538912234
2006-09-25,0.008826209734307032
2006-09-26,0.00874003884443764
2006-09-27,-5.861273520522068e-05
2006-09-28,0.0009021183526251234
2006-09-29,-0.002792093633678434
2006-10-02,0.000558689403322362
