,Equally-Weighted
2018-12-07,-0.02320706311859174
2018-12-10,0.001334990828742976
2018-12-11,0.0005501441172191505
2018-12-12,0.002080575498258566
2018-12-13,0.0029845163861474473
2018-12-14,-0.020871016777960126
2018-12-17,-0.021222728893163012
2018-12-18,-0.00023504935597016757
2018-12-19,-0.015689360541925327
2018-12-20,-0.014615302357429605
2018-12-21,-0.018511434461858146
2018-12-24,-0.02810137437689862
2018-12-26,0.05221422989055047
2018-12-27,0.008843792384353052
2018-12-28,-0.0019386250830433736
2018-12-31,0.009062310165016099
2019-01-02,0.0030868996653950474
2019-01-03,-0.025297448995125992
2019-01-04,0.03169324072220149
2019-01-07,0.004773994009233418
2019-01-08,0.008190446059000293
2019-01-09,0.0023509664481259455
2019-01-10,0.0006234890274234889
2019-01-11,-5.6362950513375054e-05
2019-01-14,-0.00386449843263134
2019-01-15,0.010214863052071331
2019-01-16,0.0041249984789127085
2019-01-17,0.0042129751077897345
2019-01-18,0.012089753063438752
2019-01-22,-0.012255595286940228
2019-01-23,0.0034711335397823355
2019-01-24,-0.0002442655405379593
2019-01-25,0.0025320806703336023
2019-01-28,-0.008905643288556418
2019-01-29,-0.003905057938929086
2019-01-30,0.015976704218561354
2019-01-31,0.00668103743500995
2019-02-01,0.004076888921348958
2019-02-04,0.007419191605961262
2019-02-05,0.005627798427661592
2019-02-06,-0.002359857257215116
2019-02-07,-0.009170931180509915
2019-02-08,-0.0019558031641549053
2019-02-11,-0.001411790100257191
2019-02-12,0.014740356907361593
2019-02-13,0.0029984258583890255
2019-02-14,-0.00585918094956443
2019-02-15,0.011412351191655578
2019-02-19,0.0019644256932983394
2019-02-20,0.0008811113452111654
2019-02-21,-0.0025114462386058366
2019-02-22,0.00699398896881931
2019-02-25,0.0022343628368710258
2019-02-26,0.0002731492761924288
2019-02-27,-0.00017815445901610115
2019-02-28,-0.001001313702451695
2019-03-01,0.007136528137653532
2019-03-04,-0.0032647352362645326
2019-03-05,0.0012695823820722963
2019-03-06,-0.005725454360899578
2019-03-07,-0.007320171557049292
2019-03-08,-0.0009872042389890397
2019-03-11,0.013190778446583534
2019-03-12,0.0011560463984763723
2019-03-13,0.007819186053669264
2019-03-14,-0.00024428358701322154
2019-03-15,0.006562143772176209
2019-03-18,0.004598154087627933
2019-03-19,0.000883762911112258
2019-03-20,-0.00427237415270124
2019-03-21,0.007813501868487092
2019-03-22,-0.019244747569943828
2019-03-25,-0.0012391569998619653
2019-03-26,0.006895850690617193
2019-03-27,-0.004310070800556678
2019-03-28,0.0018845052636741952
2019-03-29,0.0058789258529959995
2019-04-01,0.011421207908674723
2019-04-02,0.0006954421831807499
2019-04-03,0.0017623933416903849
2019-04-04,0.0035120607480608624
2019-04-05,0.001818353377488616
2019-04-08,0.0007960394674068226
2019-04-09,-0.0058045253959848695
2019-04-10,0.00263280421789567
2019-04-11,-0.0014952410161755644
2019-04-12,0.003892713652467147
2019-04-15,0.001969348611174037
2019-04-16,0.0018544906560932556
2019-04-17,0.002070473463033762
2019-04-18,0.0006898570499781576
2019-04-22,0.004748257052004485
2019-04-23,0.004719146059503482
2019-04-24,-0.0035485936138203284
2019-04-25,0.0007348206196509012
2019-04-26,-9.288065352676382e-05
2019-04-29,0.0010023881326897957
2019-04-30,-0.004608854267966708
2019-05-01,-0.007910967780864808
2019-05-02,-0.004151779467935007
2019-05-03,0.009074948024662233
2019-05-06,-0.0003489156282948593
2019-05-07,-0.013861018298163425
2019-05-08,-0.002171401132759867
2019-05-09,-0.0050983037564342176
2019-05-10,0.004322837347390654
2019-05-13,-0.02325341546116196
2019-05-14,0.005280916539354745
2019-05-15,0.009339003538703247
2019-05-16,0.011978589779621358
2019-05-17,-0.0035476804846416156
2019-05-20,-0.004544549731513647
2019-05-21,0.005688386688963903
2019-05-22,-0.002859158876572201
2019-05-23,-0.011493159417006536
2019-05-24,0.003611813689162525
2019-05-28,-0.006838095602505001
2019-05-29,-0.008088408011291463
2019-05-30,-0.0002397773879962804
2019-05-31,-0.015141412635668499
2019-06-03,-0.010405968972575426
2019-06-04,0.019107822404935408
2019-06-05,0.009610366427625718
2019-06-06,0.008931399778457312
2019-06-07,0.011984704487377687
2019-06-10,0.006742069621768662
2019-06-11,-2.74289294622009e-05
2019-06-12,-0.0012241649584977567
2019-06-13,0.003571015870109711
2019-06-14,-0.0007060552123046976
2019-06-17,0.001008082171836275
2019-06-18,0.005921301007905102
2019-06-19,0.00279457650639886
2019-06-20,0.00863189921424077
2019-06-21,0.000820032455979043
2019-06-24,-0.00011656263214261316
2019-06-25,-0.011183414409640942
2019-06-26,-0.0021021589776894474
2019-06-27,-0.000584285019540853
2019-06-28,0.00275253369989212
2019-07-01,0.007871684138130632
2019-07-02,0.005967175823242744
2019-07-03,0.007355427131406213
2019-07-05,1.7191066263749447e-05
2019-07-08,-0.0031365250079155
2019-07-09,0.00170912066214006
2019-07-10,0.007896697098234312
2019-07-11,0.004464535236697226
2019-07-12,0.003013442844412203
